country,affiliation,csrankings_faculty,dept_homepage
pt,Universidade de Lisboa,278,https://dei.tecnico.ulisboa.pt/en/
gb,University of Edinburgh,175,https://informatics.ed.ac.uk/
fr,CRIStAL,145,https://www.cristal.univ-lille.fr
nl,TU Delft,145,https://www.tudelft.nl/en/eemcs
at,TU Wien,120,https://informatics.tuwien.ac.at/
gb,University College London,120,https://www.ucl.ac.uk/computer-science/
se,Chalmers/GU,118,https://www.chalmers.se/en/departments/cse/
dk,University of Copenhagen,116,https://di.ku.dk/english/
dk,DTU,115,https://www.compute.dtu.dk/
es,University of A Coruña,114,https://pdi.udc.es
gb,Queen's University Belfast,112,https://www.qub.ac.uk
de,TU Munich,109,https://www.cs.cit.tum.de/en/cs/home/
gb,University of Glasgow,107,https://www.gla.ac.uk/schools/computing/
gb,University of Oxford,102,https://www.cs.ox.ac.uk/
gb,University of Southampton,100,https://www.ecs.soton.ac.uk/
it,Politecnico di Milano,99,https://www.deib.polimi.it/eng/home-page
dk,IT University of Copenhagen,98,https://en.itu.dk/
ch,EPFL,97,https://www.epfl.ch/schools/ic/
gb,University of Cambridge,96,https://www.cst.cam.ac.uk/
gb,Imperial College London,95,https://www.imperial.ac.uk/computing/
it,Sapienza University of Rome,95,https://www.diag.uniroma1.it/en
se,KTH Royal Inst. of Technology,92,https://eecs.kth.se/
se,Uppsala University,91,https://www.it.uu.se/
fr,Ecole Normale Superieure de Lyon,89,https://informatique.ens-lyon.fr
gb,Royal Holloway Univ. of London,87,https://pure.royalholloway.ac.uk
gb,University of Liverpool,86,https://www.liverpool.ac.uk/computer-science/
gb,University of Bristol,83,https://www.bristol.ac.uk/engineering/schools/computer-science/
gb,University of Manchester,83,https://www.cs.manchester.ac.uk/
nl,University of Twente,81,https://www.utwente.nl/en/eemcs/
gb,University of Essex,80,https://www.essex.ac.uk
gb,Cardiff University,77,https://www.cardiff.ac.uk/computer-science
gb,University of York,77,https://www.york.ac.uk/computer-science/
it,University of Salerno,77,https://www.unisa.it
nl,TU Eindhoven,77,https://www.win.tue.nl
