person,counted_city,match,openalex_id,recent_affiliations,verdict,papers,sources
Bernhard Schölkopf,Tübingen,ambiguous(4),,,no_data,172,de-mpi-is-tue;de-ellis-inst-tue;de-ellis-institute-tue;de-tue-ai-center
Michael J. Black,Tübingen,ambiguous(4),,,no_data,97,de-ellis-inst-tue
Andreas Geiger 0001,Tübingen,orcid,A5016606943,"Karlsruhe Institute of Technology (DE, 2025) | TH Bingen University of Applied Sciences (DE, 2026) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2025) | STZ eyetrial (DE, 2024) | Tübingen AI Center (None, 2024) | University of Tübingen (DE, 2026) | Wageningen University & Research (NL, 2025)",confirms,75,de-ellis-inst-tue;de-tue-ai-center;csrankings
Frank Hutter,Tübingen,orcid,A5031002895,"Thorlabs (Germany) (DE, 2025) | University of Freiburg (DE, 2026) | University Medical Center Freiburg (DE, 2026) | University of Education Freiburg (DE, 2025) | The Priory Hospital (GB, 2025) | Robert Bosch (India) (IN, 2024) | University of Tübingen (DE, 2025)",moved_since,74,adjudication
Georg Martius,Tübingen,orcid,A5001474340,"TH Bingen University of Applied Sciences (DE, 2025) | Intelligent Systems Research (United States) (US, 2024) | Hahn-Schickard-Gesellschaft für angewandte Forschung (DE, 2024) | Max Planck Institute for Intelligent Systems (DE, 2026) | University of Tübingen (DE, 2026)",confirms,48,de-tue-ai-center;csrankings
Philipp Hennig,Tübingen,orcid,A5022872779,"TH Bingen University of Applied Sciences (DE, 2025) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2025) | Tübingen AI Center (None, 2025) | University of Tübingen (DE, 2026)",confirms,46,de-ellis-inst-tue;de-tue-ai-center;csrankings
Hilde Kuehne,Tübingen,orcid,A5011795407,"Goethe University Frankfurt (DE, 2025) | Goethe-Institute United Kingdom (GB, 2025) | IBM (United States) (US, 2024) | University of Bonn (DE, 2024) | University of Tübingen (DE, 2026)",confirms,43,csrankings;csrankings;csrankings
Matthias Bethge,Tübingen,ambiguous(5),,,no_data,39,de-ellis-inst-tue;de-tue-ai-center;csrankings
Seong Joon Oh,Tübingen,name,A5025851635,"Sogang University (KR, 2026) | University of Tübingen (DE, 2025)",moved_since,31,de-tue-ai-center
Gerard Pons-Moll,Tübingen,orcid,A5076908763,"TH Bingen University of Applied Sciences (DE, 2026) | Max Planck Institute for Informatics (DE, 2025) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2025) | Tübingen AI Center (None, 2025) | University of Tübingen (DE, 2025)",moved_since,29,de-ellis-inst-tue;de-tue-ai-center;csrankings
Moritz Hardt,Tübingen,ambiguous(3),,,no_data,24,de-tue-ai-center
Jakob H. Macke,Tübingen,ambiguous(3),,,no_data,23,de-ellis-inst-tue;de-tue-ai-center;csrankings
Andreas Zell,Tübingen,ambiguous(4),,,no_data,20,csrankings
Carsten Eickhoff,Tübingen,orcid,A5014921416,"Johns Hopkins University (US, 2024) | Brown University (US, 2025) | Johns Hopkins Medicine (US, 2024) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2024) | STZ eyetrial (DE, 2025) | University of Pennsylvania (US, 2024) | University of Tübingen (DE, 2026)",confirms,20,csrankings
Ulrike von Luxburg,Tübingen,ambiguous(3),,,no_data,17,de-tue-ai-center;csrankings
Philipp Berens,Tübingen,ambiguous(3),,,no_data,11,de-tue-ai-center;csrankings
Hendrik P. A. Lensch,Tübingen,orcid,A5036948222,"Siemens (Hungary) (HU, 2025) | TH Bingen University of Applied Sciences (DE, 2026) | Innovation Cluster (Canada) (CA, 2025) | University of Tübingen (DE, 2026)",confirms,10,csrankings
Rediet Abebe,Tübingen,ambiguous(2),,,no_data,8,de-tue-ai-center
Robert C. Williamson,Tübingen,ambiguous(2),,,no_data,8,de-tue-ai-center;csrankings
Peter Dayan,Tübingen,ambiguous(3),,,no_data,7,de-ellis-inst-tue;de-tue-ai-center
Peter V. Gehler,Tübingen,orcid,A5055614518,,no_data,5,de-tue-ai-center;csrankings
Martin V. Butz,Tübingen,orcid,A5075919503,"TH Bingen University of Applied Sciences (DE, 2025) | University Hospital Regensburg (DE, 2025) | Senckenberg Centre for Human Evolution and Palaeoenvironment (DE, 2024) | IS practice (BE, 2025) | University of Tübingen (DE, 2026)",confirms,4,csrankings
Anna Levina,Tübingen,ambiguous(2),,,no_data,3,csrankings;csrankings
Felix A. Wichmann,Tübingen,name,A5043258699,"Johannes Gutenberg University Mainz (DE, 2025) | University Medical Center of the Johannes Gutenberg University Mainz (DE, 2025) | University of Tübingen (DE, 2026)",confirms,3,csrankings
Oliver Bringmann 0001,Tübingen,orcid,A5074802358,"FZI Research Center for Information Technology (DE, 2025) | TH Bingen University of Applied Sciences (DE, 2026) | Embedded Systems (United States) (US, 2025) | University of Tübingen (DE, 2026)",confirms,3,csrankings
Harrisen Scells,Tübingen,ambiguous(5),,,no_data,3,adjudication
Bernt Schiele,Saarbrücken,ambiguous(5),,,no_data,103,de-saarland-university;de-mpi-inf
Christian Theobalt,Saarbrücken,ambiguous(3),,,no_data,95,de-saarland-university;de-mpi-inf
Dietrich Klakow,Saarbrücken,orcid,A5008875255,"Saarland University (DE, 2026)",confirms,46,de-saarland-university;csrankings
Adam Kortylewski,Saarbrücken,orcid,A5084928022,"University of Freiburg (DE, 2025) | Hochschule für Musik Saar (DE, 2024) | Bernstein Center for Computational Neuroscience Freiburg (DE, 2024) | Max Planck Institute for Informatics (DE, 2026) | Helmholtz Center for Information Security (DE, 2026)",confirms,41,de-cispa-helmholtz-center;csrankings
Sebastian U. Stich,Saarbrücken,ambiguous(2),,,no_data,41,de-cispa-helmholtz-center;csrankings;csrankings
Mario Fritz,Saarbrücken,orcid,A5003887059,"Helmholtz Center for Information Security (DE, 2026)",confirms,39,de-cispa-helmholtz-center;csrankings
Adish Singla,Saarbrücken,ambiguous(2),,,no_data,35,de-mpi-sws
Margret Keuper,Saarbrücken,orcid,A5029656834,"Technische Hochschule Mannheim (DE, 2026) | University of Mannheim (DE, 2026) | University of Siegen (DE, 2024) | Max Planck Institute for Informatics (DE, 2026)",confirms,34,de-mpi-inf
Jilles Vreeken,Saarbrücken,orcid,A5043872748,"Helmholtz Center for Information Security (DE, 2026)",confirms,29,de-cispa-helmholtz-center;csrankings
