name,inst_id,city,matched_to,match,matched_papers,best_candidate_papers,candidates,title_verbatim,evidence_url
Andreas Krause,de-mpi-is-stu,Stuttgart,,ambiguous_full(9),0,122,"Andreas Krause 0001 (122p; ETH Zurich, Switzerland|Carnegie Mellon University, Pittsbur) | Andreas Krause 0005 (0p; IPH Hannover, Germany) | Andreas Krause 0002 (0p; University of Bath, School of Management, UK) | Andreas Krause 0007 (0p; Philips Semiconductors, Hamburg, Germany) | Andreas Krause 0008 (0p; no affiliation) | Andreas Krause 0004 (0p; Immanuel Hospital Berlin, Germany|Charité University Hospita)",Max Planck Fellow,https://is.mpg.de/ilg/person/108
Björn Schuller,de-mcml,München,Björn Schuller,full,0,62,"Björn W. Schuller (62p; Imperial College London, GLAM, UK|University of Augsburg, De) | Björn Schuller (0p; no affiliation)","Prof. Dr., Core PI",https://mcml.ai/research/groups/schuller/
Björn Schuller,de-tu-munich,München,Björn Schuller,full,0,62,"Björn W. Schuller (62p; Imperial College London, GLAM, UK|University of Augsburg, De) | Björn Schuller (0p; no affiliation)",Prof. Dr.,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=C81D6E2A817253F0&pPersonenGruppe=3
Jia Chen,de-tu-munich,München,Jia Chen 0015,affiliation,0,41,"Jiajun Chen 0001 (41p; Nanjing University, National Key Laboratory for Novel Softwa) | Jiawei Chen (14p; no affiliation) | Jiayu Chen (9p; no affiliation) | Jiahui Chen (7p; no affiliation) | Jiaxin Chen (6p; no affiliation) | Jia Chen 0003 (4p; Tsinghua University, Beijing, China)",Prof. Dr.-Ing.,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=1FFCB0A4079A2968&pPersonenGruppe=3
Xi Wang,de-mcml,München,,ambiguous_full(51),0,34,"Xi Wang (34p; no affiliation) | Xi Wang 0021 (19p; ETH Zurich, Zurich, Switzerland) | Xi Wang 0018 (9p; National University of Defense Technology, College of Comput) | Xi Wang 0024 (5p; Team VISTA, LIX, École Polytechnique, Paris, France) | Xi Wang 0016 (5p; Microsoft Cloud and AI, Bejing, China) | Xi Wang 0009 (4p; Southeast University, China)","Dr., JRG Leader Egocentric Vision",https://mcml.ai/research/groups/wang-xi/
Sebastian Riedel,de-bht,Berlin,Sebastian Riedel 0003,affiliation,0,27,"Sebastian Riedel 0001 (27p; Google DeepMind, USA) | Sebastian Riedel 0002 (2p; Agile Robots AG|German Aerospace Center (DLR), Wessling, Ger) | Sebastian Riedel 0004 (0p; Architectural Informatics, Technische Universität München, M) | Sebastian Riedel (0p; no affiliation) | Sebastian L. Riedel (0p; no affiliation) | Sebastian Riedel 0003 (0p; TU Berlin, Germany|Weierstraß-Institut, Berlin, Germany)",Prof. Dr.-Ing. Sebastian Riedel,https://www.bht-berlin.de/people/detail/2426
Thomas Steinke,de-zib,Berlin,Thomas Steinke 0001,affiliation,0,19,"Thomas Steinke 0002 (19p; Google, Mountain View, CA, USA|IBM Almaden Research Center, ) | Thomas Steinke 0001 (0p; Zuse Institute Berlin (ZIB), Germany) | Thomas Steinke 0003 (0p; California Polytechnic State University, San Jose, CA, USA)","Steinke, Thomas, Dr.",https://www.zib.de/research/pdc/das
Frank Neumann,de-bht,Berlin,,ambiguous_full(5),0,9,"Frank Neumann 0001 (9p; University of Adelaide, Australia|Max Planck Institute for I) | Frank Neumann 0002 (0p; Technical University of Berlin, Germany) | Frank Neumann 0005 (0p; University of Leicester, School of Mathematics and Actuarial) | Frank Neumann 0003 (0p; Universität Hannover, Theoretische Chemie, Germany) | Frank Neumann 0004 (0p; HTW Berlin - University of Applied Sciences, Germany)",Prof. Dr.-Ing. Frank Neumann,https://www.bht-berlin.de/people/detail/1903
Frank Neumann,de-htw-berlin,Berlin,,ambiguous_full(5),0,9,"Frank Neumann 0001 (9p; University of Adelaide, Australia|Max Planck Institute for I) | Frank Neumann 0002 (0p; Technical University of Berlin, Germany) | Frank Neumann 0005 (0p; University of Leicester, School of Mathematics and Actuarial) | Frank Neumann 0003 (0p; Universität Hannover, Theoretische Chemie, Germany) | Frank Neumann 0004 (0p; HTW Berlin - University of Applied Sciences, Germany)",Prof. Dr.-Ing. Frank Neumann,https://www.htw-berlin.de/hochschule/personen/person/?eid=9685
Yatong Chen,de-mpi-is-tue,Tübingen,,ambiguous_full(2),0,9,"Yatong Chen (9p; no affiliation) | Yatong Chen 0001 (0p; Shanghai Jiao Tong University, School of Computer Science an)",Research Group Leader,https://is.mpg.de/sf/people
