inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
pt-universidade-de-lisboa,csrankings,Universidade de Lisboa,pt,,https://dei.tecnico.ulisboa.pt/en/,278,Universidade de Lisboa,01c27hj86,University of Lisbon,Lisbon,38.72509,-9.1498,1.00,1.00,1,,,,auto
gb-university-of-edinburgh,csrankings,University of Edinburgh,gb,,https://informatics.ed.ac.uk/,175,University of Edinburgh,01nrxwf90,University of Edinburgh,Edinburgh,55.95206,-3.19648,1.00,1.00,1,,,,auto
fr-cristal,csrankings,CRIStAL,fr,,https://www.cristal.univ-lille.fr,145,Université de Lille,02kzqn938,Université de Lille,Lille,50.63391,3.05512,1.00,1.00,0,,,"CRIStAL is UMR 9189, hosted on the Lille campus",auto
nl-tu-delft,csrankings,TU Delft,nl,,https://www.tudelft.nl/en/eemcs,145,TU Delft,02e2c7k09,Delft University of Technology,Delft,52.00667,4.35556,1.00,1.00,1,,,,auto
at-tu-wien,csrankings,TU Wien,at,,https://informatics.tuwien.ac.at/,120,TU Wien,04d836q62,TU Wien,Vienna,48.20849,16.37208,1.00,1.00,0,,,,auto
gb-university-college-london,csrankings,University College London,gb,,https://www.ucl.ac.uk/computer-science/,120,University College London,02jx3x895,University College London,London,51.50853,-0.12574,1.00,1.00,0,,,,auto
se-chalmers-gu,csrankings,Chalmers/GU,se,,https://www.chalmers.se/en/departments/cse/,118,Chalmers University of Technology,040wg7k59,Chalmers University of Technology,Gothenburg,57.70716,11.96679,1.00,1.00,1,,,CSRankings merges Chalmers and Gothenburg University,auto
dk-university-of-copenhagen,csrankings,University of Copenhagen,dk,,https://di.ku.dk/english/,116,University of Copenhagen,035b05819,University of Copenhagen,Copenhagen,55.67594,12.56553,1.00,1.00,1,,,,auto
dk-dtu,csrankings,DTU,dk,,https://www.compute.dtu.dk/,115,Technical University of Denmark,04qtj9h94,Technical University of Denmark,Kongens Lyngby,55.77044,12.50378,1.00,1.00,1,,,,auto
es-university-of-a-coru-a,csrankings,University of A Coruña,es,,https://pdi.udc.es,114,University of A Coruña,01qckj285,Universidade da Coruña,A Coruña,43.37135,-8.396,1.00,1.00,0,,,,auto
gb-queen-s-university-belfast,csrankings,Queen's University Belfast,gb,,https://www.qub.ac.uk,112,Queen's University Belfast,00hswnk62,Queen's University Belfast,Belfast,54.59682,-5.92541,1.00,1.00,1,,,,auto
de-tu-munich,csrankings,TU Munich,de,,https://www.cs.cit.tum.de/en/cs/home/,109,Technische Universität München,02kkvpp62,Technical University of Munich,Munich,48.13743,11.57549,1.00,1.00,1,,,Bare 'TU Munich' matched EU Business School's Munich campus,auto
gb-university-of-glasgow,csrankings,University of Glasgow,gb,,https://www.gla.ac.uk/schools/computing/,107,University of Glasgow,00vtgdb53,University of Glasgow,Glasgow,55.86515,-4.25763,1.00,1.00,0,,,,auto
gb-university-of-oxford,csrankings,University of Oxford,gb,,https://www.cs.ox.ac.uk/,102,University of Oxford,052gg0110,University of Oxford,Oxford,51.75222,-1.25596,1.00,1.00,1,,,,auto
gb-university-of-southampton,csrankings,University of Southampton,gb,,https://www.ecs.soton.ac.uk/,100,University of Southampton,01ryk1543,University of Southampton,Southampton,50.90395,-1.40428,1.00,1.00,0,,,,auto
it-politecnico-di-milano,csrankings,Politecnico di Milano,it,,https://www.deib.polimi.it/eng/home-page,99,Politecnico di Milano,01nffqt88,Politecnico di Milano,Milan,45.46427,9.18951,1.00,1.00,1,,,,auto
dk-it-university-of-copenhagen,csrankings,IT University of Copenhagen,dk,,https://en.itu.dk/,98,IT University of Copenhagen,02309jg23,IT University of Copenhagen,Copenhagen,55.67594,12.56553,1.00,1.00,1,,,,auto
ch-epfl,csrankings,EPFL,ch,,https://www.epfl.ch/schools/ic/,97,École Polytechnique Fédérale de Lausanne,02s376052,École Polytechnique Fédérale de Lausanne,Lausanne,46.516,6.63282,1.00,1.00,0,,,,auto
gb-university-of-cambridge,csrankings,University of Cambridge,gb,,https://www.cst.cam.ac.uk/,96,University of Cambridge,013meh722,University of Cambridge,Cambridge,52.2,0.11667,1.00,1.00,1,,,,auto
gb-imperial-college-london,csrankings,Imperial College London,gb,,https://www.imperial.ac.uk/computing/,95,Imperial College London,041kmwe10,Imperial College London,London,51.50853,-0.12574,1.00,1.00,1,,,,auto
it-sapienza-university-of-rome,csrankings,Sapienza University of Rome,it,,https://www.diag.uniroma1.it/en,95,Sapienza University of Rome,02be6w209,Sapienza University of Rome,Rome,41.89193,12.51133,1.00,1.00,1,,,,auto
se-kth-royal-inst-of-technology,csrankings,KTH Royal Inst. of Technology,se,,https://eecs.kth.se/,92,KTH Royal Inst. of Technology,026vcq606,KTH Royal Institute of Technology,Stockholm,59.32938,18.06871,1.00,0.90,1,,,,auto
se-uppsala-university,csrankings,Uppsala University,se,,https://www.it.uu.se/,91,Uppsala University,048a87296,Uppsala University,Uppsala,59.85882,17.63889,1.00,1.00,0,,,,auto
fr-ecole-normale-superieure-de-lyon,csrankings,Ecole Normale Superieure de Lyon,fr,,https://informatique.ens-lyon.fr,89,Ecole Normale Superieure de Lyon,04zmssz18,École Normale Supérieure de Lyon,Lyon,45.74906,4.84789,1.00,1.00,0,,,,auto
gb-royal-holloway-univ-of-london,csrankings,Royal Holloway Univ. of London,gb,,https://pure.royalholloway.ac.uk,87,"Royal Holloway, University of London",04g2vpn86,Royal Holloway University of London,Egham,51.43158,-0.55239,0.97,0.99,0,,,,auto
gb-university-of-liverpool,csrankings,University of Liverpool,gb,,https://www.liverpool.ac.uk/computer-science/,86,University of Liverpool,04xs57h96,University of Liverpool,Liverpool,53.41058,-2.97794,1.00,1.00,0,,,,auto
gb-university-of-bristol,csrankings,University of Bristol,gb,,https://www.bristol.ac.uk/engineering/schools/computer-science/,83,University of Bristol,0524sp257,University of Bristol,Bristol,51.45523,-2.59665,1.00,1.00,0,,,,auto
