inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
pt-universidade-de-lisboa,csrankings,Universidade de Lisboa,pt,,https://dei.tecnico.ulisboa.pt/en/,278,Universidade de Lisboa,01c27hj86,University of Lisbon,Lisbon,38.7330911,-9.1607543,1.00,1.00,1,,,,auto,street,"Universidade de Lisboa, Lisbon","Universidade NOVA de Lisboa - Campus de Campolide, Rua de Campolide, Campolide, Lisboa, 10",1.30
gb-university-of-edinburgh,csrankings,University of Edinburgh,gb,,https://informatics.ed.ac.uk/,175,University of Edinburgh,01nrxwf90,University of Edinburgh,Edinburgh,55.9440765,-3.1883736,1.00,1.00,1,,,,auto,street,"University of Edinburgh, Edinburgh","University of Edinburgh, St Patrick Square, Pleasance, Southside, City of Edinburgh, Alba ",1.02
fr-cristal,csrankings,CRIStAL,fr,,https://www.cristal.univ-lille.fr,145,Université de Lille,02kzqn938,Université de Lille,Lille,50.6070271,3.1374381,1.00,1.00,0,,,"CRIStAL is UMR 9189, hosted on the Lille campus",auto,street,"CRIStAL, Lille","CRIStAL, Avenue Henri Poincaré, Cité Scientifique, Villeneuve-d'Ascq, Lille, Nord, Hauts-d",6.53
nl-tu-delft,csrankings,TU Delft,nl,,https://www.tudelft.nl/en/eemcs,145,TU Delft,02e2c7k09,Delft University of Technology,Delft,51.9988274,4.3739604,1.00,1.00,1,,,,auto,street,"TU Delft, Delft","Technische Universiteit Delft, Kruithuisweg, Ruiven, Delft, Zuid-Holland, Nederland, 2629 ",1.53
at-tu-wien,csrankings,TU Wien,at,,https://informatics.tuwien.ac.at/,120,TU Wien,04d836q62,TU Wien,Vienna,48.1985397,16.3698617,1.00,1.00,0,,,,auto,building,"TU Wien, Vienna","TU Wien, Hauptgebäude, 13, Karlsplatz, Freihausviertel, Wieden, Wien, 1040, Österreich",1.12
gb-university-college-london,csrankings,University College London,gb,,https://www.ucl.ac.uk/computer-science/,120,University College London,02jx3x895,University College London,London,51.524203,-0.1330007,1.00,1.00,0,,,,auto,street,"University College London, London","University College London, Southampton Row, Bloomsbury, London Borough of Camden, Greater ",1.81
se-chalmers-gu,csrankings,Chalmers/GU,se,,https://www.chalmers.se/en/departments/cse/,118,Chalmers University of Technology,040wg7k59,Chalmers University of Technology,Gothenburg,57.7004642,11.9719516,1.00,1.00,1,,,CSRankings merges Chalmers and Gothenburg University,auto,street,"Chalmers/GU, Gothenburg","Chalmersgatan, Vasastaden, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 411 38",0.81
dk-university-of-copenhagen,csrankings,University of Copenhagen,dk,,https://di.ku.dk/english/,116,University of Copenhagen,035b05819,University of Copenhagen,Copenhagen,55.6801502,12.572327,1.00,1.00,1,,,,auto,street,"University of Copenhagen, Copenhagen","Københavns Universitet, Frue Plads, Nørrevold, Indre By, København, Københavns Kommune, Re",0.63
dk-dtu,csrankings,DTU,dk,,https://www.compute.dtu.dk/,115,Technical University of Denmark,04qtj9h94,Technical University of Denmark,Kongens Lyngby,55.7854145,12.5202151,1.00,1.00,1,,,,auto,street,"DTU, Kongens Lyngby","Danmarks Tekniske Universitet, Fysikvej, Fuglevad, Lundtofte, Kongens Lyngby, Lyngby-Taarb",1.96
es-university-of-a-coru-a,csrankings,University of A Coruña,es,,https://pdi.udc.es,114,University of A Coruña,01qckj285,Universidade da Coruña,A Coruña,43.3708694,-8.3902487,1.00,1.00,0,,,,auto,street,"Universidade da Coruña, A Coruña","Reitorado da Universidade da Coruña, Paseo Alcalde Francisco Vázquez, A Mestranza, Cidade ",0.47
gb-queen-s-university-belfast,csrankings,Queen's University Belfast,gb,,https://www.qub.ac.uk,112,Queen's University Belfast,00hswnk62,Queen's University Belfast,Belfast,54.5842881,-5.9336562,1.00,1.00,1,,,,auto,street,"Queen's University Belfast, Belfast","Queen's University Belfast, Cleaver Gardens, Upper Falls, Lower Malone, Belfast City Distr",1.49
