run,inst_id,name,dblp_name,match,title_verbatim,site,core_papers,extended_papers,evidence_url
2026-08-06,de-bht,Katharina Afflerbach,,no_match,Prof. Dr. Katharina Afflerbach,,0,0,https://www.bht-berlin.de/people/detail/1733
2026-08-06,de-bht,Ralf Ahlbrink,,no_match,Prof. Dr. Ralf Ahlbrink,,0,0,https://www.bht-berlin.de/people/detail/1898
2026-08-06,de-bht,Silke Aschmann,,no_match,Prof. Dr. Silke Aschmann,,0,0,https://www.bht-berlin.de/people/detail/2521
2026-08-06,de-bht,Susanne Auffermann-Lemmer,,no_match,Prof. Diplome Regie general Susanne Auffermann-Lemmer,,0,0,https://www.bht-berlin.de/people/detail/196
2026-08-06,de-bht,Johannes Bader,,ambiguous_full(3),Prof. Dr.-Ing. Johannes Bader,,0,0,https://www.bht-berlin.de/people/detail/1443
2026-08-06,de-bht,Karoline Barthel,,no_match,Prof. Dr. rer. oec. Karoline Barthel,,0,0,https://www.bht-berlin.de/people/detail/210
2026-08-06,de-bht,Khaled Bathich,,no_match,Prof. Dr.-Ing. Khaled Bathich,,0,0,https://www.bht-berlin.de/people/detail/2023
2026-08-06,de-bht,Markus Bautsch,Markus Bautsch,full,Prof. Dr.-Ing. Markus Bautsch,,0,0,https://www.bht-berlin.de/people/detail/2708
2026-08-06,de-bht,Ingeborg Beckers,Ingeborg E. Beckers,first_last,Prof. Dr. Ingeborg Beckers,,0,0,https://www.bht-berlin.de/people/detail/215
2026-08-06,de-bht,Martin Behne,,no_match,Prof. Dr.-Ing. Martin Behne,,0,0,https://www.bht-berlin.de/people/detail/218
2026-08-06,de-bht,Felix Bießmann,Felix Bießmann,full,Prof. Dr. rer. nat. Felix Bießmann,,0,0,https://www.bht-berlin.de/people/detail/1904
2026-08-06,de-bht,Ivo Boblan,Ivo Boblan,full,Prof. Dr.-Ing Ivo Boblan,,1,0,https://www.bht-berlin.de/people/detail/1720
2026-08-06,de-bht,Annette Bobrik,Annette Bobrik,full,Prof. Dr.-Ing. Annette Bobrik,,0,0,https://www.bht-berlin.de/people/detail/2506
2026-08-06,de-bht,Christopher Bode,Christopher A. Bode,first_last,Prof. Dr.-Ing. Christopher Bode,,0,0,https://www.bht-berlin.de/people/detail/236
2026-08-06,de-bht,Simon Boecker,,no_match,Prof. Dr. Simon Boecker,,0,0,https://www.bht-berlin.de/people/detail/2328
2026-08-06,de-bht,Roland Borgwardt,,no_match,Prof. Dipl.-Ing. Roland Borgwardt,,0,0,https://www.bht-berlin.de/people/detail/1940
2026-08-06,de-bht,Holger Borowiak,,no_match,Prof. Dr.-Ing. Holger Borowiak,,0,0,https://www.bht-berlin.de/people/detail/1187
2026-08-06,de-bht,Michael Breuer,Michael Breuer,full,Prof. Dipl.-Ing. Michael Breuer,,0,0,https://www.bht-berlin.de/people/detail/832
2026-08-06,de-bht,Heiner Brockmann,,no_match,Prof. Dr. rer. pol. Heiner Brockmann,,0,0,https://www.bht-berlin.de/people/detail/248
2026-08-06,de-bht,Eva Maria Brüning,,no_match,Prof. Dr. Eva Maria Brüning,,0,0,https://www.bht-berlin.de/people/detail/1957
2026-08-06,de-bht,Ilona Buchem,Ilona Buchem,full,Prof. Dr. Ilona Buchem,,0,0,https://www.bht-berlin.de/people/detail/1285
2026-08-06,de-bht,Markus Buchgeister,,no_match,Prof. Dr. rer. nat. Markus Buchgeister,,0,0,https://www.bht-berlin.de/people/detail/1132
2026-08-06,de-bht,Monika Buchholz,,no_match,Prof. Dr. Monika Buchholz,,0,0,https://www.bht-berlin.de/people/detail/2305
