inst_id,name_en,country,city,type,gap_reason,priority,double_count_risk,notes
de-mpi-inf,MPI for Informatics,de,Saarbrücken,research_institute,aggregated,high,low,Inside CSRankings 'Max Planck Society'
de-mpi-sws-sb,MPI for Software Systems (Saarbrücken),de,Saarbrücken,research_institute,aggregated,high,low,Inside CSRankings 'Max Planck Society'
de-mpi-sws-kl,MPI for Software Systems (Kaiserslautern),de,Kaiserslautern,research_institute,aggregated,medium,low,Second MPI-SWS site
de-mpi-is-tue,MPI for Intelligent Systems (Tübingen),de,Tübingen,research_institute,aggregated,high,low,Motivating case for this project
de-mpi-is-stu,MPI for Intelligent Systems (Stuttgart),de,Stuttgart,research_institute,aggregated,high,low,Same institute as Tübingen site; must be split by person
de-mpi-kyb,MPI for Biological Cybernetics,de,Tübingen,research_institute,absent,medium,low,Largely extended layer (comp neuro)
de-mpi-sp,MPI for Security and Privacy,de,Bochum,research_institute,aggregated,medium,low,
de-mpi-mis,MPI for Mathematics in the Sciences,de,Leipzig,research_institute,aggregated,low,low,
de-mpi-cbg,MPI of Molecular Cell Biology and Genetics,de,Dresden,research_institute,aggregated,low,low,Extended layer
de-mpi-hd-chm,MPI for Human Development (Center for Humans and Machines),de,Berlin,research_institute,absent,medium,low,
de-ellis-inst-tue,ELLIS Institute Tübingen,de,Tübingen,research_institute,absent,high,high,Overlaps MPI-IS and University of Tübingen
de-tue-ai-center,Tübingen AI Center,de,Tübingen,virtual_center,absent,high,high,The T3 test case; members hold primary posts at Uni Tübingen or MPI-IS
de-dfki-sb,DFKI Saarbrücken,de,Saarbrücken,research_institute,absent,high,high,Many members are also Saarland University professors
de-dfki-kl,DFKI Kaiserslautern,de,Kaiserslautern,research_institute,absent,medium,high,
de-dfki-hb,DFKI Robotics Innovation Center,de,Bremen,research_institute,absent,medium,high,
de-dfki-be,DFKI Berlin,de,Berlin,research_institute,absent,medium,high,
de-helmholtz-munich,Helmholtz Munich,de,München,research_institute,absent,medium,medium,Neuherberg campus; extended layer heavy
de-mcml,Munich Center for Machine Learning,de,München,virtual_center,absent,medium,high,Members hold LMU or TUM chairs
de-bifold,BIFOLD Berlin Institute for the Foundations of Learning and Data,de,Berlin,virtual_center,absent,medium,high,Members hold TU Berlin or HU Berlin chairs
de-lamarr,Lamarr Institute,de,Dortmund,virtual_center,absent,medium,high,Sites in Dortmund Bonn Aachen Sankt Augustin
de-scads,ScaDS.AI Dresden/Leipzig,de,Dresden,virtual_center,absent,low,high,Two-city center
de-zib,Zuse Institute Berlin,de,Berlin,research_institute,absent,low,low,
de-dlr-ki,DLR Institute for AI Safety and Security,de,Sankt Augustin,research_institute,absent,low,low,Check E14 applied-research exclusion
fr-inria-paris,Inria Centre de Paris,fr,Paris,research_institute,aggregated,high,medium,Many members co-affiliated with ENS or Sorbonne
fr-inria-saclay,Inria Centre de Saclay,fr,Palaiseau,research_institute,aggregated,high,medium,
fr-inria-grenoble,Inria Centre de l'Université Grenoble Alpes,fr,Grenoble,research_institute,aggregated,high,medium,Montbonnot site
fr-inria-rennes,Inria Centre de l'Université de Rennes,fr,Rennes,research_institute,aggregated,high,medium,
fr-inria-lille,Inria Centre de l'Université de Lille,fr,Villeneuve-d'Ascq,research_institute,aggregated,medium,high,Overlaps CRIStAL which CSRankings lists separately
fr-inria-sophia,Inria Centre d'Université Côte d'Azur,fr,Sophia Antipolis,research_institute,aggregated,high,medium,
fr-inria-nancy,Inria Centre de l'Université de Lorraine,fr,Villers-lès-Nancy,research_institute,aggregated,medium,high,Overlaps LORIA
fr-inria-bordeaux,Inria Centre de l'Université de Bordeaux,fr,Talence,research_institute,aggregated,medium,high,Overlaps LaBRI
fr-inria-lyon,Inria Centre de Lyon,fr,Villeurbanne,research_institute,aggregated,medium,medium,
fr-sorbonne,Sorbonne Université (LIP6 ISIR),fr,Paris,university,absent,high,medium,
fr-paris-saclay,Université Paris-Saclay (LISN),fr,Gif-sur-Yvette,university,absent,high,medium,CSRankings lists 'ENS Cachan' which is now ENS Paris-Saclay
fr-paris-cite,Université Paris Cité (IRIF),fr,Paris,university,absent,medium,medium,
fr-telecom-paris,Télécom Paris (LTCI),fr,Palaiseau,university,absent,high,medium,Institut Polytechnique de Paris
fr-polytechnique,École Polytechnique (LIX),fr,Palaiseau,university,absent,high,medium,Institut Polytechnique de Paris
fr-centralesupelec,CentraleSupélec,fr,Gif-sur-Yvette,university,absent,medium,medium,
fr-uga,Université Grenoble Alpes (LIG GIPSA),fr,Grenoble,university,absent,high,high,Overlaps Inria Grenoble
fr-toulouse,Université de Toulouse (IRIT ANITI),fr,Toulouse,university,absent,high,medium,
fr-amu,Aix-Marseille Université (LIS),fr,Marseille,university,absent,medium,low,
fr-bordeaux,Université de Bordeaux (LaBRI),fr,Talence,university,absent,medium,high,Overlaps Inria Bordeaux
fr-lorraine,Université de Lorraine (LORIA),fr,Nancy,university,absent,medium,high,Overlaps Inria Nancy
fr-montpellier,Université de Montpellier (LIRMM),fr,Montpellier,university,absent,medium,low,
fr-nantes,Nantes Université / Centrale Nantes (LS2N),fr,Nantes,university,absent,medium,low,
fr-cote-azur,Université Côte d'Azur (I3S 3IA),fr,Nice,university,absent,medium,high,Overlaps Inria Sophia
fr-lyon1-insa,Université Lyon 1 / INSA Lyon (LIRIS),fr,Villeurbanne,university,absent,medium,medium,
fr-cea-list,CEA List,fr,Palaiseau,research_institute,absent,medium,low,Check E14
fr-utc,Université de technologie de Compiègne,fr,Compiègne,university,absent,low,low,
fr-imt-atlantique,IMT Atlantique,fr,Brest,university,absent,low,low,
ch-idiap,Idiap Research Institute,ch,Martigny,research_institute,absent,high,medium,Many members hold EPFL adjunct posts
ch-idsia,IDSIA,ch,Lugano,research_institute,under_covered,medium,high,Joint USI-SUPSI; CSRankings lists USI separately
ch-unige,University of Geneva,ch,Genève,university,absent,medium,low,
ch-unil,University of Lausanne,ch,Lausanne,university,absent,low,low,
ch-unine,University of Neuchâtel,ch,Neuchâtel,university,absent,low,low,
