person_id,full_name,city,core_papers_window,tier,sources,source_count,primary_city_if_elsewhere,status
bernhard-scholkopf,Bernhard Schölkopf,Tübingen,172,T2,de-mpi-is-tue;de-ellis-inst-tue;de-ellis-institute-tue;de-tue-ai-center,4,,verified
michael-j-black,Michael J. Black,Tübingen,97,T2,de-ellis-inst-tue;de-university-of-t-bingen,2,,verified
andreas-geiger,Andreas Geiger 0001,Tübingen,75,T1,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen;csrankings,4,,verified
frank-hutter,Frank Hutter,Tübingen,74,T3,adjudication,1,Freiburg,verified
georg-martius,Georg Martius,Tübingen,48,T1,de-tue-ai-center;de-university-of-t-bingen;csrankings,3,,verified
philipp-hennig,Philipp Hennig,Tübingen,46,T1,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen;csrankings,4,,verified
hilde-kuehne,Hilde Kuehne,Tübingen,43,T1,de-university-of-t-bingen;csrankings;csrankings;csrankings,2,,verified
matthias-bethge,Matthias Bethge,Tübingen,39,T1,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen;csrankings,4,,verified
wieland-brendel,Wieland Brendel,Tübingen,35,T2,de-mpi-is-tue;de-tue-ai-center,2,,verified
gerard-pons-moll,Gerard Pons-Moll,Tübingen,29,T1,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen;csrankings,4,,verified
moritz-hardt,Moritz Hardt,Tübingen,24,T2,de-tue-ai-center;de-university-of-t-bingen,2,,verified
jakob-h-macke,Jakob H. Macke,Tübingen,23,T1,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen;csrankings,4,,verified
maksym-andriushchenko,Maksym Andriushchenko,Tübingen,21,T2,de-mpi-is-tue;de-tue-ai-center,2,,verified
carsten-eickhoff,Carsten Eickhoff,Tübingen,20,T1,de-university-of-t-bingen;csrankings,2,,verified
andreas-zell,Andreas Zell,Tübingen,20,T1,de-university-of-t-bingen;csrankings,2,,verified
michael-muehlebach,Michael Muehlebach,Tübingen,18,T2,de-mpi-is-tue,1,,verified
ulrike-von-luxburg,Ulrike von Luxburg,Tübingen,17,T1,de-tue-ai-center;de-university-of-t-bingen;csrankings,3,,verified
philipp-berens,Philipp Berens,Tübingen,11,T1,de-tue-ai-center;de-university-of-t-bingen;csrankings,3,,verified
sahar-abdelnabi,Sahar Abdelnabi,Tübingen,10,T2,de-mpi-is-tue;de-tue-ai-center,2,,verified
hendrik-p-a-lensch,Hendrik P. A. Lensch,Tübingen,10,T1,de-university-of-t-bingen;csrankings,2,,verified
