inst_id,name,title_verbatim,group_or_dept,evidence_url
de-dfki-sb,Jan Alexandersson,"Research Fellow and Principal Researcher; Group leader (project and research management), SCAAI","Social, Cognitive and Affective AI (SCAAI) group, within Cognitive Assistants (COS)",https://scaai.dfki.de/team/
de-dfki-sb,Prof. Dr. Peter Fettke,"Deputy Head; Principal Researcher, Research Fellow and Research Group Leader",Institute for Information Systems (IWi),https://www.dfki.de/en/web/research/research-departments/institute-for-information-systems
de-ellis-inst-tue,Michael Muehlebach,Member; Research Group Leader (Learning and Dynamical Systems),Learning and Dynamical Systems Research Group; ELLIS Unit Tübingen,https://ellis.eu/person/michael-muehlebach
de-mpi-inf,Thomas Leimkühler,Group Leader,D4 Computer Graphics / D6 Visual Computing and AI (co-affiliated) - Image Synthesis and Machine Learning group,https://www.mpi-inf.mpg.de/departments/computer-graphics
de-mpi-inf,Marc Habermann,Research group leader,D6 Visual Computing and Artificial Intelligence - group leader (Graphics and Vision for Digital Humans / GVDH group),https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence
de-mpi-inf,Adam Kortylewski,Group Leader,D6 Visual Computing and Artificial Intelligence - group leader (Generative Intelligence group),https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
de-mpi-inf,Rishabh Dabral,"Research Group Leader, MPI for Informatics",D6 Visual Computing and Artificial Intelligence - group leader (3D Visual Intelligence group),https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence
de-mpi-is-stu,Rachael Burns,Partner Group Leader,Haptic Intelligence (host department); Max Planck Partner Group: Social Tactile & Assistive Robotics and Intelligence (STARI),https://is.mpg.de/person/rburns
de-mpi-is-tue,Shiwei Liu,Research Group Leader,Wild Efficient and Innovative AI,https://is.mpg.de/wei/people
de-mpi-sws,Laurent Bindschaedler,Research Group Leader,,https://www.mpi-sws.org/people/bindsch/
de-mpi-sws,Nina Grgic-Hlaca,Research Group Leader,,https://www.mpi-sws.org/people/nghlaca/
de-mpi-sws,Aditya Potukuchi,Research Group Leader,,https://www.mpi-sws.org/people/apotu/
de-mpi-sws,Goran Radanovic,Research Group Leader,,https://www.mpi-sws.org/people/gradanovic/
de-mpi-sws,Sadegh Soudjani,Research Group Leader,,https://www.mpi-sws.org/people/sadegh/
de-mpi-sws,Mikhail Starchak,Research Group Leader,,https://www.mpi-sws.org/people/starchak/
de-tue-ai-center,Jonas Geiping,Group Leader,Safety and Efficiency in Machine Learning,https://tuebingen.ai/people
de-tue-ai-center,Almut Sophia Koepke,Group Leader,Learning from Sound Vision and Text,https://tuebingen.ai/people
de-tue-ai-center,Shiwei Liu,Group Leader,Wild Efficient and Innovative AI,https://tuebingen.ai/people
de-tue-ai-center,Antonio Orvieto,Group Leader,Large-scale Optimization Dynamics,https://tuebingen.ai/people
de-tue-ai-center,T. Konstantin Rusch,Group Leader,Computational Applied Mathematics & AI Lab (CAMAIL),https://tuebingen.ai/people
de-tue-ai-center,Samira Samadi,Group Leader,Machine Learning,https://tuebingen.ai/people
