name,core_papers,sources,dblp_current,reason
Sebastian Lapuschkin,20,,"Fraunhofer Heinrich Hertz Institute, Berlin, Germany",current DBLP affiliation here but on no institution directory
David Schlangen,12,de-dfki-be,,"on a local directory, but DBLP's current affiliation is University of Potsdam"
Robert A. Vandermeulen,11,,"TU Berlin, Germany",current DBLP affiliation here but on no institution directory
Julia Stoyanovich,7,de-bifold,,"on a local directory, but DBLP's current affiliation is New York University"
Alexander Keller 0001,6,,"NVIDIA Corporation, Berlin, Germany|University of Ulm, UZWR, Germany|University of Kaiserslautern, Department of Compute",current DBLP affiliation here but on no institution directory
Cheng Wang 0002,6,,"Amazon, Berlin, Germany|NEC Laboratories Europe GmbH, Heidelberg, Germany",current DBLP affiliation here but on no institution directory
Ronny Hänsch,5,,"TU Berlin, Germany",current DBLP affiliation here but on no institution directory
Matthias W. Seeger,5,,"Amazon Development Center Germany, Berlin|École Polytechnique Fédérale de Lausanne, School of Computer and Communication",current DBLP affiliation here but on no institution directory
Alexander Löser,5,,"Beuth University of Applied Sciences, DATEXIS, Berlin, Germany|TU Berlin, DIMA, Germany",current DBLP affiliation here but on no institution directory
Karsten Müller 0001,5,,"Fraunhofer Heinrich Hertz Institute, Berlin, Germany",current DBLP affiliation here but on no institution directory
Yi Cai 0005,4,,"Freie Universität Berlin, Germany|Leibniz Universität Hannover, L3S Research Center, Germany",current DBLP affiliation here but on no institution directory
Shuang Guo 0003,4,,"TU Berlin, Germany",current DBLP affiliation here but on no institution directory
Christoph Spiegel 0002,4,,"Zuse Institute, Berlin, Germany",current DBLP affiliation here but on no institution directory
Vera Schmitt,4,,"Technische Universität Berlin, Quality and Usability Lab, Berlin, Germany",current DBLP affiliation here but on no institution directory
Patrick Haller 0002,4,,"Humboldt University of Berlin, Germany",current DBLP affiliation here but on no institution directory
Till Fluschnik,4,,"HU Berlin, Germany|TU Clausthal, Germany",current DBLP affiliation here but on no institution directory
Pascal Kunz 0001,4,,"Humboldt-Universität zu Berlin, Germany|Technische Universität Berlin, Germany",current DBLP affiliation here but on no institution directory
Roland Roller,3,,"German Research Center for Artificial Intelligence (DFKI), Berlin, Germany",current DBLP affiliation here but on no institution directory
Nicole Mücke,3,,"MATH+ - Berlin Mathematics Research Center, Germany|Technical University of Berlin, Institute of Mathematics, Germany|Un",current DBLP affiliation here but on no institution directory
Georg Loho,3,,"FU Berlin, Germany|University of Twente, The Netherlands",current DBLP affiliation here but on no institution directory
Christian Wressnegger,3,de-bifold,,"on a local directory, but DBLP's current affiliation is Karlsruhe Institute of Technology"
Robin Chan 0001,3,,"Technical University of Berlin, Germany|Bielefeld University, Germany",current DBLP affiliation here but on no institution directory
Danh Le Phuoc,3,,"Technical University Berlin, Germany",current DBLP affiliation here but on no institution directory
Dagmar Kainmüller,2,,"MDC Berlin, Berlin, Germany",current DBLP affiliation here but on no institution directory
