name,core_papers,sources,dblp_current,reason
Sami Haddadin,116,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
Federico Tombari,111,de-mcml,,"on a local directory, but DBLP's current affiliation is Google"
Björn W. Schuller,62,de-mcml;de-tu-munich,,"on a local directory, but DBLP's current affiliation is Imperial College London"
Zhenshan Bing,35,,"Technical University of Munich, Department of Computer Science, Germany|Harbin Institute of Technology, State Key Lab of",current DBLP affiliation here but on no institution directory
Rudolph Triebel,35,,"TU Munich, Department of Informatics, Germany",current DBLP affiliation here but on no institution directory
Suvrit Sra,28,de-mcml;de-tu-munich,,"on a local directory, but DBLP's current affiliation is Massachusetts Institute of Technology (MIT)"
Bastian Rieck,24,de-helmholtz-munich,"University of Fribourg, Switzerland","on a local directory, but DBLP's current affiliation is University of Fribourg"
Yan Xia 0003,19,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Matthias Müller 0011,17,,"Intel Intelligent Systems Lab, Munich, Germany|King Abdullah University of Science and Technology (KAUST), Image and Vid",current DBLP affiliation here but on no institution directory
Yuning Cui 0001,17,,"Technical University of Munich, Germany|National University of Defense Technology, Changsha, China",current DBLP affiliation here but on no institution directory
Fan Wu 0015,16,,"Technical University of Munich, School of Computation, Information and Technology, Germany",current DBLP affiliation here but on no institution directory
Slobodan Ilic,16,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
Andreas Triantafyllopoulos,13,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Patrick van der Smagt,13,csrankings;csrankings,,"on a local directory, but DBLP's current affiliation is German Aerospace Center"
Yihong Liu 0001,12,,"Ludwig Maximilian University of Munich (LMU), Center for Information and Language Processing, Munich Center for Machine ",current DBLP affiliation here but on no institution directory
Ziyue Li 0002,12,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Marcel Binz,10,,"Helmholtz Institute for Human-Centered AI, Munich, Germany",current DBLP affiliation here but on no institution directory
René Ranftl,10,,"Intel Laboratory, Munich, Germany",current DBLP affiliation here but on no institution directory
Stefan Andreas Baumann,10,,"LMU Munich, Germany",current DBLP affiliation here but on no institution directory
Yu Zhang 0182,9,,"Technical University of Munich, Department of Computation, Information and Technology, Garching, Germany",current DBLP affiliation here but on no institution directory
Kejia Chen 0005,8,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Hao Yu 0010,8,,"Technical University of Munich, Germany|National University of Defense Technology, National Laboratory for Parallel and ",current DBLP affiliation here but on no institution directory
Yuhong Huang,8,,"Technische Universität München, München, Germany",current DBLP affiliation here but on no institution directory
Ruilong Zhang 0001,8,,"Technical University of Munich, Department of Mathematics, Germany",current DBLP affiliation here but on no institution directory
Junwen Huang 0001,8,,"Technical University of Munich, Munich Center for Machine Learning, Munich, Germany",current DBLP affiliation here but on no institution directory
Tim C. Lueth,8,,"Technical University Munich, Department of Mechanical Engineering, Germany",current DBLP affiliation here but on no institution directory
Nikolaus Demmel,7,,"Technical University of Munich, Department of Informatics, Computer Vision Group, Munich, Germany",current DBLP affiliation here but on no institution directory
Rui Song 0007,7,,"Technical University of Munich, TUM, Chair of Robotics, Artificial Intelligence and Real-time Systems, Garching, Germany",current DBLP affiliation here but on no institution directory
Sebastian Schmidt 0006,6,,"Technical University of Munich, Germany|BMW Group, Munich, Germany",current DBLP affiliation here but on no institution directory
Steffen Schneider 0001,6,de-helmholtz-munich;de-mcml,,"on a local directory, but DBLP's current affiliation is University of Tübingen"
Simon Weber 0002,6,,"Technical University of Munich, Munich, Germany",current DBLP affiliation here but on no institution directory
Long Wen 0003,6,,"Technical University of Munich, Munich, Germany",current DBLP affiliation here but on no institution directory
Yanyan Li 0001,6,,"Technical University of Munich, Germay",current DBLP affiliation here but on no institution directory
Gerhard Rigoll,6,,"TU Munich, Germany",current DBLP affiliation here but on no institution directory
Michael Schmitt 0003,5,,"Bundeswehr University Munich, Neubiberg, Germany",current DBLP affiliation here but on no institution directory
Kun Yuan 0004,5,,"Technical University of Munich, Center for Machine Learning, Munich, Germany|University of Strasbourg, CNRS, INSERM, ICu",current DBLP affiliation here but on no institution directory
Björn M. Eskofier,5,de-helmholtz-munich;de-mcml,,"on a local directory, but DBLP's current affiliation is University of Erlangen-Nuremberg"
Daniel-André Duecker,5,,"Technical University of Munich (TUM), Munich Institute of Robotics and Machine Intelligence (MIRMI), Germany",current DBLP affiliation here but on no institution directory
Xin Sun 0003,5,,"Technical University of Munich, Germany|Harbin Institute of Technology, School of Computer Science and Technology, Weiha",current DBLP affiliation here but on no institution directory
Julia A. Schnabel,5,de-helmholtz-munich;de-mcml;de-tu-munich,,"on a local directory, but DBLP's current affiliation is King's College London"
Junjie Yang 0001,5,,"TU Munich, Germany",current DBLP affiliation here but on no institution directory
Felix Krahmer,5,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
Xiao Xu 0001,5,,"Technical University of Munich, Chair of Media Technology, Germany",current DBLP affiliation here but on no institution directory
Xinpeng Wang 0003,4,,"LMU Munich, Germany",current DBLP affiliation here but on no institution directory
Ziyuan Liu 0003,4,,"Huawei Munich Research Center, Munich, Germany",current DBLP affiliation here but on no institution directory
Shuo Chen 0014,4,,"LMU Munich, Germany",current DBLP affiliation here but on no institution directory
Ganlin Zhang 0001,4,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Zheyu Zhang 0007,4,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Xin Jing 0001,4,,"Technical University of Munich (TUM), Chair of Health Informatics, Munich, Germany|University of Augsburg, Embedded Inte",current DBLP affiliation here but on no institution directory
Felix Krause 0002,4,,"LMU, Munich, Germany",current DBLP affiliation here but on no institution directory
Yi Wang 0072,4,,"Technical University of Munich (TUM), Data Science in Earth Observation, Munich, Germany|German Aerospace Center (DLR), ",current DBLP affiliation here but on no institution directory
Markus Rickert 0001,4,,"TU Munich, Germany",current DBLP affiliation here but on no institution directory
Dirk Wollherr,4,,"TU München, Germany",current DBLP affiliation here but on no institution directory
Pengyuan Wang 0002,4,,"Technical University of Munich, Department of Informatics, Germany",current DBLP affiliation here but on no institution directory
Tassilo Klein,4,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
