name,core_papers,sources,dblp_current,reason
Bernt Schiele,103,de-mpi-inf;de-saarland-university,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Informatics"
Adish Singla,35,de-mpi-sws,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Software Systems"
Margret Keuper,34,de-mpi-inf,"Mannheim University, Germany","on a local directory, but DBLP's current affiliation is Mannheim University"
Franziska Boenisch,24,de-cispa-helmholtz-center;csrankings,,"on a local directory, but DBLP's current affiliation is CISPA Helmholtz Center for Information Security"
Janis Keuper,16,,"Saarland University, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Bernd Möbius,14,,"Saarland University, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Mingjie Li 0007,12,,"CISPA, Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Mohamed A. Elgharib,12,,"MPI for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Krishna P. Gummadi,11,de-saarland-university,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Software Systems"
Sukrut Rao,8,,"Max Planck Institute for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Jian Wang 0042,8,,"Saarland Informatics Campus, Max Planck Institute for Informatics, Saarbrücken, Germany|Chinese Academy of Sciences, Ins",current DBLP affiliation here but on no institution directory
Steffen Jung 0001,7,,"Max Planck Institute for Informatics, Saarbrücken, Germany|University of Mannheim, Data and Web Science Group, Germany",current DBLP affiliation here but on no institution directory
Mallikarjun B. R. 0001,7,,"Max Planck Institute for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Osman Mian,7,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Xinyue Shen 0001,6,,"CISPA Helmholtz Center for Information Security, Saarbrucken, Saarland, Germany",current DBLP affiliation here but on no institution directory
David Kaltenpoth,6,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Fionn Mc Inerney,6,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Ahmed Salem 0001,6,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Yulia Gryaditskaya,6,,"Max Planck Institute for Informatics (MPII), Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Dongqi Liu 0001,5,,"Saarland University, Department of Language Science and Technology, Saarbrücken, Germany|University of Amsterdam, Instit",current DBLP affiliation here but on no institution directory
Golnoosh Shahkarami,5,,"MPI for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Gaurav Sharma 0004,5,,"Max Planck Institute for Informatics (MPII), Saarbrücken, Germany|University of Caen, Laboratory GREYC, France|Technicol",current DBLP affiliation here but on no institution directory
Zheng Li 0023,5,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Daniel Höller,5,,"Saarland University, Germany",current DBLP affiliation here but on no institution directory
Tobias Lorenz 0002,4,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Ziqing Yang 0002,4,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Guoxing Sun 0001,4,,"Max Planck Institute for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Yuan Gao 0025,4,,"Saarland University, CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Carsten Stoll,4,,"Max Planck Institute for Informatics, Saarbrücken, Germany",current DBLP affiliation here but on no institution directory
Yukun Jiang 0001,4,,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany|Sichuan University, School of Cyber Science and En",current DBLP affiliation here but on no institution directory
