name,core_papers,sources,dblp_current,reason
Jens Kober,24,de-university-of-stuttgart;csrankings,,"on a local directory, but DBLP's current affiliation is Delft University of Technology"
Marco F. Huber,11,,"University of Stuttgart, Institute of Industrial Manufacturing and Management (IFF), Germany|Fraunhofer Institute for Ma",current DBLP affiliation here but on no institution directory
Luiz F. O. Chamon,9,,"University of Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Filip Miletic 0002,7,,"University of Stuttgart, Institute for Natural Language Processing (IMS), Germany|University of Toulouse, France",current DBLP affiliation here but on no institution directory
Katherine J. Kuchenbecker,7,de-mpi-is-stu,,"on a local directory, but DBLP's current affiliation is University of Pennsylvania"
Bernd Bohnet,7,,"University of Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Volker Fischer 0003,6,,"Robert Bosch GmbH, Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Duy M. H. Nguyen,6,,"University of Stuttgart, Max Planck Research School for Intelligent Systems, Germany",current DBLP affiliation here but on no institution directory
Daniel Hennes,5,,"University of Stuttgart, Institute for Parallel and Distributed Systems, Germany|DFKI, Robotics Innovation Center, Breme",current DBLP affiliation here but on no institution directory
Nicola Wolpert,5,,"Hochschule für Technik Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Mathias Bürger,4,,"University of Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Alexander Badri-Spröwitz,4,,"Max Planck Institute for Intelligent Systems, Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Marion Di Marco,3,,"Universität Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Felix Schmitt 0001,3,,"Robert Bosch GmbH, Bosch Center for Artificial Intelligence, Stuttgart, Germany",current DBLP affiliation here but on no institution directory
Lei Shi 0032,3,,"University of Stuttgart, Department of Computer Science, Institute for Visualisation and Interactive Systems, Germany|Un",current DBLP affiliation here but on no institution directory
Christopher Jenkins 0001,1,,"University of Stuttgart, Germany",current DBLP affiliation here but on no institution directory
