name,core_papers,sources,dblp_current,reason
Frank Hutter,74,de-ellis-institute-tue,,"on a local directory, but DBLP's current affiliation is University of Freiburg"
Shiwei Liu 0003,48,de-ellis-institute-tue;de-mpi-is-tue;de-tue-ai-center,,"on a local directory, but DBLP's current affiliation is University of Oxford"
Hilde Kuehne,43,csrankings;csrankings;csrankings,,"on a local directory, but DBLP's current affiliation is University of Bonn"
Moritz Hardt,24,de-ellis-inst-tue;de-tue-ai-center,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Intelligent Systems"
Dmitry Kobak,10,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Roland S. Zimmermann,10,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Mijung Park,8,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany|University of Tübingen, , Germany",current DBLP affiliation here but on no institution directory
Zehao Yu 0002,8,,"University of Tübingen, Department of Computer Science, Tübingen, Germany|ShanghaiTech University, China",current DBLP affiliation here but on no institution directory
Yong Cao 0001,8,,"Eberhard Karl University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Andreas Ziegler 0006,7,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Frank Schneider 0001,7,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Jan Schneider 0007,6,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",current DBLP affiliation here but on no institution directory
Yuxuan Xue 0001,6,,"University of Tübingen, Germany|Max Planck Institute for Intelligent Systems, Embodied Vision Group, Tübingen, Germany",current DBLP affiliation here but on no institution directory
Steffen Schneider 0001,6,,"University of Tübingen, Germany|EPFL, Geneva, Switzerland",current DBLP affiliation here but on no institution directory
Bernhard Jaeger,4,,"University of Tübingen, Geremany",current DBLP affiliation here but on no institution directory
Jonathan Schmidt 0001,4,,"University of Tübingen, Tübingen, Germany",current DBLP affiliation here but on no institution directory
Guy Moss 0001,3,,"University of Tübingen, Machine Learning in Science, Germany|Tübingen AI Center, Germany",current DBLP affiliation here but on no institution directory
Muhammad Waleed Gondal,3,,"Max-Planck Institute for Intelligent Systems, Tübingen, Germany",current DBLP affiliation here but on no institution directory
Michael Tiemann 0001,3,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Chris Gagne 0001,3,,"Max Planck Institute for Biological Cybernetics, Tübingen, Germany|University of California, Berkeley, CA, USA",current DBLP affiliation here but on no institution directory
Shashank Singh 0011,3,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",current DBLP affiliation here but on no institution directory
Leena C. Vankadara,3,,"University of Tübingen, Department of Computer Science, Germany|Max Planck Institute for Intelligent Systems (MPI-IS), T",current DBLP affiliation here but on no institution directory
Harrisen Scells,3,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
Ilia A. Petrov 0001,1,,"University of Tübingen, Germany",current DBLP affiliation here but on no institution directory
