name,counted_city,still_there,primary_city,current_title_verbatim,current_institution,evidence_url,retrieved,confidence,notes
Frank Hutter,Tübingen,secondary,Freiburg,Full Professor for Machine Learning at the University of Freiburg (currently on leave); Hector-Endowed Fellow and PI at the ELLIS Institute Tübingen (part-time),University of Freiburg / Prior Labs GmbH (CEO); ELLIS Institute Tübingen (secondary),https://ml.informatik.uni-freiburg.de/profile/hutter/,2026-08-06,medium,"On leave from his Freiburg chair to serve as CEO of Prior Labs (Freiburg-based, now part of SAP). Holds a genuine part-time PI role at ELLIS Institute Tübingen but that page itself labels it part-time, so Tübingen reads as secondary not primary. Not listed on Tübingen AI Center's own people roster despite the ELLIS tie. Other OpenAlex entries (Thorlabs, Priory Hospital, Bosch India, UMC/Uni of Education Freiburg) are almost certainly co-author affiliation noise."
Seong Joon Oh,Tübingen,no,"Daejeon, South Korea",I am an associate professor at KAIST AI,KAIST AI (Korea Advanced Institute of Science and Technology),https://seongjoonoh.com/,2026-08-06,high,"His own homepage states he moved his group (Scalable Trustworthy AI) from University of Tübingen to KAIST in February 2026. Tübingen AI Center's people page still lists him as active Professor there — that is stale metadata lagging the move, not counter-evidence. The Sogang University entry in OpenAlex has no support on his site and looks like unrelated noise."
Gerard Pons-Moll,Tübingen,yes,Tübingen,"Professor at the University of Tübingen endowed by the Carl Zeiss Foundation, at the department of Computer Science.","University of Tübingen (primary); Max Planck Institute for Informatics, Saarbrücken (genuine secondary cross-appointment as Emmy Noether Independent Group Leader & Senior Researcher)",https://virtualhumans.mpi-inf.mpg.de/people/pons-moll.html,2026-08-06,high,"Checked as instructed: 'TH Bingen University of Applied Sciences' does not appear anywhere in his bio and has no plausible connection to him — confirmed as an OpenAlex author-disambiguation artefact, not a move. This is distinct from his real, longstanding MPI-INF Saarbrücken cross-appointment, which is genuine."
Andrew Lowy,Saarbrücken,yes,Saarbrücken,I am currently a Tenure-Track Faculty Member at CISPA Helmholtz Center for Information Security,CISPA Helmholtz Center for Information Security,https://sites.google.com/view/andrewlowy/home ; https://cispa.de/en/people/c01anlo,2026-08-06,high,"A CISPA news post dated May 21, 2026 introduces him as new CISPA faculty, confirming a recent, current hire rather than stale metadata. University of Wisconsin–Madison (OpenAlex 2024) checks out as a prior postdoc (2023-2025), now superseded. CISPA's own directory page says only 'Faculty' without the word tenure-track, so that specific qualifier is medium-confidence."
Viktor Zaverkin,Saarbrücken,yes,Saarbrücken,Jun.-Prof. Dr. Viktor Zaverkin — Juniorprofessur für Data-Driven Materials Design (INM),"Saarland University, joint with INM – Leibniz Institute for New Materials and DFKI",https://www.leibniz-inm.de/en/news-en/junior-professor-viktor-zaverkin-leads-new-inm-research-group-data-driven-materials-design/,2026-08-06,high,"Resolves the OpenAlex NEC Japan/Germany trail: he was a Research Scientist at NEC Laboratories Europe (Heidelberg) through March 2026, then was appointed Junior Professor at Saarland University on March 31, 2026, now leading a new INM research group in Saarbrücken — a move INTO Saarbrücken, opposite of the initial flag hypothesis. His personal homepage is stale (still describes him as at NEC Heidelberg); do not use it as the current-status source."
Alina Roitberg,Stuttgart,secondary,Hildesheim,"Full Professor (W3) of Machine Learning, University of Hildesheim. Head of the Intelligent Assistive Systems group.","University of Hildesheim, Institut für Informatik",https://aroitberg.github.io/ ; https://www.uni-hildesheim.de/fb4/institute/ifi/arbeitsgruppen/intelligent-assistive-systems/mitglieder/professorin-dr-alina-roitberg/,2026-08-06,high,"Her own homepage's career history shows the W3 professorship at Hildesheim beginning September 2025, moving from Assistant/Junior Professor at Stuttgart. Stuttgart's AI institute team page now lists her under 'Alumni', overriding a stale individual Stuttgart sub-profile page that still reads present-tense. She remains an 'Associated member' of Stuttgart's SimTech Cluster of Excellence — a genuine but non-employment tie, hence 'secondary' rather than 'no'. Karlsruhe Institute of Technology and X-Fab entries in OpenAlex have no first-party support and look like collaboration noise."
Bin Yang 0009,Stuttgart,yes,Stuttgart,Prof. Dr.-Ing. / Institutsleiter (Institute Director),"Institute of Signal Processing and System Theory (ISS), University of Stuttgart",https://www.iss.uni-stuttgart.de/en/institute/team/Yang-00008/,2026-08-06,high,"Confirmed this is the correct Bin Yang: he directs ISS at Stuttgart, whose listed research areas (signal enhancement via generative models, deep learning for BCI and medical imaging) match an AI/ML profile. The long tail of Chinese-university plus Aalborg/Diego Portales affiliations in OpenAlex is almost certainly disambiguation noise from other people sharing this extremely common name — the Stuttgart institute page is unambiguous and authoritative."
Valentin Hofmann,München,yes,Munich,I am a tenure-track assistant professor at LMU Munich.,Ludwig-Maximilians-Universität München (LMU Munich),https://valentinhofmann.github.io/,2026-08-06,medium,"His dated personal news log states he started as tenure-track assistant professor at LMU Munich in 03/2026, immediately after postdoc positions at the Allen Institute for AI and University of Washington — flipping the initial hypothesis: Munich is his brand-new primary post, not a stale entry. LMU Klinikum looks like an unrelated hospital-entity disambiguation artefact. Could only corroborate with this one first-party source; MCML and LMU CIS staff pages 404/403'd on guessed URLs before the search budget ran out, so confidence is medium pending a second source."
Bjoern Menze,München,no,"Zurich, Switzerland",Full Professor for Biomedical Image Analysis and Machine Learning,"Department of Quantitative Biomedicine (DQBM), University of Zurich",https://www.dqbm.uzh.ch/en/research/menze.html,2026-08-06,high,"His own TUM homepage now states 'Bjoern Menze moved to UZH' and forwards to the UZH/DQBM page, which confirms the full professorship there has run since September 2020 — a parallel appointment for years before becoming his sole primary post. TUM's Biomedical Image Computing chair page and TUM professor directory entry for him now 404, so no current first-party evidence of an ongoing Munich post remains. Heidelberg/DKFZ/Yale/ETH/Martinos-Center entries in OpenAlex are very likely co-author misattributions."
Patrick van der Smagt,München,no,"Budapest, Hungary (unsettled — see notes)",Professor,"Eötvös Loránd University (ELTE), Department of Artificial Intelligence, Budapest",https://mi.inf.elte.hu/employees,2026-08-06,low,"Genuinely unsettled case, flagged rather than resolved. ELTE's live staff directory is the only first-party page confirming a current, staffed post (named office, active email). No first-party evidence of an ongoing Volkswagen/Munich post could be found: his former VW lab domain argmax.ai now redirects to a bare, unbranded publications list with no VW branding, and Volkswagen's own pages could not be located. Non-first-party reporting (a Nov 2025 interview) describes him as 'former Director of AI Research at Volkswagen' who departed to found/lead a robotics company, 'Foundation' (Foundation Future Industries), possibly still Munich-based — but Foundation's own site has no team/leadership page naming him and lists only San Francisco and Covington GA offices. Recommend follow-up once Foundation publishes a leadership page or Volkswagen's site becomes reachable."
Berthold Bäuml,München,yes,Garching bei München / Oberpfaffenhofen (Munich metro area),"Bäuml, Berthold, Prof. Dr.-Ing. — Professur für Learning AI for Dextrous Robots","Technical University of Munich (TUM), TUM School of Computation, Information and Technology; joint lab with DLR Institute of Robotics & Mechatronics",https://www.professoren.tum.de/en/baeuml-berthold ; https://aidx-lab.org/team,2026-08-06,high,"Holds a joint TUM-DLR professorship, chair based in Garching bei München (an adjacent municipality, not the city of Munich proper — worth flagging for geocoding, though still Munich metro). DLR's own institute page does not list him among its department heads directly, but the joint lab's own page confirms an active, current DLR co-affiliation running through the professorship. 'Robotics Research United States' in OpenAlex is likely a misparsed conference/book-series name, not a real affiliation."
Hans-Arno Jacobsen,München,no,"Toronto, Canada",Professor,"University of Toronto, Edward S. Rogers Sr. Department of Electrical & Computer Engineering",https://www.ece.utoronto.ca/people/jacobsen-h-a/,2026-08-06,high,"TUM's own research portal lists TUM as 'Former affiliation' for him, and TUM's Chair of Decentralized Information Systems and Data Management now names a successor, Prof. Viktor Leis — an unambiguous departure signal. University of Toronto's ECE page and the Middleware Systems Research Group site both show him as an active, current professor and group director with no mention of TUM/Munich. Fleming College and Rogers Communications entries in OpenAlex are very likely noise/mis-parses (the latter plausibly from 'Edward S. Rogers Sr. Department')."
Peter Eisert,Berlin,yes,Berlin,Head of Vision & Imaging Technologies Department (Fraunhofer HHI); Professor for Visual Computing at the Humboldt University Berlin,"Fraunhofer Institute for Telecommunications, Heinrich-Hertz-Institut (HHI), Berlin; Humboldt-Universität zu Berlin",https://www.hhi.fraunhofer.de/en/departments/vit.html ; https://iphome.hhi.de/eisert/index.htm,2026-08-06,high,"Both Berlin appointments are current and genuine (standard German dual-appointment model): Fraunhofer HHI department head since 2002, HU Berlin professor since 2009. Both are Berlin-based so this does not affect the city count either way. Cal Poly Humboldt in OpenAlex is clear string-match noise on 'Humboldt'. Fraunhofer SIT (Secure Information Technology, Darmstadt) has no support in his first-party bios and is likely mis-credited to the wrong Fraunhofer institute; Fraunhofer IPK (Production Systems, also Berlin-based) is unconfirmed but low-risk since co-located."
