name,inst_id,independent,basis,own_group_url,supervises_doctoral_students,own_funding,evidence_url,retrieved,confidence,notes
Jan Alexandersson,de-dfki-sb,no,"SCAAI is a named sub-group of the COS department, led by others",,unknown,unknown,https://scaai.dfki.de/team/,2026-08-06,medium,"Own SCAAI page: 'An interdisciplinary research group of the Cognitive Assistants (COS) department' -- explicitly a departmental sub-group, not an institute-level unit. COS department is headed by Prof. Dr. Antonio Krüger (also DFKI CEO), with Dr. Anselm Blocher and Dr. Kinga Schumacher as deputy heads; Alexandersson holds none of those roles. His own title is qualified 'Group leader (project and research management)', and Patrick Gebhard is noted as co-head of SCAAI. No PhD students or named grant/fellowship found on his profile or the SCAAI page."
Peter Fettke,de-dfki-sb,yes,"Holds own W3 chair (Saarland Univ.) and is named leader of a ~30-person DFKI group",https://www.dfki.de/en/web/about-us/employee/person/pefe01/,yes,unknown,https://www.dfki.de/en/web/about-us/employee/person/pefe01/,2026-08-06,medium,"DFKI title is 'Deputy Head' of the Institute for Information Systems (IWi), but his own DFKI profile (fetched via reader proxy, dfki.de 403s direct fetch) states in first person: 'Peter, together with his research group of about 30 people, is particularly concerned with the intersection between process management and AI.' He additionally holds a Universitätsprofessor (W3/C4) chair, Business Informatics, Saarland University -- per data/titles.csv this rank independently counts_as_pi and carries standard doctoral-supervision rights. Deputy-head status inside IWi does not negate the personally-attributed group and the separate university chair. No named grant/fellowship found; did not independently verify the Saarland University chair page."
Michael Muehlebach,de-ellis-inst-tue,yes,"Leads one of MPI-IS's 18 named independent research groups (LDS), DFG Emmy Noether-funded",https://is.mpg.de/lds,yes,yes,https://is.mpg.de/lds,2026-08-06,high,"Own group page: 'The Learning and Dynamical Systems Group is an independent research group funded by the Emmy Noether Fellowship, the Branco Weiss Fellowship, and an Amazon research grant.' is.mpg.de/lds/people lists 8 Doctoral Researchers under him (Bal, Eberhard, Elmkaiel, Er, Kladny, Ma, Nakano, Zaric). LDS is one of 18 groups named on is.mpg.de/research as independent (cf. mpi-groups/units.csv). Queue lists this row under inst_id de-ellis-inst-tue (ELLIS Unit Tübingen wording on his ellis.eu profile); the group and evidence above are MPI-IS's own pages -- inst_id itself not reassigned here per AGENT_CONTRACT's rule against resolving entity ambiguity."
Thomas Leimkühler,de-mpi-inf,no,"D4/D6 sub-group, not on MPI-INF's own RG1-RG3 independent-group list",https://ismael.mpi-inf.mpg.de,unknown,unknown,https://www.mpi-inf.mpg.de/departments/computer-graphics,2026-08-06,high,"MPI-INF's own mpi-inf.mpg.de/departments page separates six departments (D1-D6) from three explicitly named 'Independent Research Groups' (RG1 Weidenbach, RG2 Xia, RG3 Demberg). 'Image Synthesis and Machine Learning' is pictured as one of D4's five internal groups (co-affiliated D6); not among RG1-RG3, so he reports within Hans-Peter Seidel's D4 (and Christian Theobalt's D6). See mpi-groups/units.csv row for full institute-level analysis. Own project site (ismael.mpi-inf.mpg.de) gives title 'Group Leader' but that self-presentation does not change the institute's structural placement."
Marc Habermann,de-mpi-inf,no,"D6 sub-group (GVDH), not on MPI-INF's own RG1-RG3 independent-group list",https://gvdh.mpi-inf.mpg.de/index.html,unknown,unknown,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence,2026-08-06,high,"Named as one of D6's internal research groups on the department page led by Christian Theobalt; not among the institute's three RG1-RG3 independent groups (see mpi-groups/units.csv). Own site (gvdh.mpi-inf.mpg.de) gives verbatim title 'Research group leader' and notes an Associate Fellow appointment at Saarland University since 2025-05-16 -- an external secondary appointment that does not change his MPI-INF departmental status."
Adam Kortylewski,de-mpi-inf,no,"D6 sub-group (Generative Intelligence), not on MPI-INF's own RG1-RG3 independent-group list",https://genintel.de,unknown,unknown,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,medium,"Named as one of D6's internal research groups on the institute's own current-staff listing; not among RG1-RG3. CAUTION: his own lab site (genintel.de) states '[Oct 2025] Our lab moved to CISPA!', implying a possible relocation to CISPA Helmholtz Center; MPI-INF's own site had not been updated to reflect this as of retrieval, so his institutional home may have changed since -- flagged for downstream reconciliation, not resolved here."
Rishabh Dabral,de-mpi-inf,no,"D6 sub-group (3D Visual Intelligence), not on MPI-INF's own RG1-RG3 independent-group list",https://rishabhdabral.github.io/,unknown,unknown,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence,2026-08-06,high,"Named as one of D6's internal research groups; not among RG1-RG3, despite his own page stating 'I lead the ""3D Visual Intelligence"" Research Group at the Max Planck Institute for Informatics.' Personal self-description does not override the institute's own department vs. independent-group distinction (see mpi-groups/units.csv)."
Rachael Burns,de-mpi-is-stu,yes,"Max Planck Partner Group Leader -- institute-recognized independent-group programme (STARI)",https://is.mpg.de/person/rburns,unknown,yes,https://is.mpg.de/person/rburns,2026-08-06,medium,"Listed under 'Max Planck Partner Group' on is.mpg.de/campus-facilities, affiliated with the Haptic Intelligence department; hi/people titles her 'Partner Group Leader'. Institute's own news item: partner group established 'between MPI-IS in Stuttgart and the University of Tennessee Knoxville' -- an institute-recognized named junior-group programme, counted as own_funding. Primary appointment is Assistant Professor of ECE, UTK (joined Jan 2025); her profile page lists no PhD students yet for the young STARI lab and no additional grant details beyond the Partner Group designation itself."
Shiwei Liu,de-mpi-is-tue,yes,"Leads one of MPI-IS's 18 named independent research groups (WEI)",https://is.mpg.de/wei,unknown,unknown,https://is.mpg.de/wei,2026-08-06,high,"One of 18 independent research groups named on is.mpg.de/research (see mpi-groups/units.csv). Own group page and is.mpg.de/wei/people both list only Liu himself as of retrieval; no PhD students or named grant/fellowship found on the group's own pages."
Laurent Bindschaedler,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://www.mpi-sws.org/people/bindsch/,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"MPI-SWS's own 'Structure and Organization' text: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates... have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' The institute has no departments or named sub-teams -- every Faculty/Research Group Leader person IS the unit (see mpi-groups/units.csv, which already covers this reasoning institute-wide). His own profile page is minimal and lists no PhD students or named grant."
