institute,campus,unit_name,unit_kind,leader_name,leader_title_verbatim,evidence_url,retrieved,confidence,notes
MPI for Intelligent Systems,Tübingen,Empirical Inference,department,Bernhard Schölkopf,Director,https://is.mpg.de/ei,2026-08-06,high,"Institute's own is.mpg.de/research page: 'Research at our institute is organized into six departments and numerous independent research groups', lists Empirical Inference among the six departments with Schölkopf as director. Campus via department admin contact email domain (sekretariat-schoelkopf@tuebingen.mpg.de); department page itself only shows the institute's two generic addresses. ei/people also titles Dieter Büchler 'Research Group Leader' within this department -- he is NOT one of the institute's 18 named independent research groups on /research, and the department page states no named internal sub-groups exist, so his unit is this department, led by Schölkopf, not by him."
MPI for Intelligent Systems,Stuttgart,Haptic Intelligence,department,Katherine J. Kuchenbecker,Director,https://is.mpg.de/hi,2026-08-06,high,"One of the institute's six departments per is.mpg.de/research. Director's own page gives office 5P5, Heisenbergstr. 3, 70569 Stuttgart, confirming Stuttgart campus. hi/people also lists Rachael Bevill Burns as 'Partner Group Leader' of a Max Planck Partner Group affiliated with this department (recorded as its own independent_group row below)."
MPI for Intelligent Systems,Tübingen,Perceiving Systems,department,Michael Black,Emeritus / Acting Director,https://is.mpg.de/ps,2026-08-06,high,"One of the institute's six departments per is.mpg.de/research. Own page gives office N3.019, 72076 Tübingen. ps/people also lists Justus Thies as 'Max Planck Research Group Leader' of a unit named 'Neural Capture and Synthesis' -- but the institute's own is.mpg.de/former-groups page separately lists 'Neural Capture and Synthesis - Justus Thies' as a FORMER research group, and it is absent from the current 18-group independent list on /research; recorded separately below as unclear given this direct conflict between two of the institute's own pages."
MPI for Intelligent Systems,Stuttgart,Physical Intelligence,department,Christoph Keplinger,Director,https://is.mpg.de/pi,2026-08-06,high,"One of the institute's six departments per is.mpg.de/research; is.mpg.de/research's own text notes the directorship was vacant after Metin Sitti departed in 2023, but pi/people (fetched fresh) now shows Christoph Keplinger as current Director. Stuttgart campus per Keplinger's own page, which states he is also 'Managing Director of the MPI-IS Stuttgart' since 2023."
MPI for Intelligent Systems,Stuttgart,Robotic Materials,department,Christoph Keplinger,Director,https://is.mpg.de/rm,2026-08-06,high,One of the institute's six departments per is.mpg.de/research. Stuttgart campus per Keplinger's own page ('Managing Director of the MPI-IS Stuttgart'). rm/people shows no 'Research Group Leader' titles among its personnel -- this department has no named internal subteams.
MPI for Intelligent Systems,Tübingen,Social Foundations of Computation,department,Moritz Hardt,Managing Director,https://is.mpg.de/sf,2026-08-06,high,"One of the institute's six departments per is.mpg.de/research. Tübingen campus per prior adjudication (data/adjudication_rulings_tuebingen.csv: 'Managing Director at MPI-IS Tübingen campus, Max-Planck-Ring 4') and the office of a Tübingen-based PI in the same building cluster (Mendler-Dünner, N1.021, Max-Planck-Ring 4). sf/people lists FOUR people titled 'Research Group Leader' inside this department -- Dingfan Chen, Yatong Chen, Nastaran Okati, Ana-Andreea Stoica -- none of whom appear among the institute's 18 named independent research groups on /research; the department's own page states no named internal sub-groups exist, so these four report to Hardt within this department rather than leading independent units. This is the exact ambiguity the task describes: their bare 'Research Group Leader' title does not make them independent."
MPI for Intelligent Systems,Tübingen,Algorithms and Society,independent_group,Celestine Mendler-Dünner,PI,https://is.mpg.de/as,2026-08-06,high,"One of 18 independent research groups explicitly named on is.mpg.de/research ('numerous independent research groups', listed by name). Own page gives office N1.021, Max-Planck-Ring 4, 72076 Tübingen; email cmendler@tuebingen.mpg.de confirms Tübingen campus."
MPI for Intelligent Systems,unclear,AI Safety and Alignment,independent_group,Maksym Andriushchenko,Research Group Leader,https://is.mpg.de/aisa,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Group and person pages give only the institute's two generic addresses; no office-specific code found this pass, so campus is not established from institute pages."
MPI for Intelligent Systems,Stuttgart,Biomimetic Materials and Machines,independent_group,Florian Hartmann,Max Planck Research Group Leader,https://is.mpg.de/bmm,2026-08-06,high,"One of 18 independent research groups named on is.mpg.de/research. Own page gives office 4E09, Heisenbergstr. 3, 70569 Stuttgart."
MPI for Intelligent Systems,unclear,Computational Applied Mathematics & AI Lab,independent_group,T. Konstantin Rusch,Research Group Leader,https://is.mpg.de/camail,2026-08-06,medium,One of 18 independent research groups named on is.mpg.de/research. Own page gives only the institute's two generic addresses; campus not established from institute pages.
MPI for Intelligent Systems,unclear,Cooperative Machine Intelligence for People-Aligned Safe Systems,independent_group,Sahar Abdelnabi,Research Group Leader,https://is.mpg.de/compass,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Own page gives only the institute's two generic addresses; campus not established from is.mpg.de pages themselves (an external ELLIS Institute Tübingen page names her as based there, but that is a different organisation's own page, not this institute's)."
