name,in_city,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Sebastian Lapuschkin,yes,no,"Head of the Explainable AI Group, Department of Artificial Intelligence",Fraunhofer Heinrich Hertz Institute (HHI),Berlin,,https://iphome.hhi.de/lapuschkin/,2026-08-06,medium,"Group leader inside HHI's AI Department, not the department head; no current university professorship found (his TU Berlin PhD, 2018, is historical only). Fraunhofer HHI is a genuine Berlin research institute not among the six collected rosters -- a coverage gap worth flagging -- but that alone doesn't clear the independence bar."
David Schlangen,no,yes,"Professor, ""Foundations of Computational Linguistics""",University of Potsdam,"Potsdam, Germany",https://www.ling.uni-potsdam.de/~das/; https://pub.orcid.org/v3.0/0000-0002-2686-6887/employments,2026-08-06,high,"ORCID's employment record shows exactly one entry -- Professor, University of Potsdam, since 1 Apr 2019, no end date -- and no DFKI employment was ever recorded. DFKI Berlin's professors overview page lists him under Berlin, but that page reads as a cross-institutional networking directory rather than evidence of a substantive Berlin post. Potsdam is a different city from Berlin in this project's geography."
Robert A. Vandermeulen,no,no,none found (Google Scholar shows self-listed ""Independent Researcher""),unaffiliated -- no current institutional post found,,https://ravdm.github.io/; https://pub.orcid.org/v3.0/0000-0001-6863-7006/employments,2026-08-06,medium,"ORCID confirms his TU Berlin postdoc (Institute of Software Engineering & Theoretical CS / BIFOLD) ran Feb 2020-30 Jun 2024 and has ended; DBLP's TU Berlin affiliation is stale. Still publishes with former TU Berlin colleagues and appears to remain personally Berlin-based, but holds no institutional appointment there or anywhere, so he doesn't qualify regardless of city."
Julia Stoyanovich,no,yes,"Institute Associate Professor of Computer Science and Engineering; Associate Professor of Data Science; Director, Center for Responsible AI","New York University, Tandon School of Engineering / Center for Data Science","New York, USA",https://engineering.nyu.edu/faculty/julia-stoyanovich; https://www.bifold.berlin/people/julia-stoyanovich.html,2026-08-06,high,"BIFOLD's own roster lists her only as ""Prof., Fellow"" with primary_affiliation NYU Tandon. Per this project's rule, BIFOLD is a virtual centre, not an employer -- Fellow status alone doesn't establish a Berlin position, and no other Berlin appointment was found. Her sole substantive post is NYU, matching DBLP."
Alexander Keller 0001,yes,no,"Senior Director of Research (NVIDIA's own bio states he ""previously served"" as full professor at Ulm University)","NVIDIA Corporation, Berlin, Germany",,https://research.nvidia.com/person/alex-keller,2026-08-06,high,"NVIDIA's own biography explicitly frames the Ulm University professorship in the past tense; no current academic title (honorary or otherwise) was found. His only current post is industry (NVIDIA Berlin), which excludes him under the project's rules regardless of city."
Cheng Wang 0002,yes,no,Senior Applied Scientist,"Amazon, Berlin, Germany",,https://ieeexplore.ieee.org/author/37088461883; https://deepsemantic.github.io/,2026-08-06,high,"His PhD (Hasso-Plattner-Institute/Univ. of Potsdam, 2017) is a past credential; NEC Laboratories Europe (Heidelberg, per DBLP) was a prior job superseded by the current Amazon Berlin post. No current university appointment found; industry-only post excludes him."
Ronny Hänsch,no,no,"Post-doctoral researcher and Lead of the ""Machine Learning"" team, Department SAR Technology","German Aerospace Center (DLR), Microwaves and Radar Institute","Oberpfaffenhofen (Munich area), Germany",http://www.rhaensch.de/,2026-08-06,medium,"He is absent from TU Berlin's current RSiM group roster (the group's 2007-2018-era successor, now led by Begüm Demir). His own site places him at DLR's SAR Technology department near Munich, not Berlin. DBLP's TU Berlin tag is stale. Postdoc title (despite a team-lead role) doesn't clear the independence bar in any case."
Matthias W. Seeger,yes,no,Principal Applied Scientist (Machine Learning),"Amazon Development Center Germany, Berlin",,https://scholar.google.com (profile); https://de.linkedin.com/in/matthias-seeger-3010b765,2026-08-06,medium,"EPFL (per DBLP) reads as a prior position everywhere it's mentioned, not current. No active academic title found; industry-only post in Berlin excludes him."
Alexander Löser,yes,yes,Prof. Dr.-Ing. habil. Alexander Löser,"Berliner Hochschule für Technik (BHT), Department of Computer Science and Media -- leads the DATEXIS research group",,http://prof.bht-berlin.de/loeser/,2026-08-06,high,"COVERAGE GAP -- BHT is not among the six collected Berlin rosters. Beuth Hochschule did not merge into HTW Berlin as the task brief assumed; a planned 2020 Beuth-HTW merger fell through and Beuth was instead renamed Berliner Hochschule für Technik (BHT) in 2021. He is a full, habilitated professor there, unambiguously independent; his TU Berlin/DIMA tie (on DBLP) looks secondary or stale -- he is absent from DIMA's current team page."
Karsten Müller 0001,yes,no,"Head of the Efficient Deep Learning Group (also described elsewhere as ""Image & Video Understanding Group""), Department of Artificial Intelligence",Fraunhofer Heinrich Hertz Institute (HHI),Berlin,,https://iphome.hhi.de/mueller/index.htm,2026-08-06,medium,"Group leader inside HHI's AI Department (headed by someone else), not the department head; no current university professorship found (his TU Berlin Dipl.-Ing./Dr.-Ing. are historical). Same HHI coverage-gap caveat as Lapuschkin, but title alone doesn't clear the independence bar."
Yi Cai 0005,yes,no,"listed under ""AI Explainability, LLM"" on the group's team page, no independent title given","Freie Universität Berlin, Cybersecurity and AI group (ag-comm), led by Prof. Dr.-Ing. habil. Gerhard Wunder",,https://www.mi.fu-berlin.de/en/inf/groups/ag-comm/team-members/index.html,2026-08-06,high,"Listed as a rank-and-file member of Gerhard Wunder's group alongside other PhD students/postdocs, not a group leader -- correctly excluded. DBLP's L3S Hannover tag likely reflects a collaboration rather than a primary post."
Shuang Guo 0003,yes,no,"PhD candidate (2026 PhD thesis: ""Joint estimation of motion and appearance with an event camera"")","TU Berlin, Chair of Robotics and Perception (Prof. Guillermo Gallego's group)",,https://dblp.org/pid/31/11244-3,2026-08-06,high,"All recent (2024-2026) publications are co-authored with Guillermo Gallego, culminating in a 2026 PhD thesis at TU Berlin -- a doctoral student inside his group, not independent."
Christoph Spiegel 0002,yes,yes,"Deputy Head of the AIS2T department at ZIB since 2022; lead of the iol.COMP group",Zuse Institute Berlin (ZIB),,http://christophspiegel.berlin/; https://www.zib.de/research/mai/ais2t,2026-08-06,medium,"COVERAGE GAP -- ZIB is not among the six collected Berlin rosters. He holds real leadership (named Deputy Head plus his own group lead title), which is why this is scored independent, but he also self-describes as part of Sebastian Pokutta's IOL lab, so his autonomy is not complete -- a borderline call. No current TU Berlin employment beyond occasional guest lectures."
Vera Schmitt,yes,no,"""Senior Researcher"" per TU Berlin's own Quality and Usability Lab staff roster; self-branded ""Head of XplaiNLP Research Group"" on her personal site","TU Berlin, Quality and Usability Lab, within Prof. Sebastian Möller's chair",,https://www.tu.berlin/qu/ueber-uns/team-personen/; https://veraschmitt.github.io/,2026-08-06,medium,"Mixed signal, resolved conservatively: TU Berlin's own official roster lists her contractually as Senior Researcher under Möller's chair, matching exclusion code E15 (""senior researcher embedded in another PI's group""), even though her personal site brands a named sub-group with its own research agenda. No independent grant/funding line (e.g. Nachwuchsgruppe) could be confirmed -- worth a manual second look."
Patrick Haller 0002,yes,no,"""I am Patrick Haller, a PhD student working on Natural Language Processing and Machine Learning"" (self-description)","Humboldt-Universität zu Berlin; publication pattern indicates doctoral researcher in Alan Akbik's Language Technology Lab, Institut für Informatik",,https://hallerpatrick.github.io; https://dblp.uni-trier.de/pid/302/4394-2,2026-08-06,medium,"Self-described PhD student, correctly excluded. HU Berlin's own site sits behind bot protection so the ""Akbik lab"" attribution rests on coauthor-pattern inference rather than a direct staff-page hit."
Till Fluschnik,yes,no,"""April '24: I started working on my DFG grant (project PACS) at HU Berlin in the group of Stefan Kratsch""","Humboldt-Universität zu Berlin, Algorithm Engineering group (Prof. Stefan Kratsch)",,https://amor.cms.hu-berlin.de/~fluschnt/index.html,2026-08-06,high,"Holds his own DFG grant (PACS) but explicitly situates himself ""in the group of"" Stefan Kratsch -- a funded researcher inside someone else's group, not an independent PI. DBLP's TU Clausthal tag is stale (a postdoc post there ended Mar 2024)."
