name,in_city,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Sami Haddadin,no,yes,Professor of Robotics,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, UAE","Abu Dhabi, UAE (MBZUAI)",https://en.wikipedia.org/wiki/Sami_Haddadin; https://mbzuai.ac.ae/study/faculty/sami-haddadin/,2026-08-06,high,Formerly founding/executive director of TUM's MIRMI and Chair of Robotics and Systems Intelligence at TUM; left TUM circa Jan 2025 for MBZUAI (also VP for Research there). DBLP's TUM affiliation is stale.
Federico Tombari,secondary,no,"Director of Research (Google); PD Dr., Senior Research Scientist (TUM CAMP)","Google, Zurich, Switzerland (primary); Technical University of Munich, Chair for Computer Aided Medical Procedures & Augmented Reality (CAMP), secondary",,https://federicotombari.github.io/; https://www.cs.cit.tum.de/camp; https://dblp.org/pid/16/3539,2026-08-06,medium,"Primary job is industry (Google), which does not count toward independence. Holds a Privatdozent/senior research scientist role inside Prof. Navab's CAMP group at TUM, not his own independent group. Matches roster note of MCML-only listing."
Bjoern W. Schuller,no,yes,Professor of Artificial Intelligence (Imperial College London); Chair of Embedded Intelligence for Health Care and Wellbeing (Univ. of Augsburg),"Imperial College London, UK; University of Augsburg, Germany (dual primary appointments)","London, UK and Augsburg, Germany",https://en.wikipedia.org/wiki/Bj%C3%B6rn_Schuller; https://dblp.org/pid/54/4934,2026-08-06,high,"DBLP no longer lists any TUM affiliation. Only remaining Munich tie is co-founding audEERING GmbH, a TUM spin-off company (industry, does not count). TUM/MCML roster hits appear stale."
Zhenshan Bing,secondary,no,"Associate Professor / tenure-track (Nanjing Univ., primary); Guest Lecturer and external research staff (TUM, secondary)","Nanjing University, School of Intelligence Science and Technology, China (primary); Technical University of Munich, Chair of Robotics, AI and Real-time Systems, secondary/guest","Nanjing, China (Nanjing University), primary",https://njusz.nju.edu.cn/a7/07/c52366a763655/page.htm; https://www.ce.cit.tum.de/en/air/people/,2026-08-06,medium,"Primary post moved to Nanjing University (PhD from TUM, 2019). Still listed as Guest Lecturer/external research staff on TUM chair's people page."
Rudolph Triebel,no,yes,"Full Professor, Computer Science (KIT); Department Leader, Perception and Cognition (DLR Institute of Robotics and Mechatronics)","Karlsruhe Institute of Technology (KIT), Germany (professor); German Aerospace Center (DLR), Oberpfaffenhofen, Germany (department head)","Karlsruhe, Germany (KIT)",https://cvg.cit.tum.de/members; https://www.dlr.de/en/rm/about-us/departments/perception-and-cognition,2026-08-06,medium,"TUM Computer Vision Group lists him as alumni (postdoctoral researcher 04/2013-06/2023), confirming departure. DLR Oberpfaffenhofen (~30km from Munich) is not one of the project's four designated Munich institutions, so even the DLR role would not count as Munich."
Suvrit Sra,yes,yes,Professor of Resource Aware Machine Learning,"Technical University of Munich (TUM), TUM School of Computation, Information and Technology",,https://www.professoren.tum.de/en/sra-suvrit,2026-08-06,high,Moved from MIT to TUM as a professor. DBLP's MIT affiliation is stale; the TUM+MCML roster hits are correct and current.
Bastian Rieck,secondary,yes,"Full Professor of Machine Learning (Fribourg, primary); secondary appointment, Institute of AI for Health (Helmholtz Munich)","University of Fribourg, Switzerland (primary, leads AIDOS Lab); Helmholtz Munich, Institute of AI for Health, Neuherberg, Germany (secondary)","Fribourg, Switzerland (primary); retains secondary Helmholtz Munich appointment",https://bastian.rieck.me,2026-08-06,high,DBLP's University of Fribourg reflects his current primary post; the Helmholtz Munich roster hit reflects a genuine ongoing secondary appointment tied to his own lab.
Yan Xia 0003,yes,no,Postdoctoral Researcher,"Technical University of Munich, Computer Vision Group (CVG), School of Computation, Information and Technology",,https://cvg.cit.tum.de/members; https://scholar.google.com/citations?user=xkBn4mMAAAAJ&hl=en,2026-08-06,medium,"TUM CVG page lists him as a current postdoctoral researcher (PhD from TUM, 2023). Google Scholar affiliation string reads USTC | TUM | VGG Oxford; could not confirm if a professor-track title elsewhere is now primary, so used the directly-confirmed current TUM postdoc role."
Matthias Mueller 0011,no,no,Lead of Robotics Research (Senior Researcher),"Apple, Sunnyvale, California, USA","Sunnyvale, California, USA (Apple)",https://matthias.pw,2026-08-06,high,Left Intel Labs' Intelligent/Embodied AI Lab (Munich) in 2023 for Apple. No academic appointment found (industry-only); current location is not Munich either.
Yuning Cui 0001,yes,no,(unconfirmed; likely doctoral/postdoctoral researcher),"Technical University of Munich, Germany (specific chair unconfirmed)",,https://dblp.org/search/author/api?q=Yuning%20Cui&format=json,2026-08-06,low,"Could not locate a personal homepage or TUM chair listing confirming exact role; not found on TUM's Computer Vision Group page or any institution directory. Co-affiliation with National University of Defense Technology (China) on DBLP suggests a joint PhD/postdoc rather than an independent PI, but this is inferred from pattern, not directly confirmed. Low confidence per contract rather than a missing row."
Fan Wu 0015,no,yes,Associate Professor,"Shanghai University, China","Shanghai, China (Shanghai University)",https://html.duckduckgo.com/html/?q=%22Fan+Wu%22+TUM+School+of+Computation+Information+Technology+PhD,2026-08-06,medium,"Formerly postdoc at TUM's Munich Institute of Robotics and Machine Intelligence (MIRMI) and Chair of Robotics and Systems Intelligence (RSI) under Prof. Sami Haddadin; per his own website, joined Shanghai University as associate professor in September 2025. PhD from King's College London, not TUM."
Slobodan Ilic,yes,no,Senior Key Expert Research Scientist (Siemens); Affiliated Scientist (TUM CAMP),"Siemens Technology, Munich, Germany (primary); Technical University of Munich, CAMP (affiliated)",,https://www.cs.cit.tum.de/camp/members/,2026-08-06,medium,"Primary employer is Siemens (industry), Munich-based, since 2014. TUM CAMP page lists him only under Affiliated Scientists, not core/independent faculty, so this does not count as an independent Munich post though he remains physically in Munich."
Andreas Triantafyllopoulos,yes,no,Postdoctoral Researcher,"Technical University of Munich, Chair of Health Informatics (TUM University Hospital / TUM School of Medicine and Health)",,https://html.duckduckgo.com/html/?q=%22Andreas+Triantafyllopoulos%22+TUM+OR+Augsburg+postdoc+OR+PhD,2026-08-06,medium,"Postdoctoral researcher since December 2023; PhD completed at University of Augsburg (2018-2022), not TUM. Working inside a chair, not independent."
Patrick van der Smagt,no,no,Head of AI & Engineering,"Foundation Robotics, San Francisco, California, USA","San Francisco, USA (Foundation Robotics)",https://dblp.org/pid/24/6573; https://html.duckduckgo.com/html/?q=%22van+der+Smagt%22+%22Foundation%22+robotics+2025,2026-08-06,medium,"Current primary role is industry (Foundation Robotics, San Francisco). Formerly TUM professor and LMU Graduate School of Systemic Neurosciences faculty, and headed AI Research at Volkswagen Group; DBLP's German Aerospace Center (DLR) entry is also stale. No current Munich academic post found; csrankings roster hits (x2) appear to reflect historical TUM/LMU listings."
Yihong Liu 0001,yes,no,Postdoc Researcher,"LMU Munich, Centre for Information and Language Processing (CIS); also Munich Center for Machine Learning",,https://yihongl1u.github.io/,2026-08-06,medium,"Completed PhD at LMU (started Sept 2022); now a postdoctoral researcher at CIS. MCML listing on DBLP reflects the virtual centre, not a separate employer."
Ziyue Li 0002,no,yes,W2 Professor for Transportation Analytics (Heilbronn Data Science Center),"Technical University of Munich, Department of Operations and Technology / Heilbronn Data Science Center, Heilbronn, Germany","Heilbronn, Germany (TUM Campus Heilbronn)",https://www.professoren.tum.de/en/li-ziyue; https://html.duckduckgo.com/html/?q=%22Ziyue+Li%22+TUM+Heilbronn+professor+homepage,2026-08-06,medium,"Formal employer is TUM but the chair is physically based at TUM's Heilbronn campus (~120km from Munich, per project rule a different city), started 2025-08-01. Previously junior professor at University of Cologne 2022-2025. DBLP's plain 'Technical University of Munich' obscures the campus distinction, which is exactly why this case needed adjudication."
Marcel Binz,yes,yes,"Staff Scientist and Deputy Head, Institute for Human-Centered AI",Helmholtz Munich,,https://marcelbinz.github.io/,2026-08-06,high,"Deputy head of the institute constitutes an independent leadership role, not a position inside someone else's group."
Rene Ranftl,no,no,Research Engineering Director (per third-party listings; no self-authored title page found),Epic Games (industry),Unclear exact city (Epic Games is a US company); Intel Labs Munich bio page now 404s,https://scholar.google.com/citations?user=cwKg158AAAAJ; https://theorg.com/org/epic-games/org-chart/rene-ranftl,2026-08-06,medium,"DBLP's 'Intel Laboratory, Munich' is stale; Intel's own bio page for him now returns 404. Google Scholar lists a verified epicgames.com email. No current academic appointment found; industry-only excludes independence, and he no longer appears to be Munich-based."
Stefan Andreas Baumann,yes,no,PhD Student,"LMU Munich, Computer Vision & Learning Group (CompVis), Chair of Prof. Bjoern Ommer",,https://ommer-lab.com/people/; https://dblp.org/pid/367/3849,2026-08-06,high,CompVis/Ommer-Lab page explicitly lists him as PhD Student with office/phone; active 2026 preprints under Ommer's group confirm currency.
Yu Zhang 0182,secondary,no,"Zhang, Yu; M.Eng. — Research Staff (external)","Technical University of Munich, Chair of Robotics, AI and Real-Time Systems (Prof. Alois Knoll), Garching",,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/50/671-182.html,2026-08-06,medium,"Listed under 'Research Staff (external),' not the core Research Assistants category, on Knoll's chair roster, suggesting a joint/visiting arrangement with a primary post elsewhere that could not be confirmed."
Kejia Chen 0005,yes,no,"Chen, Kejia; M.Sc. — Research Assistant","Technical University of Munich, Chair of Robotics, Artificial Intelligence and Real-Time Systems (Prof. Alois Knoll), Munich",,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/16/6178-5.html,2026-08-06,high,Confirmed on official TUM chair roster as Research Assistant (standard PhD-student designation in the German system) under Prof. Knoll; not independent.
Hao Yu 0010,no,no,(stale) PhD candidate per own homepage; DBLP shows completed 2023 dissertation,"Formerly Technical University of Munich, Chair for Computer Aided Medical Procedures & Augmented Reality (CAMP); current employer unverified","Unclear — not on current TUM CAMP roster; last co-affiliation National University of Defense Technology, Changsha, China",https://haoyu94.github.io; https://www.cs.cit.tum.de/en/camp/members/; https://dblp.org/pid/64/4832-10.html,2026-08-06,low,"DBLP's TUM affiliation reflects his PhD period (completed 2023); homepage is stale (still says 'PhD candidate', last publications 2023); does not appear on TUM CAMP's current member list. Could not verify current position."
Yuhong Huang,yes,no,"Huang, Yuhong; M.Eng. — Research Assistant / Research Staff (external)","Technical University of Munich, Chair of Robotics, Artificial Intelligence and Real-Time Systems (Prof. Alois Knoll)",,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/173/3434,2026-08-06,high,Confirmed on TUM chair roster with tum.de email; current M.Eng.-level research assistant under Knoll; not independent.
Ruilong Zhang 0001,no,yes,Assistant Professor,"City University of Hong Kong (Dongguan), Department of Computer Science","Dongguan, China (City University of Hong Kong, Dongguan)",https://ruilong-zhang.github.io/,2026-08-06,high,"DBLP's 'TUM Department of Mathematics' affiliation is outdated; his own homepage states he is now Assistant Professor at CityU (Dongguan). Field is optimization/algorithmic game theory, borderline core-AI but resolved per queue instructions; no longer in Munich."
Junwen Huang 0001,yes,no,"Ph.D. Candidate, Chair for Computer Aided Medical Procedures (Prof. Navab)","Technical University of Munich (TUM), CAMP, Garching/Munich",,https://www.cs.cit.tum.de/en/camp/members/junwen-huang/,2026-08-06,high,"MCML tag on DBLP is the virtual centre, not his employer; real home is TUM CAMP under Prof. Navab (co-advised by Prof. Busam and PD Dr. Ilic). PhD student in someone else's group."
Tim C. Lueth,yes,yes,"Professor, Chair of Micro Technology and Medical Device Technology (MIMED)","Technical University of Munich (TUM), TUM School of Engineering and Design, MIMED, Garching campus",,https://www.professoren.tum.de/lueth-tim-c/; https://www.mec.ed.tum.de/en/mimed/structure/team-members/tim-c-lueth/,2026-08-06,high,Active chair holder since 2005; no emeritus indication on the central TUM professor directory or the MIMED chair page; former Dean/Vice-Dean of Mechanical Engineering.
Nikolaus Demmel,yes,no,"Machine Learning Engineer (Apple); formerly PhD Student, Computer Vision Group, TUM (until 06/2022)","Apple, Munich office",,https://cvg.cit.tum.de/members/demmeln; https://cvg.cit.tum.de/members,2026-08-06,high,TUM CVG's own alumni table lists him as PhD student 'until 06/2022 ... went on to ... Apple.' Now an industry ML engineer at Apple's Munich office; industry-only excludes independence but he remains physically Munich-based.
Rui Song 0007,no,no,"Postdoctoral Researcher / Research Fellow, UCLA Mobility Lab","University of California, Los Angeles (UCLA), Mobility Lab","Los Angeles, USA (UCLA Mobility Lab)",https://cv4dt.github.io/author/dr-rui-song/,2026-08-06,high,"Defended PhD summa cum laude at TUM Chair of Robotics, AI and Real-Time Systems in 2025; now a postdoc under Prof. Jiaqi Ma at UCLA. DBLP's Munich entry is stale."
Sebastian Schmidt 0006,yes,no,"Senior Research Associate (DAML group, TUM) and Scientist/Engineer, autonomous driving (BMW Group)","Technical University of Munich, Data Analytics and Machine Learning (DAML) group; and BMW Group, Munich",,https://www.basti-schmidt.eu/; https://www.cs.cit.tum.de/en/daml/team/schmidt/,2026-08-06,medium,"Dual TUM/BMW role, both Munich-based. Works inside Prof. Stephan Guennemann's DAML group, not his own PI line — not independent."
Steffen Schneider 0001,yes,yes,"Helmholtz AI Group Leader / Principal Investigator, Head of the Dynamical Inference Lab","Helmholtz Munich, Institute of Computational Biology, Neuherberg",,https://www.helmholtz-munich.de/en/newsroom/news-all/artikel/dr-steffen-schneider-named-early-career-scientist-of-the-year-2024; https://dynamical-inference.ai,2026-08-06,high,Named Helmholtz Munich 'Early Career Scientist of the Year 2024' and explicitly titled Principal Investigator / head of his own lab. DBLP's University of Tuebingen affiliation is stale (earlier career stage); Helmholtz Munich/MCML roster hits are correct and current.
Simon Weber 0002,no,no,"Research Associate, PIXL lab","University of Oxford, PIXL lab (Ronald Clark)","Oxford, UK (University of Oxford)",https://cvg.cit.tum.de/members/webersi,2026-08-06,high,"His own TUM CVG alumni page states: 'Until November 2025, I was a PhD candidate at TUM' and 'I am now a research associate at the University of Oxford, in Ronald Clark's PIXL lab.' DBLP's Munich listing is now outdated."
Long Wen 0003,yes,no,M.Sc. (doctoral researcher),"Technical University of Munich, Chair of Robotics, Artificial Intelligence and Real-Time Systems (Prof. Alois Knoll), Garching",,https://www.ce.cit.tum.de/en/air/people/long-wen-msc/,2026-08-06,high,"Still titled M.Sc. on TUM's own chair page (has not completed a doctorate), working under Prof. Knoll — a PhD student inside someone else's chair."
Yanyan Li 0001,no,yes,Assistant Professor,"Hong Kong University of Science and Technology (Guangzhou), Embodied Spatial AI Lab (EmSAIL Group)","Guangzhou, China (HKUST(GZ))",https://yanyan-li.github.io/; https://yanyan-li.github.io/about_me,2026-08-06,high,Now also publishes as 'Yan Li'; her own homepage states she obtained her PhD at TUM and has since become an independent PI at HKUST(GZ); no longer in Munich.
Gerhard Rigoll,yes,no,Professor emeritus,"TUM School of Computation, Information and Technology, Chair of Human-Machine Communication, Munich",,https://www.professoren.tum.de/en/rigoll-gerhard/; https://www.ce.cit.tum.de/en/mmk/home/,2026-08-06,high,"TUM's own faculty directory explicitly lists him as Professor emeritus; chair is now led on an interim basis by Prof. Werner Hemmert. Correctly excluded despite being geographically in Munich, since emeritus is an exclusion category."
Michael Schmitt 0003,yes,yes,Univ.-Prof. Dr.-Ing. habil.; Professur fuer Erdbeobachtung (Professor for Earth Observation),"Universitaet der Bundeswehr Muenchen, Institut fuer Raumfahrttechnik und Weltraumnutzung, Neubiberg",,https://www.unibw.de/lrt9/lrt-9.3,2026-08-06,high,Full professor (chair holder) since September 2021; clearly independent.
Kun Yuan 0004,secondary,no,Ph.D. student (co-supervised),"Technical University of Munich, Chair for Computer Aided Medical Procedures (CAMP, Prof. Navab); jointly Universite de Strasbourg / ICube / CNRS / INSERM (CAMMA lab, Prof. Padoy)",,https://www.cs.cit.tum.de/camp/members/; https://dblp.org/pid/74/4607-4.html,2026-08-06,high,"Joint PhD student (joined Nov 2023), listed only as 'Affiliated Scientist' on TUM CAMP's member page; primary base appears split between Strasbourg and Munich. Excluded as a PhD student regardless."
Bjoern M. Eskofier,yes,yes,"Prof. Dr., Core PI; Director of the Institute for Artificial Intelligence in Medicine; Lead of the Chair of AI-Supported Therapy Decisions","LMU University Hospital Munich / LMU Munich (Institute for AI in Medicine); jointly Helmholtz Munich (Group Leader, Translational Digital Health, since 04/2023)",,https://mcml.ai/research/groups/eskofier/; https://www.en.ibe.med.uni-muenchen.de/lehrstuehle/ai-supported-therapy-decisions/lead/index.html,2026-08-06,medium,"MCML's own bio states he was 'Before joining LMU in 2025... Chair of Machine Learning and Data Analytics at FAU Erlangen-Nuernberg' (past tense); LMU/IBE news (Oct 2025) confirms he took up the Chair of AI-Supported Therapy Decisions. DBLP's Erlangen-Nuremberg entry is outdated, though FAU's own lab page has not been updated to remove him, hence medium rather than high confidence."
