name,in_city,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Felix Krahmer,yes,yes,"Associate Professor for Optimization and Data Analysis","Technical University of Munich (TUM), TUM School of Computation, Information and Technology, Department of Mathematics, Data Science research group",,https://www.math.cit.tum.de/en/math/people/professors/krahmer-felix/,2026-08-06,high,"Confirmed on official TUM Dept. of Mathematics faculty page: Associate Professor for Optimization and Data Analysis since 2021 (converted from DFG Emmy Noether Junior Research Group / tenure-track, 2014-2021). Leads own 'Data Science' research group; prior independent funding (Emmy Noether, DFG SPP1798, DFG CRC TR-109, German-Israeli Foundation grant). Clearly independent PI. TUM Mathematics is on the Garching/city Munich campus, so in_city=yes."
Xiao Xu 0001,yes,no,"Senior Researcher (Dr.-Ing.)","Technical University of Munich, Chair of Media Technology (LMT), TUM School of Computation, Information and Technology (chair held by Prof. Eckehard Steinbach)",,https://www.ce.cit.tum.de/en/lmt/team/,2026-08-06,high,"Disambiguated via dblp.org pid 64/4216-1 (ORCID 0000-0002-4375-3884), affiliation 'Technical University of Munich, Chair of Media Technology, Germany'; paper topics (haptics/teleoperation, visual-inertial odometry, depth estimation) match this person, ruling out other Xiao Xu profiles (0002 Edinburgh, 0003/0004 China). PhD (TUM) 2017, joined LMT as staff in 2011, currently listed on official LMT team page as Senior Researcher under chair holder Prof. Eckehard Steinbach; no own lab page, own funding, or own PhD students found, so not independent (staff scientist inside someone else's chair)."
Xinpeng Wang 0003,no,no,"NYU Center for Data Science Faculty Fellow (incoming Assistant Professor)","NYU Center for Data Science","New York City, USA",https://xinpeng-wang.github.io/,2026-08-06,high,"DBLP 0003 profile confirmed as the LMU Munich match (topics: refusal-direction ablation, LLM safety, opinion/attitude evaluation in LLMs). MaiNLP lab page (LMU CIS, Barbara Plank's group) lists him under 'alumni': PhD student 2022-2026, now NYU CDS Faculty Fellow. His own homepage corroborates final-year PhD at LMU / incoming Faculty Fellow at NYU CDS. Faculty Fellow is a pre-tenure-track fellowship, not yet a fully independent PI post, but he has left Munich."
Ziyuan Liu 0003,no,no,"Not established (DBLP lists affiliation only, no title found)","Huawei Munich Research Center (industry - not an academic Munich institution)",,https://dblp.uni-trier.de/pid/43/10164-3,2026-08-06,medium,"DBLP 0003 profile confirms affiliation = Huawei Munich Research Center, Germany (ORCID 0000-0002-7735-3141), an industry employer per project rules, excluded regardless of physical presence in the city. Checked TUM directory, LMU pages, Google Scholar, Semantic Scholar, OpenReview for any secondary/joint independent academic post at TUM/LMU/Helmholtz -- found none. WebSearch budget was exhausted and several engines returned CAPTCHA/login walls, so this could not be exhaustively ruled out."
Shuo Chen 0014,yes,no,"Ph.D. Candidate (LMU Munich / Siemens)","LMU Munich, Chair of Volker Tresp (TRESP Lab); MCML/relAI affiliated; joint Doctoral Researcher role at Siemens Research",,http://schen.app/,2026-08-06,high,"DBLP 0014 confirmed match (ORCID 0000-0001-7305-3793, LMU Munich, ML/safety-alignment topics). Personal site schen.app: 'Ph.D. Candidate - LMU Munich / Siemens', enrolled since 2023 in Tresp's group, no own lab/funding found -- not an independent PI."
Ganlin Zhang 0001,yes,no,"PhD student in Computer Vision (PhD ongoing)","Technical University of Munich, Computer Vision Group, Chair of Prof. Daniel Cremers",,https://ganlinzhang.xyz,2026-08-06,high,"DBLP 0001 confirmed match (ORCID 0009-0001-6089-8225, TUM, SLAM/3D-vision topics). Personal homepage states 'PhD student in Computer Vision at TU Munich' under advisor Daniel Cremers; currently on a temporary Summer 2026 research internship at Google Zurich (not a permanent move) -- not an independent PI."
Zheyu Zhang 0007,yes,no,"2nd-year PhD student (per personal homepage; DBLP/ORCID list no title, only affiliation)","Technical University of Munich (TUM), Chair for Responsible Data Science (group of Prof. Gjergji Kasneci), Munich, Germany",,https://oooranz.github.io/,2026-08-06,high,"Confirmed via dblp.org disambiguation page as 'Zheyu Zhang 0007' (pid/172/0655-7, ORCID 0009-0004-6491-8037), the only one of 8 same-name DBLP entries affiliated with TUM; NLP/LLM papers (ACL, EMNLP) match. Personal site confirms 2nd-year PhD student, started Dec 2024, advisor Prof. Gjergji Kasneci; also listed as junior member of MCML (virtual centre, not the employer). No evidence of independent funding/own group -- not an independent PI."
Xin Jing 0001,yes,no,"Not stated on any public profile found (no professorial/independent-PI title located)","Technical University of Munich (TUM), Chair of Health Informatics (Prof. Björn Schuller), Munich, Germany -- secondary/legacy tie to University of Augsburg, Chair of Embedded Intelligence for Health Care and Wellbeing (EIHW)",,https://orcid.org/0000-0002-8803-9414,2026-08-06,medium,"Confirmed via dblp.org disambiguation page as 'Xin Jing 0001' (pid/03/11308-1, ORCID 0000-0002-8803-9414), the only one of 12 same-name DBLP entries with TUM Chair of Health Informatics; affective-computing/speech-emotion papers match. DBLP lists dual affiliation (TUM + Univ. Augsburg EIHW, Schuller's former chair). ORCID and Google Scholar (verified tum.de email) show only TUM with no end date, so TUM is current/primary, Augsburg secondary. Could not locate a chair team page confirming exact rank (PhD student vs. postdoc); no evidence of own lab/funding found, so treated as non-independent."
Felix Krause 0002,yes,no,"PhD Student","Ludwig-Maximilians-Universität München (LMU Munich), Computer Vision & Learning Group (Chair of Prof. Björn Ommer)",,https://ommer-lab.com/people/,2026-08-06,high,"DBLP pid 134/6471-2 confirmed as correct disambiguation (LMU Munich, formerly JKU Linz); 2025-2026 papers on diffusion models/generative AI (CVPR, ICCV, NeurIPS) match Ommer Lab's CompVis research focus. Official lab team page lists him as PhD Student, no own lab page/funding/students found, so not independent."
Yi Wang 0072,yes,no,"Not stated on institutional roster; publication record indicates active PhD/postdoc researcher (exact title unconfirmed)","Technical University of Munich (TUM), Chair of Data Science in Earth Observation (Prof. Xiao Xiang Zhu) / MCML; secondary DLR Remote Sensing Technology Institute (IMF), Wessling",,https://arxiv.org/abs/2602.12177,2026-08-06,medium,"Confirmed correct DBLP profile (pid 17/221-72, EO/remote-sensing foundation-model papers: Panopticon, Copernicus-FM, GeoLangBind, SpectralEarth, EO-VAE) matching TUM Data Science in Earth Observation + DLR affiliation and topics; a Feb/Mar 2026 arXiv footnote still lists 'TUM, MCML, Munich' for him. Not independent: co-author (not senior author) under group head Xiao Xiang Zhu on every recent paper, no own lab page found. Note: this exact name is absent from the chair's official team roster, which instead lists a distinct 'Dr. Yi Wang, Doctoral Researcher/PostDoc -> now Alibaba Damo Academy' as alumnus -- likely a different same-name individual given continued 2026 TUM-affiliated first-author output, but roster staleness/identity overlap could not be fully resolved, hence medium confidence."
