name,in_city,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Niclas Boehmer,yes,yes,Fachgebietsleiter Algorithmic Decision Making and Society,Hasso-Plattner-Institut fuer Digital Engineering gGmbH (HPI) / Digital-Engineering-Fakultaet der Universitaet Potsdam,,https://hpi.de/forschung/fachgebiete/algorithmic-decision-making-and-society/,2026-08-06,high,"HPI chair page (Letzte Aenderung 28.05.2026) prints Funktion = 'Fachgebietsleiter Algorithmic Decision Making and Society', Raum V-1.01, phone +49 331 550-9196, mail niclas.boehmer@hpi.de. HPI's Fachgebiete list names 'Prof. Dr. Niclas Boehmer - Algorithmic Decision Making and Society'; the chair team page (hpi.de/en/boehmer/team/) titles him 'Head of Algorithmic Decision Making and Society' with his own postdoc and four PhD students. Also on the UP Digital-Engineering-Fakultaet chair list (updated 01.07.2026) - the expected HPI/UP joint appointment, not a contradiction. An HPI news item dated 16/10/2025 reports his Antrittsvorlesung and says he joined HPI as Juniorprofessor about a year and six weeks earlier (ca. Sept 2024). DBLP's Harvard note reflects his earlier Harvard postdoc and is stale. HPI spells the name Boehmer with umlaut (Boehmer)."
Markus Hecher,secondary,unclear,Leitung (Lehrstuhlvertretung) / institute list: 'Theoretische Informatik - N.N. Vertretung: Dr. Markus Hecher',"Universitaet Potsdam, Institut fuer Informatik und Computational Science, Lehrstuhl Theoretische Informatik",,https://www.uni-potsdam.de/de/thi/mitarbeiter,2026-08-06,high,"EXACT ARRANGEMENT: the chair is vacant (N.N.). The Lehrstuhl Theoretische Informatik staff page (Letzte Aktualisierung 13.04.2026) lists him under the heading 'Leitung (Lehrstuhlvertretung)', above the chair's secretary, technical staff and two wissenschaftliche Mitarbeiter; the institute research overview prints 'Theoretische Informatik - N.N. Vertretung: Dr. Markus Hecher'. DATES: his own homepage, linked from his UP staff page (https://www.dbai.tuwien.ac.at/staff/hecher/), states 'Since April 2026, I am the interim chair of theoretical computer science at the university of Potsdam' and lists under Offered Positions 'Offered Interim Chair of Theoretical Computer Science at the university of Potsdam (Germany), for the semesters summer 2026, winter 2026/2027'. So the cover runs from April 2026 through winter semester 2026/27 and was in force on 2026-08-01. PRIMARY POST ELSEWHERE: the same page says he is 'still affiliated with the French National Centre for Scientific Research (CNRS researcher)' and that 'my researcher position at CRIL (Lens, France) started in January 2025' - hence in_city=secondary. He is on the UP institute's all-staff list with a uni-potsdam.de address and Golm office Haus 70 Raum 1.27. independent=unclear is a rules question for data/titles.csv (does a Lehrstuhlvertretung of a vacant chair count?), not an evidence gap."
Haojin Yang 0001,yes,unclear,"PD Dr. habil. / listed as 'Co-supervisor' of the research team, under 'Supervisor: Prof. Dr. Christoph Meinel'","Hasso-Plattner-Institut, Fachgebiet Internet-Technologien und -Systeme (Lehrstuhl Meinel), research group Multimedia and Machine Learning",,https://hpi.de/meinel/knowledge-tech/machine-learning-ai.html,2026-08-06,medium,"The HPI chair page for the Machine Learning & AI / 'Machine Learning and Multimedia Data Analysis' research team names 'Supervisor: Prof. Dr. Christoph Meinel, Co-supervisor: PD Dr. habil. Haojin Yang' with current PhD students Jona Otholt, Weixing Wang and Hong Guo in HPI offices G2-E.31/E.32 - i.e. on the HPI campus in Potsdam-Babelsberg, so in_city=yes. An HPI news article says he 'leitet im HPI-Fachgebiet Internet-Technologien und -Systeme die Forschungsgruppe Multimedia and Machine Learning'. Currency corroborated independently: his 2026 DBLP records are co-authored with exactly those PhD students and with Meinel. INDEPENDENCE UNRESOLVED: he is not in HPI's 2026 Fachgebiete list nor the Professorium; the Fachgebiet he sits in belongs to Christoph Meinel, whom the same Fachgebiete page lists under 'Emeriti und entpflichtete Professoren'. He leads a named group with his own doctoral students but is formally the co-supervisor inside another professor's Fachgebiet and holds a PD (habilitation) title. MISSING: HPI publishes no current, dated staff page giving him a post of his own; the group page carries no last-modified date. That is the gap."
Andreas Göbel 0001,yes,no,Researcher (listed under the heading 'Postdoctoral Researchers'),"Hasso Plattner Institute, Chair for Algorithm Engineering (Prof. Dr. Tobias Friedrich)",,https://hpi.de/friedrich/people/,2026-08-06,high,"The chair's own people page states it 'lists all people currently associated with the Chair for Algorithm Engineering at the Hasso Plattner Institute' and prints 'Dr. Andreas Goebel - Researcher - Chair for Algorithm Engineering - Hasso Plattner Institute - Office: K-2.17 - Tel.: +49 331 5509-424 - Andreas.Goebel(at)hpi.de' under the section heading 'Postdoctoral Researchers'. Head of the chair is Prof. Dr. Tobias Friedrich, so he is a researcher inside somebody else's group: not independent. DBLP's HPI note is correct as to place; the Oxford and Liverpool notes are earlier posts. Confirms the queue reason - present at HPI but absent from the chair-holder roster because he is not a chair holder."
Michelle Döring,yes,no,Ph.D. Student,"Hasso Plattner Institute, Chair for Algorithm Engineering (Prof. Dr. Tobias Friedrich)",,https://hpi.de/friedrich/people/,2026-08-06,high,"Same chair people page, section 'Ph.D. Students': 'Michelle Luise Doering - Ph.D. Student - Chair for Algorithm Engineering - Hasso Plattner Institute - Office: K-2.13 - Tel.: +49 331 5509-3985 - Michelle.Doering(at)hpi.de'. In Potsdam, doctoral student, therefore not independent. DBLP 'Michelle Doering' (pid 342/9252) carries the HPI affiliation note and is the same person; a second, unaffiliated DBLP 'Michelle Doering' (pid 436/8664) exists and should not be merged with her."
Chris Dong 0001,yes,no,Postdoc,"Hasso Plattner Institute, Fachgebiet Algorithmic Decision Making and Society (Prof. Dr. Niclas Boehmer)",,https://hpi.de/en/boehmer/team/,2026-08-06,high,"The Boehmer chair team page lists him under the heading 'Postdocs': 'Chris ShuYu Dong - Postdoc - chrisshuyu.dong@hpi.de', below 'Chair: Prof. Dr. Niclas Boehmer - Head of Algorithmic Decision Making and Society'. In Potsdam, inside another chair's group, therefore not independent. DBLP 'Chris Dong 0001' carries 'Hasso Plattner Institute, Potsdam, Germany' plus 'Technical University of Munich, Department of Mathematics' (his earlier post); a distinct 'Chris Dong 0002' at the University of San Francisco exists and is a different person."
David R. Reich,yes,no,Ph.D. Students: David Reich (AEye),"Universitaet Potsdam, Institut fuer Informatik und Computational Science, Machine Learning Group",,https://www.uni-potsdam.de/en/cs-ml/staff,2026-08-06,high,"The Machine Learning Group staff page (Last changed 20.04.2026) lists him under 'Ph.D. Students' as 'David Reich (AEye)'. The group is headed by Prof. Dr. Tobias Scheffer, currently 'On sabbatical', with Dr. Silvia Makowski as 'Acting professor'; page contact block gives Universitaet Potsdam, Institut fuer Informatik und Computational Science, Haus 70, An der Bahn 2, 14476 Potsdam (Campus Golm). He also appears on the institute's all-staff list (https://www.uni-potsdam.de/de/cs/ifi/alle-mitarbeiter) as 'Reich, David - david.reich[at]uni-potsdam.de' with a Golm room. In Potsdam, doctoral student, not independent. DBLP's second note (University of Zurich, Computational Linguistics) reflects the collaboration with Lena Jaeger, listed on the same page as an alumna of the group."
Thomas Walter 0003,no,unclear,not established for this DBLP identity,"MINES ParisTech / Institut Curie, Centre for Computational Biology (CBIO), France - per the DBLP affiliation note only, not confirmed first-party",Paris,https://www.gfz.de/staff/thomas.walter/sec21,2026-08-06,medium,"HOMONYM - the publication record and the Potsdam roster entry are two different people. The person on the University of Potsdam roster is Prof. Dr. Thomas Walter of the GFZ Helmholtz-Zentrum: GFZ's own staff page names him 'Prof. Dr. Thomas Walter - Arbeitsgruppenleiter - 2.1 Erdbeben- und Vulkanphysik', Haus H 7, Helmholtzstrasse 6/7, 14467 Potsdam, and states 'Head of the volcano-tectonics and hazards workgroup at GFZ Potsdam / Permanent staff and group lead at GFZ Potsdam / Professor for Volcanology and Geohazard Remote Sensing at the University Potsdam'; his private page is trwalter.de, which matches DBLP 'Thomas R. Walter' (pid 20/10371), a separate DBLP entity from 'Thomas Walter 0003' (pid 42/5693-3). THE APPOINTMENT ASKED ABOUT: on the UP Institut fuer Geowissenschaften staff page (https://www.uni-potsdam.de/de/geo/institut/mitarbeiter, Letzte Aktualisierung 03.08.2026) he appears as 'Walter, Thomas - Prof. Dr. - GFZ - twalter@gfz-potsdam.de' under the section heading 'Gemeinsam berufene und apl. ProfessorInnen und PrivatdozentInnen an ausseruniversitaeren Forschungseinrichtungen' - i.e. a jointly-appointed/adjunct UP professorship whose substantive employer is GFZ Potsdam, where he is a permanent group leader. DBLP 'Thomas Walter 0003' is the computational-biology researcher (MINES ParisTech / Institut Curie CBIO, Paris; earlier EMBL Heidelberg) and is not in Potsdam; the 4 core papers on this row belong to him, not to the GFZ professor. Paris could not be confirmed against a dated first-party page (cbio.minesparis.psl.eu and institut-curie.org both redirected to landing pages and the session WebSearch budget was exhausted), hence confidence=medium; in_city=no is high-confidence on the GFZ evidence alone."
Bert Arnrich,yes,yes,Fachgebietsleiter Digital Health - Connected Healthcare,Hasso-Plattner-Institut fuer Digital Engineering gGmbH (HPI) / Digital-Engineering-Fakultaet der Universitaet Potsdam,,https://hpi.de/forschung/fachgebiete/digital-health-connected-healthcare/,2026-08-06,high,"HPI chair page (Letzte Aenderung 28.05.2026) prints Funktion = 'Fachgebietsleiter Digital Health - Connected Healthcare', Raum G-2.1.14, +49 331 5509-4850, bert.arnrich@hpi.de, and the page text says the Fachgebiet is 'von Prof. Dr. Bert Arnrich geleitet'. HPI's Fachgebiete list carries 'Prof. Dr. Bert Arnrich - Digital Health - Connected Healthcare'; the UP Digital-Engineering-Fakultaet chair list (updated 01.07.2026) carries the same chair - the expected HPI/UP joint appointment. DBLP's ETH Zurich note is an earlier post and is stale."
Yang Liu 0144,no,unclear,not established,not established,unknown,https://www.pik-potsdam.de/en/institute/departments/complexity-science/staff-rd4,2026-08-06,low,"UNRESOLVED, stated gap. No 'Yang Liu' appears on any of PIK's four Potsdam research-department staff listings checked on 2026-08-06 - RD1 Earth System Analysis, RD2 Climate Resilience, RD3 Transformation Pathways, RD4 Complexity Science (169 role-labelled entries between them) - nor on the PIK alumni listing (337 entries; the only near hit is 'Professor Yang Tang, PIK: 2011-2018', a different person). PIK member-page URL guesses all returned 404. So no first-party PIK page places this person in Potsdam, and per the source hierarchy the undated DBLP note cannot carry the assignment on its own. Their DBLP record is active (34 items, 27 of them 2024-2026) and is complex-networks work co-authored with Zhen Wang 0004 and with Juergen Kurths (PIK RD4), which is consistent with a past guest or visiting association at PIK rather than current employment. MISSING: any dated first-party page naming a current employer; DBLP's second note is Technical University of Berlin, Department of Computer Science, which would be Berlin, but that is a hint and not evidence, so moved_to_city is recorded as unknown rather than guessed. The session WebSearch budget was exhausted before this row could be pursued further."
