name,in_saarbruecken,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Bernt Schiele,yes,yes,Max Planck Director at MPI for Informatics and Professor at Saarland University since 2010,Max Planck Institute for Informatics; Saarland University,,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/bernt-schiele/,2026-08-06,high,"Confirmed dual appointment current as of Aug 2026 per MPI-INF's own D2 department page (""Headed by Prof. Dr. Bernt Schiele""); legitimate cross-appointment, not a data conflict."
Adish Singla,yes,yes,Faculty (tenured),"Max Planck Institute for Software Systems, Saarbrücken",,https://www.mpi-sws.org/people/adishs/,2026-08-06,high,"Official MPI-SWS directory lists physical address Room 419, Building E1 5, Saarbrücken (not Kaiserslautern). Tenured faculty = independent."
Margret Keuper,secondary,yes,"Chair for Machine Learning (Mannheim, primary); affiliated Research Leader, Robust Visual Learning group, MPI-INF (secondary, since Nov 2021)","University of Mannheim, Data and Web Science Group",Mannheim,https://www.uni-mannheim.de/dws/people/professors/prof-dr-ing-margret-keuper/; https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/margret-keuper/,2026-08-06,high,"Own Mannheim bio (verified via direct fetch): joined Mannheim Oct 2023 as Professor; ""Since Nov 2021, I am also affiliated with the Max-Planck-Institute for Informatics in Saarbrücken."" Also ELLIS Unit Saarbrücken member since 2024. Primary post is Mannheim; secondary MPI-INF tie is independent (own group)."
Franziska Boenisch,yes,yes,Tenure-Track Faculty (co-leads SprintML Lab),CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01frbo; https://cispa.de/en/boenisch-werner-von-siemens-fellow,2026-08-06,high,"Confirmed independent tenure-track faculty at CISPA; co-leads SprintML Lab with Adam Dziedzic. Named 2025 Werner-von-Siemens Fellow (honorary, doesn't change employment status)."
Janis Keuper,no,yes,"Prof. Dr.-Ing. (Director, IMLA)","Hochschule Offenburg, Institute for Machine Learning and Analytics (IMLA)",Offenburg,https://www.hs-offenburg.de/imla/,2026-08-06,medium,Confirmed current professor and IMLA director at Offenburg; no evidence of a current Saarland University appointment found -- DBLP's Saarland listing appears to be the stale/mismatched note.
Bernd Möbius,yes,yes,Seniorprof. Dr. Bernd Möbius,"Saarland University, Department of Language Science and Technology",,https://www.uni-saarland.de/fachrichtung/lst/personen/professorinnen.html; https://www.coli.uni-saarland.de/~moebius/mywww/index.html,2026-08-06,high,"Listed as active Seniorprofessor (funded continued-status role, distinct from unfunded emeritus) on current department page; leads DFG SFB 1102 subprojects C1/C4 -- actively independent."
Mingjie Li 0007,yes,no,Postdoc,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01mili,2026-08-06,high,"CISPA's own people directory lists her under ""Postdoc,"" publishing with Yang Zhang/Michael Backes. Genuine Saarbrücken position but not independent."
Mohamed A. Elgharib,no,no,"AI Specialist (formerly Group Leader, VCAI Dept, 2018-2024)",ROSEN Group,"Lingen, Germany",https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,high,"MPI-INF D6 alumni page (verified via direct fetch): ""Group Leader in VCAI Department (2018-2024), now AI Specialist at the ROSEN Group."" Left for industry; independent post ended 2024."
Krishna P. Gummadi,no,yes,"Faculty (Scientific Director), Head of Networked Systems Research Group",Max Planck Institute for Software Systems -- Kaiserslautern site,Kaiserslautern,https://www.mpi-sws.org/people/gummadi/,2026-08-06,high,"Verified via direct fetch of official MPI-SWS directory: physical/mailing address ""Room 410, Building G 26, Campus Kaiserslautern."" Not Saarbrücken. No current Saarland University appointment found."
Sukrut Rao,yes,no,PhD Student,Max Planck Institute for Informatics,,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/sukrut-rao/,2026-08-06,high,MPI-INF D2 page lists him as PhD Student in Bernt Schiele's group. Not independent.
