name,current_title_verbatim,current_institution,current_city,leads_own_group,evidence_url,retrieved,confidence,notes
Dmitry Kobak,"Professor (Dept. of Mathematics, Computer Science, and Statistics); Group leader, VIB Center for AI & Computational Biology (VIB.AI)",Ghent University / VIB Center for AI & Computational Biology (VIB.AI),"Ghent, Belgium",yes,https://kobaklab.sites.vib.be/en,2026-08-06,high,"Formerly Group Leader, Dept. of Data Science, Hertie Institute for AI in Brain Health, Univ. of Tuebingen (explains DBLP's Tuebingen affiliation; Hertie Institute is not one of the 5 scraped directories). Moved to Ghent University/VIB.AI around April 2026, confirmed via his personal homepage (dkobak.github.io, updated 2026-05-13: ""Moved to Ghent and started my lab!"") and Google Scholar. Old Hertie/Tuebingen staff page is stale but self-contradictory -- its own timeline already shows the 2026 move. Identity confirmed via DBLP topic match (t-SNE/dimensionality reduction) + Google Scholar co-author overlap with Philipp Berens (former Tuebingen PI)."
Roland S. Zimmermann,Senior Research Scientist,Google DeepMind,Unconfirmed (LinkedIn locale suggests possibly Zurich; not explicitly stated on sources checked),no,https://www.linkedin.com/in/roland-zimmermann-0a014314a/,2026-08-06,medium,"Identity confirmed via DBLP pid 227/2603 (""Roland S. Zimmermann"", distinct from an unrelated ""Roland Zimmermann 0001"" in Nuremberg) cross-referenced with Google Scholar (co-authors Wieland Brendel, Matthias Bethge, David Klindt) -- matches his PhD in the Robust Machine Learning group at Univ. Tuebingen/MPI-IS. Confirmed NOT on ELLIS Institute Tuebingen's people page (13 group leaders listed, he is not one). Personal homepage rzimmermann.com is stale (c 2023 footer, still describes him as a Tuebingen PhD student under Wieland Brendel). Now a member of DeepMind's AGI Safety & Alignment team, not an independent PI. City of employment not confirmed from sources checked."
Mijung Park,Assistant Professor,"University of British Columbia, Department of Computer Science","Vancouver, Canada",yes,https://www.cs.ubc.ca/~mijungp/,2026-08-06,high,"Formerly Research Group Leader, MPI for Intelligent Systems / Univ. Tuebingen (2017-2021), explaining DBLP's Tuebingen affiliation; moved to UBC as Assistant Professor in July 2021. Her CV also lists a concurrent/interim Associate Professor appointment at DTU (2023-2024) that appears to have ended; her current homepage/CV (actively maintained, news through 2026) list ""Assistant Professor"" at UBC as her current primary title. She states ""I lead a machine learning research group"" (ParkLab) with a listed team -- confirmed independent group leader. Has left Tuebingen."
Yong Cao,"Group Leader, NLP (per Univ. Tuebingen Autonomous Vision Group team page); describes himself as ""a postdoctoral researcher at the Autonomous Vision Group (AVG), University of Tuebingen, supervised by Prof. Andreas Geiger"" on his own homepage","University of Tuebingen, Autonomous Vision Group (chaired by Prof. Andreas Geiger)","Tuebingen, Germany",unclear,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/,2026-08-06,high,"Identity confirmed as the correct disambiguated DBLP ""Yong Cao 0001"" (Univ. Tuebingen, ORCID 0000-0002-3889-0382) via personal homepage (yongcaoplus.github.io) and Google Scholar (uni-tuebingen.de email; co-authors Andreas Geiger, Daniel Hershcovich, Isabelle Augenstein). PhD at Huazhong Univ. of Sci. & Tech. (2024), visiting Univ. Copenhagen under Hershcovich, then postdoc under Geiger at Tuebingen. Discrepancy: his own homepage frames him as a supervised postdoc; the official AVG team page lists him under ""Senior Staff and Research Engineers"" with the title ""Group Leader, NLP"" -- appears to be an internal NLP sub-team lead within Geiger's larger lab, not an independent chair/PI. Likely why he was missed by the 5 canonical directories."
Zehao Yu,"PhD student (per personal homepage, likely stale); listed under ""Past PhD Students"" (alumnus) on the official Autonomous Vision Group team page",University of Tuebingen (per stale personal homepage); listed as alumnus of the Autonomous Vision Group -- current post-PhD employer unconfirmed,"Tuebingen, Germany (per stale homepage; currency uncertain)",no,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/,2026-08-06,low,"Identity confirmed with high confidence: DBLP ""Zehao Yu 0002"" (pid 203/9233-2) lists Univ. Tuebingen, Dept. of Computer Science, with publications (Mip-Splatting CVPR'24 Best Student Paper, Gaussian Opacity Fields, 2D Gaussian Splatting) matching personal homepage (niujinshuchong.github.io) and Google Scholar, co-authors Andreas Geiger and Torsten Sattler. CONTRADICTION: personal homepage still says ""PhD student...Sept. 2021 - Now"" (no visible updates), but the AVG group's own official team page lists him under ""Past PhD Students"" (alumni). No 2025/2026 publications found on DBLP/Scholar (last listed 2024). No confirmed new employer found via search, LinkedIn, or GitHub. True Aug-2026 status could not be confirmed -- flagged as an open question."
Andreas Ziegler,"PhD Candidate, University of Tuebingen, Germany (2021.06-2025.11 per CV, employment ended); PhD defended 2026-01-23, thesis ""Event-based Computer Vision for Fast Robot Control""; own CV states he is ""actively looking for PostDoc positions, ideally outside mainland Europe""",None currently held -- PhD completed at University of Tuebingen; job-seeking per most recent CV,"Last academic city Tuebingen, Germany; personal contact address Staefa, Switzerland",no,https://andreasaziegler.github.io/pdfs/AndreasZiegler_long.pdf,2026-08-06,medium,"Identity confirmed: DBLP ""Andreas Ziegler 0006"" (Univ. Tuebingen) matches co-authorship with Andreas Zell and Andreas Geiger on event-camera/table-tennis-robot papers (SpinDOE, EWAND, BiasBench), consistent with personal homepage (andreasaziegler.github.io) and Google Scholar (still shows ""University of Tuebingen"" -- stale, since his salaried PhD role ended Nov 2025 and he defended Jan 2026). PhD supervisors/committee: Guillermo Gallego, Andreas Geiger, Georg Martius, Andreas Zell -- was a lab member, not an independent group leader. About 7 months have passed since his defense; he may have since accepted an unlisted postdoc not yet reflected on his site."
Frank Schneider,"Postdoctoral researcher at the University of Tuebingen in the Methods of Machine Learning group, led by Philipp Hennig; also chair of the Algorithms working group at MLCommons","University of Tuebingen, Methods of Machine Learning (MoML) group (PI: Philipp Hennig)","Tuebingen, Germany",no,https://fsschneider.github.io/,2026-08-06,high,"Identity confirmed via DBLP ""Frank Schneider 0001"" (pid 41/328-1, Univ. Tuebingen) matching publications (DeepOBS, Descending through a Crowded Valley, Cockpit, AlgoPerf) and Google Scholar, with Philipp Hennig as recurring co-author/PI across all sources. His ""chair of MLCommons Algorithms working group"" role is a community/consortium leadership role, not an independent academic research group -- he remains a postdoc under Hennig. Most recent news item on his page dated Nov 2025; no explicit 2026 update found but no sign of departure either."
Yuxuan Xue,"Ph.D. student in the Real Virtual Human group at University of Tuebingen, supervised by Prof. Dr. Gerard Pons-Moll","University of Tuebingen, Real Virtual Humans group (PI: Gerard Pons-Moll); IMPRS-IS","Tuebingen, Germany",no,https://yuxuan-xue.com/,2026-08-06,high,"Identity confirmed via DBLP ""Yuxuan Xue 0001"" (pid 254/6994, ORCID 0000-0001-8521-1293, Univ. Tuebingen), Google Scholar (uni-tuebingen.de email; co-author Gerard Pons-Moll on Human-3Diffusion, NSF papers), and the Real Virtual Humans group staff page (virtualhumans.mpi-inf.mpg.de/people/Xue.html), which independently confirms PhD student status under Pons-Moll. Page is current (news through 2026-06, ECCV 2026 acceptance); did a Research Scientist internship at Meta's Codec Avatars team starting mid-2025 but remains a PhD student, not an independent group leader."
Steffen Schneider,Group Leader (Tenure Track) / Principal Investigator,"Helmholtz Munich (Dynamical Inference Lab); Associate Faculty, Munich Center for Machine Learning (MCML) and Graduate School of Systemic Neurosciences (GSN), LMU Munich","Munich, Germany",yes,https://dynamical-inference.ai/authors/steffen-schneider/,2026-08-06,high,"Identity matches the researcher known for CEBRA (self-supervised embeddings for neural data); did his ELLIS PhD jointly with Matthias Bethge (Univ. Tuebingen) and Mackenzie Mathis (EPFL), explaining the DBLP Tuebingen affiliation. He briefly worked at Amazon before returning to academia. Now runs his own ""Dynamical Inference Lab"" as a tenure-track Group Leader/PI at Helmholtz Munich; elected to Die Junge Akademie (BBAW) and the Leopoldina in June 2026. Has left Tuebingen; independent group leader with own lab page and presumably own students/funding."
Jan Schneider,Doctoral Researcher,"Max Planck Institute for Intelligent Systems, Empirical Inference department","Tuebingen, Germany",no,https://is.mpg.de/person/jschneider,2026-08-06,high,"Identity consistent with DBLP disambiguation ""Jan Schneider 0007"" (robot learning / reinforcement learning; muscle-actuated robots; action representations) via the MPI-IS staff page and Google Scholar. ELLIS PhD student co-supervised by Dieter Buechler and Bernhard Schoelkopf (MPI-IS) and Ingmar Posner (Univ. of Oxford). Recent publication: ""Sim-to-Real for Muscle-Actuated Robots via Learned Actuator Models"" (2nd German Robotics Conference, March 2026), consistent with continued active doctoral research as of 2026. Works within Buechler/Schoelkopf's group, not an independent PI."
