name,current_title_verbatim,current_institution,current_city,leads_own_group,evidence_url,retrieved,confidence,notes
Jonathan Schmidt,"Post Doc (per University of Tübingen group personnel page); homepage self-describes as ""Postdoctoral Researcher in Machine Learning""","University of Tübingen, Chair for Methods of Machine Learning (Lehrstuhl für Methoden des Maschinellen Lernens, Prof. Philipp Hennig)","Tübingen, Germany",no,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/methoden-des-maschinellen-lernens/personen/,2026-08-06,high,"DBLP ""Jonathan Schmidt 0001"" confirmed via coauthors (Philipp Hennig, Nicholas Krämer, Filip Tronarp) and a 2026-dated PhD thesis at Tübingen listed on the same DBLP page; homepage (schmidtjonathan.github.io) matches. NOT the materials-science Jonathan Schmidt, who is a different DBLP entity. Listed as one of two postdocs on Hennig's group page; no own students or PI grant found — works inside Hennig's group."
Bernhard Jaeger,"""co-founder of KE:SAI"" (self-description on personal homepage); official launch announcement lists him among co-founders, distinct from CEO Andreas Geiger and Scientific Director Bernhard Schölkopf","KE:SAI (Kyutai ELLIS Scalable Autonomous Intelligence)","Tübingen, Germany (KE:SAI co-located Tübingen and Paris)",unclear,https://kait0.github.io/,2026-08-06,high,"DBLP has only one ""Bernhard Jaeger""; publication list (TransFuser, CARLA benchmarks with Andreas Geiger, Kashyap Chitta) matches homepage. He left PhD-candidate status when KE:SAI launched ~20 May 2026 — a brand-new lab distinct from the five directories already checked, explaining the miss. His self-hosted CV (dated Dec 2025) is stale, still listing ""Research Associate, Ph.D. Candidate, University of Tübingen."" As a co-founder under a more senior CEO and Scientific Director, independent-PI status is unclear rather than confirmed."
Shashank Singh,Senior Machine Learning Software Engineer,"Meta Platforms, Inc.","New York City, USA",no,https://sss1.github.io/CV.pdf,2026-08-06,high,"DBLP ""Shashank Singh 0011"" confirmed via matching publications and coauthors (Bernhard Schölkopf, Julius von Kügelgen, Cian Eastwood) on his personal homepage (sss1.github.io) and self-hosted CV (updated 5 April 2026). His postdoc under Schölkopf at MPI-IS Tübingen ran 2021–2024 and has ended; he has since left academia and Germany entirely for an industry engineering role in the US. No longer any Tübingen affiliation."
Chris Gagne,"CONTRADICTORY — ""Staff Research Scientist"" per Google Scholar self-listing and LinkedIn-indexed page title, vs. ""VP of Research"" / ""AI Research Manager"" per several LinkedIn-derived data-broker aggregator pages (ZoomInfo, Equilar, ContactOut, TheOrg)","Unresolved — likely Google DeepMind per most recent signals; alternatively still Hume AI per aggregator pages","Not confirmed for Gagne specifically (Google DeepMind's Mountain View, CA referenced for the broader team move)",unclear,https://scholar.google.com/citations?hl=en&user=E6DqS3UAAAAJ,2026-08-06,low,"DBLP ""Chris Gagne 0001"" confirmed as Christopher Gagne, former Peter Dayan postdoc at MPI for Biological Cybernetics, Tübingen (left ~Sept 2022 for Hume AI) — GitHub bio and matching computational-psychiatry + affective-computing publication clusters corroborate. A 22 Jan 2026 Google–Hume AI licensing deal reportedly moved Hume's CEO and ~7 senior engineers to Google DeepMind; Hume AI's current public leadership page no longer lists him, but several data-broker pages (likely stale) still show him at Hume AI. Direct LinkedIn fetch was blocked (HTTP 999/402), so this could not be settled definitively. Regardless of which of the two employers is current, he left Tübingen for industry (Hume AI) years ago."
Michael Tiemann,Researcher,"Tübingen AI Center, ML Engineering & Tech Transfer group (led by Prof. Peter Gehler)","Tübingen, Germany",no,https://gehler.tuebingen.ai/team,2026-08-06,high,"DBLP ""Michael Tiemann 0001"" confirmed via probabilistic-numerics coauthors (Philipp Hennig, Katharina Ott) and a matching LinkedIn URL cross-referenced on the Tübingen AI Center team page. Page's itemprop=""jobTitle"" field reads ""Researcher,"" one of 3 researchers listed under Prof. Gehler's group (not own-group PI). Also holds non-academic side roles: ""Researcher at minerva4ai.eu"" and ""COO at DenkBox."" A separate University of Tübingen FIT record is stale, still listing ""Robert Bosch GmbH, Stuttgart."" This sub-lab team page (gehler.tuebingen.ai) sits outside the Tübingen AI Center's main directory, likely explaining the miss."
Leena C. Vankadara,"""Lecturer (Assistant Professor)"" (her homepage); ""Lecturer"" (official UCL Gatsby Unit people directory)","Gatsby Computational Neuroscience Unit, University College London (UCL)","London, United Kingdom",yes,https://leenacvankadara.com/,2026-08-06,high,"DBLP entry (pid 185/3659) confirmed via matching learning-theory publication topics and a PhD jointly supervised by Ulrike von Luxburg (Tübingen) and Debarghya Ghoshdastidar. After her PhD she was briefly an Applied Scientist at Amazon, then joined UCL as Lecturer in Feb 2025. UCL's official announcement states her group ""will develop theoretical understandings of scaling and generalization in deep learning and causality""; she is listed under UCL Gatsby's ""Faculty"" section with her own advisees. No longer in Tübingen or at MPI-IS in any capacity — fully relocated to London, which explains the miss from all five Tübingen directories."
Muhammad Waleed Gondal,Applied Scientist,Amazon (Amazon Research / Amazon Development Center Germany),"Tübingen, Germany",no,https://www.amazon.science/author/muhammad-waleed-gondal,2026-08-06,high,"Identity confirmed via DBLP coauthors (Bernhard Schölkopf, Stefan Bauer, Francesco Locatello, Manuel Wüthrich) and Schölkopf's own MPI-IS alumni page, which lists him as ""Amazon Research, Tübingen."" DBLP's own affiliation tag (""MPI for Intelligent Systems, Tübingen"") and his GitHub bio are both stale, reflecting his PhD-era employer rather than his current one. Individual-contributor scientist role, not a PI/group leader. One secondary aggregator called him ""Senior Applied Scientist,"" but the primary amazon.science author page reads plainly ""Applied Scientist."""
Guy Moss,"""Research and Development Engineer"" (LinkedIn headline: ""Research and Development Engineer | PhD Machine Learning"")",Pupil Labs,"Berlin, Germany",no,https://www.linkedin.com/in/guy-moss-532619221/,2026-08-06,medium,"DBLP ""Guy Moss 0001"" confirmed via coauthors (Jakob H. Macke, Cornelius Schröder, Reinhard Drews) and his University of Tübingen PhD thesis record (""The Tip of the Iceberg: Enabling Scalable Simulation-Based Inference in Geoscience,"" advisor Jakob Macke, defended 19 Dec 2025). Google Scholar and DBLP still list him as a ""Doctoral Student"" at Tübingen — stale, since he defended in Dec 2025 and this explains his absence from the five checked directories. Current position confirmed only via a LinkedIn snippet (used as a last resort; Pupil Labs' public staff page does not list individual engineers), hence medium rather than high confidence. No longer in Tübingen."
Harrisen Scells,"""W 1-Juniorprofessur für Humansprachliche Technologien"" (University of Tübingen newsletter); listed as ""Jun.-Prof. Dr. Harry Scells (coopted)"" on the CS department's research-groups page; his own homepage self-describes in English as ""Assistant Professor""","University of Tübingen — Department of Information Technology and Applied Medical Informatics (IBMI), Medical Faculty, within the Health NLP Lab","Tübingen, Germany",unclear,https://scells.me/,2026-08-06,high,"Identity confirmed via DBLP IR publication history and coauthors (ielab, Temir group), matching his homepage bio (PhD Univ. of Queensland 2021, postdoc UQ, Humboldt fellow at Leipzig, now Tübingen). His W1-Juniorprofessur took effect 17 March 2025 (a German PI-track appointment), and the CS department's page lists him as heading a ""Human Language Technologies"" group (as a coopted member). However, the joint Health NLP Lab's own people page names Carsten Eickhoff as Professor/Director (lab PI) and lists Scells under ""Faculty"" rather than as head — hence leads_own_group is recorded as unclear despite the Juniorprofessur title. His post sits within the Medical Faculty's IBMI, a unit distinct from the five directories already checked, which explains the miss."
Ilia A. Petrov,"""PhD candidate"" (self-description on homepage); ""PhD student, University of Tübingen"" (Google Scholar)","University of Tübingen / Tübingen AI Center, ""Real Virtual Humans"" research group (supervised by Prof. Gerard Pons-Moll)","Tübingen, Germany",no,https://ptrvilya.github.io/,2026-08-06,high,"IMPORTANT IDENTITY FLAG: the exact DBLP disambiguation ID specified in the task, ""Ilia A. Petrov 0001"" (dblp.org/pid/131/3876.html), matches a computer-vision PhD candidate working on 3D human-object interaction (name spelled ""Ilya A. Petrov"" on his own homepage and Google Scholar) — NOT the database-systems professor of a similar name. That professor is a separate DBLP entity, ""Ilia Petrov 0001"" (no middle initial, dblp.org/pid/p/IliaPetrov.html), affiliated with Reutlingen University / TU Darmstadt / Erlangen-Nuremberg — never listed as Tübingen on DBLP — so he does not fit this project's ""lists Tübingen as DBLP affiliation"" premise at all. This row is recorded strictly per the exact disambiguation ID given in the task."
