name,title_verbatim,team,employer,personal_url,evidence_url,notes
Patrick Amar,Enseignant-chercheur,BioInfo,,http://www.lri.fr/~pa,https://www.lisn.upsaclay.fr/membres/amar-patrick/,Statut émérite (organigramme LISN 01/09/2025).
Jay Amrit,Enseignant-chercheur,COMET,Université Paris-Saclay,https://perso.limsi.fr/amrit/,https://www.lisn.upsaclay.fr/membres/amrit-jay/,
Caroline Appert,Chercheuse,ILDA,CNRS,http://www.lri.fr/~appert,https://www.lisn.upsaclay.fr/membres/appert-caroline/,
Nathalie Aubrun,Chercheuse,GALaC,CNRS,https://www.lri.fr/~aubrun/,https://www.lisn.upsaclay.fr/membres/aubrun-nathalie/,
Evangelos Bampas,Maître de conférences,ParSys,Université Paris-Saclay,https://www.lri.fr/~bampas,https://www.lisn.upsaclay.fr/membres/bampas-evangelos/,
Michel Beaudouin-Lafon,"Responsable scientifique, projet Equipex+ CONTINUUM",EX-SITU,Université Paris-Saclay,http://www.lri.fr/~mbl,https://www.lisn.upsaclay.fr/membres/beaudouin-lafon-michel/,Fonction affichée sur la fiche annuaire concerne un rôle de projet/direction; personne confirmée chercheur·se permanent·e par ailleurs.
Joffroy Beauquier,Professeur émérite,ParSys,,,https://www.lisn.upsaclay.fr/membres/beauquier-joffroy/,Statut émérite (organigramme LISN 01/09/2025).
Yacine Bellik,Enseignant-chercheur,AMI,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/wiki/fr/bellik/start,https://www.lisn.upsaclay.fr/membres/bellik-yacine/,
Anastasia Bézérianos,Professeur,ILDA,Université Paris-Saclay,http://www.lri.fr/~anab,https://www.lisn.upsaclay.fr/membres/bezerianos-anastasia/,
Nicole Bidoit,Professeure Emérite,LaHDAK,,http://www.lri.fr/~bidoit/,https://www.lisn.upsaclay.fr/membres/bidoit-nicole/,Statut émérite (organigramme LISN 01/09/2025).
Franck Bimbard,Enseignant-Chercheur,AMI,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/bimbard-franck/,
Vincent Boccara,Enseignant-Chercheur,CPU,Université Paris-Saclay,https://cv.archives-ouvertes.fr/vincent-boccara,https://www.lisn.upsaclay.fr/membres/boccara-vincent/,
Hélène Bonneau,Enseignante-chercheuse,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/bonneau-helene/,
Tifanie Bouchara,Maîtresse de conférences,VENISE,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/bouchara/,https://www.lisn.upsaclay.fr/membres/bouchara-tifanie/,
Lila Boukhatem,Professeure des universités,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/boukhatem-lila/,
Philippe Boula de Mareüil,Directeur de recherche,M3,CNRS,,https://www.lisn.upsaclay.fr/membres/boula-de-mareuil-philippe/,
Patrick Bourdot,Directeur de Recherche CNRS,VENISE,CNRS,https://www.limsi.fr/venise/,https://www.lisn.upsaclay.fr/membres/bourdot-patrick/,
Annelies Braffort,Directrice de recherche CNRS,LIPS,CNRS,https://perso.lisn.upsaclay.fr/braffort,https://www.lisn.upsaclay.fr/membres/braffort-annelies/,
Francesca Bugiotti,Enseignante-chercheuse,LaHDAK,CentraleSupélec,http://www.bugiotti.it,https://www.lisn.upsaclay.fr/membres/bugiotti-francesca/,
Janna Burman,"Professeur, Responsable adjointe de l’équpe, membre bureau AAC",ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/burman-janna/,
Florent Cabric,Maitre de conférences,AVIZ,Université Paris-Saclay,https://florentcabric.com,https://www.lisn.upsaclay.fr/membres/cabric-florent/,
