name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Katharina Afflerbach,Prof. Dr. Katharina Afflerbach,Professorin (Betriebswirtschaftslehre / Personalmanagement); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/1733,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1733 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre / Personalmanagement (https://www.bht-berlin.de/30)."
Ralf Ahlbrink,Prof. Dr. Ralf Ahlbrink,Professor (Physikalische Technik); Fachbereich II – Mathematik – Physik – Chemie; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/1898,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1898 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich II Personen list: Physikalische Technik (https://www.bht-berlin.de/86)."
Silke Aschmann,Prof. Dr. Silke Aschmann,Professorin (Betriebswirtschaftslehre/ Controlling); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/2521,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2521 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre/ Controlling (https://www.bht-berlin.de/30)."
Susanne Auffermann-Lemmer,Prof. Diplome Regie general Susanne Auffermann-Lemmer,"Professorin (Beleuchtungstechnik und Lichtgestaltung); Fachbereich VIII – Maschinenbau, Veranstaltungstechnik, Verfahrenstechnik; Berliner Hochschule für Technik (BHT)",,,https://www.bht-berlin.de/people/detail/196,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/196 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich VIII Personen list: Beleuchtungstechnik und Lichtgestaltung (https://www.bht-berlin.de/101)."
Johannes Bader,Prof. Dr.-Ing. Johannes Bader,Professor (Aufarbeitungstechnik); Fachbereich V – Life Sciences and Technology; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/bader/,https://www.bht-berlin.de/people/detail/1443,"RESEARCH GROUP/LAB: Laborleiter, Biotechnikum (stated on https://www.bht-berlin.de/people/detail/1443) Denomination (Lehrgebiet) on the Fachbereich V Personen list: Aufarbeitungstechnik (https://www.bht-berlin.de/98). Lab page(s): https://www.bht-berlin.de/labor/detail/btk."
Karoline Barthel,Prof. Dr. rer. oec. Karoline Barthel,Professorin (Betriebswirtschaftslehre / Personalmanagement); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/210,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/210 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre / Personalmanagement (https://www.bht-berlin.de/30)."
Khaled Bathich,Prof. Dr.-Ing. Khaled Bathich,Professor; Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/bathich,https://www.bht-berlin.de/people/detail/2023,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2023 (page lists only the professorship and any teaching/committee functions)."
Markus Bautsch,Prof. Dr.-Ing. Markus Bautsch,Professor (Realisierung und Design optomechatronischer Systeme); Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT),,http://prof.bht-berlin.de/bautsch,https://www.bht-berlin.de/people/detail/2708,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2708 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich VII Personen list: Realisierung und Design optomechatronischer Systeme (https://www.bht-berlin.de/100)."
Ingeborg Beckers,Prof. Dr. Ingeborg Beckers,Professorin (Medizinphysik); Fachbereich II – Mathematik – Physik – Chemie; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/215,"RESEARCH GROUP/LAB: Laborleiterin, Optik und Lasertechnik (stated on https://www.bht-berlin.de/people/detail/215) Other stated functions: Vertreterin der Professoren und Professorinnen, Kommission für Forschung und Förderung des wissenschaftlichen Nachwuchses. Denomination (Lehrgebiet) on the Fachbereich II Personen list: Medizinphysik (https://www.bht-berlin.de/86). Lab page(s): https://www.bht-berlin.de/labor/detail/olt."
Martin Behne,Prof. Dr.-Ing. Martin Behne,Professor (Gebäudetechnik); Fachbereich IV – Architektur und Gebäudetechnik; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/behne,https://www.bht-berlin.de/people/detail/218,"RESEARCH GROUP/LAB: Laborleiter, Bausanierung und Energieeffizienz (stated on https://www.bht-berlin.de/people/detail/218) Other stated functions: Beauftragter für die Anerkennung von Studienleistungen, Planung nachhaltiger Gebäude (Master) | Studienfachberater, Planung nachhaltiger Gebäude (Master) | BAföG-Beauftragter, Architektur (Bachelor) | BAföG-Beauftragter, Architektur (Master) | BAföG-Beauftragter, Planung nachhaltiger Gebäude (Master). Denomination (Lehrgebiet) on the Fachbereich IV Personen list: Gebäudetechnik (https://www.bht-berlin.de/97). Lab page(s): https://www.bht-berlin.de/labor/detail/lfbe."
Felix Bießmann,Prof. Dr. rer. nat. Felix Bießmann,Professor (Maschinelles Lernen); Fachbereich VI – Informatik und Medien; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/biessmann/,https://www.bht-berlin.de/people/detail/1904,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1904 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vorsitzender, Prüfungsausschuss Data Science. Denomination (Lehrgebiet) on the Fachbereich VI Personen list: Maschinelles Lernen (https://www.bht-berlin.de/99)."
Ivo Boblan,Prof. Dr.-Ing Ivo Boblan,"Professor (Elektrotechnik, Aktoren, Robotik, Bionik); Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT)",,http://prof.bht-berlin.de/boblan/,https://www.bht-berlin.de/people/detail/1720,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1720 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vertreter der Professoren und Professorinnen, Kommission für Forschung und Förderung des wissenschaftlichen Nachwuchses. Denomination (Lehrgebiet) on the Fachbereich VII Personen list: Elektrotechnik, Aktoren, Robotik, Bionik (https://www.bht-berlin.de/100)."
Annette Bobrik,Prof. Dr.-Ing. Annette Bobrik,Professorin (Wirtschaftsinformatik / BWL); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/2506,"RESEARCH GROUP/LAB: Laborleiterin, Betriebswirtschaftliche EDV-Anwendungen (stated on https://www.bht-berlin.de/people/detail/2506) Other stated functions: Studienfachberaterin, Berufs- und Technikpädagogik (M.A.) (Master). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Wirtschaftsinformatik / BWL (https://www.bht-berlin.de/30). Lab page(s): https://www.bht-berlin.de/labor/detail/edv."
Christopher Bode,Prof. Dr.-Ing. Christopher Bode,"Professor (Getriebe- und Fördertechnik); Fachbereich VIII – Maschinenbau, Veranstaltungstechnik, Verfahrenstechnik; Berliner Hochschule für Technik (BHT)",,http://prof.bht-berlin.de/bode/,https://www.bht-berlin.de/people/detail/236,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/236 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vertreter der Professoren und Professorinnen, Fachbereichsrat VIII. Denomination (Lehrgebiet) on the Fachbereich VIII Personen list: Getriebe- und Fördertechnik (https://www.bht-berlin.de/101)."
Simon Boecker,Prof. Dr. Simon Boecker,Professor (Bioverfahrenstechnik); Fachbereich V – Life Sciences and Technology; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/2328,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2328 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vertreter der Professoren und Professorinnen, Kommission für Entwicklungsplanung. Denomination (Lehrgebiet) on the Fachbereich V Personen list: Bioverfahrenstechnik (https://www.bht-berlin.de/98)."
Roland Borgwardt,Prof. Dipl.-Ing. Roland Borgwardt,Professor (Integrale Gebäudeplanung); Fachbereich IV – Architektur und Gebäudetechnik; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/borgwardt/,https://www.bht-berlin.de/people/detail/1940,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1940 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vertreter der Professoren und Professorinnen, Fachbereichsrat IV. Denomination (Lehrgebiet) on the Fachbereich IV Personen list: Integrale Gebäudeplanung (https://www.bht-berlin.de/97)."
Holger Borowiak,Prof. Dr.-Ing. Holger Borowiak,Professor (Elektrische Energieversorgung); Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT),,http://prof.bht-berlin.de/borowiak/,https://www.bht-berlin.de/people/detail/1187,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1187 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich VII Personen list: Elektrische Energieversorgung (https://www.bht-berlin.de/100)."
Michael Breuer,Prof. Dipl.-Ing. Michael Breuer,Professor (Photogrammetrie und Fernerkundung); Fachbereich III – Bauingenieur- und Geoinformationswesen; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/breuer/,https://www.bht-berlin.de/people/detail/832,"RESEARCH GROUP/LAB: Laborleiter, Photogrammetrie (stated on https://www.bht-berlin.de/people/detail/832) Other stated functions: Studienfachberater, Geoinformation und Umwelt (Bachelor). Denomination (Lehrgebiet) on the Fachbereich III Personen list: Photogrammetrie und Fernerkundung (https://www.bht-berlin.de/87). Lab page(s): https://www.bht-berlin.de/labor/detail/phg."
