name,title_verbatim,group_or_dept,primary_affiliation,personal_url,evidence_url,notes
Volker Markl,"Prof. Dr., Director",Database Systems and Information Management (DIMA),TU Berlin,tu.berlin/dima/ueber-uns/prof-dr-volker-markl,https://www.bifold.berlin/people/prof-dr-volker-markl.html,"Also Chief Scientist & Head, Intelligent Analytics for Massive Data (IAM) group at DFKI."
Klaus-Robert Müller,"Prof. Dr., Director",Machine Learning (ML),TU Berlin,web.ml.tu-berlin.de/author/prof.-dr.-klaus-robert-muller/,https://www.bifold.berlin/people/prof-dr-klaus-robert-mueller.html,
Ziawasch Abedjan,"Prof. Dr., Research Group Lead",Data Integration and Data Preparation (D2IP),TU Berlin,,https://www.bifold.berlin/people/prof-dr-ziawasch-abedjan.html,Page gives email abedjan@tu-berlin.de; no personal site listed.
Matthias Böhm,"Prof. Dr., Research Group Lead",Big Data Engineering (DAMS),TU Berlin,tu.berlin/dams,https://www.bifold.berlin/people/prof-dr-matthias-boehm.html,
Stefan Chmiela,"Dr., Research Junior Group Lead",Machine Learning for Molecular Simulation in Quantum Chemistry,TU Berlin,sgdml.org,https://www.bifold.berlin/people/dr-stefan-chmiela.html,
Begüm Demir,"Prof. Dr., Research Group Lead",Big Data Analytics for Earth Observation (RSiM),TU Berlin,begumdemir.com,https://www.bifold.berlin/people/prof-dr-beguem-demir.html,"Founding head of RSiM group, Faculty of Electrical Engineering and Computer Science, TU Berlin."
Frederick Klauschen,"Prof. Dr., Research Group Lead / Director",Medical Informatics / Explainable Pathology (BIFOLD group at Charité),"LMU Munich (Pathologisches Institut, Director)",med.lmu.de/pathologie/de/forschung/ag-klauschen-jurmeister/,https://www.bifold.berlin/people/prof-dr-frederick-klauschen.html,"Page also lists him as Research Grouplead, BIFOLD, based at Charité Universitätsmedizin Berlin; the page's organizational presentation gives the LMU Munich directorship as primary."
Alexander Meyer,"Prof. Dr., Research Group Lead","Medical Informatics (Institute for Artificial Intelligence in Medicine, IKIM)",Charité – Universitätsmedizin Berlin,ikim.charite.de/metas/person/person/address_detail/univ_prof_dr_med_alexander_meyer,https://www.bifold.berlin/people/prof-dr-alexander-meyer.html,"Charité Professor for Clinical AI and Data Science; also Chief Medical Information Officer, German Heart Center Charité (DHZC)."
Grégoire Montavon,"Prof. Dr., Research Group Lead",Explainable Machine Learning in Medicine,Charité – Universitätsmedizin Berlin,ikim.charite.de,https://www.bifold.berlin/people/prof-dr-gregoire-montavon.html,
Shinichi Nakajima,"PhD, Research Junior Group Lead",Probabilistic Modeling and Inference (within Machine Learning group),TU Berlin,tu.berlin/en/ml,https://www.bifold.berlin/people/phd-shinichi-nakajima.html,
Konrad Rieck,"Prof. Dr., Research Group Lead",Machine Learning and Security (MLSec),TU Berlin,mlsec.org,https://www.bifold.berlin/people/prof-dr-konrad-rieck.html,
Sebastian Schelter,"Prof. Dr., Research Group Lead",Management of Data Science Processes (DEEM),TU Berlin,deem.berlin/#professor,https://www.bifold.berlin/people/dr-sebastian-schelter.html,
Alexander von Lühmann,"Dr., Research Junior Group Lead",Intelligent Biomedical Sensing (IBS),TU Berlin,ibs-lab.com,https://www.bifold.berlin/people/dr-alexander-von-luehmann.html,
Steffen Zeuch,"Dr., Research Junior Group Lead",Distributed Data Stream Processing in Heterogeneous Environments (DIMA),TU Berlin,user.tu-berlin.de/zeuchste/,https://www.bifold.berlin/people/dr-steffen-zeuch.html,Also listed as Researcher at DFKI.
Kaustubh Beedkar,"Prof. Dr., Junior Fellow",(none stated on BIFOLD page),IIT Delhi,web.iitd.ac.in/~kbeedkar/,https://www.bifold.berlin/people/dr-kaustubh-beedkar.html,"Computer Science and Engineering, Indian Institute of Technology Delhi."
Giuseppe Caire,"Prof. Dr., Fellow",School IV EECS,TU Berlin,commit.tu-berlin.de/menue/mitarbeiter/fachgebietsleiter/parameter/en/,https://www.bifold.berlin/people/prof-giuseppe-caire-phd.html,"Also concurrently professor of electrical engineering, Viterbi School of Engineering, University of Southern California."
Tim Conrad,"Prof. Dr., Fellow",(none stated on BIFOLD page),Freie Universität Berlin (W1 Professor),zib.de/members/conrad,https://www.bifold.berlin/people/prof-dr-tim-conrad.html,Also board member at MODAL AG and CEO of inbion GmbH.
Jens Eisert,"Prof. Dr., Fellow",Dahlem Center for Complex Quantum Systems,Freie Universität Berlin,physik.fu-berlin.de/en/einrichtungen/ag/ag-eisert/index.html,https://www.bifold.berlin/people/prof-dr-jens-eisert.html,Also affiliated with Fraunhofer Heinrich Hertz Institute and Helmholtz Center Berlin.
Gerd Grasshoff,"Prof. Dr., Fellow",History of Ancient Science,Humboldt-Universität zu Berlin,mpiwg-berlin.mpg.de/users/grasshoff,https://www.bifold.berlin/people/prof-dr-gerd-grasshoff.html,Also Prodekan für Forschung (Vice Dean for Research) at HU Berlin and Director of the Excellence Cluster Topoi.
Stefan Haufe,"Prof. Dr., Fellow","Uncertainty, Inverse Modeling, and Machine Learning (within ML group)",TU Berlin,,https://www.bifold.berlin/people/prof-dr-stefan-haufe.html,Simultaneously heads the Machine Learning and Uncertainty group at PTB Berlin and the Brain and Data Science group at Charité.
Manfred Hauswirth,"Prof. Dr., Fellow",Open Distributed Systems (ODS),TU Berlin,manfredhauswirth.org,https://www.bifold.berlin/people/prof-dr-manfred-hauswirth.html,
Anja Hennemuth,"Prof. Dr., Fellow",Institute for Cardiovascular Computer-assisted Medicine,Charité – Universitätsmedizin Berlin,,https://www.bifold.berlin/people/prof-dr-anja-hennemuth.html,Professor for Image-based Therapy Support; also Member of the Management Board at Fraunhofer MEVIS.
Odej Kao,"Prof. Dr., Fellow",Distributed and Operating Systems,TU Berlin,tu.berlin/dos/team/fachgebietsleitung,https://www.bifold.berlin/people/prof-dr-odej-kao.html,Also Chair of the Einstein Center Digital Future and CIO at TU Berlin.
Titus Kühne,"Prof. Dr., Fellow",Institute of Computer-assisted Cardiovascular Medicine (Director),Charité – Universitätsmedizin Berlin / Deutsches Herzzentrum Berlin,icm.charite.de/metas/person/person/address_detail/kuehne-1/,https://www.bifold.berlin/people/prof-dr-titus-kuehne.html,W3 Professorship for Cardiovascular Imaging.
