name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Dieter Beule,"Prof. Dr. rer. nat.; Head of Division for Translational Bioinformatics; Head of CUBI - Core Unit Bioinformatics; Head of High-Performance Computing Unit","Translational Bioinformatics / Translationale Bioinformatik (Center of Genomic Medicine)","Charité - Universitätsmedizin Berlin (BIH at Charité)",,https://www.bihealth.org/en/research/research-group/translational-bioinformatics,"confidence=high. Site: Rahel Hirsch Center for Translational Medicine, Luisenstr. 65, 10117 Berlin (visiting); postal Chariteplatz 1 - both Campus Charité Mitte. Also heads two BIH core units."
Johanna Bolander,"Head of research group (title not printed on directory listing)","Model Systems for Regenerative Therapies / Modellsysteme für Regenerative Therapien (BCRT)","BIH Center for Regenerative Therapies (BCRT) is a joint Charité/BIH centre",,https://www.bihealth.org/en/research/research-groups,"confidence=low. Group page not fetched; verbatim title and second affiliations not captured. BCRT members are normally jointly Charité."
Christian Conrad,"BIH-Professor Intelligent Imaging","Intelligent Imaging (Center of Digital Health)","Charité - Universitätsmedizin Berlin",,https://www.bihealth.org/en/research/research-group/conrad-lab-intelligent-imaging,"confidence=high. Site: BIH Rahel Hirsch Center, Campus Charité Mitte, Luisenstraße 65, 10115 Berlin."
Wolfram Döhner,"Head of research group (title not printed on directory listing)","Metabolic Pathophysiology / Metabolische Pathophysiologie (BCRT)","BCRT (joint Charité/BIH centre)",,https://www.bihealth.org/en/research/research-groups,"confidence=low. Group page not fetched; verbatim title not captured."
Georg Duda,"Head of research group; Prof. Dr. (BIH section co-head)","Engineering Regenerative Therapies (BCRT)","Berlin Institute of Health at Charité - co-head of BIH section 'Advanced and Personalized Therapies' (with Julia Polansky-Biskup); Julius Wolff Institute / Charité",,https://www.bihealth.org/en/research/research-groups,"confidence=medium. Section co-headship evidenced by Charité organigram July 2026 (Organigram-english.pdf). Group page not fetched."
Roland Eils,"Gründungsdirektor des BIH-Zentrums Digitale Gesundheit (Founding Director of the BIH Center of Digital Health)","Digital Health / Digitale Gesundheit (Center of Digital Health)","Berlin Institute of Health at Charité - co-head of BIH section 'Medical and Health Data Sciences' (with Claudia Langenberg); Hub for Innovations in Digital Health (HiDiH) with Heidelberg University Medical Faculty; Medical Informatics Initiative / HiGHmed founder-coordinator",,https://www.bihealth.org/en/research/research-group/eils-lab-bih-digital-health-center,"confidence=high. Site: Luisenstraße 65, 10117 Berlin (Campus Charité Mitte). Department contains four working groups: Artificial Intelligence (Eils), Computational Oncology (Naveed Ishaque), Health Data (Harald Wagener, Sven Twardziok, Dirk Meyer zum Büschenfelde), Medical Omics (Sören Lukassen)."
Sven Geißler,"Head of research group (title not printed on directory listing)","Musculoskeletal Cell Biology / Muskuloskeletale Zellbiologie (BCRT)","BCRT (joint Charité/BIH centre)",,https://www.bihealth.org/en/research/research-groups,"confidence=low. Group page not fetched; verbatim title not captured."
Robert Gütig,"Prof. Dr.","Mathematical modelling of neuronal learning / Mathematische Modellierung des Neuronalen Lernens (Center of Health Data Sciences)","Charité - Universitätsmedizin Berlin",,https://www.bihealth.org/en/research/research-group/mathematical-modelling-of-neuronal-learning,"confidence=medium. Group page names Charité as contact institution; no street address printed. Title beyond 'Prof. Dr.' not printed."
Stefanie Grosswendt,"Head of research group (title not printed on directory listing)","From Cell States to Function / Vom Zellstatus zur Funktion (Center of Genomic Medicine)","Max Delbrück Center - Grosswendt Lab, listed under MDC-BIMSB faculty groups",,https://www.bihealth.org/en/research/research-groups,"confidence=medium. JOINT MDC/BIH appointment: appears both in BIH research-group directory and in the MDC labs directory and MDC-BIMSB faculty list. Likely physically MDC-BIMSB, Hannoversche Str. 28, 10115 Berlin-Mitte."
Simon Haas,"Dr. rer. nat. (MDC listing); head of research group","Systems Hematology, Stem Cells & Precision Medicine / Blutkrebs, Stammzellen & Präzisionsmedizin (Center of Genomic Medicine)","Max Delbrück Center - Haas Lab, MDC-BIMSB faculty group; Charité - Universitätsmedizin Berlin",,https://www.bihealth.org/en/research/research-groups,"confidence=medium. JOINT BIH/MDC/Charité appointment. Listed as MDC-BIMSB faculty (Hannoversche Str. 28, Berlin-Mitte)."
