name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Vasco Brattka,Univ.-Prof. Dr. rer. nat.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Professur für Theoretische Informatik und Mathematische Logik",,http://theory.cca-net.de/,https://www.unibw.de/timor,"Institutssprecher (institute spokesperson) of INF1; personal_url is his external theory group homepage, linked directly from the faculty professuren page."
Andreas Nickel,Univ.-Prof. Dr.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Professur für Mathematik",,https://www.unibw.de/timor/mitarbeiter/univ-prof-dr-andreas-nickel,https://www.unibw.de/inf/professuren,"Listed on the faculty-wide Professuren page and confirmed active on his own personal page (teaching listed through WS2025, page last updated 22 July 2026); curiously absent from the INF1 institute's own 'Professoren am Institut' listing, which appears stale/incomplete."
Peter Hertling,Univ.-Prof. Dr. rer. nat.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Professur für Verifikation von Hard- und Software / Spezifikationsmethoden / Komplexitätstheorie",,https://www.unibw.de/timor/mitarbeiter/hertling/univ-prof-dr-peter-hertling,https://www.unibw.de/timor,
Stefan Pickl,Univ.-Prof. Dr.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Professur für Operations Research",Forschungsinstitut CODE (CODE-assoziierte Professur),https://www.unibw.de/comtessa,https://www.unibw.de/timor,
Daniel Slamanig,Univ.-Prof. Dr.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Professur für Kryptologie",Forschungsinstitut CODE (FI CODE),https://www.unibw.de/timor/mitarbeiter/univ-prof-dr-daniel-slamanig,https://www.unibw.de/timor,
Maximilian Moll,Juniorprof. Dr. rer. nat.,"Institut INF1 – Theoretische Informatik, Mathematik und Operations Research; Stiftungsjuniorprofessur für Operations Research – Prescriptive Analytics",Forschungsinstitut CODE (CODE-assoziierte Professur),https://www.unibw.de/timor/mitarbeiter/prof-dr-rer-nat-maximilian-moll,https://www.unibw.de/code/im-profil/professuren,Endowed ('Stiftungs-') junior professorship; sponsor/foundation name not stated on the pages checked.
Uwe M. Borghoff,Univ.-Prof. Dr. rer. nat.,Institut INF2 – Softwaretechnologie; Professur für Informationsmanagement,,https://www.unibw.de/inf2/personen/professoren/prof-dr-uwe-m-borghoff,https://www.unibw.de/inf2,
Wolfgang Hommel,Univ.-Prof. Dr. rer. nat.,Institut INF2 – Softwaretechnologie; Professur für IT-Sicherheit von Software und Daten,Forschungsinstitut CODE (Leitender Direktor des FI CODE); ITIS e.V. (1. Vorsitzender),https://www.unibw.de/inf2/personen/professoren/univ-prof-dr-wolfgang-hommel,https://www.unibw.de/inf2,
Michael Koch,Univ.-Prof. Dr.,Institut INF2 – Softwaretechnologie; Professur für Mensch-Computer-Interaktion,,https://www.unibw.de/inf2/personen/professoren/univ-prof-dr-michael-koch,https://www.unibw.de/inf2,"Named Fellow of the Gesellschaft für Informatik (professional society honour, not an institutional affiliation)."
Mark Minas,Univ.-Prof. Dr.-Ing.,Institut INF2 – Softwaretechnologie; Professur für Programmiersysteme,,https://www.unibw.de/inf2/personen/professoren/univ-prof-dr-ing-mark-minas,https://www.unibw.de/inf2,
Klaus Buchenrieder,Univ.-Prof. Ph.D. M.S. (OSU),Institut INF3 – Technische Informatik; Professur für Eingebettete Systeme / Rechner in Technischen Systemen,Forschungsinstitut CODE (FI CODE),https://www.unibw.de/technische-informatik/mitarbeitende/professoren/univ-prof-ph-d-klaus-buchenrieder,https://www.unibw.de/technische-informatik,Title as printed on the institute page has no German doctorate ('Ph.D. M.S. (OSU)') rather than 'Dr.'.
Gabi Dreo Rodosek,Univ.-Prof.'in Dr.,Institut INF3 – Technische Informatik; Professur für Kommunikationssysteme und Netzsicherheit,Forschungsinstitut CODE (Gründungsdirektorin FI CODE),https://www.unibw.de/technische-informatik/mitarbeitende/professoren/univ-prof-in-dr-gabi-dreo-rodosek,https://www.unibw.de/technische-informatik,Appears as 'Gabi Dreo' on the faculty Professuren page and 'Gabi Dreo Rodosek' on the institute/CODE pages; same person.
Oliver Rose,Univ.-Prof. Dr.,Institut INF3 – Technische Informatik; Professur für Modellbildung und Simulation,,https://www.unibw.de/technische-informatik/mitarbeitende/professoren/univ-prof-dr-oliver-rose,https://www.unibw.de/technische-informatik,
Markus Siegle,Univ.-Prof. Dr.-Ing.,Institut INF3 – Technische Informatik; Professur für Entwurf von Rechen- und Kommunikationssystemen,,https://www.unibw.de/technische-informatik/mitarbeitende/professoren/univ-prof-dr-ing-markus-siegle,https://www.unibw.de/technische-informatik,
Gunnar Teege,Univ.-Prof. Dr.,Institut INF3 – Technische Informatik; Professur für Verteilte Systeme,Forschungsinstitut CODE (CODE-assoziierte Professur),https://www.unibw.de/technische-informatik/mitarbeitende/professoren/univ-prof-dr-gunnar-teege,https://www.unibw.de/technische-informatik,Institutssprecher (institute spokesperson) of INF3.
