name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Heyo K. Kroemer,"Prof. Dr.; Chief Executive Officer","Board of Directors",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high. Charité organigram July 2026. Institutional leadership post."
Joachim Spranger,"Prof. Dr.; Dean; Chairman of the Faculty Council","Board of Directors / Faculty Board",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high. Charité organigram July 2026."
Martin E. Kreis,"Prof. Dr.; Chief Medical Officer","Board of Directors",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high. Charité organigram July 2026."
Christopher Baum,"Prof. Dr.; Chief Translational Research Officer / Chair of the BIH Board of Directors","Board of Directors / Direktorium Berlin Institute of Health at Charité","Berlin Institute of Health at Charité (BIH)",,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high. JOINT Charité/BIH - also written in the de-bih roster; do not double count."
Britta Eickholt,"Prof. Dr.; Vice Dean of Research, Preclinical Affairs; Scientific Director CC2 and CC4; Director, Institute of Biochemistry and Molecular Biology","CC2 CharitéCenter for Basic Sciences; CC4 CharitéCenter for Biomedicine; Institute of Biochemistry and Molecular Biology",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high. Holds four listed roles; one row."
Ulrich Kintscher,"Prof. Dr.; Vice Dean of Research, Clinical Affairs; Scientific Director CC4; Director, Institute of Pharmacology","CC4 CharitéCenter for Biomedicine; Institute of Pharmacology (CC5)",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high."
Susanne Michl,"Prof. Dr.; Vice Dean of Education, Life and Health Sciences","Faculty Board",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Organigram-english.pdf,"confidence=high."
Volker Hess,"Prof. Dr.; Scientific Director CC1; Director, Institute of the History of Medicine and Ethics in Medicine","CC1 CharitéCenter for Prevention, Health and Human Sciences; Institute of the History of Medicine and Ethics in Medicine",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Overview_of_Departments_and_Institutes.pdf,"confidence=high. Charité departments and institutes, July 2026."
Christine Heim,"Prof. Dr.; Scientific Director CC1; Director, Institute of Medical Psychology","CC1; Institute of Medical Psychology",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Overview_of_Departments_and_Institutes.pdf,"confidence=high."
Christoph Heintze,"Prof. Dr.","Institute of General Practice and Family Medicine (CC1)",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Overview_of_Departments_and_Institutes.pdf,"confidence=high."
Freia De Bock,"Prof. Dr.","Institute of Medical Sociology and Rehabilitation Sciences (CC1)",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Overview_of_Departments_and_Institutes.pdf,"confidence=high."
Tobias Kurth,"Univ.-Prof. Dr. Dr.; Direktor","Institute of Public Health (CC1)",,,https://iph.charite.de/ueber_das_institut/team/,"confidence=high. Verbatim title from the German team page; the English pages name nobody."
Elke Schäffner,"Univ.-Prof. Dr. Elke Schäffner, MSc; Stellvertretende Direktorin","Institute of Public Health (CC1)",,,https://iph.charite.de/ueber_das_institut/team/,"confidence=high."
Sabine Gabrysch,"Univ.-Prof. Dr. Dr.","Institute of Public Health (CC1)","Potsdam Institute for Climate Impact Research (not stated on this page; affiliation unverified)",,https://iph.charite.de/ueber_das_institut/team/,"confidence=medium. Listed under 'Weitere Professuren' on the German team page. Second affiliation NOT evidenced by the page and is left as an open question."
Klaus Beier,"Prof. Dr.","Institute of Sexology and Sexual Medicine (CC1)",,,https://www.charite.de/fileadmin/user_upload/portal/charite/organisation/download/organigramm/Overview_of_Departments_and_Institutes.pdf,"confidence=high."
