name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Ali Abbasi,Faculty,Embedded Security Group (CISPA Research Area: Secure Connected and Mobile Systems),,https://ali-abbasi.info/,https://cispa.de/en/people/c02alab,CV/bio describes as tenure-track faculty
Michael Backes,Faculty,CISPA Research Group (Backes),"Professor, Saarland University (since 2005); Founding Director & CEO, CISPA",https://michaelbackes.eu,https://cispa.de/en/people/backes,Founding Director & CEO of CISPA
Franziska Boenisch,Faculty,SprintML Lab (CISPA Research Area: Trustworthy Information Processing),,https://franziska-boenisch.de,https://cispa.de/en/people/c01frbo,CV/bio describes as tenure-track faculty
Sebastian Brandt,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,,https://cispa.de/en/people/c01sebr,CV/bio describes as tenure-track faculty
Sven Bugiel,Faculty,CISPA Research Area: Secure Connected and Mobile Systems,,https://svenbugiel.github.io/,https://cispa.de/en/people/bugiel,CV/bio describes as tenure-track faculty
Rebekka Burkholz,Faculty,CISPA Research Area: Trustworthy Information Processing,,,https://cispa.de/en/people/c01rebu,CV/bio describes as tenure-track faculty
Cas Cremers,Faculty,CISPA Research Area: Reliable Security Guarantees,"Professor of Computer Science, Saarland University (since 2018)",https://cispa.saarland/group/cremers/,https://cispa.de/en/people/cas.cremers,
Ana-Maria Crețu,Faculty,CISPA Research Area: Trustworthy Information Processing,,,https://cispa.de/en/people/c01ancr,
Rayna Dimitrova,Faculty,CISPA Research Area: Reliable Security Guarantees,,https://raynadimitrova.github.io/,https://cispa.de/en/people/c01radi,CV/bio describes as tenure-track faculty
Nico Döttling,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,https://sites.google.com/site/nicodoettling/,https://cispa.de/en/people/nico.doettling,
Adam Dziedzic,Faculty,SprintML Group (CISPA Research Area: Trustworthy Information Processing),,https://adam-dziedzic.com/,https://cispa.de/en/people/c01addz,CV/bio describes as tenure-track faculty
Thorsten Eisenhofer,Faculty,CISPA Research Area: Threat Detection and Defenses,,,https://cispa.de/en/people/c01thei,CV/bio describes as tenure-track faculty
Sascha Fahl,Faculty,CISPA Research Area: Empirical & Behavioral Security,"Professor, Leibniz University Hannover (chair for usable security and privacy, since 2018)",https://saschafahl.de,https://cispa.de/en/people/c01safa,CV/bio describes as tenured faculty
Bernd Finkbeiner,Faculty,Reactive Systems Group (CISPA Research Area: Reliable Security Guarantees),"Professor for Computer Science, Saarland University (since 2006)",https://finkbeiner.groups.cispa.de/people/finkbeiner.html,https://cispa.de/en/people/finkbeiner,
Mario Fritz,Faculty,CISPA Research Area: Trustworthy Information Processing,"Honorary Professor, Saarland University (since 2019); ELLIS Fellow",https://fritz.cispa.saarland,https://cispa.de/en/people/mario.fritz,
Maximilian Golla,Faculty,MaxLab (CISPA Research Area: Empirical & Behavioral Security),,https://group.cispa.io/golla,https://cispa.de/en/people/c01mago,CV/bio describes as tenure-track faculty
Simon Gregersen,Faculty,CISPA Research Area: Reliable Security Guarantees,,https://simongregersen.com,https://cispa.de/en/people/c02sigr,
Lucjan Hanzlik,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,https://lucjanhanzlik.github.io,https://cispa.de/en/people/lucjan.hanzlik,CV/bio describes as tenured faculty
Jonas Hielscher,Faculty,CHESS Lab (CISPA Research Area: Empirical & Behavioral Security),,,https://cispa.de/en/people/c01johi,
Jane Im,Faculty,Real-world Interactions and Systems for Change (RISC) Group (CISPA Research Area: Empirical & Behavioral Security),,https://imjane.net,https://cispa.de/en/people/c01jaim,CV/bio describes as tenure-track faculty
Swen Jacobs,Faculty,Rigorous Analysis and Design Group (CISPA Research Area: Reliable Security Guarantees),,https://swenjacobs.github.io/,https://cispa.de/en/people/swen.jacobs,
Antoine Joux,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,"Honorary professor at ""Saarbrücken University"" [as written on source page; likely refers to Saarland University, which is located in Saarbrücken]",,https://cispa.de/en/people/c01anjo,"Source page literally says 'honorary professor at Saarbrücken University' - there is no separate 'Saarbrücken University'; this almost certainly refers to Saarland University (Universitaet des Saarlandes, located in Saarbrücken). Flagged for de-duplication review."
Adam Edward Kortylewski,Faculty,CISPA Research Area: Trustworthy Information Processing,,https://genintel.mpi-inf.mpg.de/,https://cispa.de/en/people/c01adko,
Katharina Krombholz,Faculty,CISPA Research Area: Empirical & Behavioral Security,,https://scholar.google.at/citations?user=BkeawyUAAAAJ&hl=de,https://cispa.de/en/people/katharina.krombholz,
Andrew Lowy,Faculty,CISPA Research Area: Trustworthy Information Processing,,,https://cispa.de/en/people/c01anlo,
Wouter Lueks,Faculty,CISPA Research Area: Trustworthy Information Processing,,https://wouterlueks.nl,https://cispa.de/en/people/c01wolu,CV/bio describes as tenure-track faculty
Dániel Marx,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,,https://cispa.de/en/people/c01dama,CV/bio describes as tenured faculty
Ruijie Meng,Faculty,CISPA Research Area: Secure Connected and Mobile Systems,,,https://cispa.de/en/people/c01rume,
Pierre Meyer,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,https://pierremeyercs.github.io/,https://cispa.de/en/people/c01pime,CV/bio describes as tenure-track faculty
Krikamol Muandet,Faculty,CISPA Research Area: Trustworthy Information Processing,,https://krikamol.org,https://cispa.de/en/people/c01krmu,CV/bio describes as tenure-track faculty
Giancarlo Pellegrino,Faculty,CISPA Research Area: Empirical & Behavioral Security,,https://trouge.net/,https://cispa.de/en/people/giancarlo.pellegrino,CV/bio describes as tenured faculty
Michael Pradel,Faculty,CISPA Research Area: Threat Detection and Defenses,"Full Professor, University of Stuttgart (since 2019)",https://software-lab.org/people/Michael_Pradel.html,https://cispa.de/en/people/c01mipr,CV/bio describes as tenured faculty
Willy Quach,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,,https://cispa.de/en/people/c01wiqu,
Doreen Riepel,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,https://doreenriepel.me,https://cispa.de/en/people/c01dori,CV/bio describes as tenure-track faculty
Christian Rossow,Faculty,CISPA Research Area: Secure Connected and Mobile Systems,"Full Professor for Information Security, TU Dortmund (since 2025); formerly Professor, Saarland University (2016-2025, per CV)",https://christian-rossow.de/,https://cispa.de/en/people/rossow,CV/bio describes as tenured faculty; CV states Saarland University professorship ended 2025 when he moved to TU Dortmund; no longer a current Saarland affiliation.
Sajin Sasy,Faculty,CISPA Research Area: Algorithmic Foundations and Cryptography,,,https://cispa.de/en/people/c02sasa,
Moritz Schloegel,Faculty,CISPA Research Area: Threat Detection and Defenses,,https://mschloegel.me,https://cispa.de/en/people/c01mosc,
