name,title_verbatim,group_or_dept,location,other_affiliations,personal_url,evidence_url,notes
Prof. Dr.-Ing. Philipp Slusallek,Head; Executive Director DFKI Saarbrücken,Agents and Simulated Reality (ASR),Saarbrücken,"Full Professor (C4/W3), Computer Graphics, Saarland University (since 2000)",https://www.dfki.de/en/web/about-us/employee/person/phsl01,https://www.dfki.de/en/web/research/research-departments/agents-and-simulated-reality,Also Scientific Director/Site Manager DFKI Saarbrücken since 2008
Dr.-Ing. Christian Müller,Deputy Head,Agents and Simulated Reality (ASR),Saarbrücken,None stated,https://www.dfki.de/~cmueller/,https://www.dfki.de/en/web/research/research-departments/agents-and-simulated-reality,Also titled Principal Researcher; heads DFKI Competence Center Autonomous Driving
PD Dr. Matthias Klusch,Head of Research Team Intelligent Information Systems (I2S); Principal Researcher; DFKI Research Fellow,"Intelligent Information Systems (I2S) research group, within Agents and Simulated Reality (ASR)",Saarbrücken,"Private Docent (PD, Dr. habil.), Computer Science, Saarland University",https://www.dfki.de/~klusch,https://www.dfki.de/~klusch,Group leader within ASR department; not separately named as a top-level group on the ASR department page
Prof. Dr. Antonio Krüger,Head,Cognitive Assistants (COS),Saarbrücken,"Professor of Computer Science, Saarland University (since 2009); Head, Ubiquitous Media Technology Lab, Saarland University",https://www.dfki.de/~krueger/,https://www.dfki.de/en/web/research/research-departments/cognitive-assistants/,Also CEO and Scientific Director of DFKI (all locations)
Dr. Anselm Blocher,First Deputy Head research department Cognitive Assistants,Cognitive Assistants (COS),Saarbrücken,None stated,https://www.dfki.de/web/ueber-uns/mitarbeiter/person/anbl00,https://www.dfki.de/en/web/research/research-departments/cognitive-assistants/,Also DFKI Operative Coordinator for German-French AI Cooperation
Dr. Kinga Schumacher,Deputy Head,Cognitive Assistants (COS),Berlin,"PhD (Artificial Intelligence), University of Potsdam",https://www.dfki.de/en/web/about-us/employee/person/kisc01/,https://www.dfki.de/en/web/research/research-departments/cognitive-assistants/,COS department is Saarbrücken-headquartered but her listed contact number is a Berlin (030) line and secondary sources place her at DFKI Berlin; also Head of DFKI Diversity & Gender Equality Office. Location flagged rather than assumed.
Jan Alexandersson,"Research Fellow and Principal Researcher; Group leader (project and research management), SCAAI","Social, Cognitive and Affective AI (SCAAI) group, within Cognitive Assistants (COS)",Saarbrücken,None stated,https://scaai.dfki.de/team-member/377/,https://scaai.dfki.de/team/,"Historically also Head, Ambient Assisted Living Competence Center"
Dr. Patrick Gebhard,Research Fellow and Principal Researcher; co-head of SCAAI,"Social, Cognitive and Affective AI (SCAAI) group, within Cognitive Assistants (COS)",Saarbrücken,"None stated (Co-Founder, alangu GmbH, industry, since 2023)",https://scaai.dfki.de/team-member/patrick-gebhard/,https://scaai.dfki.de/team/,"Co-head of SCAAI since 2024, alongside Jan Alexandersson"
Prof. Dr. Peter Loos,Head,Institute for Information Systems (IWi),Saarbrücken,"Chair of Business Administration and Information Systems (Business Informatics), Saarland University",https://www.dfki.de/web/ueber-uns/mitarbeiter/person/pelo01/,https://www.dfki.de/en/web/research/research-departments/institute-for-information-systems,
Prof. Dr. Peter Fettke,"Deputy Head; Principal Researcher, Research Fellow and Research Group Leader",Institute for Information Systems (IWi),Saarbrücken,"außerplanmäßiger Professor, Business Informatics, Saarland University (since 2015)",https://www.dfki.de/en/web/about-us/employee/person/pefe01,https://www.dfki.de/en/web/research/research-departments/institute-for-information-systems,Leads own ~30-person research group within IWi; directs Tax Technology Competence Center since 2017
Dr. Simon Ostermann,Interim Head,Multilinguality and Language Technology (MLT),Saarbrücken,"Interim chair holder for translation-oriented language technologies, Saarland University",https://www.dfki.de/en/web/about-us/employee/person/sios01,https://www.dfki.de/en/web/research/research-departments/multilinguality-and-language-technology,Department headship is currently interim/acting per the department page
Prof. Dr. Günter Neumann,wissenschaftlicher Mitarbeiter and Research Fellow am DFKI; apl. Professor; Principal Researcher,"Question Answering and Information Extraction (QAIE) group, within Multilinguality and Language Technology (MLT)",Saarbrücken,"apl. Professor für Computerlinguistik, Universität des Saarlandes (appointed 2014)",https://www.dfki.de/~neumann,https://www.dfki.de/~neumann,DFKI Research Fellow since 1992; current scope of QAIE group leadership not independently confirmed beyond his own profile page
Prof. Dr. Verena Wolf,headed by Prof. Dr. Verena Wolf,Neuro-mechanistic Modeling (NMM),Saarbrücken,"Full Professor, Computer Science Department, Saarland University (since 2012)",https://www.dfki.de/web/ueber-uns/mitarbeiter/person/vewo01,https://www.dfki.de/en/web/news/new-research-department-neuro-mechanistic-modeling-at-dfki,Department started at DFKI Saarbrücken 1 Jan 2023; department page itself did not show an explicit 'Head:' label
"Kevin Baum, M.A. M.Sc.",Head of the RAIME research group,"Responsible AI and Machine Ethics (RAIME) group, within Neuro-mechanistic Modeling (NMM)",Saarbrücken,None stated,https://kevinbaum.de/,https://www.dfki.de/en/web/research/research-departments/neuro-mechanistic-modeling/raime,Listed without a doctoral title (M.A. M.Sc.) on the DFKI page; independent research group leader
Prof. Dr.-Ing. Wolfgang Maaß,Head,Smart Service Engineering (S2E),Saarbrücken,"Professor, Chair for Information Systems, Saarland University",https://iss.uni-saarland.de/team/maass,https://www.dfki.de/en/web/research/research-departments/smart-service-engineering,
Dr.-Ing. Sabine Janzen,Deputy Head,Smart Service Engineering (S2E),Saarbrücken,"Senior Researcher, Chair of Business Informatics, Saarland University; PhD Information Systems, Universität des Saarlandes",,https://www.dfki.de/en/web/research/research-departments/smart-service-engineering,No standalone DFKI profile URL found in accessible sources
