name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Matthias Bethge,Unit Director; Program Director; Fellow,Bethge Lab; ELLIS Unit Tübingen,Tübingen AI Center (TÜ.AI); University of Tübingen,https://www.bethgelab.org,https://ellis.eu/person/matthias-bethge,Director of Tübingen AI Center (as of July 2025 with Philipp Hennig)
Bernhard Schölkopf,Unit Director; Program Director; Fellow; Director of the Department of Empirical Inference,Empirical Inference Department; ELLIS Unit Tübingen,Max Planck Institute for Intelligent Systems; University of Tübingen; Tübingen AI Center (TÜ.AI),https://www.is.mpg.de/~bs,https://ellis.eu/person/bernhard-scholkopf,Co-founder and former president of ELLIS
Michael J. Black,Director; Fellow,Perceiving Systems Department; ELLIS Unit Tübingen,Max Planck Institute for Intelligent Systems,,https://ellis.eu/person/michael-j-black,Department Head of Perceiving Systems at MPI-IS
Peter Dayan,Program Director; Fellow,ELLIS Unit Tübingen,Max Planck Institute for Biological Cybernetics,https://www.scholarpedia.org/article/Peter_Dayan,https://ellis.eu/person/peter-dayan,
Philipp Hennig,"Prof. Dr.; Professor for the Methods of Machine Learning; Program Director; Fellow",Chair for Methods of Machine Learning; ELLIS Unit Tübingen,University of Tübingen; Tübingen AI Center (TÜ.AI),https://uni-tuebingen.de/en/134782,https://ellis.eu/person/philipp-hennig,Director of Tübingen AI Center (as of July 2025 with Matthias Bethge); Co-Director of ELLIS Program on Theory; Former Dean of Studies for Computer Science (Oct 2022 - Oct 2025)
Gerard Pons-Moll,"Program Director; Scholar",ELLIS Unit Tübingen,University of Tübingen; Max Planck Institute for Informatics,http://virtualhumans.mpi-inf.mpg.de,https://ellis.eu/person/gerard-pons-moll,Leads virtual humans group; secondary affiliation at MPI for Informatics
Andreas Geiger,"Prof. Dr.-Ing.; Fellow",Autonomous Vision Group; ELLIS Unit Tübingen,University of Tübingen; Max Planck Institute for Intelligent Systems; Tübingen AI Center (TÜ.AI),https://www.cvlibs.net,https://ellis.eu/person/andreas-geiger,Head of Autonomous Vision Group; on leave as CEO of KE:SAI (Kyutai ELLIS Scalable Autonomous Intelligence)
Matthias Hein,"Prof. Dr.; Fellow",Machine Learning; ELLIS Unit Tübingen,University of Tübingen; Cluster of Excellence Machine Learning in Science,,https://ellis.eu/person/matthias-hein,Part of "Theory; Algorithms and Computations of Modern Learning Systems" group
Bob Williamson,"Prof. Dr.; Professor of Foundations of Machine Learning Systems; Fellow",Machine Learning; ELLIS Unit Tübingen; Cluster of Excellence Machine Learning in Science,University of Tübingen,,https://ellis.eu/person/bob-williamson,
Moritz Hardt,"Fellow; Department Head (Social Foundations of Computation)",Social Foundations of Computation Department; ELLIS Unit Tübingen,Max Planck Institute for Intelligent Systems,https://www.mrtz.org,https://ellis.eu/person/moritz-hardt,Department Head at MPI-IS
Michael Muehlebach,"Member; Research Group Leader (Learning and Dynamical Systems)",Learning and Dynamical Systems Research Group; ELLIS Unit Tübingen,Max Planck Institute for Intelligent Systems,https://sites.google.com/view/mmuehlebach,https://ellis.eu/person/michael-muehlebach,Independent research group leader at MPI-IS
Jakob Macke,"Prof. Dr.; Fellow",Maschinelles Lernen in der Wissenschaft (Machine Learning in Science); ELLIS Unit Tübingen,University of Tübingen; ELLIS Institute Tübingen,https://www.mackelab.org,https://ellis.eu/person/jakob-macke,Professor at University of Tübingen
