name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Sahar Abdelnabi,PI,Cooperative Machine Intelligence for People-Aligned Safe Systems,"Max Planck Institute for Intelligent Systems (Independent Research Group Leader); Tübingen AI Center",https://s-abdelnabi.github.io/,https://institute-tue.ellis.eu/en/people/sabdelnabi,"Own bio page: ""Principal Investigator at the ELLIS Institute Tübingen and an Independent Research Group Leader at the Max Planck Institute for Intelligent Systems."" News (2025-08-01, new-principal-investigators-join-the-ellis-institute-tubingen): ""co-affiliated with the Max Planck Institute for Intelligent Systems (MPI-IS) and the Tübingen AI Center as Independent Research Group Leaders."" Joined Oct 2025."
Rediet Abebe,PI,AI & Mechanisms,,https://redietabebe.org/,https://institute-tue.ellis.eu/en/people/35f5adb1-9666-42a2-8781-4c16a8de0b50,No bio text or second affiliation is stated on her ELLIS profile page or in any ELLIS news post found; group description on research-groups page is blank.
Maksym Andriushchenko,PI,AI Safety and Alignment,"Max Planck Institute for Intelligent Systems; Tübingen AI Center (Independent Research Group Leader)",https://www.andriushchenko.me/,https://institute-tue.ellis.eu/en/people/35c3f111-f9ad-482c-804e-924fe8ab18a7,"Second affiliation per news article new-principal-investigators-join-the-ellis-institute-tubingen (2025-08-01); not repeated on his own thin profile page. Joined Sept 2025."
Wieland Brendel,PI,Robust Machine Learning,"Max Planck Institute for Intelligent Systems (independent Group Leader, since May 2022)",,https://institute-tue.ellis.eu/en/people/wieland-brendel,"Badge/title on Faculty and People pages reads ""PI""; own bio text separately states he ""is now a Hector-endowed Fellow at the ELLIS Institute Tübingen (since September 2023)."" Bio also lists prior role as PI/Team Lead in the Tübingen AI Center (2018) before moving to MPI-IS. The site's ""Website"" link for him is not an external personal site -- it points back to his own institute-tue.ellis.eu profile."
Kashyap Chitta,PI,Physical AI Lab,,https://kashyap7x.github.io,https://institute-tue.ellis.eu/en/people/kashyap-chitta,"CONFIRMED CURRENT: Faculty page (institute-tue.ellis.eu/en/faculty) and People Directory both badge him ""PI"" of ""Physical AI Lab,"" and this is his canonical profile URL (linked from Faculty/People). SEPARATE STALE RECORD FOUND: institute-tue.ellis.eu/en/people/kchitta (a different, older DB record, canonical URL /avg/person/kchitta) tags him ""Autonomous Vision"" and displays ""Note: Kashyap Chitta has transitioned from the institute (Alumni)"" -- this is leftover from his 2019-2025 PhD in the Autonomous Vision Group at University of Tübingen under Andreas Geiger, not his current ELLIS status. No second affiliation is stated on his current PI profile page."
Maximilian Dax,PI,Science and Probabilistic Intelligence,"Max Planck Institute for Intelligent Systems; Tübingen AI Center (Independent Research Group Leader)",https://max-dax.github.io/,https://institute-tue.ellis.eu/en/people/mdax,"Second affiliation per news article new-principal-investigators-join-the-ellis-institute-tubingen (2025-08-01). Same article: PhD completed at MPI-IS in Tübingen under Bernhard Schölkopf; also postdoc at ETH Zurich. Joined Sept 2025."
Jonas Geiping,PI,Safety- and Efficiency- aligned Learning,Max Planck Institute for Intelligent Systems; Tübingen AI Center,https://jonasgeiping.github.io/,https://institute-tue.ellis.eu/en/people/jgeiping,"Own bio: ""PI at the ELLIS Institute in Tübingen, co-affiliated with the MPI for Intelligent Systems and the Tübingen AI Center."""
Frank Hutter,PI,AutoML,"University of Freiburg (Full Professor for Machine Learning, since 2016); Director of the ELLIS Unit Freiburg",,https://institute-tue.ellis.eu/en/people/fh,"Group name ""AutoML"" is from the Research Groups listing page (his own profile lists title ""PI"" with no group name). News headline separately calls him ""Hector Endowed Fellow."" His ""Website"" link is not external -- it points to the German version of his own institute-tue.ellis.eu profile."
Shiwei Liu,PI,"Wild, Efficient, and Innovative AI","Max Planck Institute for Intelligent Systems (group leader); Tübingen AI Center (Independent Research Group Leader)",https://shiweiliuiiiiiii.github.io/,https://institute-tue.ellis.eu/en/people/sliu,"Own bio: ""I am an PI at ELLIS Institute Tübingen and a group leader at Max Planck Institute for Intelligent Systems."" News article new-PIs-2025 adds Tübingen AI Center co-affiliation and calls him a ""Hector Endowed Fellow.'' Joined July 2025."
Jakob Macke,PI,Machine Learning in Science,"University of Tübingen (Professor for Machine Learning in Science, Cluster of Excellence ""Machine Learning: New Perspectives for the Sciences""); Tübingen AI Center",https://www.mackelab.org,https://institute-tue.ellis.eu/en/people/a59a0cc7-da24-4503-ac9e-185ebac9d7e3,"His profile page displays two group tags: ""Machine Learning in Science"" and ""Empirical Inference""; news article (prof-jakob-macke-joins..., 2026-06-30) says he ""will lead the group Machine Learning in Science"" and also calls him ""Hector Endowed Fellow."" Also Director of the Bernstein Center for Computational Neuroscience and Speaker of the Cluster of Excellence, per same article."
