name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Beatriz Roldán Cuenya,"Director (Interface Science Department); Interim Director of the Inorganic Chemistry Department (since April 2023); also listed as Group Leader of the ISC research group ""Operando Catalysis""",Interface Science Department; Inorganic Chemistry Department (interim); Operando Catalysis (ISC research group),"Ruhr-Universität Bochum (former chair professor of Solid State Physics 2013-2017, stated as no longer current on institute page)",https://www.fhi.mpg.de/isc-department/director,https://www.fhi.mpg.de/isc-department/director,"institute labels this a scientific department (""Departments"" / ""Wissenschaftliche Abteilungen"") at https://www.fhi.mpg.de/departments and https://www.fhi.mpg.de/abteilungen; unit label per institute's own page; heads TWO of the five scientific departments (Interface Science substantive, Inorganic Chemistry interim); also named Group Leader of an ISC-internal research group at https://www.fhi.mpg.de/isc-department/research-groups; one row, counted once"
Gerard Meijer,Director,Molecular Physics Department,"Ruhr-Universität Bochum (Member of the University Council, since 2023); DEAL Consortium (Acting Speaker); Radboud University Nijmegen (former, per CV)",https://www.fhi.mpg.de/217524/CV,https://www.fhi.mpg.de/207024/mp-department,"institute labels this a scientific department (""Departments"" / ""Wissenschaftliche Abteilungen"") at https://www.fhi.mpg.de/departments and https://www.fhi.mpg.de/abteilungen; unit label per institute's own page; CV at https://www.fhi.mpg.de/217524/CV"
Martin Wolf,Director; Deputy Managing Director (2026 - 2027),Physical Chemistry Department,,https://pc.fhi-berlin.mpg.de/,https://pc.fhi-berlin.mpg.de/,"institute labels this a scientific department (""Departments"" / ""Wissenschaftliche Abteilungen"") at https://www.fhi.mpg.de/departments and https://www.fhi.mpg.de/abteilungen; unit label per institute's own page; Deputy Managing Director title verbatim from https://www.fhi.mpg.de/management-administration; PC department runs on a separate host pc.fhi-berlin.mpg.de"
Karsten Reuter,Director; Managing Director (2026 - 2027),Theory Department,"CatLab (Executive Committee member, joint FHI / Helmholtz-Zentrum Berlin project, https://www.fhi.mpg.de/1391413/structure)",https://www.fhi.mpg.de/th-department/director,https://www.fhi.mpg.de/321765/th-department,"institute labels this a scientific department (""Departments"" / ""Wissenschaftliche Abteilungen"") at https://www.fhi.mpg.de/departments and https://www.fhi.mpg.de/abteilungen; unit label per institute's own page; Managing Director title verbatim from https://www.fhi.mpg.de/management-administration"
Annette Trunschke,Group Leader,Catalysis with Oxides (Inorganic Chemistry Department),,https://www.fhi.mpg.de/525157/Oxide-group,https://www.fhi.mpg.de/525109/Groups,"institute labels this a ""Research Group"" listed under the Inorganic Chemistry (AC) scientific department at https://www.fhi.mpg.de/525109/Groups; i.e. subteam/research group inside department Inorganic Chemistry; title ""Group Leader"" verbatim on department members page https://www.fhi.mpg.de/927687/People2"
Katarzyna Skorupska,Group Leader,Catalysis with Metals (Inorganic Chemistry Department),,https://www.fhi.mpg.de/531373/Metal,https://www.fhi.mpg.de/525109/Groups,"institute labels this a ""Research Group"" listed under the Inorganic Chemistry (AC) scientific department at https://www.fhi.mpg.de/525109/Groups; i.e. subteam/research group inside department Inorganic Chemistry; listed as ""Kasia Skorupska"", Group Leader, on https://www.fhi.mpg.de/927687/People2"
Axel Knop-Gericke,Group Leader,Electronic structure (Inorganic Chemistry Department),,https://www.fhi.mpg.de/557648/Electronic-structure,https://www.fhi.mpg.de/525109/Groups,"institute labels this a ""Research Group"" listed under the Inorganic Chemistry (AC) scientific department at https://www.fhi.mpg.de/525109/Groups; i.e. subteam/research group inside department Inorganic Chemistry; title ""Group Leader"" verbatim on https://www.fhi.mpg.de/927687/People2"
Hendrik Bluhm,Group Leader,Liquid-vapor interfaces (Inorganic Chemistry Department),,https://www.fhi.mpg.de/565496/liquid_vapor_interfaces,https://www.fhi.mpg.de/525109/Groups,"institute labels this a ""Research Group"" listed under the Inorganic Chemistry (AC) scientific department at https://www.fhi.mpg.de/525109/Groups; i.e. subteam/research group inside department Inorganic Chemistry; same group also listed under the heading ""Associated Groups"" of the Physical Chemistry department as ""Liquid-Vapor Interfaces (FHI AC)"" at https://pc.fhi-berlin.mpg.de/; one person, one row"
Thomas Lunkenbein,group leader,Electron Microscopy (Inorganic Chemistry Department),"Universität Bayreuth (listed as ""Prof. Dr. Thomas Lunkenbein"", Guest Researcher, affiliation ""Uni-Bayreuth"", on https://www.fhi.mpg.de/isc-department/people)",https://www.fhi.mpg.de/571570/Microscopy,https://www.fhi.mpg.de/571570/Microscopy,"institute labels this a ""Research Group"" listed under the Inorganic Chemistry (AC) scientific department at https://www.fhi.mpg.de/525109/Groups; i.e. subteam/research group inside department Inorganic Chemistry; confidence=medium: group page https://www.fhi.mpg.de/571570/Microscopy still calls him group leader, but he is not in the highlighted ""Group Leaders"" block on https://www.fhi.mpg.de/927687/People2 and appears as a Guest Researcher with a Bayreuth affiliation on https://www.fhi.mpg.de/isc-department/people; possible move to a professorship not confirmable without further sources"
Arno Bergmann,Group Leader,Dynamics at Electrocatalytic Interfaces (Interface Science Department),,https://www.fhi.mpg.de/dynamics-at-electrocatalytic-interfaces,https://www.fhi.mpg.de/isc-department/research-groups,"institute labels this a ""Research Group"" with leader titled ""Group Leader"", listed under the Interface Science (ISC) scientific department at https://www.fhi.mpg.de/isc-department/research-groups; i.e. subteam/research group inside department Interface Science"
See Wee Chee,Group Leader,Liquid Phase Electron and X-ray Microscopy (Interface Science Department),,https://www.fhi.mpg.de/isc-dept/research-groups/liquid-phase-electron-microscopy,https://www.fhi.mpg.de/isc-department/research-groups,"institute labels this a ""Research Group"" with leader titled ""Group Leader"", listed under the Interface Science (ISC) scientific department at https://www.fhi.mpg.de/isc-department/research-groups; i.e. subteam/research group inside department Interface Science"
Markus Heyde,Group Leader,Scanning Probe Microscopy (Interface Science Department),,https://www.fhi.mpg.de/isc-dept/research-groups/scanning-probe-microscopy,https://www.fhi.mpg.de/isc-department/research-groups,"institute labels this a ""Research Group"" with leader titled ""Group Leader"", listed under the Interface Science (ISC) scientific department at https://www.fhi.mpg.de/isc-department/research-groups; i.e. subteam/research group inside department Interface Science"
