name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Thomas Wiegand,"Prof. Dr.-Ing. Thomas Wiegand, Executive Director / Institutsleiter (DE); listed on organigram (April 2026) as ""Executive Director""",Institutsleitung / Institute management (also listed on Artificial Intelligence department contact),"Technische Universität Berlin (professor, Department of Electrical Engineering and Computer Science); ELLIS (Fellow); BIFOLD (Fellow); acatech; Leopoldina; Film University Babelsberg (Board of Trustees); Robert Koch Institute (scientific advisory board)",http://iphome.hhi.de/wiegand/,https://www.hhi.fraunhofer.de/en/fraunhofer-hhi/executive-director.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). German title ""Institutsleiter"" per https://www.hhi.fraunhofer.de/das-fraunhofer-hhi/leitung.html. Also appears on AI dept contact list, consistent with Samek's page stating he ""jointly"" heads the AI department."
Ralf Schäfer,"Dr.-Ing. Ralf Schäfer, ""Deputy Executive Director"" (organigram); ""Division Director Video"" / ""Bereichsleiter Video"" (department pages)",Institutsleitung / Video division (Vision & Imaging Technologies + Video Coding & Analytics),,http://iphome.hhi.de/schaefer/,https://www.hhi.fraunhofer.de/fileadmin/Institut/Organisationsplan/2026/20260421_Organigramm_HHI_EN.pdf,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Name appears as ""Ralf Schäfer"" on German pages. ""Deputy Executive Director"" appears only on the April 2026 organigram PDF; the web pages give ""Division Director Video"". Also evidenced at https://www.hhi.fraunhofer.de/en/departments/vit/people-and-contact.html"
Detlev Marpe,"Dr.-Ing. Detlev Marpe, ""Head of AI and Video Division / Head of Department Video Communication and Applications""; DE ""Bereichsleiter AI und Video, Abteilungsleiter Videokommunikation und Applikationen""",AI & Video Division; Video Communication and Applications department,,http://iphome.hhi.de/marpe/index.htm,https://www.hhi.fraunhofer.de/en/departments/vca/people-and-contact.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Personal page http://iphome.hhi.de/marpe/index.htm is stale (says ""Head of Video Coding & Analytics Department""). German evidence https://www.hhi.fraunhofer.de/abteilungen/vca.html. No university professorship stated on any HHI page."
Slawomir Stanczak,"Prof. Dr.-Ing. habil. Slawomir Stanczak, ""Head of Communications and Networks Division / Head of Department Wireless Communications and Networks, Scientific research""; DE ""Bereichsleiter / Abteilungsleiter""",Communication & Networks Division; Wireless Communications and Networks department,,https://www.hhi.fraunhofer.de/en/departments/wn/people-and-contact/slawomir-stanczak.html,https://www.hhi.fraunhofer.de/en/departments/wn/people-and-contact.html,"confidence=medium on affiliations. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Carries the title ""Prof."" but no HHI page states which university; his own HHI person page is essentially empty. A university chair (widely reported as TU Berlin) could NOT be confirmed from HHI sources - other_affiliations deliberately left blank."
Norbert Keil,"Norbert Keil, ""Head of Photonic Components and Systems Division / Head of Department Hybrid Integration and Sensing""; organigram gives ""Dipl.-Ing. Norbert Keil""",Photonic Components & Systems Division; Hybrid Integration and Sensing department,,,https://www.hhi.fraunhofer.de/en/departments/hybrid-integration-and-sensing/people-and-contact.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). The organigram PDF text renders the name as ""Norbert Kei"" in one cell (PDF text-extraction truncation) and ""Norbert Keil"" in the division cell; web page confirms ""Norbert Keil""."
Wojciech Samek,"Prof. Dr. rer. nat. Wojciech Samek, ""Head of Artificial Intelligence Department, Head of Explainable Artificial Intelligence Group""; DE ""Abteilungsleiter Künstliche Intelligenz, Gruppenleiter Erklärbare Künstliche Intelligenz""; personal page: ""Head of AI Department, Fraunhofer HHI / Professor for ML & Communications, TU Berlin""",Artificial Intelligence department; Explainable Artificial Intelligence group,"Technische Universität Berlin (professor, Department of Electrical Engineering and Computer Science); BIFOLD; ELLIS Unit Berlin",http://iphome.hhi.de/samek/index.htm,https://www.hhi.fraunhofer.de/en/departments/ai/people-and-contact.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Professorship stated verbatim on personal page http://iphome.hhi.de/samek/index.htm. Department page https://www.hhi.fraunhofer.de/en/departments/ai.html states the department is part of BIFOLD and the ELLIS Unit Berlin. German title at https://www.hhi.fraunhofer.de/abteilungen/ai.html"
Sebastian Roland Lapuschkin,"Dr. rer. nat. Sebastian Roland Lapuschkin, ""Heads of Group: Dr. rer. nat. Wojciech Samek, Dr. rer. nat. Sebastian Roland Lapuschkin"" (Explainable Artificial Intelligence); organigram: ""Dr. rer. nat. Sebastian Lapuschkin""",Artificial Intelligence department; Explainable Artificial Intelligence group,,,https://www.hhi.fraunhofer.de/en/departments/ai/research-groups.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin)"
Jackie Ma,"Dr. rer. nat. Jackie Ma, ""Head of Group: Dr. rer. nat. Jackie Ma"" (Applied Machine Learning)",Artificial Intelligence department; Applied Machine Learning group,,,https://www.hhi.fraunhofer.de/en/departments/ai/research-groups.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin)"
Karsten Müller,"Dr.-Ing. Karsten Müller, ""Head of Group: Dr.-Ing. Karsten Müller"" (Efficient Deep Learning)",Artificial Intelligence department; Efficient Deep Learning group,,,https://www.hhi.fraunhofer.de/en/departments/ai/research-groups.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Name spelled ""Karsten Müller"" on the page."
Thomas Schierl,"Dr.-Ing. Thomas Schierl, ""Head of Video Communication and Applications Department""; DE ""Abteilungsleiter Videokommunikation und Applikationen""",Video Communication and Applications department,,https://www.hhi.fraunhofer.de/en/departments/vca/people-and-contact/thomas-schierl.html,https://www.hhi.fraunhofer.de/en/departments/vca/people-and-contact.html,"confidence=high. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Co-heads the department with Detlev Marpe. His biography page is partly stale (refers to the former ""Video Coding & Analytics"" department)."
Heiko Schwarz,"Prof. Dr.-Ing. Heiko Schwarz, ""Head of Video Coding Technologies"" / ""Heads of Group: Prof. Dr.-Ing. Heiko Schwarz, Prof. Dr. rer. nat. Jonathan Pfaff""",Video Communication and Applications department; Video Coding Technologies group,"Freie Universität Berlin (personal page links a section ""Teaching (FU Berlin)"")",http://iphome.hhi.de/schwarz/,https://www.hhi.fraunhofer.de/en/departments/vca/research-groups/video-coding-technologies.html,"confidence=medium on affiliation. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Personal page http://iphome.hhi.de/schwarz/ heads him ""Head of Image & Video Coding Group"" (stale) and lists ""Teaching (FU Berlin)""; a formal FU Berlin professorship is not spelled out on HHI pages."
Jonathan Pfaff,"Prof. Dr. rer. nat. Jonathan Pfaff, ""Head of Video Coding Technologies Group""",Video Communication and Applications department; Video Coding Technologies group,,,https://www.hhi.fraunhofer.de/en/departments/vca/research-groups/video-coding-technologies.html,"confidence=medium on affiliations. site: Berlin (Einsteinufer 37 / Salzufer 15-16, 10587 Berlin). Carries ""Prof."" but no university is named on any HHI page."
