name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Knut Reinert,Prof. Dr.-Ing. Knut Reinert,"Arbeitsgruppe Algorithmic Bioinformatics (ABI), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.fu-berlin.de/en/inf/groups/abi/members/Professors/reinert.html,https://www.mi.fu-berlin.de/inf/groups/index.html,Group listed as one of the Institut für Informatik's Arbeitsgruppen; leader confirmed via ABI members page.
Katharina Jahn,Prof. Dr. Katharina Jahn,"Arbeitsgruppe Biomedical Data Science (AG BDS), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.fu-berlin.de/en/inf/groups/ag-bds/staff/jahn.html,https://www.mi.fu-berlin.de/inf/groups/index.html,Group leader confirmed via AG-BDS staff page.
Jochen Schiller,Prof. Dr. Jochen Schiller,"Arbeitsgruppe Computer Systems & Telematics (AG Tech), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,,https://www.mi.fu-berlin.de/inf/groups/ag-tech/index.html,"MEDIUM CONFIDENCE: title/leadership confirmed only via the institute-wide Arbeitsgruppen index (mi.fu-berlin.de/inf/groups/index.html); the group's own members subpages returned 404/could not be located, so no personal profile URL was found."
Adrian Paschke,Prof. Dr. Adrian Paschke,"Arbeitsgruppe Corporate Semantic Web (AG CSW), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.mi.fu-berlin.de/inf/groups/ag-csw/Members/members/paschke.html,https://www.mi.fu-berlin.de/inf/groups/ag-csw/index.html,"Also listed as one of several leaders on the Dahlem Center for Machine Learning and Robotics (AG-KI) page, but AG-CSW appears to be his primary chair. AG-CSW page links to 'Fraunhofer Data Analytics Center' as a related topic but does not explicitly state this as his personal affiliation, so it was not recorded in other_affiliations."
Christoph Benzmüller,apl. Prof. Dr. Christoph Benzmüller,"Dahlem Center for Machine Learning and Robotics (AG KI) - Logic and Automated Reasoning, Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Benzm__ller.html,https://www.mi.fu-berlin.de/inf/groups/ag-ki/index.html,"Title is 'apl. Prof.' (außerplanmäßiger Professor, non-tenured professorial title granted after habilitation), not an honorary/emeritus title. Page confirms he independently leads a research line (automated reasoning / logic) within the Dahlem Center. Included per over-collect policy; downstream adjudication should confirm independence of his group."
Daniel Göhring,Prof. Dr. Daniel Göhring,"Dahlem Center for Machine Learning and Robotics (AG KI) - Autonomous Vehicles, Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Daniel_G__hring1.html,https://www.mi.fu-berlin.de/inf/groups/ag-ki/index.html,
Tim Landgraf,Prof. Dr. Tim Landgraf,"Dahlem Center for Machine Learning and Robotics (AG KI) - Artificial and Collective Intelligence, Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Tim_Landgraf.html,https://www.mi.fu-berlin.de/inf/groups/ag-ki/index.html,
Agnès Voisard,Prof. Dr. Agnès Voisard,"Arbeitsgruppe Datenbanken und Informationssysteme (AG DB), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",Fraunhofer FOKUS — strategische Entwicklung im Kompetenzzentrum 'Electronic Safety and Security Systems for the Public and Industries (ESPRI)',https://www.fu-berlin.de/inf/groups/ag-db/members/Professors/voisard_agnes.html,https://www.fu-berlin.de/inf/groups/ag-db/members/Professors/voisard_agnes.html,Fraunhofer FOKUS affiliation explicitly stated on her personal profile page.
Katharina Baum,Prof. Dr. Katharina Baum,"Arbeitsgruppe Datenintegration in den Lebenswissenschaften (AG DILIS), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,https://www.mi.fu-berlin.de/w/DILIS/KatharinaBaum,https://www.mi.fu-berlin.de/w/DILIS/Team,Listed as chair/leader of the DILIS group on the group's Team wiki page.
Katinka Wolter,Prof. Dr. Katinka Wolter,"Arbeitsgruppe Dependable Distributed Systems (AG DDS), Institut für Informatik, Fachbereich Mathematik und Informatik, Freie Universität Berlin",,http://www.mi.fu-berlin.de/users/katinkaw/cgi-bin/personal_page.cgi,https://www.mi.fu-berlin.de/en/inf/groups/ag-dds/index.html,
