name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Fabian Theis,"Director of the Computational Health Center, Director of the Institute for Computational Biology",Computational Health Center / Institute of Computational Biology (ICB),"Chair for Mathematical Modeling of Biological Systems, Technical University of Munich (TUM); Scientific Director, Helmholtz AI (national initiative)",https://www.helmholtz-munich.de/icb/fabian-theis,https://www.helmholtz-munich.de/icb/fabian-theis,
Carsten Marr,Director Institute of AI for Health,Institute of AI for Health (AIH) / Marr Lab,"W3 Professor for Artificial Intelligence in Cell Therapy and Hematology, Department of Medicine III, LMU University Hospital (joint appointment with Helmholtz Munich, effective 2025-07-01)",https://www.helmholtz-munich.de/en/aih/carsten-marr,https://www.helmholtz-munich.de/en/aih/research-groups/marr-group,Second affiliation confirmed via news article on appointment (see AIH news page).
Ewa Szczurek,Co-director of the Institute for AI for Health,Institute of AI for Health (AIH),"Joint lab at the Faculty of Mathematics, Informatics and Mechanics, University of Warsaw, Poland; formerly Visiting Associate Professor, Northwestern University (2023); Habilitation, University of Warsaw (2020)",https://www.helmholtz-munich.de/en/aih/ewa-szczurek,https://www.helmholtz-munich.de/en/aih/ewa-szczurek,
Björn Eskofier,"Associate Principal Investigator (leader, Translational Digital Health research group)",Institute of AI for Health (AIH) / Eskofier Lab,"Head, Machine Learning and Data Analytics (MaD) Lab, Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU, since 2013); Founding spokesperson, FAU Department Artificial Intelligence in Biomedical Engineering (AIBE, since 2016)",https://www.helmholtz-munich.de/en/aih/bjoern-eskofier,https://www.helmholtz-munich.de/en/aih/bjoern-eskofier,Primary appointment appears to be at FAU with an associate/joint PI role at Helmholtz Munich; recorded per page framing.
Tingying Peng,Group leader,Institute of AI for Health (AIH) / Peng Lab (AI for microscopy and computational pathology),,https://www.helmholtz-munich.de/en/aih/tingying-peng,https://www.helmholtz-munich.de/en/aih/research-groups/peng-group,No other affiliation stated on page.
Bastian Rieck,Research Group Leader,Institute of AI for Health (AIH) / AIDOS Lab (Rieck Group),"Listed as a Helmholtz Pioneer Campus alumnus on the Pioneer Campus site (sitemap), suggesting he moved from Pioneer Campus to AIH.",https://www.helmholtz-munich.de/en/aih/research-groups/rieck-group,https://www.helmholtz-munich.de/en/aih/research-groups/rieck-group,
Na Cai,Principal Investigator,Institute of AI for Health (AIH) / Translational Genetics Group; also cross-listed under Helmholtz Pioneer Campus,"Formerly EBI-Sanger Postdoctoral Fellow, Wellcome Sanger Institute & EMBL-EBI (2016-2019); PhD, University of Oxford",https://www.pioneercampus.org/themenmenue-links/about-us0/principal-investigators/na-cai/index.html,https://www.helmholtz-munich.de/en/aih;https://www.pioneercampus.org/themenmenue-links/about-us0/principal-investigators/na-cai/index.html,"AMBIGUITY: current AIH page lists her as active PI, but Helmholtz-Munich's own sitemap lists a page at helmholtz-pioneer-campus/pioneercampus-alumni/na-cai, implying alumni/former status at Pioneer Campus. Included as AIH PI per the AIH institute page; flagging status uncertainty."
Francesco Paolo Casale,"Principal Investigator, Systems Genetics and Machine Learning",Institute of AI for Health (AIH); also Helmholtz Pioneer Campus PI listing,"Office at Biomedical Center (BMC), Ludwig-Maximilians-Universität München (LMU), Großhaderner Str. 9, Planegg-Martinsried",https://www.pioneercampus.org/themenmenue-links/about-us0/principal-investigators/francesco-paolo-casale/index.html,https://www.pioneercampus.org/themenmenue-links/about-us0/principal-investigators/francesco-paolo-casale/index.html,Joined AIH Jan 2022; physically located at LMU BMC building - recorded as LMU affiliation.
Péter Horváth,Principal Investigator (Independent Research Group),Institute of AI for Health (AIH) / Horvath Lab,"Director, Institute of Biochemistry, Biological Research Centre, Szeged, Hungary (2019-present); CEO, Single-Cell Technologies Inc.; Visiting Scientist, FIMM-EMBL Helsinki, Finland; President, EUCAI and KEPAF",https://www.helmholtz-munich.de/en/aih/peter-horvath,https://www.helmholtz-munich.de/en/aih/peter-horvath,"AIH news page reports he was recently appointed Hungarian State Secretary for Science Policy and Innovation, which may reduce active research-group leadership; noting for downstream currency check."
Maria Colomé-Tatché,"Group Leader, ICB",Institute of Computational Biology (ICB) / Colomé-Tatché Group (Computational Epigenomics),,https://www.helmholtz-munich.de/en/icb/maria-colome-tatche,https://www.helmholtz-munich.de/en/icb/research-groups/colome-tatche-lab,
Christiane Fuchs,Research Group Leader,Institute of Computational Biology (ICB) / Fuchs Group (Biostatistics),"Closely affiliated with the Data Science group, Faculty of Business Administration and Economics, Bielefeld University",https://www.helmholtz-munich.de/icb/christiane-fuchs,https://www.helmholtz-munich.de/en/icb/research-groups/fuchs-lab,
Julien Gagneur,"Full professor at TUM and PI at Helmholtz Munich; Research Group Leader, Computational Health Center",Institute of Computational Biology (ICB) / Gagneur Group (Computational Molecular Medicine),"Chair of Computational Molecular Medicine, Technical University of Munich (TUM), since 2020",https://www.helmholtz-munich.de/en/icb/julien-gagneur,https://www.helmholtz-munich.de/en/icb/julien-gagneur,No dedicated Helmholtz Munich lab page (group card on ICB page has no link); personal bio page used as evidence instead.
Jan Hasenauer,Group Leader (title as shown on ICB overview card; no dedicated profile page found),Institute of Computational Biology (ICB) / Hasenauer Group (Data-driven Computational Modelling),,,https://www.helmholtz-munich.de/en/icb,"LOW CONFIDENCE: appears as a group card on the ICB institute page with group name and research topic only; the card has no hyperlink and every guessed personal/lab URL (e.g. /en/icb/jan-hasenauer, /en/icb/research-groups/hasenauer-lab, /en/icb/research-groups/hasenauer-group) returned 404. Could not confirm exact title verbatim or other affiliations from a Helmholtz Munich page as of retrieval date."
Matthias Heinig,Junior Group Leader,Institute of Computational Biology (ICB) / Heinig Group (Genetic and Epigenetic Gene Regulation),,https://www.helmholtz-munich.de/icb/matthias-heinig,https://www.helmholtz-munich.de/en/icb/research-groups/heinig-lab,Page mentions collaboration with the German Heart Center but not a formal joint appointment.
Michael Heinzinger,"Principal Investigator, ICB",Institute of Computational Biology (ICB) / Heinzinger Lab (AI-guided Protein Characterization and Design),,https://www.helmholtz-munich.de/icb/michael-heinzinger,https://www.helmholtz-munich.de/en/icb/research-groups/heinzinger-lab,
Dominik Jüstel,Group Leader AI in Optoacoustics,Institute of Computational Biology (ICB) / Jüstel Lab (Computation and Machine Learning),"Office located at TranslaTUM (TUM's Central Institute for Translational Cancer Research) building, Einsteinstr. 25",https://www.helmholtz-munich.de/en/juestel-lab,https://www.helmholtz-munich.de/en/juestel-lab,"TranslaTUM is a TUM building; page does not state a formal TUM appointment, only the office location there, so this is recorded as a location clue rather than confirmed joint appointment."
Gabi Kastenmüller,Head of Research Group Systems Metabolomics,Institute of Computational Biology (ICB) / Kastenmüller Lab,,https://www.helmholtz-munich.de/icb/gabi-kastenmueller,https://www.helmholtz-munich.de/en/icb/research-groups/kastenmueller-lab,
Janine Knauer-Arloth,Group Leader (title as shown on ICB overview card; no dedicated profile page found),Institute of Computational Biology (ICB) / Knauer-Arloth Group (Medical Genomics),,,https://www.helmholtz-munich.de/en/icb,"LOW CONFIDENCE: appears as a group card on the ICB institute page (group name + topic only, no hyperlink). Guessed URLs (/en/icb/janine-knauer-arloth, /en/icb/knauer-arloth, /en/icb/research-groups/knauer-arloth-lab, -group) all returned 404. Could not confirm exact title verbatim or other affiliations."
Annalisa Marsico,"Principle Investigator, ICB [sic, as printed on page]",Institute of Computational Biology (ICB) / Marsico Lab (Computational RNA Biology),,https://www.helmholtz-munich.de/icb/annalisa-marsico,https://www.helmholtz-munich.de/en/icb/research-groups/marsico-lab,
Michael Menden,Junior Group Leader,Institute of Computational Biology (ICB) / Menden Lab (Computational Biomedicine),,https://www.helmholtz-munich.de/icb/michael-menden,https://www.helmholtz-munich.de/en/icb/research-groups/menden-lab,
Christian L. Müller,"Group Leader, ICB",Institute of Computational Biology (ICB) / C.L. Müller Group (Computational Statistics and Data Science for Biological Systems),"Professor, Department of Statistics, LMU München (since 2019); Visiting Scholar, Center for Computational Mathematics, Flatiron Institute, New York, USA",https://www.helmholtz-munich.de/en/icb/christian-l-mueller,https://www.helmholtz-munich.de/en/icb/christian-l-mueller,
Steffen Schneider,"Tenure Track Group Leader, Institute of Computational Biology, Computational Health Center",Institute of Computational Biology (ICB) / Schneider Lab (Dynamical Inference),,https://www.helmholtz-munich.de/icb/steffen-schneider,https://www.helmholtz-munich.de/en/icb/research-groups/research-group/schneider-lab,
Benjamin Schubert,Research Group Leader,Institute of Computational Biology (ICB) / Schubert Lab (Translational Immunoinformatics),,https://www.helmholtz-munich.de/icb/benjamin-schubert,https://www.helmholtz-munich.de/en/icb/research-groups/schubert-lab,
