name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Philipp Berens,"Professor of Data Science, Director",Department of Data Science (research group listed on his profile: Neuronal Modeling),"Universität Tübingen - Full Professor of Data Science; Speaker, Excellence Cluster 'Machine Learning - New Perspectives for Science'; core faculty, Tübingen AI Center",https://hertie.ai/data-science/team/members/philipp-berens,https://hertie.ai/data-science/team/members/philipp-berens,"joint appointment stated verbatim on his profile: 'Philipp Berens is Director of the Hertie Institute for AI in Brain Health and Full Professor of Data Science at the University of Tuebingen'; career table: 'Since 2023 | Hertie Institute for AI in Brain Health, University of Tuebingen | Director, Professor of Data Science'; overlap with the already-collected de-university-of-t-bingen roster is expected. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Kerstin Ritter,"Professor of Machine Learning for Clinical Neuroscience, Director",Department of Machine Learning (research groups on her profile: Precision Brain Science; Translational Barriers; Multimodal Modelling),"Universität Tübingen - Full Professor of Machine Learning for Clinical Neuroscience; PI, Excellence Cluster 'Machine Learning'; Tübingen AI Center; formerly Charité - Universitätsmedizin Berlin (to 2024)",https://hertie.ai/machine-learning/team/members/kerstin-ritter,https://hertie.ai/machine-learning/team/members/kerstin-ritter,"joint appointment stated verbatim: 'Prof. Dr. Kerstin Ritter is a Full Professor of Machine Learning for Clinical Neuroscience at the University of Tuebingen and is a Director at the Hertie Institute for AI in Brain Health'; career table: 'Since 2024 | Hertie Institute for AI in Brain Health, University of Tuebingen | Professor of Machine Learning, Director'; her Charite posts ended in 2024 but several of her group members still carry @charite.de addresses. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Sacha Sokoloski,Group Leader,"Neuronal Modeling, Department of Data Science",Universität Tübingen (career table: 'Since 2021 | University of Tuebingen | Postdoc'),https://hertie.ai/data-science/team/members/sacha-sokoloski,https://hertie.ai/data-science/team/members/sacha-sokoloski,"profile: 'Dr. Sacha Sokoloski is a group leader for Neuronal Modeling in the Department of Data Science at the Hertie Institute for AI in Brain Health at the University of Tuebingen'; his career table still records the older 'Postdoc' entry alongside the current group-leader title. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Marc-André Schulz,Group Leader,"Precision Brain Science and Translational Barriers, Department of Machine Learning",Universität Tübingen (career table: 'Since 2024 | University of Tuebingen | Group leader'); formerly Charité - Universitätsmedizin Berlin (2020-2024),https://hertie.ai/machine-learning/team/members/marc-andre-schulz,https://hertie.ai/machine-learning/team/members/marc-andre-schulz,"profile: 'Marc-Andre Schulz is a group leader in the Department of Machine Learning at the Hertie Institute for AI in Brain Health at the University of Tuebingen'. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Dmitry Kobak,Group Leader,"Representation Learning and Data Visualization, Department of Data Science",VIB AI & University of Ghent - Full Professor (career table: '2026 - now'); Universität Tübingen (career table: '2021 - 2026 | University of Tuebingen | Group leader'),https://hertie.ai/data-science/team/members/dmitry-kobak,https://hertie.ai/data-science/team/members/dmitry-kobak,"confidence=low - CURRENCY UNRESOLVED. His profile page is live and its 'Present Positions And Title' field still reads 'Group Leader', but he no longer appears on the Data Science team page (https://hertie.ai/data-science/team) and his own career table says '2026 - now | VIB AI & University of Ghent | Full Professor'. Page found only via the site's member sitemap. Either he has left and the profile is stale, or he retains a Tuebingen group alongside the Ghent chair; the site does not resolve it. Recorded rather than dropped."
Sebastian Damrich,Group Leader,"Neural Data Representation, Independent Research Groups","Universität Tübingen (career table: 'Since 2025 | Hertie Institute for AI in Brain Health, University of Tübingen | Group Leader')",https://hertie.ai/independent-research-groups/team/members/sebastian-damrich,https://hertie.ai/independent-research-groups/team/members/sebastian-damrich,"structured title field reads 'Group Leader'; his prose bio uses the fuller form 'Early Career Research Group Leader at the Hertie AI'; listed under the institute's third pillar, 'Independent Research Groups' (https://hertie.ai/independent-research-groups/research-groups), and cross-listed on the Data Science team page. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Florian Kofler,Group Leader,"Quantitative Biomedical Image Analysis, Independent Research Groups","Universität Tübingen (career table: 'Since 2025 | Hertie Institute for AI in Brain Health, University of Tübingen | Group Leader'); formerly University of Zürich, Helmholtz Munich, TU München",https://hertie.ai/independent-research-groups/team/members/florian-kofler,https://hertie.ai/independent-research-groups/team/members/florian-kofler,"structured title field reads 'Group Leader'; his prose bio says 'Florian Kofler is an Early Career Research Group Leader at the Hertie AI'; cross-listed on the Data Science team page. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Trang-Anh Estelle Nghiem,Group Leader,"Computational Neuropsychiatry, Independent Research Groups",Universität Tübingen (career table: 'Since 2025 | University of Tübingen | Group Leader'),https://hertie.ai/independent-research-groups/team/members/trang-anh-estelle-nghiem,https://hertie.ai/independent-research-groups/team/members/trang-anh-estelle-nghiem,"listed under Leadership on the Independent Research Groups team page; cross-listed on the Data Science team page. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
Georgia Koppe,Hertie AI Fellow,"Hertie AI Fellow Program, Independent Research Groups","Universität Heidelberg - Full Professor for Scientific Computing (since 2024); Zentralinstitut für Seelische Gesundheit / Central Institute of Mental Health, Medical Faculty Mannheim, Heidelberg University - Research Group Computational Psychiatry (since 2018)",https://hertie.ai/independent-research-groups/team/members/georgia-koppe,https://hertie.ai/independent-research-groups/team/members/georgia-koppe,"named-fellowship holder running a group; her e-mail on the page is @iwr.uni-heidelberg.de and her career table shows her primary chair is at Heidelberg, so her main affiliation is NOT Tuebingen - the Fellow programme page (https://hertie.ai/independent-research-groups/research-groups/about/hertie-ai-fellow-program) describes Fellows as 'outstanding scientists from leading institutions worldwide ... whether based nearby or abroad'; a Hertie AI postdoc (Suraj Yadav) is listed as working with her. confidence=medium on whether she should count toward Tuebingen at all"
Christina Bürger,Managing Director,Central Office (Central Structures),"Universität Tübingen (career table: 'Since 2023 | Hertie Institute for AI in Brain Health, University of Tübingen | Managing Director'); previously Medical Faculty and Central Administration, University of Tübingen",https://hertie.ai/the-institute/team/christina-buerger,https://hertie.ai/the-institute/team/christina-buerger,"confidence=low - this is a science-management/administrative post, not a research position: her profile says she 'oversees the institute's operations, collaborates with the board for strategic development, coordinates research programs, manages intramural funding projects, ensures quality assurance'; the contract excludes administrative staff, but the title 'Managing Director' is recorded verbatim so the central title ruling can decide. the institute is part of the University of Tuebingen - its own About page (https://hertie.ai/the-institute/about-us) and every profile career table name the employer as 'Hertie Institute for AI in Brain Health, University of Tuebingen', and staff e-mail addresses are @uni-tuebingen.de"
