name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Bert Arnrich,Fachgebietsleiter Digital Health – Connected Healthcare,"Fachgebiet Digital Health – Connected Healthcare, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/digital-health-connected-healthcare/,https://hpi.de/forschung/fachgebiete/digital-health-connected-healthcare/,"site=Potsdam. Room 'G-2.1.14' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus III, Rudolf-Breitscheid-Str. 187, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Vaibhav Bajpai,Fachgebietsleiter Data-Intensive Internet Computing,"Fachgebiet Data-Intensive Internet Computing, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/data-intensive-internet-computing/,https://hpi.de/forschung/fachgebiete/data-intensive-internet-computing/,"site=Potsdam. Room 'V-1.18' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus II (Villa), August-Bebel-Str. 88, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Patrick Baudisch,Fachgebietsleiter Human Computer Interaction,"Fachgebiet Human Computer Interaction, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/human-computer-interaction/,https://hpi.de/forschung/fachgebiete/human-computer-interaction/,"site=Potsdam. Room 'H-2.6' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus I, Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Gillian Bolsover,"Fachgebietsleitung Digital Technology, Governance and Policy","Fachgebiet Digital Technology, Governance and Policy, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/digital-technology-governance-and-policy/,https://hpi.de/forschung/fachgebiete/digital-technology-governance-and-policy/,"site=Potsdam. Room 'G1-E.11' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus III, Rudolf-Breitscheid-Str. 187, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page. Chair page bio names only previous posts (University of Leeds, Oxford Internet Institute), not current second affiliations."
Katarina Braune,Fachgebietsleiterin Digital Health – Non-Communicable Diseases,"Fachgebiet Digital Health – Non-Communicable Diseases, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/digital-health-non-communicable-diseases/,https://hpi.de/forschung/fachgebiete/digital-health-non-communicable-diseases/,"site=Potsdam. Room 'G2-E.15' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus III, Rudolf-Breitscheid-Str. 187, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page. Listed as 'Prof. Dr. med.' on hpi.de; no second affiliation named on the HPI or UP pages fetched — a clinical affiliation is plausible but was NOT established, so none is recorded."
Niclas Böhmer,Fachgebietsleiter Algorithmic Decision Making and Society,"Fachgebiet Algorithmic Decision Making and Society, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/algorithmic-decision-making-and-society/,https://hpi.de/forschung/fachgebiete/algorithmic-decision-making-and-society/,"site=Potsdam. Room 'V-1.01' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus II (Villa), August-Bebel-Str. 88, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Chitchanok Chuengsatiansup,Fachgebietsleiterin Cybersecurity – High-Assurance Systems,"Fachgebiet Cybersecurity – High-Assurance Systems, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/cybersecurity-high-assurance-systems/,https://hpi.de/forschung/fachgebiete/cybersecurity-high-assurance-systems/,"site=Potsdam. Room 'H-1.26' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus I, Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Jiska Classen,Fachgebietsleiterin Mobile and Wireless Security,"Fachgebiet Mobile and Wireless Security, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/mobile-and-wireless-security/,https://hpi.de/forschung/fachgebiete/mobile-and-wireless-security/,"site=Potsdam. Room 'H-1.22' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus I, Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page. Title printed as 'Prof. Dr.-Ing. Jiska Classen'."
Jürgen Döllner,Fachgebietsleiter Computergrafische Systeme,"Fachgebiet Computergrafische Systeme, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/computergrafische-systeme/,https://hpi.de/forschung/fachgebiete/computergrafische-systeme/,"site=Potsdam. Room 'G-3.1.11' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus III, Rudolf-Breitscheid-Str. 187, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
Christian Dörr,Fachgebietsleiter Cybersecurity – Enterprise Security,"Fachgebiet Cybersecurity – Enterprise Security, Hasso-Plattner-Institut für Digital Engineering gGmbH",Universität Potsdam — Digital Engineering Fakultät (gemeinsame Fakultät von Universität Potsdam und HPI); die Fakultätsseite https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete führt diese Person als Fachgebiets-/Lehrstuhlinhaber:in der Fakultät,https://hpi.de/forschung/fachgebiete/cybersecurity-enterprise-security/,https://hpi.de/forschung/fachgebiete/cybersecurity-enterprise-security/,"site=Potsdam. Room 'K-1.13' on the chair page; HPI's own contact page (https://hpi.de/kontakt/) maps building letters to campuses: Campus I, Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam-Babelsberg. All three HPI campuses lie in Potsdam-Babelsberg by the Griebnitzsee S-Bahn station, so the city assignment is Potsdam regardless of which campus. Title taken verbatim from the 'Funktion' field of the German chair page."
