name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Mohammad Abuosba,Prof. Dr.-Ing. Mohammad Abuosba,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Ingenieurinformatik, IT-Systeme der Ingenieurwissenschaften (Schwerpunkte Datenbanksysteme / Produktdatenmanagement), Modellierung, Qualitätsmanagement, Projektmanagement; Fachbereich 2: Ingenieurwissenschaften - Technik und Leben; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,,https://www.htw-berlin.de/hochschule/personen/person/?eid=9441,"RESEARCH GROUP/LAB: listed under Softwaresysteme und Informatikmethoden für eine nachhaltige Entwicklung (Forschungscluster) | Sustainable Smart Cities (Forschungscluster) on https://www.htw-berlin.de/hochschule/personen/person/?eid=9441. Research-output counters on the same page: Projekte (1) | Publikationen (13) | Patente (2) | Vorträge / Veranstaltungen (3) | Betreute Promotionen (1). Schwerpunkte (verbatim): Prozessanalyse und -optimierung, BigData (Modellierung, Aufbau, Analyse, Nutzung Szenarien) Service Prozesse (Support, Call Center, tech. Dokumentation) im Maschinen-/Anlagen- und Fahrzeugbau. Other stated functions: Prüfungsausschuss - Stellvertretende*r Vorsitzende*r, Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Betriebliche Umweltinformatik (M); Informatik in Ingenieurwissenschaften (M); Ingenieurinformatik (B); Life Science Engineering (B); Life Science Engineering (M); Umweltinformatik (B). Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Payam Akbar,Prof. Dr. Payam Akbar,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Marketing, Consumer Behavior, Customer Experience, Collaborative Consumption, Sharing Economy, Digital Business Models; Fachbereich 4: Informatik, Kommunikation und Wirtschaft; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,,https://www.htw-berlin.de/hochschule/personen/person/?eid=13973,"No research group, lab, Forschungscluster or Forschungsschwerpunkt leadership stated on https://www.htw-berlin.de/hochschule/personen/person/?eid=13973. Research-output counters on the same page: Publikationen (16) | Vorträge / Veranstaltungen (13). Schwerpunkte (verbatim): Marketing Intelligence. Other stated functions: Prüfungsausschuss - Vorsitzende*r. Also listed as staff of the degree programmes/units: Wirtschaftskommunikation (B); Wirtschaftskommunikation (M). Source of professorship: HTW Professor_innenprofile-Katalog."
Adrianna Alexander,Prof. Dr. Adrianna Alexander,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Angewandte Informatik; Fachbereich 4: Informatik, Kommunikation und Wirtschaft; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,,https://www.htw-berlin.de/hochschule/personen/person/?eid=9884,"No research group, lab, Forschungscluster or Forschungsschwerpunkt leadership stated on https://www.htw-berlin.de/hochschule/personen/person/?eid=9884. Research-output counters on the same page: Vorträge / Veranstaltungen (22). Schwerpunkte (verbatim): Software-Entwicklung, Software-Engineering, Java-Programmierung, Quantencomputing, Theoretische Informatik, Formale Methoden, Modellbasierte Software-Entwicklung, Logikbasierte Spezifikationssprachen, Petrinetze, Eingebettete Systeme. Other stated functions: Prüfungsausschuss - Mitglied, Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Angewandte Informatik (B); Angewandte Informatik (M). Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Andreas Arndt,Prof. Dr.-Ing. Andreas Arndt,Hochschullehrer*in; Lehr- und Forschungsgebiet: Berufungsgebiet: Sensorik und Sensorintegration; Fachbereich 1: Ingenieurwissenschaften - Energie und Information; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin),,,https://www.htw-berlin.de/hochschule/personen/person/?eid=14597,"No research group, lab, Forschungscluster or Forschungsschwerpunkt leadership stated on https://www.htw-berlin.de/hochschule/personen/person/?eid=14597. Research-output counters on the same page: Publikationen (2) | Patente (4) | Preise / Auszeichnungen (1). Schwerpunkte (verbatim): Lehrgebiete: - Sensorik und Messtechnik - Medizinische Mikrosysteme und Implantate - Medizinische Grundlagen - Technische Mechanik - Qualitätsmanagement und Zuverlässigkeitstechniken Forschungsgebiete: - Sensorische kardiovaskuläre Implantate - Medizinische Entscheidungsunterstützungs- und Therapiemanagementsysteme auf Basis von Sensordaten - Modellierung kardiovaskulärer Implantate, virtuelle Kohorten und virtuelle klinische Studien - Physiologische Regelung kardiovaskulärer Implantate. Other stated functions: Auswahlkommission - Mitglied, Dekan*in, Fachbereichsrat - Mitglied. Also listed as staff of the degree programmes/units: FB1 Dekanat; FB1 Fachbereichsrat; Mikrosystemtechnik (B); Mikrosystemtechnik (M). Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Munir Ashraf,Prof. Dr. Munir Ashraf,Hochschullehrer*in; Fachbereich 5: Gestaltung und Kultur; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin),,,https://www.htw-berlin.de/hochschule/personen/person/?eid=14699,"RESEARCH GROUP/LAB: HTW states lab leadership — Hochschullehrer*in, Anrechnung von Prüfungsleistungen - Beauftragte*r, Laborleiter*in, Prüfungsausschuss - Vorsitzende*r, Praktikumsbeauftragte*r, Studienfachberater*in — Bekleidungstechnik/Konfektion (B) | Anrechnung von Prüfungsleistungen - Beauftragte*r, Hochschullehrer*in, Laborleiter*in, Prüfungsausschuss - Vorsitzende*r, Studienfachberater*in — Bekleidungstechnik/Konfektion (M) | Laborleiter*in — Verarbeitungstechnik (source https://www.htw-berlin.de/hochschule/personen/person/?eid=14699). Research-output counters on the same page: Publikationen (53) | Betreute Promotionen (5). Other stated functions: Anrechnung von Prüfungsleistungen - Beauftragte*r, Laborleiter*in, Praktikumsbeauftragte*r, Prüfungsausschuss - Vorsitzende*r, Studienfachberater*in. Also listed as staff of the degree programmes/units: Bekleidungstechnik/Konfektion (B); Bekleidungstechnik/Konfektion (M); Verarbeitungstechnik. Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Thomas Baar,Prof. Dr. Thomas Baar,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Softwaretechnik, Datenbanken; Fachbereich 1: Ingenieurwissenschaften - Energie und Information; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,http://https://languagehub.f1.htw-berlin.de/tom    (derzeit nicht erreichbar),https://www.htw-berlin.de/hochschule/personen/person/?eid=8197,"RESEARCH GROUP/LAB: listed under Creative Technologies (Forschungscluster) | Industrielle Produktion (Forschungscluster) on https://www.htw-berlin.de/hochschule/personen/person/?eid=8197. Research-output counters on the same page: Projekte (3) | Publikationen (19) | Vorträge / Veranstaltungen (2). Other stated functions: Anrechnung von Prüfungsleistungen - Beauftragte*r, BAföG - Beauftragte*r, Fachbereichsrat - Mitglied, Prüfungsausschuss - Mitglied, Studienfachberater*in. Also listed as staff of the degree programmes/units: Computer Engineering (B); Computer Engineering (M); FB1 Fachbereichsrat. Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Michael Babbel,Prof. Dr. Michael Babbel,Hochschullehrer*in; Lehr- und Forschungsgebiet: Externes Rechnungswesen; Fachbereich 3: Wirtschafts- und Rechtswissenschaften; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin),,http://www.mbabbel.de,https://www.htw-berlin.de/hochschule/personen/person/?eid=11929,"No research group, lab, Forschungscluster or Forschungsschwerpunkt leadership stated on https://www.htw-berlin.de/hochschule/personen/person/?eid=11929. Research-output counters on the same page: Projekte (1) | Publikationen (9). Schwerpunkte (verbatim): - Aufdeckung irreführender Finanzberichterstattung - IFRS Konzernabschlüsse - Abbildung von Unternehmenstransaktionen - Finanziellle und nicht-finanzielle Leistungsindikatoren kapitalmarktorientierter Unternehmen. Other stated functions: Prüfungsausschuss - Mitglied, Studienfachberater*in, Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Finance, Accounting, Corporate Law and Taxation (M). Campus stated: Campus Treskowallee (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Andreas Baetzgen,Prof. Dr. Andreas Baetzgen,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Wirtschaftskommunikation; Fachbereich 4: Informatik, Kommunikation und Wirtschaft; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,http://www.baetzgen.de,https://www.htw-berlin.de/hochschule/personen/person/?eid=12736,"No research group, lab, Forschungscluster or Forschungsschwerpunkt leadership stated on https://www.htw-berlin.de/hochschule/personen/person/?eid=12736. Research-output counters on the same page: Publikationen (22) | Vorträge / Veranstaltungen (1) | Begutachtungen (1) | Mitgliedschaften (1). Schwerpunkte (verbatim): Marketing, Markenstrategien. Other stated functions: Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Wirtschaftskommunikation (B); Wirtschaftskommunikation (M). Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Anett Bailleu,Prof. Dr. Anett Bailleu,Hochschullehrer*in; Lehr- und Forschungsgebiet: Elektrische Messtechnik; Fachbereich 1: Ingenieurwissenschaften - Energie und Information; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin),,,https://www.htw-berlin.de/hochschule/personen/person/?eid=3576,"RESEARCH GROUP/LAB: HTW states lab leadership — Laborleiter*in — Labore | Laborleiter*in — Prozessmess- und Stelltechnik (source https://www.htw-berlin.de/hochschule/personen/person/?eid=3576). RESEARCH GROUP/LAB: listed under Gesundheit (Forschungscluster) on https://www.htw-berlin.de/hochschule/personen/person/?eid=3576. Research-output counters on the same page: Projekte (5) | Publikationen (25) | Patente (1) | Vorträge / Veranstaltungen (12) | Preise / Auszeichnungen (2). Schwerpunkte (verbatim): Sensorphysik, Multimodale Systeme, Datenanalyse. Other stated functions: Anrechnung von Prüfungsleistungen - Beauftragte*r, BAföG - Beauftragte*r, Laborleiter*in, Praktikumsbeauftragte*r, Studienfachberater*in, Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Elektrotechnik (B); Elektrotechnik (M); Labore; Prozessmess- und Stelltechnik. Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
Claudia Baldauf,Prof. Dr. Claudia Baldauf,"Hochschullehrer*in; Lehr- und Forschungsgebiet: Instrumentelle Analytik, Chemie, Bioanalytik, Umweltanalytik, Umweltmanagement; Fachbereich 2: Ingenieurwissenschaften - Technik und Leben; Hochschule für Technik und Wirtschaft Berlin (HTW Berlin)",,,https://www.htw-berlin.de/hochschule/personen/person/?eid=39,"RESEARCH GROUP/LAB: listed under Gesundheit (Forschungscluster) on https://www.htw-berlin.de/hochschule/personen/person/?eid=39. Research-output counters on the same page: Projekte (7) | Publikationen (2). Schwerpunkte (verbatim): Chromatografische Trennsysteme, Massenspektrometrie, LC-MS-Kopplung. Other stated functions: Anrechnung von Prüfungsleistungen - Beauftragte*r, Auswahlkommission - Mitglied, Auswahlkommission - Vorsitzende*r, Praktikumsbeauftragte*r, Prüfungsausschuss - Vorsitzende*r, Studienfachberater*in, Studiengangssprecher*in. Also listed as staff of the degree programmes/units: Life Science Engineering (B); Life Science Engineering (M); Life Science Management (M) PG. Campus stated: Campus Wilhelminenhof (both HTW campuses are in Berlin). Source of professorship: HTW Professor_innenprofile-Katalog."
