name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Alan Akbik,Prof. Dr.,"Maschinelles Lernen (Machine Learning), Institut für Informatik, Humboldt-Universität zu Berlin",,https://alanakbik.github.io/,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1692635,Listed with professorial title on HU Informatik staff directory; chair name from institute's Forschung/Gebiete (research areas) page which maps him to 'Machine Learning'.
Felix Balzer,Prof. Dr. med. Dr. rer. nat.,"Medical Data Science / Institute for Medical Informatics; coopted (kooptiert) professorship, Institut für Informatik, Humboldt-Universität zu Berlin, since 2019","Charité – Universitätsmedizin Berlin (primary appointment; Director, Institute for Medical Informatics; Chief Medical Information Officer since 2020); Einstein Center Digital Future (ECDF) — ECDF-Professor (W3 auf Lebenszeit)",https://www.digital-future.berlin/ueber-uns/professorinnen/prof-dr-dr-felix-balzer,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1693188,"HU Informatik staff directory lists him as Prof. Dr. med. Dr. rer. nat.; his Einstein Center Digital Future bio states 'ECDF-Professor (W3 auf Lebenszeit) fuer Medical Data Science', Director of the Institute for Medical Informatics at Charite, and a coopted (kooptierte) professorship at HU Informatik since 2019. Primary employer appears to be Charite; HU affiliation is a coopted professorship."
Peter Eisert,Prof. Dr.-Ing.,"Visual Computing (S), Institut für Informatik, Humboldt-Universität zu Berlin",,https://viscom.informatik.hu-berlin.de/,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1683562,"HU Informatik staff page and group site confirm title/chair. No second affiliation (e.g. Fraunhofer HHI) is stated on the fetched HU or group pages, so none is recorded despite this being plausible from outside knowledge."
Johann-Christoph Freytag,"Prof., Ph. D.","Datenbanken und Informationssysteme / Databases and Information Systems (senior professor), Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/~freytag/,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/4302,Institute's research-areas page lists him under 'Senior Positions' for Databases and Information Systems (the regular W3 chair for this area is separately marked vacant).
Eckhard Graß,Prof. Dr.-Ing.,"Drahtlose Breitbandkommunikationssysteme / Wireless Broadband Communication Systems (S), Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/de/Members/grass/EG_Homepage,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1685395,No second affiliation (e.g. Fraunhofer HHI) stated on the fetched HU profile page.
Lars Grunske,Prof. Dr.,"Software Engineering, Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/de/Members/lars-grunske,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1688863,
Verena Hafner,Prof. Dr. sc. nat.,"Adaptive Systeme / Adaptive Systems, Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/~hafner,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1681646,
Johannes Köbler,Prof. Dr.,"Algorithmen und Komplexität II / Complexity and Cryptography, Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/~koebler/,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/128223,
Thomas Kosch,Prof. Dr.,"Human-Computer Interaction for Scientific Software, Institut für Informatik, Humboldt-Universität zu Berlin",,,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1694971,No personal/group website was listed on the fetched HU profile page.
Stefan Kratsch,Prof. Dr.,"Algorithm Engineering, Institut für Informatik, Humboldt-Universität zu Berlin",,https://www.informatik.hu-berlin.de/de/forschung/gebiete/ae/people/stkratsch,https://www.informatik.hu-berlin.de/de/org/mitarbeiter/1690432,Own page states professor of theoretical computer science at HU since Sept 2017; prior career includes MPI-INF and TU Berlin but no concurrent second affiliation is stated.
