name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Dieter Kranzlmüller,Prof. Dr.,Kommunikationssysteme und Systemprogrammierung (Lehrstuhl NM),"Leibniz-Rechenzentrum (LRZ); Bayerische Akademie der Wissenschaften (BAdW) — both named on his own page, exact role not stated",http://www.nm.ifi.lmu.de/~kranzlm.html,https://www.ifi.lmu.de/institut/,Title and group from IFI institute overview; LRZ/BAdW affiliation confirmed on his personal page but no specific role (e.g. Director) stated there
Thomas Seidl,Prof. Dr.,"Datenbanksysteme, Data Mining und KI (DBS)","Munich Center for Machine Learning (MCML) — Director/Spokesperson; Board Member, Leibniz-Rechenzentrum (LRZ); co-director, Fraunhofer ADA Lovelace Center; co-leads Elite Master Program in Data Science",https://www.ifi.lmu.de/dbs/seidl-lab/,https://mcml.ai/team/directors/,
Marcus Paradies,Prof. Dr.,"Datenbanksysteme, Data Mining und KI (DBS)","Munich Center for Machine Learning (MCML), per mcml.ai research-groups listing",https://www.ifi.lmu.de/dbs/paradies-lab/,https://www.ifi.lmu.de/dbs/,
Volker Tresp,Prof. Dr.,"Datenbanksysteme, Data Mining und KI (DBS)","Munich Center for Machine Learning (MCML), per mcml.ai research-groups listing",https://tresp-lab.github.io/,https://www.ifi.lmu.de/dbs/,
Matthias Schubert,Prof. Dr.,"Datenbanksysteme, Data Mining und KI (DBS)","Munich Center for Machine Learning (MCML), per mcml.ai research-groups listing",https://www.ifi.lmu.de/dbs/schubert-lab/,https://www.ifi.lmu.de/dbs/,
Dirk Beyer,Prof. Dr.,Software and Systems Engineering (Lehrstuhlinhaber),,https://www.sosy-lab.org/people/beyer/,https://www.sosy-lab.org/people.php,
Marie-Christine Jakobs,Prof. Dr.,Software and Systems Engineering,"DFG Research Training Group ""ConVeY - Continuous Verification of Cyber-Physical Systems""",https://www.sosy-lab.org/people/jakobs/,https://www.sosy-lab.org/people/jakobs/,
Gidon Ernst,Prof. Dr.,Software and Systems Engineering,,https://www.sosy-lab.org/people/ernst/,https://www.sosy-lab.org/people.php,
Rolf Hennicker,Prof. Dr.,Software and Systems Engineering,,https://www.sosy-lab.org/people/hennicker/,https://www.sosy-lab.org/people.php,
Wolfgang Hesse,Prof. Dr.,Software and Systems Engineering,,https://www.sosy-lab.org/people/hesse/,https://www.sosy-lab.org/people/hesse/,"confidence=low: listed on the current SoSy-Lab team page with no active/emeritus status stated; page's own teaching list ends WS2017/18, so current independent-PI status could not be established"
Mila Majster-Cederbaum,Prof. Dr.,Software and Systems Engineering,,https://www.sosy-lab.org/people/majster-cederbaum/,https://www.sosy-lab.org/people/majster-cederbaum/,"confidence=low: listed on the current SoSy-Lab team page with no active/emeritus status, no office hours, and no recent teaching or activity stated; current independent-PI status could not be established"
Johannes Kinder,Prof. Dr.,Programmiersprachen und Künstliche Intelligenz (PLAI),,https://www.plai.ifi.lmu.de/people/professors/kinder/index.html,https://www.plai.ifi.lmu.de/,
Sven Strickroth,Prof. Dr. (Professur für Technology-Enhanced Learning),Technology Enhanced Learning,,https://www.tel.ifi.lmu.de/team/professor/sven-strickroth/index.html,https://www.tel.ifi.lmu.de/,
Jasmin Blanchette,Prof. Dr. (Lehrstuhlinhaber),Theoretische Informatik und Theorembeweisen,,https://www.tcs.ifi.lmu.de/staff/jasmin-blanchette,https://www.tcs.ifi.lmu.de/staff,
Claudia Linnhoff-Popien,Prof. Dr.,Mobile und Verteilte Systeme,,,https://www.ifi.lmu.de/institut/,"Group's own site (ifi.lmu.de/mvs) is heavily JS-rendered; only chair title and group name could be confirmed, no personal page or second affiliation found"
Ralf Zimmer,Univ.-Prof. Dr. (Ordinarius),Bioinformatik,,,https://www.bio.ifi.lmu.de/,
Caroline Friedel,Univ.-Prof. Dr. (Extraordinaria),Bioinformatik,,,https://www.bio.ifi.lmu.de/,
Volker Heun,Univ.-Prof. Dr. (Extraordinarius),Bioinformatik,,,https://www.bio.ifi.lmu.de/,
