name,title_verbatim,group_or_dept,primary_affiliation,personal_url,evidence_url,notes
Elke Achtert,"Dr., Managing Director",MCML Directorate (Board of Directors),LMU Munich,https://www.ifi.lmu.de/dbs/en/persons/contact-page/elke-achtert-6fb4eb74.html,https://mcml.ai/team/directors/,"Bio: 'is Managing Director of the MCML at LMU Munich.' Administrative/operational leadership role, listed on MCML's Board of Directors page alongside the four Directors; not a research-chair PI. Elke studied and completed her PhD at LMU Munich."
Zeynep Akata,"Prof. Dr., Core PI",Interpretable and Reliable Machine Learning,TU Munich,https://www.eml-munich.de,https://mcml.ai/research/groups/akata/,Bio: 'is a Liesel Beckmann Distinguished Professor of Computer Science at TUM and the director of the Institute for Explainable Machine Learning at Helmholtz Munich.' Secondary affiliation: Helmholtz Munich (institute director). MCML research area/group: Interpretable and Reliable Machine Learning.
Matthias Althoff,"Prof. Dr., Core PI",Cyber Physical Systems,TU Munich,https://www.ce.cit.tum.de/en/cps/home/,https://mcml.ai/research/groups/althoff/,Bio: 'is Professor of Cyber Physical Systems at TU Munich.' MCML research area/group: Cyber Physical Systems.
Stefan Bauer,"Prof. Dr., Core PI",Algorithmic Machine Learning & Explainable AI,TU Munich,https://www.professoren.tum.de/en/bauer-stefan,https://mcml.ai/research/groups/bauer-s/,Bio: 'is an Associate Professor ... at TU Munich and senior PI at Helmholtz AI.' Secondary affiliation: Helmholtz AI. MCML research area/group: Algorithmic Machine Learning & Explainable AI.
Ulrich Bauer,"Prof. Dr., Core PI",Applied Topology and Geometry,TU Munich,https://www.professoren.tum.de/en/bauer-ulrich,https://mcml.ai/research/groups/bauer-u/,Bio: 'is Professor of Applied Topology and Geometry at TU Munich.' MCML research area/group: Applied Topology and Geometry.
Bernd Bischl,"Prof. Dr., Director",Statistical Learning and Data Science,LMU Munich,https://www.slds.stat.uni-muenchen.de,https://mcml.ai/research/groups/bischl/,Bio: 'holds the Chair of Statistical Learning and Data Science at the Department of Statistics at LMU Munich.' MCML research area/group: Statistical Learning and Data Science.
Karsten Borgwardt,"Prof. Dr., Core PI",Machine Learning and Systems Biology,Max Planck Institute of Biochemistry,https://www.mpg.de/19066478/biochemie-borgwardt,https://mcml.ai/research/groups/borgwardt/,"Bio: 'is Director of the Max Planck Institute of Biochemistry in Munich... Scientific Member of the Max Planck Society and Director at the Max Planck Institute of Biochemistry in Martinsried... Since May 2023, he holds an honorary professorship at LMU Munich.' Secondary affiliation: LMU Munich (honorary professorship). MCML research area/group: Machine Learning and Systems Biology."
Anne-Laure Boulesteix,"Prof. Dr., Core PI",Biometry in Molecular Medicine,LMU Munich,https://www.en.ibe.med.uni-muenchen.de/lehrstuehle/pr-molecular-medicine/index.html,https://mcml.ai/research/groups/boulesteix/,Bio: 'is Professor for Biometry in Molecular Medicine at LMU Munich.' MCML research area/group: Biometry in Molecular Medicine.
Benjamin Busam,"Prof. Dr., Core PI",Photogrammetry and Remote Sensing,TU Munich,https://www.asg.ed.tum.de/en/pf/home/,https://mcml.ai/research/groups/busam/,Bio: 'heads the Photogrammetry and Remote Sensing Lab at TU Munich.' MCML research area/group: Photogrammetry and Remote Sensing.
Alena Buyx,"Prof. Dr., Core PI",Ethics in Medicine and Health Technologies,TU Munich,https://www.professoren.tum.de/en/buyx-alena,https://mcml.ai/research/groups/buyx/,Bio paragraph does not name an institution ('is Professor of Ethics in Medicine and Health Technologies.'). Primary institution inferred from the page's own website-link label ('Link to website at TUM') and her personal URL (professoren.tum.de). MCML research area/group: Ethics in Medicine and Health Technologies.
Daniel Cremers,"Prof. Dr., Director",Computer Vision & Artificial Intelligence,TU Munich,https://cvg.cit.tum.de,https://mcml.ai/research/groups/cremers/,Bio: 'holds the Chair for Computer Vision and Artificial Intelligence at TU Munich since 2009.' MCML research area/group: Computer Vision & Artificial Intelligence.
Angela Dai,"Prof. Dr., Core PI",3D Artificial Intelligence,TU Munich,https://www.3dunderstanding.org,https://mcml.ai/research/groups/dai/,Bio: 'is Head of the 3D Artificial Intelligence Lab at TU Munich.' MCML research area/group: 3D Artificial Intelligence.
Jana Diesner,"Prof. Dr., Collaborating PI",Human-Centered Computing,TU Munich,https://www.gov.sot.tum.de/hcc/home/,https://mcml.ai/research/groups/diesner/,Bio: 'leads the Human-Centered Computing group at TU Munich.' MCML research area/group: Human-Centered Computing.
Felix Dietrich,"Prof. Dr., Collaborating PI",Physics-enhanced Machine Learning,TU Munich,https://www.professoren.tum.de/en/dietrich-felix,https://mcml.ai/research/groups/dietrich/,Bio: 'holds a professorship for Physics-Enhanced Machine Learning at TU Munich.' MCML research area/group: Physics-enhanced Machine Learning.
Mathias Drton,"Prof. Dr., Core PI",Mathematical Statistics,TU Munich,https://www.math.cit.tum.de/en/math/people/professors/drton-mathias/,https://mcml.ai/research/groups/drton/,Bio: 'is Professor of Mathematical Statistics at TU Munich.' MCML research area/group: Mathematical Statistics.
Andreas Döpp,"Dr. habil, Collaborating PI",Data-driven methods in Physics and Optics,LMU Munich,https://www.pulse.physik.uni-muenchen.de/about_us/people/group-leader/andreas_doepp/index.html,https://mcml.ai/research/groups/doepp/,Bio: 'is Emmy Noether Group Leader at the Centre for Advanced Laser Applications at LMU Munich.' DFG Emmy Noether-funded independent junior group. MCML research area/group: Data-driven methods in Physics and Optics.
David Egger,"Prof. Dr., Collaborating PI",Theory of Functional Energy Materials,TU Munich,https://theofem.de,https://mcml.ai/research/groups/egger/,Bio: 'is Professor of Theory of Functional Energy Materials at TU Munich.' MCML research area/group: Theory of Functional Energy Materials.
Björn Eskofier,"Prof. Dr., Core PI",Artificial Intelligence in Medicine,LMU Munich,https://www.en.ibe.med.uni-muenchen.de/lehrstuehle/ai-supported-therapy-decisions/index.html,https://mcml.ai/research/groups/eskofier/,Bio: 'is Director of the Institute for Artificial Intelligence in Medicine at LMU University Hospital Munich' (LMU Klinikum). MCML research area/group: Artificial Intelligence in Medicine.
Stefan Feuerriegel,"Prof. Dr., Core PI",Artificial Intelligence in Management,LMU Munich,https://www.som.lmu.de/ai/en/institute/contact-page/stefan-feuerriegel-840c1071.html,https://mcml.ai/research/groups/feuerriegel/,Bio: 'is the Head of the Institute of Artificial Intelligence (AI) in Management at LMU Munich.' MCML research area/group: Artificial Intelligence in Management.
Massimo Fornasier,"Prof. Dr., Core PI",Applied Numerical Analysis,TU Munich,https://www.math.cit.tum.de/math/forschung/gruppen/data-science/,https://mcml.ai/research/groups/fornasier/,Bio: 'holds the Chair of Applied Numerical Analysis at TU Munich.' MCML research area/group: Applied Numerical Analysis.
Vincent Fortuin,"Dr., Collaborating PI",Bayesian Deep Learning,TU Munich,https://fortuin.github.io,https://mcml.ai/research/groups/fortuin/,Bio's institution-statement paragraph is empty on the MCML page (literally blank). Primary institution inferred from the page's own website-link label ('Link to website at TUM'). MCML research area/group: Bayesian Deep Learning.
Alexander Fraser,"Prof. Dr., Core PI",Data Analytics & Statistics,TU Munich,https://www.professoren.tum.de/en/fraser-alexander,https://mcml.ai/research/groups/fraser/,Bio: 'holds the Chair for Data Analytics & Statistics at TU Munich.' MCML research area/group: Data Analytics & Statistics.
Thomas Gabor,"Prof. Dr., Collaborating PI",Technology and Research on Artificial Intelligence,LMU Munich,https://www.ifi.lmu.de/mvs/de/team/kontaktseite/thomas-gabor-9bc1db9e.html,https://mcml.ai/research/groups/gabor/,Bio: 'is Professor at the Chair of Mobile and Distributed Systems at LMU Munich.' MCML research area/group: Technology and Research on Artificial Intelligence.
Julien Gagneur,"Prof. Dr., Core PI",Computational Molecular Medicine,TU Munich,https://www.cs.cit.tum.de/cmm/home/,https://mcml.ai/research/groups/gagneur/,Bio: 'is Assistant Professor for Computational Biology at TU Munich.' MCML research area/group: Computational Molecular Medicine.
Debarghya Ghoshdastidar,"Prof. Dr., Core PI",Theoretical Foundations of Artificial Intelligence,TU Munich,https://www.cs.cit.tum.de/tfai/home/,https://mcml.ai/research/groups/ghoshdastidar/,Bio: 'is Professor for Theoretical Foundations of Artificial Intelligence at TU Munich.' MCML research area/group: Theoretical Foundations of Artificial Intelligence.
Daniel Grün,"Prof. Dr., Collaborating PI","Astrophysics, Cosmology and Artificial Intelligence",LMU Munich,https://www.physik.lmu.de/observatory/en/people/contact-page/daniel-gruen-ba89d54b.html,https://mcml.ai/research/groups/gruen/,"Bio: 'is Professor for Astrophysics, Cosmology, and Artificial Intelligence at LMU Munich.' MCML research area/group: Astrophysics, Cosmology and Artificial Intelligence."
Stephan Günnemann,"Prof. Dr., Core PI",Data Analytics & Machine Learning,TU Munich,https://www.cs.cit.tum.de/en/daml/home/,https://mcml.ai/research/groups/guennemann/,Bio: 'is Professor of Data Analytics and Machine Learning at TU Munich.' MCML research area/group: Data Analytics & Machine Learning.
