name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Melissa Birol,"Group Leader, Birol Lab","Single Molecule Biophysics probing Quantitative Neuroscience",,https://www.mdc-berlin.de/birol,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Mitte (MDC-BIMSB, Hannoversche Str. 28, 10115). Evidence: listed among MDC-BIMSB faculty groups on https://www.mdc-berlin.de/bimsb. confidence=medium (listing, not an individually verified address)."
Thomas Blankenstein,"Prof. Dr. Thomas Blankenstein, Group Leader","Molecular Immunology and Gene Therapy","Integrative Biomedicine research topic (MDC internal)",https://www.mdc-berlin.de/blankenstein,https://www.mdc-berlin.de/blankenstein,"site=Berlin-Buch (Robert-Rössle-Straße 10, 13125 Berlin, Building 31.1 Room 4011). Evidence: postal address on the lab page. confidence=high."
Daria Bunina,"Group Leader, Bunina Lab","Systems biology of cardiovascular and neuronal pathologies",,https://www.mdc-berlin.de/bunina,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified): not on the MDC-BIMSB faculty list and not on the ECRC list, so assigned to the MDC main campus, Robert-Rössle-Str. 10, 13125 Berlin. Lab page not individually fetched. confidence=low on site."
Marina Chekulaeva,"Dr. Marina Chekulaeva, Group Leader","Local RNA metabolism in neurons and neurodegeneration",,https://www.mdc-berlin.de/chekulaeva,https://www.mdc-berlin.de/bimsb,"site=Berlin-Mitte (MDC-BIMSB, Hannoversche Str. 28, 10115). Evidence: MDC-BIMSB faculty list. confidence=medium."
Fabian Coscia,"Group Leader, Coscia Lab","Spatial Proteomics",,https://www.mdc-berlin.de/coscia,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified) - not on the BIMSB or ECRC lists. confidence=low on site."
Oliver Daumke,"Group Leader, Daumke Lab","Structural Biology of Membrane-Associated Processes",,https://www.mdc-berlin.de/daumke,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Kathrin de la Rosa,"Prof. Dr. Kathrin de la Rosa, Group Leader","Cancer & Immunology / Immune Mechanisms and Human Antibodies",,https://www.mdc-berlin.de/de-la-rosa,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Michela Di Virgilio,"Group Leader, Di Virgilio Lab","Genome Diversification & Integrity",,https://www.mdc-berlin.de/di-virgilio,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Jan Rafael Dörr,"Group Leader, Dörr Lab","Tumor heterogeneity and treatment resistance in pediatric cancer","Experimental and Clinical Research Center (ECRC), a joint institution of the Max Delbrück Center and Charité - Universitätsmedizin Berlin",https://www.mdc-berlin.de/doerr,https://www.mdc-berlin.de/ecrc,"site=Berlin-Buch (ECRC, Lindenberger Weg 80, 13125 Berlin). Evidence: named on the ECRC group-leader list and the ECRC postal address. confidence=high on site. JOINT MDC/Charité by construction of the ECRC."
Martin Falcke,"Prof. Dr. Martin Falcke, Group Leader","Mathematical Cell Physiology",,https://www.mdc-berlin.de/falcke,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Sofia Forslund,"Group Leader, Forslund Lab","Host-microbiome factors in cardiovascular disease","Experimental and Clinical Research Center (ECRC), joint MDC / Charité",https://www.mdc-berlin.de/forslund,https://www.mdc-berlin.de/ecrc,"site=Berlin-Buch (ECRC, Lindenberger Weg 80, 13125 Berlin). confidence=high on site. JOINT MDC/Charité."
Gaetano Gargiulo,"Dr. Gaetano Gargiulo, Group Leader","Molecular Oncology",,https://www.mdc-berlin.de/gargiulo,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Holger Gerhardt,"Prof. Dr. Holger Gerhardt, Group Leader","Integrative Vascular Biology",,https://www.mdc-berlin.de/gerhardt,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Michael Gotthardt,"Prof. Dr. Michael Gotthardt, Group Leader","Translational Cardiology and Functional Genomics",,https://www.mdc-berlin.de/gotthardt,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Mina Gouti,"Group Leader, Gouti Lab","Stem Cell Modeling of Development and Disease",,https://www.mdc-berlin.de/gouti,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Stefanie Grosswendt,"Group Leader, Grosswendt Lab","From Cell States to Function","Berlin Institute of Health at Charité (BIH) - runs the same-named BIH research group in the Center of Genomic Medicine",https://www.mdc-berlin.de/grosswendt,https://www.mdc-berlin.de/bimsb,"site=Berlin-Mitte (MDC-BIMSB, Hannoversche Str. 28, 10115). JOINT MDC/BIH - also appears in the BIH research-group directory. confidence=medium on site."
Simon Haas,"Dr. rer. nat. Simon Haas, Group Leader","Systems Hematology, Stem Cells & Precision Medicine","Berlin Institute of Health at Charité (BIH), Center of Genomic Medicine; Charité - Universitätsmedizin Berlin",https://www.mdc-berlin.de/haas,https://www.mdc-berlin.de/bimsb,"site=Berlin-Mitte (MDC-BIMSB, Hannoversche Str. 28, 10115). JOINT MDC/BIH/Charité. confidence=medium on site."
Annette Hammes-Lewin,"Dr. Annette Hammes-Lewin, Group Leader","Molecular Pathways in Cortical Development",,https://www.mdc-berlin.de/hammes,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Anton Henssen,"Group Leader, Henssen Lab","Genomic instability in pediatric cancer","Experimental and Clinical Research Center (ECRC), joint MDC / Charité",https://www.mdc-berlin.de/henssen,https://www.mdc-berlin.de/ecrc,"site=Berlin-Buch (ECRC, Lindenberger Weg 80, 13125 Berlin). confidence=high on site. JOINT MDC/Charité."
Uta Elisabeth Höpken,"PD Dr. Uta Elisabeth Höpken, Group Leader","Microenvironmental Regulation in Autoimmunity and Cancer",,https://www.mdc-berlin.de/hoepken,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Hanna Hörnberg,"Group Leader, Hörnberg Lab","Molecular and cellular basis of behavior",,https://www.mdc-berlin.de/hornberg,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Norbert Hübner,"Group Leader, Hübner Lab","Genetics and Genomics of Cardiovascular Diseases",,https://www.mdc-berlin.de/huebner,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Johannes B. Huppa,"Professor of Tumor Immunology, Director","T-Cell Antigen Recognition in Cancer and Autoimmunity","Institute for Immunology / Institute of Cancer Immunology (CC14), Charité - Universitätsmedizin Berlin (Director); German Cancer Consortium (DKTK) Berlin",https://www.mdc-berlin.de/huppa,https://www.mdc-berlin.de/huppa,"site=Berlin-Buch (Robert-Rössle-Straße 10, 13125 Berlin). Evidence: address on the lab page. JOINT MDC/Charité - the Charité organigram (July 2026) lists him as director of the Institute of Cancer Immunology in CC14. confidence=high."
Carmen Infante,"Group Leader, Infante Lab","Innate Immunity & Neuroinflammation","Experimental and Clinical Research Center (ECRC), joint MDC / Charité",https://www.mdc-berlin.de/infante,https://www.mdc-berlin.de/ecrc,"site=Berlin-Buch (ECRC, Lindenberger Weg 80, 13125 Berlin). confidence=high on site. JOINT MDC/Charité."
Zsuzsanna Izsvak,"Dr. Zsuzsanna Izsvak, Group Leader","Mobile DNA",,https://www.mdc-berlin.de/izsvak,https://www.mdc-berlin.de/research/discovery/labs-platforms,"site=Berlin-Buch (inferred, unverified). confidence=low on site."
Martin Janz,"Group Leader, Janz/Mathas Lab (jointly led)","Biology of Malignant Lymphomas","Experimental and Clinical Research Center (ECRC), joint MDC / Charité",https://www.mdc-berlin.de/janz-mathas,https://www.mdc-berlin.de/ecrc,"site=Berlin-Buch (ECRC, Lindenberger Weg 80, 13125 Berlin). Lab jointly led with Stephan Mathas - two rows written. JOINT MDC/Charité. confidence=high on site."
