name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Danupon Na Nongkai,"Prof. Danupon Na Nongkai, Ph.D.",Director - D1 Algorithms and Complexity,,https://sites.google.com/site/dannanongkai/research?authuser=0,https://www.mpi-inf.mpg.de/departments/algorithms-complexity/people/current-members/danupon-na-nongkai,"D1 department page: 'Headed by Prof. Danupon Na Nongkai, PhD.' No other individual is presented on the D1 department page as heading a separate group/research area (unlike D2/D4/D6, D1's 'Research Areas' section lists topics with no named leaders); other senior D1 researchers checked (Karl Bringmann, Tomasz Kociumaka, Andreas Karrenbauer, Karol Wegrzycki, Guy Even) had no 'leads/heads a group' language on their pages and were excluded."
Bernt Schiele,Prof. Dr. Bernt Schiele,Director - D2 Computer Vision and Machine Learning,Professor at Saarland University (since 2010),https://www.mpi-inf.mpg.de/departments/computer-vision-and-multimodal-computing/people/bernt-schiele/,https://www.mpi-inf.mpg.de/departments/computer-vision-and-multimodal-computing/people/bernt-schiele/,"Page: 'Max Planck Director at MPI for Informatics and Professor at Saarland University since 2010.' D2 page text: 'department...founded by Bernt Schiele...consists of five research groups headed by Jonas Fischer, Margret Keuper, Jan Eric Lenssen, Gerard Pons-Moll, and Bernt Schiele.' Note: URL slug now reads 'computer-vision-and-multimodal-computing' though page/nav text still says 'Computer Vision and Machine Learning.'"
Jonas Fischer,Dr. Jonas Fischer,D2 Computer Vision and Machine Learning - Research Leader (Explainable Machine Learning group),,http://explainablemachines.com,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/jonas-fischer/,"Own MPI-INF page: 'Jonas Fischer (Research Leader) Dr. Jonas Fischer ... I am heading the Explainable Machine Learning group in the Department for Computer Vision and Machine Learning.'"
Margret Keuper,Prof. Dr. Margret Keuper,D2 Computer Vision and Machine Learning - Research Leader (Robust Visual Learning group),,http://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/margret-keuper/,http://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/margret-keuper/,"Own MPI-INF page: 'Margret Keuper (Research Leader) Prof. Dr. Margret Keuper.' D2 page names her among the 'five research groups headed by...' No personal Saarland University affiliation stated on her MPI-INF page (the 'Teaching at Saarland University (UdS)' link on the page is shared D2 department navigation, not a personal bio statement)."
Jan Eric Lenssen,Prof. Dr. Jan Eric Lenssen,D2 Computer Vision and Machine Learning - Group Leader (Visual Intelligence & Perception, formerly Geometric Representation Learning group),Full Professor at Saarland University,http://vip.mpi-inf.mpg.de/,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/jan-eric-lenssen/,"His MPI-INF profile page shows an older title ('Dr. Jan Eric Lenssen', Senior Researcher) and links to 'my group website'; that group site (vip.mpi-inf.mpg.de) shows the current title 'Prof. Dr. Jan Eric Lenssen' and states: 'Jan Eric Lenssen was appointed Full Professor at Saarland University. We are happy to announce that we join the University under a new name: Visual Intelligence & Perception!'"
Gerard Pons-Moll,Gerard Pons-Moll (Senior Researcher),D2 Computer Vision and Machine Learning - Group Leader (Real Virtual Humans group),,http://virtualhumans.mpi-inf.mpg.de,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/gerard-pons-moll/,"D2 department page text: '...five research groups headed by Jonas Fischer, Margret Keuper, Jan Eric Lenssen, Gerard Pons-Moll, and Bernt Schiele.' His own MPI-INF page lists only 'Gerard Pons-Moll (Senior Researcher)' with a link to his 'Group Homepage.' No personal Saarland University affiliation stated on the fetched page."
Alexander Koller,Professor of Computational Linguistics in the Department of Language Science and Technology at Saarland University,D2 Computer Vision and Machine Learning - pictured group leader (Computational Linguistics),Primary appointment: Professor at Saarland University; also 'Professor by courtesy of Computer Science and Associate Faculty at the Max Planck Institute for Informatics',https://www.coli.uni-saarland.de/~koller/,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning,"CAUTION - possible double-count risk: he is pictured in the D2 department page's group-leader photo gallery (photo + name + link to 'Computational Linguistics', same layout as the other group leads), but the department's own summary sentence names only five group heads and does not include him; his own page frames Saarland University as his primary post and MPI-INF as a courtesy/associate role. Very likely also on the Saarland University roster - flag for de-duplication."
Hans-Peter Seidel,Prof. Dr. Hans-Peter Seidel,Director - D4 Computer Graphics,"Affiliated Professor, Saarland University, Saarbrücken (since 1999)",http://people.mpi-inf.mpg.de/~hpseidel/,http://people.mpi-inf.mpg.de/~hpseidel/,"D4 department page: 'Headed by Prof. Dr. Hans-Peter Seidel' / page text 'Head of the Computer Graphics Department.' CV lists 'Affiliated Professor, Saarland University, Saarbrücken' under Fellowships and Professional Experience from 1999 onward."
Karol Myszkowski,(no formal title stated on his own page),D4 Computer Graphics - group leader (HDR Imaging, Perception, and Advanced Displays group),,http://people.mpi-inf.mpg.de/~karol/,https://www.mpi-inf.mpg.de/departments/computer-graphics,"Pictured on D4 department page as heading the 'HDR Imaging, Perception, and Advanced Displays' group (photo+name+link, same layout as other D4 group leaders). His personal MPI-INF homepage is an old, partly unfilled template with no explicit job title or Saarland affiliation text."
Paul Strohmeier,(no formal title stated),D4 Computer Graphics - group leader (Sensorimotor Interaction / senSInt group),Group is co-located with the Human Computer Interaction Lab of Saarland University,http://sensint.mpi-inf.mpg.de,https://www.mpi-inf.mpg.de/departments/computer-graphics,"Group site: 'The Sensorimotor Interaction group (senSInt) is a newly formed research group at the Max Planck Institute for Informatics (MPI-INF). The group is led by Paul Strohmeier... The Sensorimotor Interaction Group is co-located with the Human Computer Interaction Lab of Saarland University.' No personal academic title given on the site."
