name,title_verbatim,group_or_dept,campus,other_affiliations,personal_url,evidence_url,notes
Katherine J. Kuchenbecker,Director,Haptic Intelligence,Stuttgart,"Honorary Professor, University of Stuttgart",,https://is.mpg.de/hi/person/kjk,"Office 5P5, Heisenbergstr. 3, 70569 Stuttgart; phone +49 711 689-3510 shown on her own profile page."
Christoph Keplinger,Director,Robotic Materials; Physical Intelligence,Stuttgart,"Honorary Professor, University of Stuttgart; Eminent Visiting Professor of Soft Robotics, University of Colorado Boulder; Chief Science Officer, Artimus Robotics",,https://is.mpg.de/person/ck,"Also Managing Director of MPI-IS Stuttgart since 2023 (phone +49-711 689 3310, office at Heisenbergstr. 3). His own profile lists him as Director of both Robotic Materials and Physical Intelligence; the institute's /research overview page still shows no name next to Physical Intelligence (vacant there since Metin Sitti departed in 2023)."
Philipp Rothemund,"Tenure track professor, University of Stuttgart",Robotic Materials,Stuttgart,"Tenure-Track Professor, University of Stuttgart (leads his own 'Soft Robotics for Autonomous Systems' group there, appointed May 2023)",http://www.rothemund-research.com,https://is.mpg.de/rm/person/rothemund,"Office 4Q-R5, 70569 Stuttgart; phone +49 711 685 60931. Found only inside the Robotic Materials department's 'People' tab, not in the institute's flat 18-group Research Groups navigation -- easy to miss."
Florian Hartmann,Max Planck Research Group Leader,Biomimetic Materials and Machines,Stuttgart,,,https://is.mpg.de/bmm/person/hartmann,"Office 4E09, Heisenbergstr. 3, 70569 Stuttgart; phone +49 711 689-1806."
Philipp Müller,Max Planck Research Group Leader,Embodied Social Interaction,Stuttgart,,,https://is.mpg.de/esi/person/phmueller,Own profile text: 'Philipp Müller leads the Independent Research Group Embodied Social Interaction at the Max Planck Institute for Intelligent Systems (MPI-IS) in Stuttgart'.
Renate Sachse,Max Planck Research Group Leader,Mechanics for Intelligent Structures,Stuttgart,,,https://is.mpg.de/mis/person/rsachse,Address shown on profile: Heisenbergstraße 3 (Stuttgart).
Janneke Schwaner,Max Planck Research Group Leader,Neuromechanics of Movement,Stuttgart,,,https://is.mpg.de/nom/person/jschwaner,Office 4E21 -- matches the '4E..' Stuttgart building-code pattern seen for other confirmed Stuttgart staff (e.g. Hartmann's 4E09).
Ksenia Keplinger,Research Group Leader,Organizational Leadership and Diversity,Stuttgart,,,https://is.mpg.de/ld/person/kkeplinger,"Office 5P01, 70569 Stuttgart; phone +49 711 689-3516, shown directly on her profile."
Achim Menges,Max Planck Fellow,Intelligent Construction and Building Systems,Stuttgart,"Professor, Institute for Computational Design (ICD), University of Stuttgart",,https://is.mpg.de/icbs/person/2241,"Contact info on profile: phone +49 711 685 82786 and email at icd.uni-stuttgart.de (ICD = Institute for Computational Design, University of Stuttgart)."
Rachael Burns,Partner Group Leader,Haptic Intelligence (host department); Max Planck Partner Group: Social Tactile & Assistive Robotics and Intelligence (STARI),Stuttgart,"Assistant Professor of Electrical Engineering and Computer Science, University of Tennessee (leads the STARI Lab there as of Jan 2025)",https://stari.labs.utk.edu,https://is.mpg.de/person/rburns,"Former MPI-IS Haptic Intelligence PhD student (2017-2024). Her MPI-IS profile lists title 'Partner Group Leader' under Haptic Intelligence with address 70569 Stuttgart, even though she is now physically based at the University of Tennessee; STARI is a Max Planck Partner Group administratively tied to the Stuttgart-based Haptic Intelligence department."
Antonia Georgopoulou,Max Planck Research Group Leader,Cyborg Robotics and Intelligent Sensing,unclear,,,https://is.mpg.de/cyris/person/ageorgopoulou,"No campus-specific address, office code, or phone found on her MPI-IS profile or group page -- only the institute's generic dual-campus (Stuttgart+Tübingen) footer appears. Held out rather than guessed from the group's physical/robotics topic."
Buse Aktaş,Max Planck Research Group Leader,Robotic Composites and Compositions,unclear,,,https://is.mpg.de/rococo/person/baktas,"No campus-specific address, office code, or phone found on her MPI-IS profile or group page -- only the generic dual-campus footer appears."
Samira Samadi,Research Group Leader,Human Aspects of Machine Learning,unclear,,,https://is.mpg.de/hml/person/ssamadi,"Her individual profile URL redirects to a broken page (404); the group page (/hml) text gives only the generic dual-campus footer, no specific office or city."
Michael Muehlebach,Research Group Leader,Learning and Dynamical Systems,unclear,,,https://is.mpg.de/lds/person/mmuehlebach,Profile page (also mirrored at /person/1872) has no address/office text beyond name and email; the group page (/lds) states only the generic dual-campus footer.
Andreas Krause,Max Planck Fellow,Interactive Learning,unclear,ETH Zurich (email krausea@ethz.ch shown on his MPI-IS profile),,https://is.mpg.de/ilg/person/108,"His MPI-IS profile lists location as 'Switzerland' (neither Stuttgart nor Tübingen), consistent with his primary post at ETH Zurich; held out as neither MPI-IS campus rather than assigned to one."
