name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Ivan de Araujo,Geschäftsführender Direktor,Department Body-Brain-Cybernetics,,https://www.kyb.tuebingen.mpg.de/person/128615/249684,https://www.kyb.tuebingen.mpg.de/person/128615/249684,"unit_type=department; the institute lists this unit under 'Established Research Groups' (https://www.kyb.tuebingen.mpg.de/departments), which the German site titles 'Staendige Forschungsgruppen (Abteilungen)' (https://www.kyb.tuebingen.mpg.de/de); that page states these units 'are headed by Directors and Max Planck Fellows'; the person page prints the unit as 'Department ...'; also Managing Director of the institute (https://www.kyb.tuebingen.mpg.de/managing-director); listed as Scientific Member of the Max Planck Society at https://www.kyb.tuebingen.mpg.de/60559/mpg-members; no second (non-MPG) affiliation stated on the institute's pages"
Peter Dayan,Director,Department Computational Neuroscience,,https://www.kyb.tuebingen.mpg.de/person/95844/249684,https://www.kyb.tuebingen.mpg.de/person/95844/249684,"unit_type=department; the institute lists this unit under 'Established Research Groups' (https://www.kyb.tuebingen.mpg.de/departments), which the German site titles 'Staendige Forschungsgruppen (Abteilungen)' (https://www.kyb.tuebingen.mpg.de/de); that page states these units 'are headed by Directors and Max Planck Fellows'; the person page prints the unit as 'Department ...'; listed as Scientific Member of the Max Planck Society at https://www.kyb.tuebingen.mpg.de/60559/mpg-members; no second affiliation stated on the institute's pages (a University of Tuebingen appointment is often reported elsewhere but is not evidenced here) - confidence=medium on affiliations, high on position"
Zhaoping Li,Max Planck Fellow,Department Sensory and Sensorimotor Systems,university appointment implied but not named on institute pages,https://webdav.tuebingen.mpg.de/u/zli/,https://www.kyb.tuebingen.mpg.de/person/95845/249684,"unit_type=department; the institute lists this unit under 'Established Research Groups' (https://www.kyb.tuebingen.mpg.de/departments), which the German site titles 'Staendige Forschungsgruppen (Abteilungen)' (https://www.kyb.tuebingen.mpg.de/de); that page states these units 'are headed by Directors and Max Planck Fellows'; the person page prints the unit as 'Department ...'; heads the department as a Max Planck Fellow, and https://www.kyb.tuebingen.mpg.de/departments states the Fellow programme 'promotes collaboration between outstanding university teachers and scientists from the Max Planck Society', so a university chair is implied; the institute never names it - confidence=low on other_affiliations"
Klaus Scheffler,Max Planck Fellow,Department High-field Magnetic Resonance,"Universität Tübingen - Director, Department of Biomedical Magnetic Resonance",https://www.kyb.tuebingen.mpg.de/person/58894/249684,https://www.kyb.tuebingen.mpg.de/person/58894/249684,"unit_type=department; the institute lists this unit under 'Established Research Groups' (https://www.kyb.tuebingen.mpg.de/departments), which the German site titles 'Staendige Forschungsgruppen (Abteilungen)' (https://www.kyb.tuebingen.mpg.de/de); that page states these units 'are headed by Directors and Max Planck Fellows'; the person page prints the unit as 'Department ...'; his CV block on the person page lists under CURRENT POSITIONS both 'Max-Planck-Fellow, Department High-field Magnetic Resonance' and 'Director, Department of Biomedical Magnetic Resonance, University of Tuebingen'"
Svenja Brodt,Max Planck Research Group Leader,Research Group Brain States of Plasticity (Brodt),Universität Tübingen (second e-mail svenja.brodt@uni-tuebingen.de on the person page),https://plasticbrain.org,https://www.kyb.tuebingen.mpg.de/person/102157/249684,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; second affiliation evidenced only by the uni-tuebingen.de e-mail address listed on the person page - confidence=low on other_affiliations
Romy Lorenz,Max Planck Research Group Leader,Research Group Cognitive Neuroscience and Neurotechnology (Lorenz),,http://www.romylorenz.com/,https://www.kyb.tuebingen.mpg.de/person/128303/249684,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; no second affiliation stated on the institute's pages
Assaf Breska,Max Planck Research Group Leader,Research Group Cognitive Neuroscience of Dynamic Cognition (Breska),,https://www.kyb.tuebingen.mpg.de/person/114299/249684,https://www.kyb.tuebingen.mpg.de/person/114299/249684,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; group page https://www.kyb.tuebingen.mpg.de/583055/dynamic-cognition; no second affiliation stated
Robert Ohlendorf,Max Planck Research Group Leader,Research Group Molecular Signaling (Ohlendorf),,https://www.kyb.tuebingen.mpg.de/person/127689/249684,https://www.kyb.tuebingen.mpg.de/person/127689/249684,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; no second affiliation stated
Manuel Spitschan,Max Planck Research Group Leader,Research Group Sensory and Circadian Neuroscience (Spitschan),Technische Universität München - Professorship 'Chronobiology & Health' (https://www.sg.tum.de/en/chronobiology/),https://www.sg.tum.de/en/chronobiology/,https://www.kyb.tuebingen.mpg.de/249684/search-employees,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; the institute's own employee directory links his TUM professorship page and his person page carries a second e-mail manuel.spitschan@tum.de - second affiliation is well evidenced
Jennifer Mengbo Li,Max Planck Research Group Leader,Research Group Systems Neuroscience and Neuroengineering (Robson/Li),,http://rolilab.org/,https://www.kyb.tuebingen.mpg.de/person/101209/249684,unit_type=independent research group (Max Planck Research Group); https://www.kyb.tuebingen.mpg.de/researchgroups states group leaders 'develop an independent profile and take on leadership responsibility' and are 'free to work in their own research area'; the person page prints the unit as 'Research Group ...'; co-leads the RoLi lab jointly with Drew Robson (both carry the same unit name); the German group page prints her title as 'Leiterin Max-Planck-Forschungsgruppe'
