name,title_verbatim,group_or_dept,site,other_affiliations,personal_url,evidence_url,notes
Björn Brandenburg,Faculty (tenured),,Kaiserslautern,,https://people.mpi-sws.org/~bbb,https://www.mpi-sws.org/people/bbb/,"Site confirmed via physical address on MPI-SWS profile page (Room 416, Building G 26, Campus Kaiserslautern); listed phone has Saarbrücken area code (+49 681) despite Kaiserslautern office, so the physical address (not phone) was used as authoritative."
Derek Dreyer,Faculty (scientific director),,Saarbrücken,,https://people.mpi-sws.org/~dreyer,https://www.mpi-sws.org/people/dreyer/,"Site confirmed via physical address on profile page (Room 405, Building E1 5, Campus Saarbrücken)."
Peter Druschel,Faculty (scientific director),,Saarbrücken,,https://people.mpi-sws.org/~druschel,https://www.mpi-sws.org/people/druschel/,"Site confirmed via physical address on profile page (Room 435, Building E1 5, Campus Saarbrücken)."
Deepak Garg,Faculty (tenured),,Saarbrücken,,https://people.mpi-sws.org/~dg,https://www.mpi-sws.org/people/dg/,"Site confirmed via physical address on profile page (Room 414, Building E1 5, Campus Saarbrücken)."
Christina Giannoula,Faculty (tenure-track),,Saarbrücken,,https://cgiannoula.github.io/,https://www.mpi-sws.org/people/cgiannoula/,"Site confirmed via physical address on profile page (Room 410, Building E1 5, Campus Saarbrücken)."
Manuel Gomez Rodriguez,Faculty (tenured),,Kaiserslautern,,https://people.mpi-sws.org/~manuelgr,https://www.mpi-sws.org/people/manuelgr/,"Site confirmed via physical address on profile page (Room 415, Building G 26, Campus Kaiserslautern)."
Krishna Gummadi,Faculty (scientific director),,Kaiserslautern,,https://people.mpi-sws.org/~gummadi,https://www.mpi-sws.org/people/gummadi/,"Site confirmed via physical address on profile page (Room 410, Building G 26, Campus Kaiserslautern)."
Antoine Kaufmann,Faculty (tenure-track),,Saarbrücken,,https://people.mpi-sws.org/~antoinek,https://www.mpi-sws.org/people/antoinek/,"Site confirmed via physical address on profile page (Room 412, Building E1 5, Campus Saarbrücken)."
Rupak Majumdar,Faculty (scientific director),,Kaiserslautern,,https://people.mpi-sws.org/~rupak,https://www.mpi-sws.org/people/rupak/,"Site confirmed via physical address on profile page (Room 414, Building G 26, Campus Kaiserslautern)."
Joel Ouaknine,Faculty (scientific director),,Saarbrücken,,https://people.mpi-sws.org/~joel,https://www.mpi-sws.org/people/joel/,"Site confirmed via physical address on profile page (Room 446, Building E1 5, Campus Saarbrücken)."
Abhilasha Ravichander,Faculty (tenure-track),,Kaiserslautern,,https://lasharavichander.github.io,https://www.mpi-sws.org/people/aravicha/,"Site confirmed via physical address on profile page (Room 417, Building G 26, Campus Kaiserslautern)."
Anne-Kathrin Schmuck,Faculty (tenure-track),,Kaiserslautern,,https://people.mpi-sws.org/~akschmuck,https://www.mpi-sws.org/people/akschmuck/,"Site confirmed via physical address on profile page (Room 315, Building G 26, Campus Kaiserslautern)."
Adish Singla,Faculty (tenured),,Saarbrücken,,https://people.mpi-sws.org/~adishs,https://www.mpi-sws.org/people/adishs/,"Site confirmed via physical address on profile page (Room 419, Building E1 5, Campus Saarbrücken)."
Mariya Toneva,Faculty (tenure-track),,Saarbrücken,,https://mtoneva.com/,https://www.mpi-sws.org/people/mtoneva/,"Site confirmed via physical address on profile page (Room 438, Building E1 5, Campus Saarbrücken)."
Viktor Vafeiadis,Faculty (tenured),,Kaiserslautern,,https://people.mpi-sws.org/~viktor,https://www.mpi-sws.org/people/viktor/,"Site confirmed via physical address on profile page (Room 411, Building G 26, Campus Kaiserslautern)."
Georg Zetzsche,Faculty (tenured),,Kaiserslautern,,http://zetzsche.xyz,https://www.mpi-sws.org/people/georg/,"Site confirmed via physical address on profile page (Room 406, Building G 26, Campus Kaiserslautern)."
Laurent Bindschaedler,Research Group Leader,,Saarbrücken,,https://binds.ch,https://www.mpi-sws.org/people/bindsch/,"Site confirmed via physical address on profile page (Room 409, Building E1 5, Campus Saarbrücken)."
Nina Grgic-Hlaca,Research Group Leader,,Saarbrücken,,https://people.mpi-sws.org/~nghlaca,https://www.mpi-sws.org/people/nghlaca/,"MPI-SWS directory profile page lists no physical address for this person; site confirmed instead via her personal homepage at https://people.mpi-sws.org/~nghlaca, which lists mailing address 'Campus E1 5, 66123 Saarbruecken'."
Aditya Potukuchi,Research Group Leader,,Kaiserslautern,,,https://www.mpi-sws.org/people/apotu/,"Site confirmed via physical address on profile page (Room 316, Building G 26, Campus Kaiserslautern). No personal homepage listed on profile."
Goran Radanovic,Research Group Leader,,Saarbrücken,,https://people.mpi-sws.org/~gradanovic,https://www.mpi-sws.org/people/gradanovic/,"Site confirmed via physical address on profile page (Room 436, Building E1 5, Campus Saarbrücken)."
Sadegh Soudjani,Research Group Leader,,Kaiserslautern,,https://hycodev.com/ssoudjani,https://www.mpi-sws.org/people/sadegh/,"Site confirmed via physical address on profile page (Room 213, Building G 26, Campus Kaiserslautern)."
Mikhail Starchak,Research Group Leader,,Saarbrücken,,https://people.mpi-sws.org/~starchak,https://www.mpi-sws.org/people/starchak/,"Site confirmed via physical address on profile page (Room 454, Building E1 5, Campus Saarbrücken)."
