name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Johan Rockström,Director (Direktor; PIK's own page prints 'Johan Rockström: director@pik-potsdam.de' under Scientific Directors' Staff),"Direktorium / Board of Directors, Potsdam-Institut für Klimafolgenforschung (PIK)",Universität Potsdam — Institut für Umweltwissenschaften und Geographie (listed under 'Gemeinsame Berufungen / Joint appointments' as Prof. Dr. Johan Rockström on https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations),,https://www.pik-potsdam.de/en/institute/about/directors-staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. PIK is a member of the Leibniz Association (stated on https://www.pik-potsdam.de/en/institute/about). Joint appointment confirmed from PIK's own joint-appointments table."
Ottmar Edenhofer,Director (Direktor; PIK's own page prints 'Ottmar Edenhofer: direktor@pik-potsdam.de' under Scientific Directors' Staff),"Direktorium / Board of Directors, Potsdam-Institut für Klimafolgenforschung (PIK)","Technische Universität Berlin — Institut für Landschaftsarchitektur und Umweltplanung (joint appointment, https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations); Mercator Research Institute on Global Commons and Climate Change (MCC) Berlin, with which PIK jointly runs RD5",,https://www.pik-potsdam.de/en/institute/about/directors-staff,"site=unclear (Potsdam Telegrafenberg and/or Berlin EUREF-Campus). confidence=low on site: he is a PIK director (Potsdam, Telegrafenberg) and simultaneously associated with the Berlin MCC site; the pages fetched do not settle which is his principal desk. Held out as a dual-site case rather than guessed."
Stefan Rahmstorf,Head of Research Department,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)","Universität Potsdam — Institut für Physik und Astronomie (joint appointment, listed as Prof. Dr. Stefan Rahmstorf on https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations)",,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Also named as a Head on the RD1 department page https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis."
Wolfgang Lucht,Head of Research Department,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)","Humboldt-Universität zu Berlin — Geographisches Institut (joint appointment, https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations)",,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Working group: Terrestrial Safe Operating Space."
Kirsten Thonicke,Deputy Head of Research Department,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)",Universität Potsdam — Institut für Umweltwissenschaften und Geographie (listed as Dr. habil. Kirsten Thonicke under 'Weitere Professuren und Dozenten' on https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations),,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Also Working Group Leader, Ecosystems in Transition (https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/research/ecosystems-in-transition, which prints 'PD Dr. Kirsten Thonicke')."
Georg Feulner,"Deputy Head of Research Department; Head Working Group ""Past and Future Earth"", Co-Lead POEM Development, Adjunct Professor University of Potsdam","RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)",Universität Potsdam — Institut für Physik und Astronomie (listed as Prof. Dr. habil. Georg Feulner on https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations); the PIK staff page itself prints 'Adjunct Professor University of Potsdam',,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Adjunct professorship is a second affiliation, not his primary post — his primary post is the PIK deputy department headship."
Giorgia Di Capua,Working Group Leader,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)",,,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Working group: Climate Extremes."
Andrey Ganopolski,Working Group Leader,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)",,,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Working group: Long-Term Trajectories."
Matteo Willeit,Working Group Leader,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)",,,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Working group: Long-Term Trajectories (co-led with Ganopolski)."
Dieter Gerten,Working Group Leader,"RD1 - Earth System Analysis, Potsdam-Institut für Klimafolgenforschung (PIK)","Humboldt-Universität zu Berlin — Geographisches Institut (joint appointment, https://www.pik-potsdam.de/en/institute/scientific-networks/university-cooperations)",,https://www.pik-potsdam.de/en/institute/departments/earth-system-analysis/staff,"site=Potsdam (PIK main site, Telegrafenberg A 31, 14473 Potsdam) — PIK's own contact page https://www.pik-potsdam.de/en/institute/contact/where gives this as the institute address and states PIK has exactly two locations, Potsdam and Berlin, the Berlin one being the MCC/EUREF-Campus site that houses RD5. Working group: Terrestrial Safe Operating Space; the group page prints 'Prof. Dieter Gerten'."
