name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Sven Apel,Professur für Informatik mit Schwerpunkt Softwaretechnik,Fachrichtung Informatik – Software Engineering and Programming Methodology,,https://www.se.cs.uni-saarland.de/apel/,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Michael Backes,Professur für Sicherheit und Kryptographie (CISPA),Fachrichtung Informatik – Information Security and Cryptography,CISPA Helmholtz-Zentrum für Informationssicherheit (Wissenschaftlicher Direktor / Scientific Director),https://cispa.de/de/people/backes,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,Chair name itself carries the CISPA affiliation
Markus Bläser,Professur für Informatik / Komplexitätstheorie,Fachrichtung Informatik – Computational Complexity,,https://cc.cs.uni-saarland.de/mblaeser/,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
André Brinkmann,Professur für High-Performance Computing,Fachrichtung Informatik – Hochleistungsrechnen,,https://www.uni-saarland.de/lehrstuhl/brinkmann.html,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Vera Demberg,Professur für Informatik und Computerlinguistik,Fachrichtung Informatik – Computer Science and Computational Linguistics,,https://www.uni-saarland.de/lehrstuhl/demberg.html,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Jens Dittrich,"Professur für Informatik, insbesondere Datenbanken und Informationssysteme","Fachrichtung Informatik – Databases, Data Management, and Big Data Analytics",,http://www.infosys.cs.uni-saarland.de/index.php,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Anna Maria Feit,Professur für Informatik / Human-Computer Interaction,Fachrichtung Informatik – Computational Interaction,,http://annafeit.de/,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Aleksei Gurevich,Juniorprofessur für Human Microbe Systems Bioinformatics,Fachrichtung Informatik – Human-Microbe Systems Bioinformatics,Center for Bioinformatics (CBI); Helmholtz-Zentrum für Infektionsforschung,https://www.helmholtz-hips.de/en/research/teams/team/human-microbe-systems-bioinformatics/,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,Name also spelled Alexey Gurevich on SIC directory
Sebastian Hack,Professur für Informatik / Programming,Fachrichtung Informatik – Compiler Design,,http://www.prog.uni-saarland.de/people.php?id=1,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
Thorsten Herfet,Professur für Nachrichtentechnik,Fachrichtung Informatik – Telecommunications,,http://www.nt.uni-saarland.de/,https://www.uni-saarland.de/universitaet/organisation/fakultaeten/professuren/fak-mi/informatik.html,
