name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Ziawasch Abedjan,Professor Dr. Ziawasch Abedjan,"Fachgebietsleitung, Informationsintegration und Datenaufbereitung (D2IP), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin","BIFOLD – Berlin Institute for the Foundations of Learning and Data (Research Group Lead, Data Integration and Data Preparation / D2IP) — bifold.berlin/research/people",https://www.tu.berlin/d2ip,https://www.tu.berlin/d2ip/ueber-uns/leitung,"TU Berlin Fachgebiete table entry links directly to https://www.tu.berlin/d2ip/ueber-uns/leitung, which states 'Das Fachgebiet wird von Professor Dr. Ziawasch Abedjan geleitet.' BIFOLD's own people directory (role column 'Research Group Leads') lists 'Abedjan Ziawasch, Prof. Dr.' under group 'Data Integration and Data Preparation (D2IP)', confirming the second affiliation."
Steve Albrecht,Professor (exact title string not found on cited page; TU Berlin's own Fachgebiete table lists him as Fachgebietsleitung for 'Perowskit Solarzellen' / PET),"Fachgebietsleitung, Perowskit Solarzellen (PET), Institut für Hochfrequenz- und Halbleiter-Systemtechnologien, Fakultät IV Elektrotechnik und Informatik, TU Berlin","Helmholtz-Zentrum Berlin (HZB) — leads the 'Perowskit Tandemsolarzellen' department; the TU Berlin Fachgebiete table's link for this person resolves directly to a HZB page, not a tu.berlin page, indicating the primary web presence (and likely primary employer) is HZB with the TU Berlin PET chair held jointly (Berliner Modell pattern seen elsewhere in this institute, e.g. Bernd Rech/Photovoltaik).",https://www.helmholtz-berlin.de/forschung/oe/se/perovskite-tandemsolarcells/index_de.html,https://www.helmholtz-berlin.de/forschung/oe/se/perovskite-tandemsolarcells/index_de.html,"LOW CONFIDENCE on exact title: the linked HZB group page (helmholtz-berlin.de) contains no 'Prof.' string near his name, only a publication list. Included per the over-collection rule since the EECS Fachgebiete table names him as chair holder for PET; downstream verification against a HZB or TU Berlin press page recommended."
Marc Alexa,Prof. Dr. Marc Alexa (FGL Strukturprofessur),"Fachgebietsleitung, Computer Graphics (CG), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,http://cg.tu-berlin.de/,https://www.tu.berlin/vcard/marc.alexa/32432,"TU Berlin vcard page (tu.berlin/vcard/marc.alexa) gives heading 'Prof. Dr. Marc Alexa' and position-info 'FGL Strukturprofessur' (regular structural chair, i.e. a standard TU Berlin professorship, not a joint appointment)."
Bettina Berendt,Prof. Dr. Bettina Berendt,"Fachgebietsleitung, Internet und Gesellschaft (IAS), Institut für Telekommunikationssysteme, Fakultät IV Elektrotechnik und Informatik, TU Berlin","Weizenbaum-Institut (Deutsches Internet-Institut) — Direktorin; Gastprofessorin an der KU Leuven, Belgien (visiting professor)",https://www.tu.berlin/ias,https://www.tu.berlin/ias/ueber-uns/leitung,"Own page: 'Frau Prof. Dr. Bettina Berendt ist seit 2019 Professorin für Internet und Gesellschaft an der Technischen Universität Berlin, Direktorin des Weizenbaum-Instituts und Gastprofessorin an der KU Leuven, Belgien.'"
David Bermbach,Prof. Dr.-Ing. David Bermbach,"Fachgebietsleitung, Skalierbare Softwaresysteme (3S), Institut für Wirtschaftsinformatik und Quantitative Methoden, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/3s,https://www.tu.berlin/3s/ueber-uns/team/prof-dr-ing-david-bermbach,"Own page: 'Seit 2023 ist David Bermbach Professor für Skalierbare Softwaresysteme, zuvor leitete er seit 2017 als Juniorprofessor das Fachgebiet Mobile Cloud Computing an der TU Berlin und am Einstein Center Digital Future.' The ECDF affiliation is described as a past (2017-2023) juniorprofessorship arrangement, not stated as current, so not carried into other_affiliations."
Benjamin Blankertz,Prof. Dr. Benjamin Blankertz,"Fachgebietsleitung, Neurotechnologie (NEURO), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/neuro,https://www.tu.berlin/neuro/ueber-uns/leitung,"Own page: 'Prof. Dr. Benjamin Blankertz, Technische Universität Berlin, Fachgebietsleiter Neurotechnologie - Fakultät IV.' No other affiliation stated on this page."
Oliver Brock,"Professor Dr. Oliver Brock (Alexander von Humboldt-Professor, seit 2009)","Fachgebietsleitung, Robotics and Biology Laboratory (RBO), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/robotics,https://www.tu.berlin/go31479,"Own CV page: 'since 2009 Alexander von Humboldt Professor, TU Berlin.' The Alexander von Humboldt Professorship is Germany's highest-endowed international research award, awarded to Brock at TU Berlin; not a joint appointment with a separate employer."
Maurizio Burla,Prof. Dr.-Ing. Maurizio Burla (FGL Strukturprofessur),"Fachgebietsleitung, Hochfrequenztechnik - Photonik (HFT), Institut für Hochfrequenz- und Halbleiter-Systemtechnologien, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/hft,https://www.tu.berlin/hft/ueber-uns/leitung,Own page: 'Maurizio Burla ist seit dem 1. April 2022 Leiter des Fachgebiets Hochfrequenztechnik der Technischen Universität Berlin ... Inhaber des Lehrstuhls für Hochfrequenztechnik und Photonik.' No other current institutional affiliation named.
Matthias Böhm,Prof. Dr. Matthias Böhm (FGL Strukturprofessur),"Fachgebietsleitung, Big Data Engineering (DAMS), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin","BIFOLD – Berlin Institute for the Foundations of Learning and Data (Research Group Lead, Big Data Engineering / DAMS) — bifold.berlin/research/people",https://www.tu.berlin/dams,https://www.tu.berlin/dams/ueber-uns/team,"TU Berlin DAMS page (tu.berlin/dams) confirms 'Prof. Dr. Matthias Böhm, FGL Strukturprofessur.' Team page also notes the DAMS Lab is a 'organisations-übergreifende Forschungsgruppe' with external members from TU Graz and Know-Center Graz (Austria) — collaborators, not a personal second employer for Böhm, so not recorded as other_affiliation. BIFOLD's people directory lists him as Research Group Lead for DAMS."
Giuseppe Caire,Prof. Dr. Giuseppe Caire (FGL Strukturprofessur),"Fachgebietsleitung, Theoretische Grundlagen der Kommunikationstechnik (CommIT), Institut für Telekommunikationssysteme, Fakultät IV Elektrotechnik und Informatik, TU Berlin",BIFOLD – Berlin Institute for the Foundations of Learning and Data (Fellow) — bifold.berlin/research/people,https://www.tu.berlin/commit/,https://www.tu.berlin/commit/mitglieder,"CommIT group member/staff page lists 'Caire, Giuseppe | Prof. Dr. Giuseppe Caire | Prof. Dr. | FGL Strukturprofessur.' BIFOLD directory lists him as a Fellow."
Corrado Carta,Prof. Dr. Corrado Carta (FGL Gem. Berufung Berliner Modell),"Fachgebietsleitung, Integrierte Breitband- und Höchstfrequenzschaltungen (FG-Webseite im Aufbau), Institut für Hochfrequenz- und Halbleiter-Systemtechnologien, Fakultät IV Elektrotechnik und Informatik, TU Berlin. Fachgebiets-Webseite laut Fakultätstabelle 'im Aufbau' (under construction) — no dedicated group site found","Joint appointment under the Berlin model ('Gemeinsame Berufung, Berliner Modell') stated on the TU Berlin vcard page, but the partner (non-TU-Berlin) institution is not named on any page found; not asserted.",,https://www.tu.berlin/vcard/corrado.carta/32432,"TU Berlin vcard page gives only 'FGL Gem. Berufung Berliner Modell' with no partner institution named. The 'Berliner Modell' typically pairs a TU Berlin chair with a Berlin research institute (as confirmed explicitly for colleagues in the same institute, e.g. Ganesh/Fraunhofer IZM, Samek/Fraunhofer HHI). Left unclear rather than guessed."
Begüm Demir,Prof. Dr. Begüm Demir (FGL Strukturprofessur),"Fachgebietsleitung, Remote Sensing Image Analysis (RSiM), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin","BIFOLD – Berlin Institute for the Foundations of Learning and Data (Research Group Lead, Big Data Analytics for Earth Observation / RSiM) — bifold.berlin/research/people",https://www.tu.berlin/rsim,https://www.tu.berlin/vcard/demir/32432,"TU Berlin vcard confirms 'Prof. Dr. Begüm Demir, FGL Strukturprofessur.' BIFOLD directory lists her as Research Group Lead for RSiM."
Fatma Deniz,Prof. Dr. Fatma Deniz,"Fachgebietsleitung, Sprache und Kommunikation in biologischen und künstlichen Systemen (COCO), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/coco,https://www.tu.berlin/coco/ueber-uns,"COCO group team page: 'Prof. Dr. Fatma Deniz, Leitung der Forschungsgruppe.' No other institutional affiliation stated (Jack Gallant, UC Berkeley, is named as an external research partner/collaborator, not her employer)."
Sibylle Dieckerhoff,Prof. Dr.-Ing. Sibylle Dieckerhoff (FGL Strukturprofessur),"Fachgebietsleitung, Leistungselektronik (LE), Institut für Energie- und Automatisierungstechnik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/pe,https://www.tu.berlin/pe/team/fachgebietsleiterin/prof-dr-ing-sibylle-dieckerhoff,
Falko Dressler,Prof. Dr. Falko Dressler,"Fachgebietsleitung, Telekommunikationsnetze (TKN), Institut für Telekommunikationssysteme, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/tkn,https://www.tu.berlin/tkn/ueber-uns/leitung,
Ronald Freund,Prof. Dr. Ronald Freund (FGL Gem. Berufung Berliner Modell),"Fachgebietsleitung, Photonische Kommunikationssysteme (PKN), Institut für Telekommunikationssysteme, Fakultät IV Elektrotechnik und Informatik, TU Berlin","Joint appointment under the Berlin model stated on the TU Berlin vcard page; partner institution not named there. (Externally, Fraunhofer HHI is known to run photonic communication systems research in Berlin, but this was not confirmed on any page fetched, so it is not asserted here.)",,https://www.tu.berlin/vcard/ronald.freund/32432,"TU Berlin vcard page gives only 'FGL Gem. Berufung Berliner Modell', no partner institution named on the page."
Guillermo Gallego,Prof. Guillermo Gallego (Fachgebietsleitung),"Fachgebietsleitung, Robotic Interactive Perception (RP), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://sites.google.com/view/guillermogallego/team,https://www.tu.berlin/vcard/guillermo.gallego/32432,
Ulrike Ganesh,Prof. Dr.-Ing. Ulrike Ganesh,"Fachgebietsleitung, Design and Hetero-Integration of Micro-Electronic Systems (DHIMES), Institut für Hochfrequenz- und Halbleiter-Systemtechnologien, Fakultät IV Elektrotechnik und Informatik, TU Berlin",Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration (IZM) — Institutsleitung (Director),https://www.tu.berlin/dhimes,https://www.tu.berlin/dhimes/ueber-uns/leitung,"DHIMES Fachgebiet page, own words: 'Mit meiner Berufung an die TU-Berlin habe ich ebenso die Leitung des Fraunhofer-Instituts für Zuverlässigkeit und Mikrointegration IZM übernommen' (with my appointment to TU Berlin I also took over the leadership of Fraunhofer IZM), in post since August 2024."
Ceenu George,Title not established — TU Berlin's own Fachgebiete table names her as Fachgebietsleitung for Mensch-Computer-Interaktion (HCI); her linked profile (hci.tu-berlin.de) is a JavaScript single-page app whose content does not render via HTTP fetch and could not be read.,"Fachgebietsleitung, Mensch Computer Interaktion (HCI), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,,https://www.hci.tu-berlin.de/#/people/4228f652-dc71-11f0-85bb-c8f75040ed17,LOW CONFIDENCE / incomplete: hci.tu-berlin.de is a client-side-rendered SPA; both a direct fetch and a proxy fetch returned only the empty app shell. Row kept per the over-collection rule since TU Berlin's own Fachgebiete listing names her as chair holder for HCI; exact title (e.g. Juniorprofessorin vs. Universitätsprofessorin) needs a second pass with a JS-capable fetch.
Friedel Gerfers,Prof. Dr.-Ing. Friedel Gerfers,"Fachgebietsleitung, Mixed Signal Circuit Design (MSC), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/msc,https://www.tu.berlin/msc/ueber-uns/leitung/prof-dr-ing-friedel-gerfers,
Sabine Glesner,Prof. Dr. rer. nat. Sabine Glesner,"Fachgebietsleitung, Software and Embedded Systems Engineering (SESE), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/sese,https://www.tu.berlin/sese/ueber-uns/leitung,
Clemens Gühmann,Prof. Dr.-Ing. Clemens Gühmann,"Fachgebietsleitung, Elektronische Mess- und Diagnosetechnik (MDT), Institut für Energie- und Automatisierungstechnik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/mdt,https://www.tu.berlin/mdt/ueber-uns/leitung/prof-dr-ing-clemens-guehmann,
Stefan Haufe,"Prof. Dr. Stefan Haufe (Professor W2, per own CV: 'Since 05/2021 Professor (W2), Head of FG UNIML TU Berlin')","Fachgebietsleitung, Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML), Institut für Softwaretechnik und Theoretische Informatik, Fakultät IV Elektrotechnik und Informatik, TU Berlin","Charité – Universitätsmedizin Berlin — Head of ERC-funded Braindata Group (since 01/2019, ERC Starting Grant TrueBrainConnect); Physikalisch-Technische Bundesanstalt (PTB) — Head of Working Group 8.44 'Machine Learning and Uncertainty' (since 05/2021)",https://www.tu.berlin/uniml,https://www.tu.berlin/uniml/about/head-of-group,"Own CV page lists concurrent roles: 'Since 05/2021 Professor (W2), Head of FG UNIML TU Berlin', 'Since 05/2021 Head of Working Group 8.44 PTB', 'Since 01/2019 Head of ERC Research Group Charité - Universitätsmedizin Berlin.'"
Manfred Hauswirth,Prof. Dr. Manfred Hauswirth,"Fachgebietsleitung, Verteilte offene Systeme (ODS), Institut für Telekommunikationssysteme, Fakultät IV Elektrotechnik und Informatik, TU Berlin",Fraunhofer-Institut für Offene Kommunikationssysteme (FOKUS) — Geschäftsführender Institutsleiter (Executive Director); BIFOLD — Principal Investigator; Weizenbaum-Institut — Direktor und Principal Investigator; Einstein Center Digital Future (ECDF) — Principal Investigator; Berlin Big Data Center (BBDC) — Principal Investigator; HEIBRiDS (Helmholtz-Einstein International Berlin Research School in Data Science) — Principal Investigator,https://www.tu.berlin/ods,https://www.tu.berlin/ods/ueber-uns/prof-dr-manfred-hauswirth,"Own page: 'Prof. Dr. Manfred Hauswirth ist geschäftsführender Institutsleiter des Fraunhofer-Instituts für Offene Kommunikationssysteme (FOKUS) und Inhaber des Lehrstuhls für Open Distributed Systems an der Technischen Universität Berlin ... Er ist Direktor und Principal Investigator im Weizenbaum-Institut ... und Principal Investigator im Einstein Center Digital Future (ECDF), im Berlin Big Data Center (BBDC), dem Berlin Institute for the Foundations of Learning and Data (BIFOLD) und der Helmholtz-Einstein International Berlin Research School in Data Science (HEIBRiDS).' BIFOLD's own directory lists him as a Fellow, consistent."
Olaf Hellwich,Prof. Dr.-Ing. Olaf Hellwich,"Fachgebietsleitung, Computer Vision and Remote Sensing (CV), Institut für Technische Informatik und Mikroelektronik, Fakultät IV Elektrotechnik und Informatik, TU Berlin",,https://www.tu.berlin/cv,https://www.tu.berlin/cv/ueber-uns/olaf-hellwich,"Chair was previously named 'Photogrammetrie und Kartographie' and is now 'Computer Vision and Remote Sensing' (own page); this is a chair renaming, not a second affiliation."
