name,title_verbatim,group_or_dept,campus,other_affiliations,personal_url,evidence_url,notes
Achim Lilienthal,Prof. Dr.,Lehrstuhl für Perception for Intelligent Systems,Munich city centre,Munich Center for Machine Learning (MCML),https://www.ce.cit.tum.de/pins/startseite/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6F846EED5618D470&pPersonenGruppe=3,"Address per TUMonline vCard: 80992 München, Georg-Brauchle-Ring 62."
Alessio Gagliardi,Prof. Dr. rer. nat.,Professur für Simulation von Nanosystemen für Energiewandlungen,Garching,,https://www.ee.cit.tum.de/sne,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6990AC98818D0A4F&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/III (TUEISNE)."
Alexander Fraser,Prof. Dr.,Lehrstuhl für Data Analytics & Statistics,Heilbronn,Munich Center for Machine Learning (MCML),https://alexfraser.github.io,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=D2EC663DE586CD9A&pPersonenGruppe=3,"Address per TUMonline vCard: 74076 Heilbronn, Bildungscampus    2."
Alexander König,Prof. Dr. M.Sc.,Lehrstuhl für Robotik und Systemintelligenz,Munich city centre,,https://www.ce.cit.tum.de/rsi/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=F6BBC641019F091B&pPersonenGruppe=3,"Address per TUMonline vCard: 80992 München, Georg-Brauchle-Ring 60_62/I (Lst. für Robotik und Systemintelligenz)."
Alexander Pretschner,Prof. Dr.,Lehrstuhl für Software & Systems Engineering,Garching,,https://www.cs.cit.tum.de/sse/startseite/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=0DB21F05BD46AFEE&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Ali Sunyaev,Prof. Dr. rer. nat.,Lehrstuhl für Informationsinfrastrukturen,Heilbronn,,http://www.cs.cit.tum.de/ii/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=7476D81B96E50CEA&pPersonenGruppe=3,"Address per TUMonline vCard: 74076 Heilbronn, Bildungscampus    2."
Alin Olimpiu Albu-Schäffer,Prof. Dr.-Ing.,Lehrstuhl für Sensorbasierte Robotersysteme und intelligente Assistenzsysteme,unclear,"DLR (German Aerospace Center), Institute of Robotics and Mechatronics (Director)",https://www.robotic.dlr.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6E0408F2712A90CA&pPersonenGruppe=3,"Address per TUMonline vCard: 82234 Weßling, Münchner Straße 20. Registered office is outside TUM's five named campuses (DLR Oberpfaffenhofen, Weßling); campus marked unclear per instructions."
Alois Christian Knoll,Prof. Dr.-Ing. habil.,"Lehrstuhl für Robotik, Künstliche Intelligenz und Echtzeitsysteme",Garching,,https://www.ce.cit.tum.de/air/home/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=1AE394A566BFB49C&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Amelie Hagelauer,Prof. Dr.-Ing.,Lehrstuhl für Mikro- und Nanosystemtechnik,Garching,,https://www.ee.cit.tum.de/mnt/startseite/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=8BBFF01339341946&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/II (Lst. Mikro- und Nanosystemtechnik)."
Amr Abdelhafez,Prof. Dr. rer. nat.,Professur für Cyber-Physical Systems,Heilbronn,,https://www.ce.cit.tum.de/en/ce/research/professorships/hncps/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=5C63F7FD827C4D63&pPersonenGruppe=3,"Address per TUMonline vCard: 74076 Heilbronn, Bildungscampus    2."
Andrea Stocco,Prof. Dr.,Technische Universität München,Munich city centre,,https://www.cs.cit.tum.de/sse/stocco/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=A01F0B3AF661A080&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Arcisstr.   21. Additional TUM org listed: TUS1302 Informatik 4 - Professur für Software Engineering für datenintensive Anwendungen (Prof. Stocco)."
Andreas Herkersdorf,Prof. Dr.,Lehrstuhl für Integrierte Systeme,Munich city centre,,http://www.lis.ei.tum.de/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=CE6105D4B551893D&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Theresienstr.   90/II (Integrierte Systeme)."
Andreas Obersteiner,Prof. Dr.,Didaktik der Mathematik,Munich city centre,Primary appointment: TUM School of Social Sciences and Technology,https://www.edu.sot.tum.de/ma/team/mitarbeiter-innen/prof-obersteiner/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=A8FF7702C9ECFDE1&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Social Sciences and Technology. Address per TUMonline vCard: 80333 München, Arcisstr.   21."
Andreas Schulz,Prof. Dr. rer. nat.,Lehrstuhl für Operations Research,Munich city centre,"Primary appointment: TUM School of Management (Operations Research chair; also appears in CIT Zweitmitglieder list as ""Andreas S. Schulz"")",https://www.or.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=ABFA9B06147F16C6&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Arcisstrasse 21 (Lehrstuhl für Operations Research). Same person_id also appears under CIT Zweitmitglieder list as ""Andreas S. Schulz"" (professoren.tum.de); treated as one person, primary-member entry kept."
Andreas Wiese,Prof. Dr. rer. nat.,Professur für Diskrete Mathematik und Kombinatorische Optimierung,Garching,,https://www.math.cit.tum.de/math/personen/professuren/wiese-andreas/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6CCF08900F9C78E9&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Angela Dai,Prof. Dr. Ph.D.,Professur für 3D Artificial Intelligence,Garching,Munich Center for Machine Learning (MCML),https://www.3dunderstanding.org/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=855090D822C5409A&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Angela Schöllig,Prof. Dr.sc. ETH Zürich,"Lehrstuhl für Sicherheit, Performanz und Zuverlässigkeit für lernende Systeme",Munich city centre,Munich Center for Machine Learning (MCML),https://www.ce.cit.tum.de/lsy/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=43906B8D455EC438&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Theresienstr.   90 (LS Lernende Systeme)."
Antonia Wachter-Zeh,Prof. Dr.-Ing.,Professur für Codierung und Kryptographie,Munich city centre,,https://www.lnt.ei.tum.de/en/people/professors/wachter-zeh/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=9E629B101EE99C70&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Theresienstr.   90/II (Professur für Codierung Kryptographie)."
Barbara Wohlmuth,Prof. Dr. rer. nat.,Lehrstuhl für Numerische Mathematik,Garching,,https://www.math.cit.tum.de/math/forschung/gruppen/numerical-analysis/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=5EE13E0A2C5026D1&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Benedikt Wiestler,Prof. Dr.,AI for Image-Guided Diagnosis and Therapy,Munich city centre,Primary appointment: TUM School of Medicine and Health,,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=5A72DBCFFBFFA9F3&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Medicine and Health. Address per TUMonline vCard: 81675 München, Ismaningerstr. 22."
Benjamin Nuß,Prof. Dr.-Ing.,Professur für Mikrowellensensoren und Sensorsysteme,Munich city centre,,https://www.ee.cit.tum.de/mws/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=975406360E0785FE&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Theresienstr.   90."
Berna Özkale Edelmann,Prof. Dr.,Professur für Nano- and Microrobotics,Garching,,https://www.ee.cit.tum.de/en/rmn/home/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=932D1F13AF8CFE22&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1 (Hausadresse TUEIRMN)."
Bernd Finkbeiner,Prof. Ph.D.,Lehrstuhl für Verifikation und Synthese von reaktiven Systemen,Garching,,https://rct.cit.tum.de/people/finkbeiner/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=F493F8D2C936D22B&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3 (Standort Garching FMI Gebäude). Additional TUM org listed: TUS1326 Lehrstuhl für Verifikation und Synthese von reaktiven Systemen (Prof. Finkbeiner)."
Bernhard Seeber,Prof. Dr.-Ing.,Professur für Audio-Signalverarbeitung,Munich city centre,,https://www.ce.cit.tum.de/aip,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=8DD6C79A905DFE42&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Theresienstr.   90/VI (Professur für Audio-Signalverarbeitung)."
Bernhard Wolfrum,Prof. Dr. rer. nat.,Professur für Neuroelektronik,Garching,,http://www.nel.ei.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=B9780C4E5EE7082D&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/II (Professur für Neuroelektronik)."
Berthold Bäuml,Prof. Dr.-Ing.,Professur für Learning AI for Dextrous Robots,Garching,"DLR (German Aerospace Center), Institute of Robotics and Mechatronics",https://aidx-lab.org,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=716BA3488FEBED66&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Friedrich-Ludwig-Bauer-Str.    3/II."
