name,title_verbatim,group_or_dept,primary_affiliation,personal_url,evidence_url,notes
Matthias Bethge,Director,Computational Neuroscience and Machine Learning,University of Tübingen,bethgelab.org,https://tuebingen.ai/people,ELLIS Fellow
Philipp Hennig,Director,Methods of Machine Learning,University of Tübingen,,https://tuebingen.ai/people,ELLIS Fellow
Bernhard Schölkopf,Co-Director,Machine Learning and Inference from Empirical Data,Max Planck Institute for Intelligent Systems,is.mpg.de/~bs,https://tuebingen.ai/people,ELLIS Fellow
Jonas Geiping,Group Leader,Safety and Efficiency in Machine Learning,Max Planck Institute for Intelligent Systems,jonasgeiping.github.io,https://tuebingen.ai/people,ELLIS Scholar
Moritz Hardt,Professor,Social Foundations of Computations,Max Planck Institute for Intelligent Systems,is.mpg.de/person/mhardt,https://tuebingen.ai/people,ELLIS Fellow
Kerstin Ritter,Professor,Machine Learning for Clinical Neuroscience,Hertie Institute for AI in Brain Health,hertie.ai/the-institute/team/members/kerstin-ritter,https://tuebingen.ai/people,
Ulrike von Luxburg,Professor,Theory of Machine Learning,University of Tübingen,tml.cs.uni-tuebingen.de/team/luxburg/,https://tuebingen.ai/people,ELLIS Fellow
Sahar Abdelnabi,Group Leader,Cooperative Machine Intelligence for People-Aligned Safe Systems,ELLIS Institute Tübingen,,https://tuebingen.ai/people,
Rediet Abebe,Professor,AI & Mechanisms,University of Tübingen,institute-tue.ellis.eu/aim,https://tuebingen.ai/people,
Maksym Andriushchenko,Group Leader,AI Safety and Alignment,ELLIS Institute Tübingen,institute-tue.ellis.eu/aisa,https://tuebingen.ai/people,
Philipp Berens,Professor,Neural Modeling,Hertie Institute for AI in Brain Health,hertie.ai/data-science,https://tuebingen.ai/people,ELLIS Scholar
Wieland Brendel,Group Leader,Robust Machine Learning,Max Planck Institute for Intelligent Systems,is.mpg.de/person/wbrendel,https://tuebingen.ai/people,ELLIS Scholar
Maximilian Dax,Group Leader,Science and Probabilistic Intelligence,ELLIS Institute Tübingen,institute-tue.ellis.eu/spin,https://tuebingen.ai/people,
Peter Dayan,Professor,Computational Neuroscience,Max Planck Institute for Biological Cybernetics,mpg.de/12309370/biological-cybernetics-dayan,https://tuebingen.ai/people,ELLIS Fellow
Veronika Eyring,Professor,AI for Climate and Physical Systems,University of Tübingen,,https://tuebingen.ai/people,ELLIS Fellow
Peter Gehler,Professor,ML Engineering and Technology Transfer,University of Tübingen,gehler.tuebingen.ai,https://tuebingen.ai/people,
Andreas Geiger,Professor,Autonomous Vision,University of Tübingen,cvlibs.net,https://tuebingen.ai/people,ELLIS Fellow
Matthias Hein,Professor,Machine Learning,University of Tübingen,,https://tuebingen.ai/people,ELLIS Fellow
Almut Sophia Koepke,Group Leader,Learning from Sound Vision and Text,University of Tübingen,akoepke.github.io/mumol.html,https://tuebingen.ai/people,
Mario Krenn,Professor,Machine Learning in Science II,University of Tübingen,artificial-scientist-lab.ai,https://tuebingen.ai/people,
Hilde Kühne,Professor,Multi-modal Learning,University of Tübingen,cvml.tuebingen.ai,https://tuebingen.ai/people,
Shiwei Liu,Group Leader,Wild Efficient and Innovative AI,ELLIS Institute Tübingen,institute-tue.ellis.eu/wei,https://tuebingen.ai/people,
Nicole Ludwig,Tenure Track Professor,Climate Energy and Machine Learning Systems,University of Tübingen,mlsustainableenergy.com/people/nicole-ludwig/,https://tuebingen.ai/people,
Jakob Macke,Professor,Machine Learning in Science,University of Tübingen,mackelab.org,https://tuebingen.ai/people,ELLIS Fellow
Georg Martius,Professor,Distributed Intelligence / Autonomous Learning,University of Tübingen,,https://tuebingen.ai/people,
Celestine Mendler-Dünner,Group Leader,Algorithms and Society,ELLIS Institute Tübingen,celestine.ai,https://tuebingen.ai/people,ELLIS Scholar
Seong Joon Oh,Professor,Scalable Trustworthy AI,University of Tübingen,seongjoonoh.com,https://tuebingen.ai/people,
Antonio Orvieto,Group Leader,Large-scale Optimization Dynamics,ELLIS Institute Tübingen,orvi.altervista.org,https://tuebingen.ai/people,
Gerard Pons-Moll,Professor,Continuous Learning on Multimodal Datastreams (Real Virtual Humans),University of Tübingen,virtualhumans.mpi-inf.mpg.de/people/pons-moll.html,https://tuebingen.ai/people,ELLIS Scholar
T. Konstantin Rusch,Group Leader,Computational Applied Mathematics & AI Lab (CAMAIL),ELLIS Institute Tübingen,institute-tue.ellis.eu/camail,https://tuebingen.ai/people,
Samira Samadi,Group Leader,Machine Learning,Max Planck Institute for Intelligent Systems,samirasamadi.com,https://tuebingen.ai/people,
Robert Williamson,Professor,Foundations of Machine Learning Systems,University of Tübingen,fm.ls/bob-williamson,https://tuebingen.ai/people,ELLIS Fellow
