name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Anna H. Albrecht,"Lehrstuhl für Strafrecht und Strafprozessrecht, Wirtschafts- und Medienstrafrecht und Strafrechtsvergleichung","Fachbereich Strafrecht, Juristische Fakultät",Sprecherin des Fachbereichs Strafrecht,https://www.uni-potsdam.de/de/ls-albrecht/team/prof-dr-anna-h-albrecht,https://www.uni-potsdam.de/de/jura/ful/lehrstuehle-und-professuren/strafrecht,"campus=Griebnitzsee (August-Bebel-Str. 89, 14482 Potsdam); evidence=chair page postal address [collected in the University of Potsdam faculty slice: wiso_phil]"
Amitabh Banerji,Professuren (Institut für Chemie) - Didaktik der Chemie,"Didaktik der Chemie, Institut für Chemie",,https://www.banerji-lab.com,https://www.chem.uni-potsdam.de/index.php?lang=de&action=profs,"campus=Golm. Evidence: chem.uni-potsdam.de homepage text 'Sie finden uns im Wissenschaftspark Golm'; address 'Karl-Liebknecht-Str. 24-25, 14476 Potsdam'; Institutsleitung room 'Haus 26 / 2.61'; other rooms Haus 25 / Haus 29. Room Haus 25 / D 1.10-1.11. [collected in the University of Potsdam faculty slice: mathnat]"
Bert Arnrich,Prof. Dr. | Fachgebiet Digital Health - Connected Healthcare,Digital Engineering Fakultät - Fachgebiet Digital Health - Connected Healthcare; Digital Engineering Fakultät (gemeinsame Fakultät der Universität Potsdam und des Hasso-Plattner-Instituts),"Hasso-Plattner-Institut: the UP Digital-Engineering faculty page lists this person under 'Fachgebiete' with the link pointing to the HPI chair page (hpi.de/forschung/fachgebiete/...), and hpi.de lists the same person under 'HPI-Fachgebiete' - i.e. shown as HPI Fachgebietsleiter/in (chair holder at HPI) while being a professor of the joint UP Digital Engineering Fakultät",https://hpi.de/forschung/fachgebiete/digital-health-connected-healthcare.html,https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete,"campus=Griebnitzsee; evidence: DE-Fakultaet/HPI ""Kontakt"" block gives Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam; stellv. Vorsitz des Fakultaetsrats [collected in the University of Potsdam faculty slice: human_de]"
Anna Bindler,Professur für Angewandte Mikroökonomie (Gemeinsame Berufung mit dem DIW Berlin),"Fachgruppe Volkswirtschaftslehre, Wirtschafts- und Sozialwissenschaftliche Fakultät","DIW Berlin (Deutsches Institut für Wirtschaftsforschung): joint appointment, head of Applied Microeconomics department",https://www.diw.de/de/diw_01.c.914985.de/abteilung_angewandte_mikrooekonomie.html,https://www.uni-potsdam.de/de/wiso/fakultaet/professuren-personen,"JOINT APPOINTMENT UP + DIW Berlin. campus=unclear for the UP part, day-to-day seat is DIW Berlin (Mohrenstr. 58, Berlin); WiSo faculty seat is Griebnitzsee. confidence=low [collected in the University of Potsdam faculty slice: wiso_phil]"
Alexander Böker,Professuren (Institut für Chemie) - Polymermaterialien und Polymertechnologien,"Polymermaterialien und Polymertechnologien, Institut für Chemie",,https://www.chem.uni-potsdam.de/groups/boeker/,https://www.chem.uni-potsdam.de/index.php?lang=de&action=profs,"campus=Golm. Evidence: chem.uni-potsdam.de homepage text 'Sie finden uns im Wissenschaftspark Golm'; address 'Karl-Liebknecht-Str. 24-25, 14476 Potsdam'; Institutsleitung room 'Haus 26 / 2.61'; other rooms Haus 25 / Haus 29. confidence=low on affiliations: the institute page names no second institution for him (he is publicly associated with Fraunhofer IAP Potsdam-Golm, but that is NOT stated on the pages fetched). [collected in the University of Potsdam faculty slice: mathnat]"
Bodo Bookhagen,ProfessorInnen - Geologische Fernerkundung | Prof. Dr.,"Geologische Fernerkundung, Institut für Geowissenschaften",,,https://www.uni-potsdam.de/de/geo/institut/mitarbeiter,"campus=Golm. Evidence: institute contact block 'Campus Golm / Haus 27, Karl-Liebknecht-Str. 24-25, 14476 Potsdam'. Also listed by the Institut für Informatik under 'Weitere Informatik(nahe) Professuren am Institut für Geowissenschaften - Geologische Fernerkundung'. [collected in the University of Potsdam faculty slice: mathnat]"
Andreas Borowski,Ordentliche Professuren - Didaktik der Physik,"Didaktik der Physik, Institut für Physik und Astronomie",,,https://www.uni-potsdam.de/de/physik/institut/professuren,"campus=Golm. Evidence: institute contact block 'Campus Golm, Haus 28, Karl-Liebknecht-Straße 24/25, 14476 Potsdam OT Golm'. [collected in the University of Potsdam faculty slice: mathnat]"
Andreas Brenne,Prof. Dr. | Professur für Kunstpädagogik und -didaktik,"Department Musik und Kunst, Humanwissenschaftliche Fakultät (Strukturbereich Bildungswissenschaften)",,https://www.uni-potsdam.de/de/kunst/professur-fuer-kunstpaedagogik-und-didaktik,https://www.uni-potsdam.de/de/bildungswissenschaften/studienbereiche/musik-und-kunst,"campus=Golm; evidence: Kunst unit contact block ""Karl-Liebknecht-Strasse 24-25, 14476 Potsdam""; Departmentsprecher Musik und Kunst and stellv. Sprecher Strukturbereich Bildungswissenschaften (Organigramm HWF 04/2026) [collected in the University of Potsdam faculty slice: human_de]"
Axel Bronstert,HochschullehrerInnen - Hydrologie und Klimatologie | Prof. Dr.,"AG Hydrologie und Klimatologie, Institut für Umweltwissenschaften und Geographie",,,https://www.uni-potsdam.de/de/umwelt/institut/alle-mitarbeiterinnen,"campus=Golm. Evidence: 'Kontakt und Lageplan' page: 'Universität Potsdam, OT Golm, Karl-Liebknecht-Str. 24-25, 14476 Potsdam'; offices in Haus 32 and Haus 12 (Geoökologie) and Haus 24 (Geographie). Also 'Leitung' of the DFG-Graduiertenkolleg NatRiskChange per the institute research overview. [collected in the University of Potsdam faculty slice: mathnat]"
Alessandra Buonanno,Honorarprofessuren - Max-Planck-Institut für Graviationsphysik,Institut für Physik und Astronomie,Max-Planck-Institut für Graviationsphysik - primary employer (Honorarprofessur at UP),,https://www.uni-potsdam.de/de/physik/institut/professuren,"campus=Golm. Evidence: institute contact block 'Campus Golm, Haus 28, Karl-Liebknecht-Straße 24/25, 14476 Potsdam OT Golm'. confidence=low / FLAGGED: Honorarprofessur. The task spec says to EXCLUDE honorary professors; row kept so the omission is visible downstream. Primary institution is Max-Planck-Institut für Graviationsphysik, not UP. [collected in the University of Potsdam faculty slice: mathnat]"
Alexandra Carpentier,Professuren am Institut für Mathematik - Mathematische Statistik | Prof. Dr.,"Mathematische Statistik, Institut für Mathematik",,https://www.math.uni-potsdam.de/professuren/mathematische-statistik,https://www.math.uni-potsdam.de/professuren,"campus=Golm. Evidence: institute contact block 'Institut für Mathematik, Campus Golm, Haus 9, Karl-Liebknecht-Str. 24-25, D-14476 Potsdam OT Golm'. [collected in the University of Potsdam faculty slice: mathnat]"
Carsten Beta,Ordentliche Professuren - Biologische Physik,"Biologische Physik, Institut für Physik und Astronomie","Institut für Biochemie und Biologie, Universität Potsdam - Zweitmitgliedschaft (IBB page: 'Professuren mit Zweitmitgliedschaft am Institut für Biochemie und Biologie - Biologische Physik')",,https://www.uni-potsdam.de/de/physik/institut/professuren,"campus=Golm. Evidence: institute contact block 'Campus Golm, Haus 28, Karl-Liebknecht-Straße 24/25, 14476 Potsdam OT Golm'. [collected in the University of Potsdam faculty slice: mathnat]"
Christian Bär,Professuren am Institut für Mathematik - Geometrie | Prof. Dr.,"Geometrie, Institut für Mathematik",,https://www.math.uni-potsdam.de/professuren/geometrie,https://www.math.uni-potsdam.de/professuren,"campus=Golm. Evidence: institute contact block 'Institut für Mathematik, Campus Golm, Haus 9, Karl-Liebknecht-Str. 24-25, D-14476 Potsdam OT Golm'. [collected in the University of Potsdam faculty slice: mathnat]"
Christian Bickenbach,"Lehrstuhl für Öffentliches Recht, insbesondere Infrastrukturrecht und Verwaltungsrecht","Fachbereich Öffentliches Recht, Juristische Fakultät",,http://www.uni-potsdam.de/regulierungs-und-infrastrukturrecht,https://www.uni-potsdam.de/de/jura/ful/lehrstuehle-und-professuren/oeffentliches-recht,"campus=Griebnitzsee (August-Bebel-Str. 89, 14482 Potsdam); evidence=chair page postal address [collected in the University of Potsdam faculty slice: wiso_phil]"
Christine Böckmann,Professuren am Institut für Mathematik - Wahrscheinlichkeitstheorie | apl. Prof. Dr.,"Wahrscheinlichkeitstheorie, Institut für Mathematik",,https://www.math.uni-potsdam.de/professuren/wahrscheinlichkeitstheorie,https://www.math.uni-potsdam.de/professuren,"campus=Golm. Evidence: institute contact block 'Institut für Mathematik, Campus Golm, Haus 9, Karl-Liebknecht-Str. 24-25, D-14476 Potsdam OT Golm'. confidence=low: außerplanmäßige Professur, listed alongside the Wahrscheinlichkeitstheorie chair; also listed under Numerische Mathematik personnel. [collected in the University of Potsdam faculty slice: mathnat]"
Chitchanok Chuengsatiansup,Prof. Dr. | Fachgebiet Cybersecurity - High-Assurance Systems,Digital Engineering Fakultät - Fachgebiet Cybersecurity - High-Assurance Systems; Digital Engineering Fakultät (gemeinsame Fakultät der Universität Potsdam und des Hasso-Plattner-Instituts),"Hasso-Plattner-Institut: the UP Digital-Engineering faculty page lists this person under 'Fachgebiete' with the link pointing to the HPI chair page (hpi.de/forschung/fachgebiete/...), and hpi.de lists the same person under 'HPI-Fachgebiete' - i.e. shown as HPI Fachgebietsleiter/in (chair holder at HPI) while being a professor of the joint UP Digital Engineering Fakultät",https://hpi.de/forschung/fachgebiete/cybersecurity-high-assurance-systems/,https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete,"campus=Griebnitzsee; evidence: DE-Fakultaet/HPI ""Kontakt"" block gives Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam [collected in the University of Potsdam faculty slice: human_de]"
Dana Bergmann,Professur für Berufspädagogik (in Vertretung),"Fachgruppe Ökonomische und Technische Bildung, Wirtschafts- und Sozialwissenschaftliche Fakultät",,https://www.uni-potsdam.de/de/wiso/fakultaet/professuren-personen/wirtschaftspaedagogik-fuer-das-berufliche-lehramt,https://www.uni-potsdam.de/de/wiso/fakultaet/professuren-personen,"Vertretungsprofessur (interim chair holder) - listed by the faculty as 'Prof. Dr. Dana Bergmann (in Vertretung)'. campus=Griebnitzsee (August-Bebel-Str. 89, 14482 Potsdam); evidence=chair page address. confidence=medium (interim status) [collected in the University of Potsdam faculty slice: wiso_phil]"
Andreas Degen,Akademischer Mitarbeiter Literaturwissenschaft,"Institut für Germanistik, Philosophische Fakultät",,,https://www.uni-potsdam.de/de/germanistik/institut/professuren-und-arbeitsgebiete,"Listed by the institute with a Prof. title but under 'Akademischer Mitarbeiter', i.e. probably an apl./außerplanmäßige professorship rather than an independent chair; INCLUDED per instruction to prefer a low-confidence row. campus=Neues Palais (Am Neuen Palais 10, 14469 Potsdam); evidence=institute website postal address. confidence=low, missing: rank of the professorship [collected in the University of Potsdam faculty slice: wiso_phil]"
Carsten Denker,Außerplanmäßige Professuren - Sonnenphysik,"Sonnenphysik, Institut für Physik und Astronomie",,,https://www.uni-potsdam.de/de/physik/institut/professuren,"campus=Golm. Evidence: institute contact block 'Campus Golm, Haus 28, Karl-Liebknecht-Straße 24/25, 14476 Potsdam OT Golm'. confidence=low: außerplanmäßige Professur; included because the page assigns each apl. professor a named group. page names no other institution (group 'Sonnenphysik' only) [collected in the University of Potsdam faculty slice: mathnat]"
Bernhard Diekmann,Gemeinsam berufene und außerplanmäßige ProfessorInnen und PrivatdozentInnen an außeruniversitären Forschungseinrichtungen - Quartärgeologie [AWI] | Prof. Dr.,"Quartärgeologie [AWI], Institut für Geowissenschaften",AWI (Alfred-Wegener-Institut) Potsdam,,https://www.uni-potsdam.de/de/geo/institut/mitarbeiter,"campus=Golm. Evidence: institute contact block 'Campus Golm / Haus 27, Karl-Liebknecht-Str. 24-25, 14476 Potsdam'. Joint/apl. appointment: primary site is AWI Potsdam, Telegrafenberg A45 - off-campus; the UP institute itself is at Golm Haus 27. [collected in the University of Potsdam faculty slice: mathnat]"
Christian Dörr,Prof. Dr. | Fachgebiet Cybersecurity - Enterprise Security,Digital Engineering Fakultät - Fachgebiet Cybersecurity - Enterprise Security; Digital Engineering Fakultät (gemeinsame Fakultät der Universität Potsdam und des Hasso-Plattner-Instituts),"Hasso-Plattner-Institut: the UP Digital-Engineering faculty page lists this person under 'Fachgebiete' with the link pointing to the HPI chair page (hpi.de/forschung/fachgebiete/...), and hpi.de lists the same person under 'HPI-Fachgebiete' - i.e. shown as HPI Fachgebietsleiter/in (chair holder at HPI) while being a professor of the joint UP Digital Engineering Fakultät",https://hpi.de/forschung/fachgebiete/cybersecurity-enterprise-security.html,https://www.uni-potsdam.de/de/digital-engineering/forschung/fachgebiete,"campus=Griebnitzsee; evidence: DE-Fakultaet/HPI ""Kontakt"" block gives Prof.-Dr.-Helmert-Str. 2-3, 14482 Potsdam [collected in the University of Potsdam faculty slice: human_de]"
Björn Egbert,Prof. Dr. paed. | Grundschulpädagogik Sachunterricht: Schwerpunkt Naturwissenschaften,"Department Grundschulpädagogik, Humanwissenschaftliche Fakultät (Strukturbereich Bildungswissenschaften)",,https://www.uni-potsdam.de/de/gsp-sachunterricht/,https://www.uni-potsdam.de/de/bildungswissenschaften/studienbereiche/grundschulpaedagogik,"campus=Golm (Wissenschaftspark); evidence: unit ""Kontakt"" block gives Karl-Liebknecht-Str. 24-25, 14476 Potsdam OT Golm (Haus 16) [collected in the University of Potsdam faculty slice: human_de]"
Antje Ehlert,Prof. Dr. | Inklusionspädagogik - Förderschwerpunkt Lernen,"Department Inklusionspädagogik, Humanwissenschaftliche Fakultät (Strukturbereich Bildungswissenschaften)",,https://www.uni-potsdam.de/de/inklusion/lernen,https://www.uni-potsdam.de/de/bildungswissenschaften/studienbereiche/inklusionspaedagogik,"campus=Golm (Wissenschaftspark); evidence: unit ""Kontakt"" block gives Karl-Liebknecht-Str. 24-25, 14476 Potsdam OT Golm [collected in the University of Potsdam faculty slice: human_de]"
Elias Ehrlich,Tenure-Track Professuren und Juniorprofessuren - Quantitative Naturschutzbiologie,"AG Quantitative Naturschutzbiologie, Institut für Biochemie und Biologie",,,https://www.uni-potsdam.de/de/ibb/arbeitsgruppen/professuren-ags,"campus=Golm. Evidence: IBB 'Standorte' page names 'Standort Golm ... Karl-Liebknecht-Straße 24-25, 14476 Potsdam' as Hauptstandort der Arbeitsgruppen; second IBB site 'Maulbeerallee' (Botanischer Garten, near Neues Palais) exists for the Botanical Garden. [collected in the University of Potsdam faculty slice: mathnat]"
Elke Dittmann,Ordentliche Professuren - Mikrobiologie,"AG Mikrobiologie, Institut für Biochemie und Biologie",,,https://www.uni-potsdam.de/de/ibb/arbeitsgruppen/professuren-ags,"campus=Golm. Evidence: IBB 'Standorte' page names 'Standort Golm ... Karl-Liebknecht-Straße 24-25, 14476 Potsdam' as Hauptstandort der Arbeitsgruppen; second IBB site 'Maulbeerallee' (Botanischer Garten, near Neues Palais) exists for the Botanical Garden. [collected in the University of Potsdam faculty slice: mathnat]"
Birgit Elsner,Prof. Dr. | Professur Entwicklungspsychologie,"Department Psychologie, Humanwissenschaftliche Fakultät (Strukturbereich Kognitionswissenschaften)",,https://www.uni-potsdam.de/de/psych-developmental/index,https://www.uni-potsdam.de/de/kognitionswissenschaften/zusammensetzung-des-strukturbereichs/professuren-im-department-psychologie,"campus=Golm (Wissenschaftspark); evidence: unit ""Kontakt"" block gives Karl-Liebknecht-Str. 24-25, 14476 Potsdam OT Golm [collected in the University of Potsdam faculty slice: human_de]"
Eva Eibl,ProfessorInnen - Allgemeine Geophysik | Prof. Dr.,"Allgemeine Geophysik, Institut für Geowissenschaften",,,https://www.uni-potsdam.de/de/geo/institut/mitarbeiter,"campus=Golm. Evidence: institute contact block 'Campus Golm / Haus 27, Karl-Liebknecht-Str. 24-25, 14476 Potsdam'. [collected in the University of Potsdam faculty slice: mathnat]"
Fabrice Cotton,Gemeinsam berufene und außerplanmäßige ProfessorInnen und PrivatdozentInnen an außeruniversitären Forschungseinrichtungen - Engineering Seismology and Seismic Hazard [ GFZ ] | Prof. Dr.,"Engineering Seismology and Seismic Hazard [ GFZ ], Institut für Geowissenschaften",GFZ,,https://www.uni-potsdam.de/de/geo/institut/mitarbeiter,"campus=Golm. Evidence: institute contact block 'Campus Golm / Haus 27, Karl-Liebknecht-Str. 24-25, 14476 Potsdam'. Joint/apl. appointment: primary site is GFZ Telegrafenberg - off-campus; the UP institute itself is at Golm Haus 27. [collected in the University of Potsdam faculty slice: mathnat]"
Doris Fay,Prof. Dr. | Professur Arbeits- und Organisationspsychologie,"Department Psychologie, Humanwissenschaftliche Fakultät (Strukturbereich Kognitionswissenschaften)",,https://www.uni-potsdam.de/de/work-psychology/index,https://www.uni-potsdam.de/de/kognitionswissenschaften/zusammensetzung-des-strukturbereichs/professuren-im-department-psychologie,"campus=Golm (Wissenschaftspark); evidence: unit ""Kontakt"" block gives Karl-Liebknecht-Str. 24-25, 14476 Potsdam OT Golm [collected in the University of Potsdam faculty slice: human_de]"
Alisdair Fernie,Honorarprofessuren - Zentraler Metabolismus,"Zentraler Metabolismus, Institut für Biochemie und Biologie",Max-Planck-Institut für Molekulare Pflanzenphysiologie - printed after the name; primary employer,,https://www.uni-potsdam.de/de/ibb/arbeitsgruppen/professuren-ags,"campus=Golm. Evidence: IBB 'Standorte' page names 'Standort Golm ... Karl-Liebknecht-Straße 24-25, 14476 Potsdam' as Hauptstandort der Arbeitsgruppen; second IBB site 'Maulbeerallee' (Botanischer Garten, near Neues Palais) exists for the Botanical Garden. confidence=low / FLAGGED: Honorarprofessur; spec says EXCLUDE honorary. Row kept for visibility. MPI-MP is on the Golm science park (Am Mühlenberg 1, 14476 Potsdam-Golm), adjacent to but not part of the UP Golm campus. [collected in the University of Potsdam faculty slice: mathnat]"
