name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Marco Aiello,Prof. Dr.,"IAAS – Institut für Architektur von Anwendungssystemen, Abteilung Service Computing",,http://www.iaas.uni-stuttgart.de/institut/mitarbeiter/aiello/,https://www.f05.uni-stuttgart.de/fakultaet/personen/Aiello/,Prodekan der Fakultät 5
Kai Oliver Arras,Prof. Dr.,"KI-Institut (Institut für Künstliche Intelligenz) – Autonome Systeme / Socially Intelligent Robotics Lab",Cyber Valley (Stiftungsprofessur),https://www.ki.uni-stuttgart.de/departments/sir,https://www.ki.uni-stuttgart.de/de/institut/team/Arras/,Cyber-Valley-Stiftungsprofessur Autonome Systeme; kein MPI-IS-Hinweis auf Profilseite
Christian Becker,Prof. Dr.,IPVS – Verteilte Systeme,,https://www.ipvs.uni-stuttgart.de/institute/team/Becker-00039/,https://www.f05.uni-stuttgart.de/fakultaet/personen/Becker-00044/,
Steffen Becker,Prof. Dr.-Ing.,"ISTE – Institut für Software Engineering, Abteilung Softwarequalität und -architektur",,https://www.iste.uni-stuttgart.de/de/institut/team/Becker-00009/,https://www.f05.uni-stuttgart.de/fakultaet/personen/Becker-00001/,
Andrés Bruhn,Prof. Dr.-Ing.,VIS – Computer Vision,,,https://www.f05.uni-stuttgart.de/fakultaet/personen/,
Andreas Bulling,Prof. Dr.,"VIS – Mensch-Computer-Interaktion und Kognitive Systeme / Collaborative Artificial Intelligence",,https://www.perceptualui.org/people/bulling/,https://www.vis.uni-stuttgart.de/institut/team/Bulling/,"Geschäftsführender Direktor VIS; frühere Tätigkeit als Senior Researcher am Max-Planck-Institut für Informatik (2013-2018, nicht aktuell, nicht MPI-IS)"
Benedikt Ehinger,Jun.-Prof. Dr.,VIS – Computational Cognitive Science,SimTech Exzellenzcluster (Juniorprofessur),https://www.vis.uni-stuttgart.de/institut/team/Ehinger-00001/,https://www.f05.uni-stuttgart.de/fakultaet/personen/Ehinger-00002/,
Stefan Funke,Prof. Dr.-Ing.,"FMI – Institut für Formale Methoden der Informatik, Algorithmik",,,https://www.f05.uni-stuttgart.de/fakultaet/personen/Funke-00003/,
Ben Hermann,Prof. Dr.,ISTE – Empirical Software Engineering,,https://www.iste.uni-stuttgart.de/institute/team/Hermann-00017/,https://www.f05.uni-stuttgart.de/fakultaet/personen/Hermann-00018/,
Jens Kober,Prof. Dr.-Ing.,KI-Institut – Learning and Interactive Robots (LaIR),,,https://www.ki.uni-stuttgart.de/de/institut/team/Kober-00001/,
