name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Philipp Berens,Prof. Dr. Philipp Berens (kooptiert),Data Science for Vision Research (Vision & Cognition),"Hertie Institute for AI in Brain Health, Dept. of Data Science; Universitaetsklinikum Tuebingen, Institute for Ophthalmic Research",http://www.eye-tuebingen.de/berenslab/,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,"kooptiert = co-opted onto the Informatik faculty; his lab page (eye-tuebingen.de/berenslab) states his primary post is Hertie Institute for AI in Brain Health / University Eye Hospital Tuebingen, not a plain Informatik chair."
Matthias Bethge,Prof. Dr. Matthias Bethge (kooptiert),Computational Neuroscience and Machine Learning (Maschinelles Lernen | Vision & Cognition),"Institute for Theoretical Physics, University of Tuebingen (same university, different faculty)",http://www.uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/physik/institute/institut-fuer-theoretische-physik/arbeitsgruppen/ag-bethge.html,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,"kooptiert from the Physics faculty. His AG page names only 'Eberhard Karls Universitaet Tuebingen' -- no Tuebingen AI Center or MPI mention was found on the fetched page, though he is widely known as a Tuebingen AI Center PI elsewhere."
Michael J. Black,"Prof. Michael J. Black, Ph.D. (Honorarprofessor)",Perceiving Systems (Maschinelles Lernen | Vision & Cognition),"Max Planck Institute for Intelligent Systems, Perceiving Systems department",https://is.mpg.de/ps/,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,"Honorarprofessor = honorary title; primary appointment is MPI-IS. The MPI-IS page itself currently lists him as 'Emeritus / Acting Director', suggesting a transition -- flagged for downstream check."
Jonathan Brachthaeuser,Prof. Dr. Jonathan Brachthaeuser,Software Engineering (Foundations of Computing),,http://se.cs.uni-tuebingen.de,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,Not AI-core; included per over-collect rule.
Oliver Bringmann,Prof. Dr. rer. nat. Oliver Bringmann,Eingebettete Systeme (Foundations of Computing),,http://www.embedded.uni-tuebingen.de/,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,Not AI-core; included per over-collect rule.
Martin Butz,"Prof. Martin Butz, Ph.D.",Kognitive Modellierung (Maschinelles Lernen | Vision & Cognition),,https://cm.inf.uni-tuebingen.de,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,
Manfred Claassen,Prof. Dr. Manfred Claassen (kooptiert),Klinische Bioinformatik (Biomedizinische Informatik),Universitaetsklinikum Tuebingen (University Hospital),https://www.medizin.uni-tuebingen.de/de/das-klinikum/mitarbeiter/profil/2147,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,kooptiert from the Medical Faculty / University Hospital.
Peter Dayan,"Prof. Dr. Peter Dayan, PhD (Humboldt-Professur fuer Kuenstliche Intelligenz)",Computational Neuroscience (Vision & Cognition),"Max Planck Institute for Biological Cybernetics (Director, Dept. of Computational Neuroscience)",https://www.kyb.tuebingen.mpg.de/computational-neuroscience,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,Holds an Alexander von Humboldt Professorship for AI at Tuebingen; MPI page confirms Director role as his substantive post.
Britta Dorn,Apl. Prof. Dr. rer. nat. Britta Dorn,Mathematische Strukturen in der Informatik (Foundations of Computing),,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/mathematische-strukturen/home/,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,Not AI-core; Apl. Prof. leads own group so qualifies under the Privatdozent 'own funded group' caveat in titles.csv.
Stephan Eckstein,Jun.-Prof. Dr. Stephan Eckstein (kooptiert),Mathematische Methoden in der Informatik (Foundations of Computing),"Mathematics Faculty (Fachbereich Mathematik), same university",https://www.math.uni-tuebingen.de/de/forschung/info-methods,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/,kooptiert cross-listing from Mathematics.
