name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Michael Hintermueller,"Prof. Dr. Michael Hintermüller - Director (organigram); own page: ""Director of the Weierstrass Institute and Head of Research Group 'Nonsmooth Variational Problems and Operator Equations'""","Director of WIAS; Head, RG 8 ""Nonsmooth Variational Problems and Operator Equations""","Humboldt-Universität zu Berlin: ""Professor for Applied Mathematics at the Humboldt-Universität zu Berlin""; MATH+ faculty (marked *HU)",https://www.wias-berlin.de/people/hintermueller/,https://www.wias-berlin.de/services/directorsoffice/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Organigram (capture 2026-02-03) prints ""Director / Prof. Dr. Michael Hintermüller"" and ""RG 8 Nonsmooth Variational Problems and Operator Equations / Prof. Dr. Michael Hintermüller"". Director's Office page (capture 2026-05-15): ""Director: Prof. Dr. Michael Hintermüller"". Research-groups overview (capture 2026-06-07): ""Nonsmooth Variational Problems and Operator Equations - Head: Prof. Dr. Michael Hintermüller"". JOINT APPOINTMENT (HU Berlin) - check the HU Berlin roster for de-duplication."
Volker John,"Univ.-Prof. Dr. Volker John; ""Head of Research Group Numerical Mathematics and Scientific Computing""; ""2. stellvertretender Direktor des WIAS"" (seit 10/2023)","Head, RG 3 ""Numerical Mathematics and Scientific Computing""; 2nd Deputy Director of WIAS","Freie Universität Berlin, Department of Mathematics and Computer Science, Arnimallee 6 (his own page gives both addresses, ""WIAS und FU Berlin"" seit 08/2009); MATH+ faculty (marked *FU)",https://www.wias-berlin.de/people/john/,https://www.wias-berlin.de/research/rgs/fg3/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07): ""Numerical Mathematics and Scientific Computing - Head: Prof. Dr. Volker John"". His own WIAS page (capture 2026-06-06) gives the verbatim heading ""Univ.-Prof. Dr. Volker John / Head of Research Group Numerical Mathematics and Scientific Computing"" plus a second address block ""and Freie Universität Berlin, Department of Mathematics and Computer Science"", and the CV line ""seit 10/2023: 2. stellvertretender Direktor des WIAS"". NOTE: a ""2nd Deputy Director"" implies a 1st Deputy Director whom no fetched page names - see sources.txt. JOINT APPOINTMENT (FU Berlin)."
Matthias Liero,Head (acting): Priv.-Doz. Dr. Matthias Liero,"Head (acting), RG 1 ""Partial Differential Equations""","MATH+ faculty listed with WIAS as home institution and marked *HU (Humboldt-Universität zu Berlin); his own page states he is ""a member of the Berlin Mathematical School (BMS) in the Postdoctoral Faculty""",https://www.wias-berlin.de/people/liero/,https://www.wias-berlin.de/research/rgs/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07) and RG1 page (capture 2026-04-18) both print ""Head (acting): Priv.-Doz. Dr. Matthias Liero"". His own page (capture 2025-11-19): ""I am the acting head of the research group Partial Differential Equations at the Weierstrass Institute Berlin."" The Feb-2026 organigram still shows Prof. Dr. Alexander Mielke as RG1 head, so leadership changed between February and April 2026 - both people are recorded. HU Berlin link is from MATH+, not from a WIAS page."
Uwe Bandelow,"Head: Priv.-Doz. Dr. Uwe Bandelow (research-groups overview); own page heading ""Priv.-Doz. Dr. Uwe Bandelow / Head of Research Group Laser Dynamics""; organigram ""RG 2 Laser Dynamics / PD Dr. Uwe Bandelow""","Head, RG 2 ""Laser Dynamics""","Humboldt University of Berlin: CV line ""since 2010: Priv.-Doz., Humboldt University of Berlin"" (Habilitation 2009, HU Berlin); ""since 2021: Scientist in Charge in research center MATH+""",https://www.wias-berlin.de/people/bandelow/,https://www.wias-berlin.de/research/rgs/fg2/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. RG2 page capture 2026-04-14, personal page capture 2026-04-18. Head since 2005 per his CV. The HU Berlin link is a Privatdozent (habilitation) title, not a chair - recorded verbatim so the central ruling can decide."
Dietmar Hoemberg,Head: Prof. Dr. Dietmar Hömberg,"Head, RG 4 ""Nonlinear Optimization and Inverse Problems""; Head of the IMU Office (organigram: ""IMU Office / Prof. Dr. Dietmar Hömberg"")","Technische Universität Berlin (his WIAS personal page is only a redirect: ""You will be redirected to my website at TU Berlin in three seconds...""); MATH+ faculty (marked *TU)",https://www.wias-berlin.de/people/hoemberg/,https://www.wias-berlin.de/research/rgs/fg4/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07) and RG4 page (capture 2026-05-10): ""Head: Prof. Dr. Dietmar Hömberg"" / ""Head: Dietmar Hömberg"". The Feb-2026 organigram additionally places him over the IMU Office (the International Mathematical Union secretariat is seated at WIAS). JOINT APPOINTMENT (TU Berlin)."
Wolfgang Koenig,Head: Prof. Dr. Wolfgang König,"Head, RG 5 ""Interacting Random Systems""","Technische Universität Berlin: own page states ""Professor für Wahrscheinlichkeitstheorie am Institut für Mathematik der Technischen Universität Berlin""; MATH+ faculty (marked *TU)",https://www.wias-berlin.de/people/koenig/,https://www.wias-berlin.de/research/rgs/fg5/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07) and RG5 page (capture ~2026): ""Head: Prof. Dr. Wolfgang König"" / ""Head: Wolfgang König"". Personal page capture 2026-04-16. JOINT APPOINTMENT (TU Berlin)."
Christian Bayer,Head (acting): Dr. Christian Bayer,"Head (acting), RG 6 ""Stochastic Algorithms and Nonparametric Statistics""",MATH+ faculty listed with WIAS as home institution and marked *TU (Technische Universität Berlin),,https://www.wias-berlin.de/research/rgs/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07) and RG6 page both print ""Head (acting): Dr. Christian Bayer"". The Feb-2026 organigram still shows Prof. Dr. Vladimir Spokoiny as RG6 head and Spokoiny is still listed among the group's coworkers, so the acting-head arrangement is recent; both people are recorded. He is also named in the organigram as co-lead (with Prof. Dr. Peter K. Friz) of the former Leibniz Group ""Quantitative Analysis of Stochastic and Rough Systems"". No WIAS personal page snapshot was retrievable; the TU Berlin link is from MATH+, not from a WIAS page. confidence=medium"
Clemens Heitzinger,Head: Prof. Dr. Clemens Heitzinger,"Head, RG 7 ""Data-Driven Mathematical Modeling""",,,https://www.wias-berlin.de/research/rgs/fg7/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Research-groups overview (2026-06-07): ""Data-Driven Mathematical Modeling - Head: Prof. Dr. Clemens Heitzinger. Since April 1, 2026, the research group has been under new leadership with modified thematic priorities. The presentation of the content here will be updated shortly."" RG7 was previously ""Thermodynamic Modeling and Analysis of Phase Transitions"" under Prof. Dr. Barbara Wagner (temp.) - the group was renamed and re-tasked with him. No WIAS personal page snapshot retrievable and he is not in the MATH+ faculty list, so no second affiliation could be evidenced. confidence=medium"
Patricio Farrell,Head: Priv.-Doz. Dr. Patricio Farrell,"Head, ""Numerical Methods for Innovative Semiconductor Devices"" (Flexible Research Platform; organigram labels the predecessor group ""Numerics for Innovative Semiconductor Devices"" a Leibniz Group)",MATH+ faculty listed with WIAS as home institution and marked *FU (Freie Universität Berlin),,https://www.wias-berlin.de/research/lgs/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Flexible Research Platform page (capture 2026-05-20): ""Numerical Methods for Innovative Semiconductor Devices - Head: Priv.-Doz. Dr. Patricio Farrell"". Organigram lists ""Numerics for Innovative Semiconductor Devices / until 12/24 / Dr. Patricio Farrell / Leibniz Group"", so the unit type is a Leibniz Group inside the flexible platform. FU Berlin link is from MATH+, not from a WIAS page."
Benedikt Jahnel,Head: Prof. Dr. Benedikt Jahnel,"Head, ""Probabilistic Methods for Dynamic Communication Networks"" (Flexible Research Platform; organigram labels it a Leibniz Group); also named Ombudsperson in the organigram",MATH+ faculty listed with WIAS as home institution and marked *TU Braunschweig (Technische Universität Braunschweig),https://www.wias-berlin.de/people/jahnel/,https://www.wias-berlin.de/research/lgs/index.jsp?lang=1,"SOURCE NOTE: www.wias-berlin.de was unreachable all through this session (HTTPS on the origin 62.141.177.111 never responded; three independent reader proxies also failed), so this row was read from the Internet Archive capture of the institute's own page. Flexible Research Platform page (capture 2026-05-20): ""Probabilistic Methods for Dynamic Communication Networks - Head: Prof. Dr. Benedikt Jahnel"". Organigram: ""Probabilistic Methods for Dynamic Communication Networks / until 12/25 / Dr. Benedikt Jahnel / Leibniz Group"". JOINT APPOINTMENT but at TU Braunschweig, i.e. OUTSIDE Berlin - this matters for city assignment as well as de-duplication."
