name,title_verbatim,group_or_dept,other_affiliations,personal_url,evidence_url,notes
Christof Schuette,"Schütte, Christof, Prof. Dr.","President; Division ""Mathematics of Complex Systems"" (division head per organisational chart)",,https://www.zib.de/userpage/schuette/,https://www.zib.de/institute,"ZIB organisational chart on /institute: ""President: C. Schütte""; the same chart puts him at the head of the division ""Mathematics of Complex Systems"". Impressum names ""Prof. Dr. Christof Schütte"" as President in the Board of Directors. Verbatim member-list entry: ""Schütte, Christof, Prof. Dr."". ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Sebastian Pokutta,"Pokutta, Sebastian, Prof. Dr.","Vice-President; Division ""Mathematical Algorithmic Intelligence""; Head, Department ""AI in Society, Science, and Technology""; Head, Interactive Optimization and Learning group",Professor at TU Berlin; Chair of MATH+; Chair of MODAL (per his own linked homepage pokutta.com),https://www.pokutta.com/,https://www.zib.de/research/mai/ais2t,"ZIB /institute chart: ""Vice-President: S. Pokutta"" and head of the ""Mathematical Algorithmic Intelligence"" division. Department page /research/mai/ais2t lists him verbatim under ""Head"" as ""Pokutta, Sebastian, Prof. Dr.""; group page /research/mai/ais2t/iol lists him as ""Head"" of Interactive Optimization and Learning. TU Berlin professorship taken from his ZIB-linked personal homepage https://www.pokutta.com/ (not stated on any ZIB page). JOINT APPOINTMENT - likely also on a TU Berlin roster."
Andrea Walther,"Walther, Andrea, Prof. Dr.","Vice-President (interim); Division ""Parallel and Distributed Computing"" (interim); Head, Department ""Scientific Computing""",,,https://www.zib.de/research/pdc/sc,"ZIB /institute chart: ""Vice-President (interim): A. Walther"" and interim head of the ""Parallel and Distributed Computing"" division. /research/pdc/sc lists ""Head: Prof. Dr. Andrea Walther""; that department page states ""The department page is currently under construction"" so no research groups are listed under it yet. ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Kathrin Rost,"Rost, Kathrin, Dr. - Managing Director / Director Administration",Administration,,,https://www.zib.de/impressum,"ZIB /institute chart: ""Managing Director: K. Rost""; Impressum lists ""Dr. Kathrin Rost"" as ""Director Administration"" in the Board of Directors. FLAGGED: administrative role - the contract excludes administrative staff, but recorded here as a low-confidence row so the exclusion is visible rather than silent. confidence=low"
Martin Weiser,"Weiser, Martin, Dr.","Head, Department ""Modelling and Simulation of Complex Processes""; Head, Computational Anatomy and Physiology group",,https://www.zib.de/members/weiser,https://www.zib.de/research/mcs/mscp,"Department page /research/mcs/mscp lists ""Head: Weiser, Martin, Dr.""; group page /research/mcs/compmed lists him as Head of Computational Anatomy and Physiology. ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Tim Conrad,"Conrad, Tim, PD Dr.","Head, Department ""Visual and Data-Centric Computing""; Head, Bioinformatics in Medicine group",,https://www.zib.de/members/conrad,https://www.zib.de/research/mcs/vdcc,"Department page /research/mcs/vdcc: ""Head: Conrad, Tim, PD Dr.""; group page /research/mcs/vdcc/bioinformatics-medicine names him as Head. Habilitation title ""PD"" recorded verbatim. ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Daniel Baum,"Baum, Daniel, Dr.","Deputy Head, Department ""Visual and Data-Centric Computing""; Head, Visual Data Analysis group",,https://www.zib.de/members/baum,https://www.zib.de/research/mcs/vdcc,"Department page /research/mcs/vdcc lists him under ""Deputy Heads""; group page /research/mcs/vdcc/visual-data-analysis lists ""Head of Research Group: Baum, Daniel, Dr."". ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Stefan Zachow,"Zachow, Stefan, Dr.","Deputy Head, Department ""Visual and Data-Centric Computing""; Head, Computational Diagnosis and Therapy Planning group; Deputy Head, Computational Anatomy and Physiology group",,https://www.zib.de/members/zachow,https://www.zib.de/research/mcs/vdcc,"Department page /research/mcs/vdcc lists him under ""Deputy Heads""; /research/mcs/vdcc/therapy-planning gives ""Head: Zachow, Stefan, Dr.""; /research/mcs/compmed lists him as deputy head. ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Ralf Borndoerfer,"Borndörfer, Ralf, Prof. Dr.","Head, Department ""Applied Optimization""",,https://www.zib.de/members/borndoerfer,https://www.zib.de/research/mai/optimization,"Department page /research/mai/optimization lists two people under ""Heads"": ""Borndörfer, Ralf, Prof. Dr."" and ""Koch, Thorsten, Prof. Dr."". ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
Thorsten Koch,"Koch, Thorsten, Prof. Dr.","Head, Department ""Applied Optimization""; Head, Research Service Unit ""Digital Data and Information for Society, Science and Culture"" (DISC)",,https://www.zib.de/members/koch,https://www.zib.de/research/mai/optimization,"Named under ""Heads"" on /research/mai/optimization and as ""Head: Koch, Thorsten, Prof. Dr."" on /research-services/disc; the ZIB /institute chart also puts DISC under him. Member list shows him in two units (""Applied Optimization, Digital Data and Information""). ZIB member/department pages do not state university appointments; other_affiliations left blank rather than guessed. Check against Berlin university rosters for de-duplication."
