name,title_verbatim,team,other_affiliations,personal_url,evidence_url,notes
Cyril Furtlehner,Chargé de recherche,TAU,HDR,https://pages.saclay.inria.fr/cyril.furtlehner/,https://team.inria.fr/tau2/team-members/,Team leader (interim)
Guillaume Charpiat,Chargé de recherche,TAU,,https://team.inria.fr/tau2/team-members/,https://team.inria.fr/tau2/team-members/,Team leader; Advanced Research Fellow
Sylvain Chevallier,Professeur des universités,TAU,Université Paris-Saclay,https://team.inria.fr/tau2/team-members/,https://team.inria.fr/tau2/team-members/,Team leader; HDR
Flora Jay,Chercheur CNRS,TAU,,https://team.inria.fr/tau2/team-members/,https://team.inria.fr/tau2/team-members/,
Marc Schoenauer,Directeur de recherche,TAU,,https://pages.saclay.inria.fr/,https://www.inria.fr/en/michele-sebag-and-marc-schoenauer-ai-pioneers-and-lifelong-researchers,Retired but continuing
Michèle Sebag,Directeur de recherche,TAU,,https://pages.saclay.inria.fr/,https://www.inria.fr/en/michele-sebag-and-marc-schoenauer-ai-pioneers-and-lifelong-researchers,Retired but continuing
Bertrand Thirion,Directeur de recherche,Parietal,CEA/Neurospin,https://pages.saclay.inria.fr/bertrand.thirion/,https://team.inria.fr/parietal/team-members/,Team leader; Head of science Inria Saclay
Gaël Varoquaux,Chercheur HDR,Parietal,,https://team.inria.fr/parietal/team-members/,https://team.inria.fr/parietal/team-members/,Researcher HDR
Alexandre Gramfort,Directeur de recherche,MIND,,https://pages.saclay.inria.fr/,https://www.inria.fr/en/neurosciences-and-machine-learning-alexandre-gramfort-sets-out-conquer-brain,Was at Parietal/MIND; now at Meta Reality Labs
Philippe Ciuciu,Chercheur,Parietal,CEA/Neurospin,,https://team.inria.fr/parietal/team-members/,
Demian Wassermann,Chercheur,Parietal,,https://team.inria.fr/parietal/team-members/,https://team.inria.fr/parietal/team-members/,
Thomas Moreau,Chercheur,Parietal,,https://team.inria.fr/parietal/team-members/,https://team.inria.fr/parietal/team-members/,
Marine Le Morvan,Chercheur,Parietal,,https://team.inria.fr/parietal/team-members/,https://team.inria.fr/parietal/team-members/,
Jean-Daniel Fekete,Senior Researcher,AVIZ,LRI,https://pages.saclay.inria.fr/,https://www.inria.fr/en/visualization-youve-never-seen-it,Team leader
Tobias Isenberg,Senior Researcher,AVIZ,,https://team.inria.fr/aviz/,https://raweb.inria.fr/rapportsactivite/RA2020/aviz/index.html,Interim team leader
Ioana Manolescu,Directeur de recherche,CEDAR,LIX École Polytechnique,https://pages.saclay.inria.fr/ioana.manolescu/,https://team.inria.fr/cedar/members/,Team leader; DR1
Oana Balalau,Chercheur,CEDAR,École Polytechnique,https://pages.saclay.inria.fr/oana.balalau/,https://team.inria.fr/cedar/members/,Starting faculty
Oana Goga,Directeur de recherche,CEDAR,,https://team.inria.fr/cedar/members/,https://team.inria.fr/cedar/members/,
Madhulika Mohanty,Chargé de recherche,CEDAR,,https://team.inria.fr/cedar/members/,https://team.inria.fr/cedar/members/,
Anne Auger,Directeur de recherche,RandOpt,CMAP École Polytechnique,https://pages.saclay.inria.fr/,https://inria.fr/en/randopt-nouvelle-equipe-specialisee-en-optimisation-aleatoire,Team leader; DR2
Nikolaus Hansen,Directeur de recherche,RandOpt,CMAP École Polytechnique,,https://inria.fr/en/randopt-nouvelle-equipe-specialisee-en-optimisation-aleatoire,
Dimo Brockhoff,Chargé de recherche,RandOpt,CMAP École Polytechnique,,https://inria.fr/en/randopt-nouvelle-equipe-specialisee-en-optimisation-aleatoire,CRHC
Taous-Meriem Laleg Kirati,Directeur de recherche,BOOST,,https://team.inria.fr/boost/contact/,https://team.inria.fr/boost/team-members/,Team leader; HDR
Ioannis Bargiotas,Professeur,BOOST,,https://team.inria.fr/boost/team-members/,https://team.inria.fr/boost/team-members/,Chair Professor Junior; research interests in ML and XAI
Emilie Chouzenoux,Chercheur senior,OPIS,,https://pages.saclay.inria.fr/emilie.chouzenoux/,https://www.inria.fr/en/emilie-chouzenoux-medical_imaging,Team leader; HDR
Nicolas Anciaux,Directeur de recherche,PETRUS,Université Versailles Saint-Quentin-en-Yvelines,https://pages.saclay.inria.fr/nicolas.anciaux/,https://team.inria.fr/petrus/,Team leader
Catuscia Palamidessi,Senior Researcher,COMETE,,https://team.inria.fr/Comete/,https://www.inria.fr/en/catuscia-palamidessi-Inria-French-Academy-of-Sciences-Grand-Prize,Team leader
Frank Valencia,Chercheur CNRS,COMETE,,https://team.inria.fr/Comete/,https://team.inria.fr/Comete/,
George Drettakis,Senior Researcher,GraphDeco,,https://team.inria.fr/graphdeco/team-members/,https://team.inria.fr/graphdeco/,Team leader
Emmanuel Pietriga,Senior Researcher,ILDA,,https://pages.saclay.inria.fr/emmanuel.pietriga/,https://ilda.saclay.inria.fr/,Team leader; HDR
Gaël Thomas,Senior Researcher,,"École Polytechnique (part-time professor)",https://pages.saclay.inria.fr/gael.thomas/,https://pages.saclay.inria.fr/gael.thomas/,
Aline Carneiro Viana,Chercheur permanent,TRIBE,,https://pages.saclay.inria.fr/aline.viana/,https://pages.saclay.inria.fr/aline.viana/,Team leader; permanent researcher since 2006
