name,title_verbatim,team,employer,personal_url,evidence_url,notes
Sylvain Chevallier,Professeur,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,Responsable de l'équipe A&O
Bich-Liên Doan,Professeure HDR,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,Chargée de relations d'entreprises
Guillaume Charpiat,Chercheur,A&O,CNRS/LISN,https://www.lisn.upsaclay.fr/membres/charpiat-guillaume/,https://www.lisn.upsaclay.fr/?page_id=28264,Responsable du département Science des données
Sergio Chibbaro,Professeur,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,
Cécile Germain,Professeure Émérite,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,
Marc Schoenauer,Directeur de recherche Émérite,A&O,CNRS/Inria,,https://www.lisn.upsaclay.fr/?page_id=28264,
Nicolas Spyratos,Professeur Émérite,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,
Philippe Caillou,Maître de conférences,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,Enseignant-chercheur
Cyril Furtlehner,Chercheur,A&O,CNRS,,https://www.lisn.upsaclay.fr/?page_id=28264,
François Landes,Maître de conférences,A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/?page_id=28264,Enseignant-chercheur
Julien Mille,Chercheur,A&O,CNRS,,https://www.lisn.upsaclay.fr/?page_id=28264,
Lisheng Sun,Chercheur,A&O,CNRS,,https://www.lisn.upsaclay.fr/?page_id=28264,
Nathalie Aubrun,Chercheure,GALAC,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Responsable d'équipe
Benjamin Hellouin De Menibus,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Co-directeur d'équipe
Johanne Cohen,Directrice de recherche,GALAC,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,
Sylvie Delaet,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignante-chercheuse
Selma Djelloul,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignante-chercheuse
Francesca Fiorenzi,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignante-chercheuse
Florent Hivert,Professeur,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,
Hoang La,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignante-chercheuse
Hao Li,Chercheur,GALAC,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,
Francois Pirot,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignant-chercheur
Viviane Pons,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignante-chercheuse
Arpad Rimmel,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignant-chercheur
Nicolas Thiery,Maître de conférences,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,Enseignant-chercheur; Coordinateur du département Algorithmes apprentissage et calcul
Joanna Tomasik,Professeure,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,
Marc-Antoine Weisser,Professeur,GALAC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/graphes-algorithmes-et-combinatoire-galac/,
Stéphane Vialle,Professeur,ParSys,CentraleSupélec,https://sites.google.com/view/stephanevialle/accueil,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,Responsable de l'équipe ParSys
Janna Burman,Professeure,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,Directrice adjointe
Joffroy Beauquier,Professeur Émérite,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,
Joël Falcou,Enseignant-chercheur HDR,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,Ingénieur informatique
Oguz Kaya,Maître de conférences,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,
Evangelos Bampas,Maître de conférences,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,
Laurent Rosaz,Enseignant-chercheur,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/algorithmes-apprentissage-et-calcul/systemes-paralleles-parsys/membres-4/,
Ioana Vasilescu,Directrice de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,Responsable d'équipe LIPS; DR2
Annelies Braffort,Directrice de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,Modélisation et traitement automatique des langues des signes
Lori Lamel,Directrice de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,Reconnaissance de la parole
Sophie Rosset,Directrice de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,Directrice de LISN
Jean-Luc Gauvain,Chercheur Émérite,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,
Michèle Gouiffès,Professeure,LIPS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,
Marc Evrard,Maître de conférences,LIPS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,
Camille Guinaudeau,Enseignante-chercheuse,LIPS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,
Michael Filhol,Chargé de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,Modélisation et traitement automatique des langues des signes
Jean-Sylvain Liénard,Chercheur Émérite,LIPS,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/lips/,
Agata Savary,Professeure,SEME,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/seme/,Responsable d'équipe SEME
Cyril Grouin,Ingénieur Chercheur HDR,SEME,CNRS/Inria,,https://www.lisn.upsaclay.fr/seme/,Directeur adjoint
Anne-Laure Ligozat,Professeure,SEME,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/seme/,
Aurélie Névéol,Directrice de recherche,SEME,CNRS,,https://www.lisn.upsaclay.fr/seme/,Directrice du département Algorithmes apprentissage et calcul
Pierre Zweigenbaum,Directeur de recherche,SEME,CNRS,,https://www.lisn.upsaclay.fr/seme/,
Thierry Hamon,Professeur,SEME,Université Paris Nord Sorbonne Paris Cité,,https://www.lisn.upsaclay.fr/seme/,
Gabriel Illouz,Enseignant-chercheur,SEME,Université Paris Saclay,,https://www.lisn.upsaclay.fr/seme/,
Eva Feillet,Enseignante-chercheuse,SEME,Université Paris Saclay,,https://www.lisn.upsaclay.fr/seme/,
Thomas Gerald,Chercheur,SEME,Université Paris Saclay,,https://www.lisn.upsaclay.fr/seme/,
Patrick Paroubek,Ingénieur Chercheur,SEME,CNRS/Inria,,https://www.lisn.upsaclay.fr/seme/,Expert NLP
Albert Rilliard,Chercheur,M3,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,Responsable d'équipe M3
Philippe Boula De Mareüil,Directeur de recherche,M3,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,
Laurence Devillers,Professeure,M3,Sorbonne Université,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,PR1
