dblp_prefix,venue_abbrev,layer,notes
conf/nips/,NeurIPS,core,Includes the Datasets and Benchmarks track
conf/icml/,ICML,core,
conf/iclr/,ICLR,core,
conf/aistats/,AISTATS,core,
conf/uai/,UAI,core,
conf/colt/,COLT,core,
journals/jmlr/,JMLR,core,
journals/tmlr/,TMLR,core,
conf/aaai/,AAAI,core,
conf/ijcai/,IJCAI,core,
conf/cvpr/,CVPR,core,
conf/iccv/,ICCV,core,
conf/eccv/,ECCV,core,
journals/pami/,TPAMI,core,
journals/ijcv/,IJCV,core,
conf/acl/,ACL,core,Findings volumes are flagged separately and excluded from core
conf/emnlp/,EMNLP,core,Findings volumes are flagged separately and excluded from core
conf/naacl/,NAACL,core,
conf/eacl/,EACL,core,
journals/tacl/,TACL,core,
conf/icra/,ICRA,core,
conf/iros/,IROS,core,
conf/rss/,RSS,core,
conf/corl/,CoRL,core,
journals/trob/,TRO,core,
journals/ijrr/,IJRR,core,
conf/interspeech/,Interspeech,core,
conf/ecai/,ECAI,extended,
conf/kdd/,KDD,extended,
conf/icassp/,ICASSP,extended,
conf/sigir/,SIGIR,extended,
conf/www/,WWW,extended,
conf/recsys/,RecSys,extended,
conf/atal/,AAMAS,extended,DBLP files AAMAS under conf/atal
conf/aips/,ICAPS,extended,DBLP files ICAPS under conf/aips
conf/kr/,KR,extended,
conf/chi/,CHI,extended,
conf/siggraph/,SIGGRAPH,extended,
conf/miccai/,MICCAI,extended,
conf/ipmi/,IPMI,extended,
conf/ismb/,ISMB,extended,
conf/recomb/,RECOMB,extended,
journals/natmi/,Nature Machine Intelligence,extended,
